55-Cs_n-g
> 55-Cs-133:1.000000
5.755670e+01 2.18615000e-01
5.780860e+01 2.15704000e-01
5.793460e+01 2.20907000e-01
5.799750e+01 2.37740000e-01
5.802900e+01 2.67320000e-01
5.806050e+01 3.62670000e-01
5.809000e+01 5.16630000e-01
5.811950e+01 3.62098000e-01
5.814230e+01 2.82013000e-01
5.816520e+01 2.48588000e-01
5.821080e+01 2.24418000e-01
5.830210e+01 2.12524000e-01
5.848480e+01 2.09144000e-01
5.885000e+01 2.22579000e-01
5.903260e+01 2.48782000e-01
5.921530e+01 3.25352000e-01
5.930660e+01 4.26897000e-01
5.935220e+01 5.22575000e-01
5.939790e+01 6.85390000e-01
5.944350e+01 9.95073000e-01
5.946640e+01 1.26589000e+00
5.948920e+01 1.69267000e+00
5.951200e+01 2.41827000e+00
5.953490e+01 3.78080000e+00
5.954630e+01 4.94148000e+00
5.955770e+01 6.69196000e+00
5.956910e+01 9.41755000e+00
5.958050e+01 1.36823000e+01
5.959530e+01 2.17782000e+01
5.961000e+01 2.71720000e+01
5.962480e+01 2.17833000e+01
5.963950e+01 1.36886000e+01
5.964840e+01 1.01983000e+01
5.965740e+01 7.73492000e+00
5.967520e+01 4.77039000e+00
5.969300e+01 3.20398000e+00
5.971090e+01 2.30346000e+00
5.972870e+01 1.74516000e+00
5.974660e+01 1.37809000e+00
5.978230e+01 9.42984000e-01
5.981790e+01 7.06154000e-01
5.985360e+01 5.63993000e-01
5.992500e+01 4.11229000e-01
5.999640e+01 3.39986000e-01
6.006780e+01 3.14341000e-01
6.013910e+01 3.58125000e-01
6.017480e+01 4.79644000e-01
6.019270e+01 6.34019000e-01
6.021050e+01 9.49189000e-01
6.022530e+01 1.38098000e+00
6.024000e+01 1.66805000e+00
6.025480e+01 1.37531000e+00
6.026950e+01 9.37606000e-01
6.028730e+01 6.15558000e-01
6.030510e+01 4.53692000e-01
6.034070e+01 3.16081000e-01
6.037630e+01 2.61845000e-01
6.041190e+01 2.34470000e-01
6.055420e+01 1.93583000e-01
6.083890e+01 1.70154000e-01
6.140830e+01 1.53136000e-01
6.254710e+01 1.38173000e-01
6.482480e+01 1.24136000e-01
6.938000e+01 1.20625000e-01
7.393530e+01 1.52065000e-01
7.621290e+01 2.02755000e-01
7.735170e+01 2.54434000e-01
7.792110e+01 2.94800000e-01
7.820580e+01 3.22172000e-01
7.834820e+01 3.42471000e-01
7.841930e+01 3.64710000e-01
7.845490e+01 3.94841000e-01
7.849050e+01 4.93026000e-01
7.852000e+01 6.39239000e-01
7.854950e+01 5.00218000e-01
7.859390e+01 4.02331000e-01
7.863830e+01 3.85564000e-01
7.872710e+01 3.86595000e-01
7.890480e+01 4.09228000e-01
7.926000e+01 4.74012000e-01
7.961530e+01 5.65552000e-01
7.979290e+01 6.33790000e-01
7.988170e+01 6.99118000e-01
7.992610e+01 7.84299000e-01
7.994830e+01 8.86448000e-01
7.997050e+01 1.11492000e+00
8.000000e+01 1.55861000e+00
8.002950e+01 1.14028000e+00
8.005010e+01 9.40205000e-01
8.007070e+01 8.55470000e-01
8.011190e+01 8.03079000e-01
8.019430e+01 8.08194000e-01
8.035910e+01 8.91192000e-01
8.068880e+01 1.15376000e+00
8.101840e+01 1.58504000e+00
