19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
2.041200e+03 2.77949784e+00
2.043490e+03 2.27443435e+00
2.045780e+03 1.96228770e+00
2.050360e+03 1.60903106e+00
2.054940e+03 1.42150010e+00
2.059530e+03 1.30851678e+00
2.064110e+03 1.23432892e+00
2.068690e+03 1.18249533e+00
2.077860e+03 1.11565603e+00
2.087020e+03 1.07494513e+00
2.096190e+03 1.04775808e+00
2.105350e+03 1.02838172e+00
2.123690e+03 1.00258941e+00
2.142020e+03 9.86098027e-01
2.160350e+03 9.74504786e-01
2.178680e+03 9.65786349e-01
2.215340e+03 9.53217327e-01
2.252000e+03 9.44219094e-01
2.288660e+03 9.37147942e-01
2.325330e+03 9.31231039e-01
2.398650e+03 9.21398183e-01
2.471970e+03 9.13064991e-01
2.618620e+03 8.98562571e-01
2.639500e+03 8.96697556e-01
2.765270e+03 8.86550778e-01
2.799380e+03 8.83960806e-01
2.911920e+03 8.75705399e-01
2.959250e+03 8.72342708e-01
2.985240e+03 8.70594827e-01
3.058570e+03 8.65767261e-01
3.095230e+03 8.63414275e-01
3.119130e+03 8.61956325e-01
3.131890e+03 8.61283334e-01
3.150220e+03 8.60461825e-01
3.159090e+03 8.60259721e-01
3.168550e+03 8.60215148e-01
3.177720e+03 8.60721261e-01
3.182300e+03 8.61400914e-01
3.186880e+03 8.62783955e-01
3.191470e+03 8.65923542e-01
3.193760e+03 8.69113134e-01
3.196050e+03 8.74943696e-01
3.197190e+03 8.79838748e-01
3.198340e+03 8.87262526e-01
3.199060e+03 8.94790429e-01
3.199490e+03 8.99307280e-01
3.200630e+03 9.20687927e-01
3.201200e+03 9.38196068e-01
3.201780e+03 9.64173317e-01
3.202350e+03 1.00508779e+00
3.202920e+03 1.07479744e+00
3.203500e+03 1.20857347e+00
3.203780e+03 1.32693889e+00
3.204070e+03 1.51490963e+00
3.204360e+03 1.84068119e+00
3.204640e+03 2.46566515e+00
3.204780e+03 3.01136903e+00
3.204930e+03 3.85615105e+00
3.205070e+03 5.21580632e+00
3.205210e+03 7.42855368e+00
3.205380e+03 1.13894333e+01
3.205550e+03 1.40118964e+01
3.205730e+03 1.13639964e+01
3.205900e+03 7.42762377e+00
3.206090e+03 4.62188235e+00
3.206290e+03 3.18347392e+00
3.206490e+03 2.40783217e+00
3.206680e+03 1.95530457e+00
3.206880e+03 1.67212880e+00
3.207080e+03 1.48449939e+00
3.207470e+03 1.26088955e+00
3.207860e+03 1.13783460e+00
3.208260e+03 1.06339910e+00
3.209050e+03 9.82000016e-01
3.209830e+03 9.40800900e-01
3.210620e+03 9.17189361e-01
3.211410e+03 9.02405513e-01
3.212190e+03 8.92544529e-01
3.213770e+03 8.80621443e-01
3.215340e+03 8.73972445e-01
3.216920e+03 8.69894998e-01
3.218490e+03 8.67219772e-01
3.219050e+03 8.66654918e-01
3.221640e+03 8.64403751e-01
3.224790e+03 8.63110114e-01
3.231090e+03 8.62279897e-01
3.237390e+03 8.62396796e-01
3.239030e+03 8.62525473e-01
3.243690e+03 8.64667923e-01
3.249020e+03 8.67311313e-01
3.254020e+03 8.72744509e-01
3.256290e+03 8.77423237e-01
3.259020e+03 8.83113606e-01
3.264010e+03 9.05671885e-01
3.266510e+03 9.28110098e-01
3.269010e+03 9.68671413e-01
3.270260e+03 1.00246535e+00
3.271510e+03 1.05344970e+00
3.272750e+03 1.13553946e+00
3.274000e+03 1.28017523e+00
3.274630e+03 1.39794300e+00
3.275250e+03 1.57130863e+00
3.275880e+03 1.84246662e+00
3.276500e+03 2.29903428e+00
3.277130e+03 3.15880369e+00
3.277440e+03 3.90135886e+00
3.277750e+03 5.05909171e+00
3.278060e+03 7.00402436e+00
3.278380e+03 1.05631077e+01
3.278530e+03 1.35219709e+01
3.278690e+03 1.78864912e+01
3.278840e+03 2.44890949e+01
3.279000e+03 3.44849184e+01
3.279220e+03 5.47095533e+01
3.279430e+03 6.81071765e+01
3.279650e+03 5.46098403e+01
3.279870e+03 3.44850879e+01
3.280080e+03 2.18834142e+01
3.280290e+03 1.46848145e+01
3.280500e+03 1.04706366e+01
3.280710e+03 7.86616988e+00
3.280920e+03 6.16820340e+00
3.281130e+03 5.00872556e+00
3.281480e+03 3.81963984e+00
3.281550e+03 3.58182330e+00
3.281970e+03 2.77564799e+00
3.282390e+03 2.27819310e+00
3.283230e+03 1.72355039e+00
3.284070e+03 1.43837117e+00
3.284910e+03 1.27290274e+00
3.285750e+03 1.16850685e+00
3.286590e+03 1.09847127e+00
3.288270e+03 1.01327026e+00
3.289950e+03 9.65378728e-01
3.293310e+03 9.16254415e-01
3.296670e+03 8.92773484e-01
3.300030e+03 8.79704173e-01
