25-Mn_n-g
>  25-Mn-55:1.000000
4.304500e+03 1.90418000e+00
4.304570e+03 3.04140000e+00
4.304650e+03 3.78690000e+00
4.304720e+03 3.02505000e+00
4.304790e+03 1.90424000e+00
4.304870e+03 1.14937000e+00
4.304950e+03 7.41430000e-01
4.305110e+03 3.75474000e-01
4.305420e+03 1.58380000e-01
4.306040e+03 6.78362000e-02
4.307280e+03 3.80719000e-02
4.309770e+03 2.95054000e-02
4.314750e+03 2.71610000e-02
4.324710e+03 2.64593000e-02
4.344620e+03 2.60968000e-02
4.384450e+03 2.56597000e-02
4.464100e+03 2.49427000e-02
4.623410e+03 2.38570000e-02
4.782720e+03 2.33145000e-02
4.862380e+03 2.40002000e-02
4.882290e+03 2.49383000e-02
4.902200e+03 2.77161000e-02
4.912160e+03 3.16261000e-02
4.922120e+03 4.27103000e-02
4.927100e+03 5.80074000e-02
4.929580e+03 7.31750000e-02
4.932070e+03 1.00645000e-01
4.934560e+03 1.58437000e-01
4.935810e+03 2.14913000e-01
4.937050e+03 3.15397000e-01
4.937670e+03 3.98164000e-01
4.938300e+03 5.21347000e-01
4.938920e+03 7.16517000e-01
4.939540e+03 1.05265000e+00
4.940160e+03 1.70704000e+00
4.940470e+03 2.29258000e+00
4.940790e+03 3.24022000e+00
4.941100e+03 4.91409000e+00
4.941410e+03 8.25484000e+00
4.941560e+03 1.13009000e+01
4.941720e+03 1.61788000e+01
4.941870e+03 2.45221000e+01
4.942030e+03 3.89330000e+01
4.942190e+03 6.22598000e+01
4.942360e+03 7.78009000e+01
4.942520e+03 6.22573000e+01
4.942680e+03 3.89320000e+01
4.942790e+03 2.77686000e+01
4.942910e+03 2.02601000e+01
4.943020e+03 1.52163000e+01
4.943130e+03 1.17526000e+01
4.943350e+03 7.52928000e+00
4.943580e+03 5.19584000e+00
4.943800e+03 3.78887000e+00
4.944030e+03 2.88096000e+00
4.944470e+03 1.82474000e+00
4.944920e+03 1.25956000e+00
4.945370e+03 9.23122000e-01
4.946260e+03 5.60498000e-01
4.947160e+03 3.79427000e-01
4.948060e+03 2.76497000e-01
4.948950e+03 2.12349000e-01
4.949850e+03 1.69785000e-01
4.951640e+03 1.18484000e-01
4.953430e+03 8.99775000e-02
4.957010e+03 6.10393000e-02
4.960590e+03 4.73832000e-02
4.964180e+03 3.98767000e-02
4.971340e+03 3.23269000e-02
4.985670e+03 2.68545000e-02
5.000000e+03 2.49067000e-02
5.041610e+03 2.31959000e-02
5.083220e+03 2.27345000e-02
5.166440e+03 2.24654000e-02
5.332870e+03 2.25648000e-02
5.665740e+03 2.41482000e-02
5.998610e+03 2.84795000e-02
6.165040e+03 3.27741000e-02
6.248260e+03 3.63244000e-02
6.289870e+03 4.04391000e-02
6.300270e+03 4.33056000e-02
6.310670e+03 5.05076000e-02
6.315870e+03 5.99642000e-02
6.321070e+03 8.57249000e-02
6.323680e+03 1.20198000e-01
6.324980e+03 1.53597000e-01
6.326280e+03 2.12619000e-01
6.327580e+03 3.32260000e-01
6.328230e+03 4.44330000e-01
6.328880e+03 6.34892000e-01
6.329530e+03 9.97774000e-01
6.329850e+03 1.31598000e+00
6.330180e+03 1.81944000e+00
6.330500e+03 2.67973000e+00
6.330830e+03 4.30926000e+00
6.330990e+03 5.71470000e+00
6.331150e+03 7.84252000e+00
6.331310e+03 1.12175000e+01
6.331480e+03 1.65416000e+01
6.331680e+03 2.64567000e+01
6.331880e+03 3.30725000e+01
6.332090e+03 2.64574000e+01
6.332290e+03 1.65426000e+01
6.332450e+03 1.14550000e+01
6.332600e+03 8.17799000e+00
6.332750e+03 6.04328000e+00
6.332900e+03 4.61268000e+00
6.333210e+03 2.91207000e+00
6.333510e+03 1.99556000e+00
6.333810e+03 1.45054000e+00
6.334120e+03 1.10422000e+00
6.334730e+03 7.05672000e-01
6.335340e+03 4.94324000e-01
6.335940e+03 3.69606000e-01
6.337160e+03 2.35892000e-01
6.338380e+03 1.69568000e-01
6.339590e+03 1.32023000e-01
6.342030e+03 9.32968000e-02
6.346890e+03 6.46122000e-02
6.351760e+03 5.44167000e-02
6.361490e+03 4.73382000e-02
6.371220e+03 4.51989000e-02
6.410160e+03 4.50658000e-02
6.488020e+03 5.06503000e-02
6.565880e+03 5.90005000e-02
6.643750e+03 7.07464000e-02
6.721610e+03 8.76274000e-02
6.799470e+03 1.12622000e-01
6.877340e+03 1.50608000e-01
6.955200e+03 2.09897000e-01
6.959890e+03 2.18493000e-01
6.962240e+03 2.36456000e-01
6.963410e+03 2.89935000e-01
6.964000e+03 4.35913000e-01
6.964290e+03 7.37018000e-01
6.964440e+03 1.15827000e+00
6.964580e+03 2.16924000e+00
6.964680e+03 3.33697000e+00
6.964770e+03 4.12220000e+00
6.964870e+03 3.33719000e+00
6.964960e+03 2.16965000e+00
6.965160e+03 9.71982000e-01
6.965360e+03 5.88131000e-01
6.965750e+03 3.58655000e-01
6.966540e+03 2.63017000e-01
6.968120e+03 2.32748000e-01
6.971290e+03 2.26640000e-01
6.977610e+03 2.30365000e-01
6.990250e+03 2.42554000e-01
7.015550e+03 2.69732000e-01
7.066130e+03 3.27693000e-01
7.167300e+03 3.97344000e-01
7.273400e+03 3.20458000e-01
7.379500e+03 2.06050000e-01
7.461000e+03 1.46699000e-01
7.542500e+03 1.09179000e-01
7.624000e+03 8.55740000e-02
7.705500e+03 7.05131000e-02
7.868500e+03 5.48344000e-02
8.031500e+03 5.02486000e-02
8.194500e+03 5.40682000e-02
8.357500e+03 6.94763000e-02
8.439000e+03 8.51177000e-02
8.520500e+03 1.10703000e-01
8.602000e+03 1.53454000e-01
8.683500e+03 2.24647000e-01
8.777200e+03 3.44562000e-01
8.870900e+03 4.11003000e-01
8.964550e+03 3.19814000e-01
9.058200e+03 2.01977000e-01
9.144680e+03 1.32657000e-01
9.231150e+03 9.21065000e-02
9.317630e+03 6.77488000e-02
9.404100e+03 5.23455000e-02
9.577050e+03 3.49608000e-02
9.750000e+03 2.60209000e-02
9.771210e+03 2.54783000e-02
9.781810e+03 2.60349000e-02
9.787110e+03 2.94143000e-02
9.789770e+03 4.24318000e-02
9.791090e+03 8.67721000e-02
9.791750e+03 2.15313000e-01
9.792080e+03 4.98339000e-01
9.792250e+03 9.25558000e-01
9.792420e+03 2.06050000e+00
9.792600e+03 4.09594000e+00
9.792790e+03 2.06055000e+00
9.793000e+03 7.93797000e-01
9.793200e+03 3.98902000e-01
9.793600e+03 1.64979000e-01
9.794410e+03 6.83046000e-02
9.796030e+03 3.66318000e-02
9.799270e+03 2.74691000e-02
9.805740e+03 2.48357000e-02
9.818690e+03 2.38009000e-02
9.844590e+03 2.28703000e-02
9.896400e+03 2.14462000e-02
1.000000e+04 1.91784000e-02
1.030980e+04 1.49366000e-02
1.046470e+04 1.36456000e-02
1.054210e+04 1.31719000e-02
1.058080e+04 1.31310000e-02
1.060020e+04 1.37792000e-02
1.060990e+04 1.66836000e-02
1.061470e+04 2.79295000e-02
1.061710e+04 6.88521000e-02
1.061840e+04 2.04018000e-01
1.061900e+04 5.84150000e-01
1.061930e+04 1.35638000e+00
1.061940e+04 2.41971000e+00
1.061960e+04 5.02136000e+00
1.061970e+04 7.98906000e+00
1.061980e+04 1.00543000e+01
1.061990e+04 7.98918000e+00
1.062000e+04 5.02149000e+00
1.062010e+04 2.64171000e+00
1.062020e+04 1.50712000e+00
1.062050e+04 6.74268000e-01
1.062110e+04 2.40443000e-01
1.062210e+04 8.06620000e-02
1.062430e+04 3.12587000e-02
1.062870e+04 1.74892000e-02
1.063740e+04 1.38170000e-02
1.065490e+04 1.28017000e-02
1.068980e+04 1.24133000e-02
1.075960e+04 1.21609000e-02
1.082950e+04 1.26308000e-02
1.084690e+04 1.33668000e-02
1.086440e+04 1.55770000e-02
1.087310e+04 1.86802000e-02
1.087750e+04 2.17736000e-02
1.088180e+04 2.73664000e-02
1.088620e+04 3.91473000e-02
1.088840e+04 5.06034000e-02
1.089060e+04 7.09262000e-02
1.089280e+04 1.12282000e-01
1.089380e+04 1.51229000e-01
1.089490e+04 2.17792000e-01
1.089600e+04 3.45540000e-01
1.089660e+04 4.59769000e-01
1.089710e+04 6.38732000e-01
1.089770e+04 9.54451000e-01
1.089820e+04 1.55299000e+00
1.089850e+04 2.09916000e+00
1.089880e+04 2.92133000e+00
1.089900e+04 4.24667000e+00
1.089930e+04 6.40679000e+00
1.089960e+04 1.02337000e+01
1.089990e+04 1.27804000e+01
1.090030e+04 1.02332000e+01
1.090060e+04 6.40651000e+00
1.090090e+04 3.73064000e+00
1.090130e+04 2.33284000e+00
1.090170e+04 1.56890000e+00
1.090200e+04 1.11913000e+00
1.090240e+04 8.35911000e-01
1.090270e+04 6.47389000e-01
1.090340e+04 4.23553000e-01
1.090420e+04 2.98040000e-01
1.090490e+04 2.22805000e-01
1.090630e+04 1.39340000e-01
1.090770e+04 9.67536000e-02
1.090920e+04 7.24552000e-02
1.091200e+04 4.70094000e-02
1.091490e+04 3.46260000e-02
1.091780e+04 2.77242000e-02
1.092350e+04 2.06608000e-02
1.093500e+04 1.54456000e-02
1.094640e+04 1.35544000e-02
1.096930e+04 1.21317000e-02
1.099220e+04 1.15783000e-02
1.108390e+04 1.08240000e-02
1.126720e+04 1.02154000e-02
1.145050e+04 9.81464000e-03
1.154220e+04 9.73131000e-03
1.158800e+04 1.00258000e-02
1.161090e+04 1.14661000e-02
1.162240e+04 1.71495000e-02
1.162810e+04 3.82876000e-02
1.163100e+04 1.10663000e-01
1.163170e+04 1.75283000e-01
1.163240e+04 3.24281000e-01
1.163280e+04 4.88631000e-01
1.163310e+04 8.17131000e-01
1.163350e+04 1.59689000e+00
1.163370e+04 2.41278000e+00
1.163380e+04 3.72219000e+00
1.163400e+04 5.93287000e+00
1.163420e+04 7.39968000e+00
1.163440e+04 5.93296000e+00
1.163460e+04 3.72230000e+00
1.163490e+04 1.94942000e+00
1.163510e+04 1.13673000e+00
1.163560e+04 5.07767000e-01
1.163620e+04 2.85058000e-01
1.163670e+04 1.83306000e-01
1.163870e+04 6.15778000e-02
1.164290e+04 2.37389000e-02
1.165120e+04 1.31655000e-02
1.166770e+04 1.03483000e-02
1.170090e+04 9.57819000e-03
1.176710e+04 9.29604000e-03
1.189960e+04 9.06837000e-03
1.216460e+04 8.75834000e-03
1.242960e+04 8.56373000e-03
1.256220e+04 8.67858000e-03
1.259530e+04 8.88246000e-03
1.262840e+04 9.50869000e-03
1.264500e+04 1.04024000e-02
1.266150e+04 1.29503000e-02
1.266980e+04 1.64797000e-02
1.267810e+04 2.63609000e-02
1.268220e+04 3.98227000e-02
1.268430e+04 5.30304000e-02
1.268640e+04 7.66674000e-02
1.268840e+04 1.25463000e-01
1.268950e+04 1.72435000e-01
1.269050e+04 2.53354000e-01
1.269160e+04 4.14713000e-01
1.269210e+04 5.62203000e-01
1.269260e+04 8.00010000e-01
1.269310e+04 1.23917000e+00
1.269340e+04 1.60619000e+00
1.269360e+04 2.15871000e+00
1.269390e+04 3.03826000e+00
1.269410e+04 4.53614000e+00
1.269440e+04 7.28202000e+00
1.269470e+04 1.22557000e+01
1.269490e+04 1.94799000e+01
1.269510e+04 2.42465000e+01
1.269530e+04 1.94824000e+01
1.269560e+04 1.22579000e+01
1.269580e+04 7.28335000e+00
1.269610e+04 4.61379000e+00
1.269630e+04 3.12684000e+00
1.269660e+04 2.26821000e+00
1.269680e+04 1.69526000e+00
1.269710e+04 1.32496000e+00
1.269750e+04 8.64366000e-01
1.269800e+04 6.03691000e-01
1.269850e+04 4.48181000e-01
1.269950e+04 2.75980000e-01
1.270050e+04 1.87339000e-01
1.270150e+04 1.36756000e-01
1.270350e+04 8.34007000e-02
1.270540e+04 5.74912000e-02
1.270740e+04 4.29904000e-02
1.271130e+04 2.81874000e-02
1.271920e+04 1.72966000e-02
1.272710e+04 1.33935000e-02
1.274290e+04 1.05576000e-02
1.275860e+04 9.54670000e-03
1.279010e+04 8.80606000e-03
1.282160e+04 8.53241000e-03
1.294770e+04 8.21047000e-03
1.319980e+04 8.01535000e-03
1.370410e+04 7.79473000e-03
1.420830e+04 7.65463000e-03
1.446040e+04 7.62156000e-03
1.458650e+04 7.66350000e-03
1.464950e+04 7.88265000e-03
1.468100e+04 8.75604000e-03
1.469680e+04 1.21580000e-02
1.470470e+04 2.50900000e-02
1.470860e+04 7.18267000e-02
1.471060e+04 2.24610000e-01
1.471110e+04 3.52477000e-01
1.471160e+04 6.33959000e-01
1.471210e+04 1.43843000e+00
1.471230e+04 2.52588000e+00
1.471260e+04 4.84683000e+00
1.471270e+04 7.84314000e+00
1.471290e+04 9.69578000e+00
1.471310e+04 7.66708000e+00
1.471330e+04 4.84784000e+00
1.471350e+04 2.52639000e+00
1.471370e+04 1.46816000e+00
1.471420e+04 6.61346000e-01
1.471470e+04 3.67638000e-01
1.471520e+04 2.36109000e-01
1.471700e+04 7.62359000e-02
1.472080e+04 2.64043000e-02
1.472840e+04 1.25301000e-02
