Si-30(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
796029 0.000280068
796201 0.000402657
796372 0.000627311
796458 0.000814452
796544 0.00109077
796629 0.00151067
796715 0.00215277
796950 0.00446262
797068 0.00368821
797185 0.00232857
797264 0.00167567
797342 0.00123066
797421 0.000929398
797499 0.000721786
797657 0.000467388
797814 0.000326591
797971 0.000241577
798128 0.000186758
798442 0.000123023
798757 8.90146E-05
799071 6.88677E-05
799699 4.74048E-05
800328 3.70799E-05
800957 3.16530E-05
802214 2.76911E-05
804728 4.03864E-05
805985 9.42455E-05
806300 0.000141955
806614 0.000255427
806771 0.000382494
806928 0.000645775
807007 0.000895946
807085 0.00131942
807164 0.00209573
807243 0.00359511
807380 0.00751405
807449 0.00627232
807518 0.00397869
807566 0.00282445
807614 0.00205232
807710 0.00118828
807806 0.000767072
807902 0.000538004
808094 0.000315469
808286 0.000218037
808670 0.000144908
809054 0.000133305
809438 0.000160751
809822 0.000255506
810014 0.000365985
810206 0.000589266
810302 0.000791969
810398 0.00111672
810494 0.00166138
810590 0.00258538
810695 0.00407849
810800 0.00490626
810905 0.00379593
811010 0.00236224
811135 0.00134785
811260 0.000837225
811385 0.000563618
811510 0.000404293
811760 0.000238417
812010 0.000159187
812260 0.000115463
812510 8.88385E-05
813010 5.93689E-05
813510 4.42141E-05
814010 3.53651E-05
815010 2.59119E-05
817010 1.85481E-05
819011 1.58835E-05
823011 1.45420E-05
827011 1.55957E-05
831011 1.92999E-05
835012 2.95650E-05
837012 4.17679E-05
838012 5.22089E-05
839012 6.82397E-05
840012 9.44070E-05
841012 0.000140483
842012 0.000228909
843012 0.000406685
843841 0.000635763
844256 0.000726117
844670 0.000741436
845499 0.000557645
846328 0.000345630
846835 0.000258009
847342 0.000196803
848355 0.000123306
849369 8.42941E-05
850383 6.16976E-05
851396 4.76018E-05
852410 3.82754E-05
854437 2.71452E-05
856464 2.10408E-05
858492 1.73568E-05
862546 1.34013E-05
866601 1.16675E-05
870655 1.15616E-05
872683 1.27233E-05
874710 1.69128E-05
876737 4.05418E-05
877751 0.000130279
878004 0.000217525
878258 0.000446582
878384 0.000734126
878511 0.00142944
878574 0.00221793
878638 0.00386639
878669 0.00544666
878701 0.00814365
878733 0.0131115
878764 0.0226603
878792 0.0362465
878820 0.0451378
878848 0.0359854
878876 0.0224981
878900 0.0146250
878925 0.00990904
878974 0.00522022
879023 0.00315862
879072 0.00210398
879171 0.00111894
879269 0.000692506
879466 0.000341840
879662 0.000204829
880448 6.07951E-05
882021 2.14933E-05
