Sr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.37182E+07 0.000994740
1.37652E+07 0.000996062
1.38121E+07 0.000997381
1.38591E+07 0.000998697
1.39061E+07 0.00100001
1.39530E+07 0.00100132
1.40000E+07 0.00100263
1.40839E+07 0.000998447
1.41677E+07 0.000994307
1.42516E+07 0.000990208
1.43354E+07 0.000986150
1.45000E+07 0.000978300
1.46250E+07 0.000972439
1.47500E+07 0.000966662
1.48750E+07 0.000960968
1.50000E+07 0.000955355
1.52079E+07 0.000944610
1.54158E+07 0.000934129
1.56236E+07 0.000923902
1.58315E+07 0.000913920
1.60000E+07 0.000906003
1.62362E+07 0.000898189
1.64723E+07 0.000890554
1.65762E+07 0.000887249
1.70000E+07 0.000874105
1.75000E+07 0.000866902
1.80000E+07 0.000859958
1.80313E+07 0.000859978
1.80625E+07 0.000859997
1.80938E+07 0.000860017
1.81250E+07 0.000860037
1.81563E+07 0.000860056
1.81875E+07 0.000860076
1.82188E+07 0.000860095
1.82500E+07 0.000860115
1.82813E+07 0.000860134
1.83125E+07 0.000860153
1.83438E+07 0.000860173
1.83750E+07 0.000860192
1.84063E+07 0.000860211
1.84375E+07 0.000860231
1.84688E+07 0.000860250
1.85000E+07 0.000860269
1.85313E+07 0.000860288
1.85625E+07 0.000860307
1.85938E+07 0.000860327
1.86250E+07 0.000860346
1.86563E+07 0.000860365
1.86875E+07 0.000860384
1.87188E+07 0.000860403
1.87500E+07 0.000860422
1.87813E+07 0.000860441
1.88125E+07 0.000860459
1.88438E+07 0.000860478
1.88750E+07 0.000860497
1.89063E+07 0.000860516
1.89375E+07 0.000860535
1.89688E+07 0.000860553
1.90000E+07 0.000860572
1.91250E+07 0.000862130
1.92500E+07 0.000863681
1.93750E+07 0.000865224
1.95000E+07 0.000866760
1.96250E+07 0.000868290
1.97500E+07 0.000869812
1.98750E+07 0.000871327
2.00000E+07 0.000872835
