Pb-206(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
46431.1 8.86676
46598.8 8.88375
46766.5 8.92220
46850.4 8.95816
46934.2 9.01604
47018.1 9.11425
47101.9 9.29432
47185.8 9.66506
47227.7 10.0104
47269.6 10.5850
47311.5 11.6296
47332.5 12.4949
47353.5 13.7802
47374.4 15.7834
47395.4 19.0793
47416.3 24.8229
47437.3 35.1288
47458.7 51.8462
47480.0 64.0004
47501.4 54.1258
47522.7 37.7683
47542.1 27.7631
47561.4 21.7661
47580.8 18.1147
47600.1 15.7900
47638.8 13.1541
47677.5 11.7891
47716.3 10.9952
47755.0 10.4928
47832.4 9.91469
47909.8 9.60481
47987.2 9.41791
48064.6 9.29546
48142.0 9.21021
48296.9 9.10089
48451.7 9.03463
48606.5 8.99042
48761.4 8.95877
49071.0 8.91596
49380.7 8.88755
50000.0 8.84976
50487.1 8.82828
50974.2 8.81027
51948.4 8.77956
52435.6 8.76590
52922.7 8.75368
53166.2 8.74886
53409.8 8.74692
53531.6 8.74935
53653.3 8.76018
53714.2 8.77598
53744.7 8.79141
53775.1 8.81863
53805.6 8.87398
53820.8 8.92657
53836.0 9.01833
53851.2 9.20278
53858.8 9.37595
53866.4 9.67328
53874.0 10.2530
53877.9 10.7782
53881.7 11.6387
53885.5 13.2039
53887.4 14.5090
53889.3 16.4778
53891.2 19.6500
53893.1 25.0948
53895.0 35.3182
53895.9 43.7807
53896.9 55.7731
53900.0 105.168
53901.6 87.7331
53903.1 58.2115
53904.4 42.1182
53905.6 31.9340
53906.8 25.4781
53908.0 21.2813
53910.5 16.3774
53913.0 13.8188
53915.4 12.3263
53917.9 11.3938
53922.8 10.3398
53927.7 9.79242
53932.6 9.47534
53937.5 9.27558
53942.4 9.14264
53952.2 8.98254
53962.0 8.89426
53981.6 8.80642
54001.2 8.76643
54020.9 8.74528
54060.1 8.72508
54138.6 8.71142
54217.1 8.70643
54531.0 8.69697
55158.9 8.67977
56414.6 8.64107
57670.3 8.59677
58926.0 8.54434
60181.7 8.47841
61437.5 8.38775
62065.3 8.32575
62693.2 8.24425
63007.1 8.19240
63321.0 8.12975
63478.0 8.09319
63635.0 8.05239
63791.9 8.00780
63870.4 7.99005
63909.7 8.00734
63929.3 8.11585
63934.2 8.22619
63939.1 8.51744
63941.6 8.88527
63944.0 9.77018
63945.2 10.7743
63946.5 12.8483
63947.1 14.8578
63947.7 18.2163
63948.3 24.3319
63948.9 36.0779
63949.5 52.8915
63950.0 64.2256
63950.6 52.9186
63951.1 36.0992
63951.6 26.2392
63952.1 20.2767
63952.6 16.6703
63953.0 14.4255
63954.0 11.8446
63955.0 10.5402
63956.9 9.31868
63958.9 8.79288
63962.8 8.35845
63966.7 8.18797
63974.4 8.05548
63982.2 8.00465
64013.4 7.94458
64075.6 7.90722
64200.1 7.84960
64324.7 7.78693
64449.2 7.71518
64698.2 7.53299
64947.3 7.26917
65071.8 7.08684
65196.3 6.85104
65320.8 6.53408
65445.3 6.08556
65569.9 5.40395
65632.1 4.91276
65694.4 4.25651
65756.6 3.34778
65787.8 2.75958
65818.9 2.06110
65850.0 1.25980
65881.2 0.467728
65888.9 0.315192
65896.7 0.208838
65904.5 0.173976
65912.3 0.247795
65920.1 0.484314
65927.8 0.961423
65935.6 1.78963
65943.4 3.12079
65949.2 4.56429
65955.1 6.49038
65966.7 12.1413
65990.0 29.3281
66001.7 36.3626
66013.4 39.3168
66036.7 36.4768
66053.9 32.3133
66071.0 28.5891
66088.2 25.6019
66105.4 23.2638
66139.7 19.9590
66174.0 17.7995
66208.3 16.3032
66242.7 15.2152
66311.3 13.7536
66380.0 12.8320
66448.6 12.2295
66483.0 12.0347
66517.3 11.9681
66534.5 12.0623
66543.0 12.1947
66551.6 12.4541
66560.2 12.9955
66564.5 13.4951
66568.8 14.3157
66573.1 15.7845
66575.2 16.9918
66577.4 18.7662
66579.5 21.5334
66581.6 26.0712
66583.8 34.0910
66585.9 48.7271
66590.0 88.7759
66592.0 75.2591
66594.1 51.2939
66595.9 36.9123
66597.7 28.3465
66599.5 23.1932
66601.3 19.9674
66604.9 16.3545
66608.5 14.5344
66612.1 13.4958
66615.6 12.8528
66622.8 12.1268
66630.0 11.7444
66637.2 11.5141
66651.6 11.2513
66666.0 11.1009
66680.4 10.9976
66709.1 10.8518
66766.6 10.6503
66824.1 10.4963
66939.2 10.2561
67054.2 10.0718
67284.3 9.80395
67514.3 9.61747
67744.4 9.47962
67974.4 9.37318
68434.5 9.21845
68894.6 9.10975
69354.8 9.02672
69814.9 8.95522
70044.9 8.91627
70102.4 8.90630
70160.0 8.90313
70188.7 8.91598
70217.5 8.97909
70231.8 9.08291
70239.0 9.18988
70246.2 9.38244
70253.4 9.76702
70257.0 10.1138
70260.6 10.6677
70264.2 11.6222
70267.8 13.4131
70269.6 14.9330
70271.4 17.1905
70273.2 20.6725
70275.0 26.0064
70277.5 37.3118
70280.0 46.0032
70282.5 39.8904
70285.0 28.9556
70287.0 22.9530
70288.9 19.0527
70290.8 16.5023
70292.8 14.7859
70296.6 12.7295
70300.5 11.6056
70304.4 10.9267
70308.2 10.4872
70315.9 9.96809
70323.7 9.68222
70331.4 9.50690
70346.8 9.30855
70362.3 9.20258
70377.7 9.13793
70408.6 9.06412
70439.5 9.02331
70470.4 8.99723
70532.2 8.96502
70655.8 8.93037
70779.4 8.90918
71026.6 8.87962
71273.7 8.85683
72262.4 8.78908
74239.8 8.69665
76217.1 8.63023
77205.8 8.60648
77453.0 8.60396
77700.2 8.60742
77823.7 8.61607
77885.5 8.62520
77947.3 8.64166
78009.1 8.67514
78040.0 8.70667
78070.9 8.76107
78101.8 8.86897
78117.3 8.96930
78132.7 9.14038
78148.2 9.47293
78155.9 9.77426
78163.6 10.2707
78171.3 11.1820
78175.2 11.9531
78179.1 13.1347
78182.9 15.0715
78186.8 18.5352
78188.7 21.3540
78190.6 25.4429
78192.6 31.5266
78194.5 40.6368
78200.0 75.4739
78201.4 73.1545
78202.8 64.3314
78205.5 43.4556
78207.6 32.2342
78209.7 25.0505
78211.8 20.4648
78213.9 17.4520
78218.1 13.9569
78222.3 12.1265
78226.5 11.0656
78230.7 10.4021
78239.1 9.65656
78247.5 9.27346
78255.9 9.05301
78272.7 8.82489
78289.5 8.71717
78306.3 8.65893
78339.9 8.60256
78373.5 8.57794
78407.1 8.56543
78474.3 8.55404
78608.7 8.54657
78743.1 8.54330
79280.7 8.53301
79818.3 8.52426
79952.7 8.52423
80087.1 8.52932
80154.3 8.53862
80221.5 8.56642
80255.1 8.60462
80271.9 8.64192
80288.7 8.70820
80305.5 8.84356
80313.9 8.97174
80322.3 9.19251
80330.7 9.62223
80334.9 10.0085
80339.1 10.6364
80343.3 11.7543
80345.4 12.6686
80347.5 14.0168
80349.6 16.1048
80351.7 19.5300
80353.8 25.4960
80355.9 36.1395
80357.9 52.6922
80360.0 63.6987
80362.1 52.6280
80364.2 36.0652
80365.4 28.9431
80366.7 23.9096
80369.1 17.8702
80371.6 14.6755
80374.1 12.8364
80376.6 11.6931
80379.1 10.9446
80384.1 10.0578
80389.1 9.57449
80394.1 9.28459
80404.0 8.96909
80414.0 8.81091
80424.0 8.72071
80443.9 8.62727
80483.8 8.55740
80523.6 8.53191
80603.4 8.51257
80683.1 8.50475
81002.1 8.49187
81640.1 8.47576
82278.0 8.46174
82437.5 8.45957
82597.0 8.46072
82676.8 8.46590
82756.5 8.48424
82796.4 8.51123
82816.3 8.53837
82836.2 8.58758
82856.2 8.69050
82866.1 8.78988
82876.1 8.96390
82886.1 9.31118
82891.1 9.63122
82896.0 10.1632
82901.0 11.1460
82903.5 11.9769
82906.0 13.2447
82908.5 15.3012
82911.0 18.9025
82913.5 25.7970
82914.7 31.6147
82916.0 39.8518
82918.0 58.7864
82920.0 71.3938
82922.0 58.8215
82924.0 39.9861
82925.6 29.9768
82927.2 23.6332
82928.7 19.5598
82930.3 16.8607
82933.4 13.6818
82936.5 11.9944
82939.7 10.9979
82942.8 10.3675
82949.0 9.64496
82955.3 9.26311
82961.5 9.03814
82974.0 8.79694
82986.5 8.67722
82999.0 8.60925
83024.0 8.53868
83073.9 8.48513
83123.9 8.46484
83223.9 8.44830
83323.8 8.44070
83523.7 8.43185
83723.5 8.42529
84523.0 8.40172
84922.8 8.38883
85322.5 8.37313
85522.4 8.36287
85722.2 8.34905
85922.1 8.33224
85972.1 8.33473
86022.1 8.36580
86047.0 8.42633
86059.5 8.49251
86072.0 8.61631
86084.5 8.87303
86090.8 9.11087
86097.0 9.50001
86103.3 10.1879
86109.5 11.5266
86112.6 12.7013
86115.7 14.5054
86118.9 17.3788
86122.0 22.0052
86126.0 31.2216
86130.0 38.6443
86134.0 33.9942
86138.0 25.0755
86142.5 18.4663
86147.1 14.9040
86151.6 12.9114
86156.1 11.7158
86160.6 10.9458
86165.1 10.4234
86174.1 9.78052
86183.1 9.41266
86192.1 9.18162
86210.2 8.91531
86228.2 8.77118
86246.2 8.68301
86282.3 8.58293
86318.3 8.52877
86354.4 8.49523
86426.5 8.45609
86498.6 8.43387
86570.8 8.41936
86715.0 8.40102
87003.5 8.38086
87291.9 8.36870
87580.4 8.36035
87868.9 8.35589
88013.1 8.35670
88157.4 8.36435
88229.5 8.37688
88301.6 8.41327
88337.7 8.46322
88355.7 8.51226
88373.7 8.59999
88391.8 8.78083
88400.8 8.95368
88409.8 9.25345
88418.8 9.84386
88423.3 10.3801
