49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
1.250410e+01 2.37199590e+00
1.256870e+01 1.98478841e+00
1.258290e+01 1.90032842e+00
1.274050e+01 1.38337635e+00
1.285410e+01 1.19386833e+00
1.289810e+01 1.12420695e+00
1.305580e+01 9.88056226e-01
1.313950e+01 9.65681114e-01
1.337100e+01 9.44566687e-01
1.342500e+01 9.73180111e-01
1.346000e+01 1.00099165e+00
1.354900e+01 9.79383867e-01
1.356770e+01 9.82575235e-01
1.371040e+01 1.05535285e+00
1.375060e+01 1.10079435e+00
1.385310e+01 1.24137631e+00
1.395220e+01 1.50283173e+00
1.399580e+01 1.62145991e+00
1.406710e+01 1.94897552e+00
1.413850e+01 2.44395611e+00
1.420980e+01 3.23807357e+00
1.428120e+01 4.62241836e+00
1.431690e+01 5.73388891e+00
1.435260e+01 7.35021954e+00
1.435540e+01 7.54492560e+00
1.438820e+01 9.82802630e+00
1.442390e+01 1.38884255e+01
1.445960e+01 2.11992719e+01
1.447740e+01 2.72434363e+01
1.449530e+01 3.62411273e+01
1.451310e+01 5.03719846e+01
1.453090e+01 7.39875600e+01
1.454880e+01 1.16204995e+02
1.456660e+01 1.94534801e+02
1.458330e+01 3.11070597e+02
1.460000e+01 3.88664346e+02
1.461670e+01 3.10655077e+02
1.463340e+01 1.94040097e+02
1.464390e+01 1.42317119e+02
1.465440e+01 1.06347450e+02
1.467530e+01 6.38400957e+01
1.469630e+01 4.18010081e+01
1.471730e+01 2.92872648e+01
1.473820e+01 2.15957058e+01
1.475920e+01 1.65686989e+01
1.480110e+01 1.06440345e+01
1.484300e+01 7.43335267e+00
1.488500e+01 5.50627206e+00
1.496880e+01 3.41077290e+00
1.505270e+01 2.35617245e+00
1.513650e+01 1.75104074e+00
1.516180e+01 1.63638400e+00
1.522040e+01 1.37398331e+00
1.530420e+01 1.12311548e+00
1.547190e+01 8.18346537e-01
1.563960e+01 6.46027057e-01
1.580740e+01 5.37983323e-01
1.597510e+01 4.64873096e-01
1.631050e+01 3.72758551e-01
1.664590e+01 3.16492533e-01
1.677450e+01 3.01533595e-01
1.698130e+01 2.84921681e-01
1.731670e+01 2.67409383e-01
1.798750e+01 2.47672631e-01
1.838730e+01 2.43172175e-01
1.865840e+01 2.48391364e-01
1.919360e+01 2.67536415e-01
1.932920e+01 2.78355975e-01
1.966460e+01 3.11677041e-01
2.000000e+01 3.53708093e-01
2.037770e+01 4.63100669e-01
2.056660e+01 5.39206332e-01
2.067230e+01 6.00886138e-01
2.075550e+01 6.64228324e-01
2.094430e+01 8.90100305e-01
2.100840e+01 1.01609084e+00
2.103880e+01 1.08462255e+00
2.113320e+01 1.41072877e+00
2.122760e+01 1.99740102e+00
2.127480e+01 2.50955073e+00
2.132200e+01 3.33885157e+00
2.134450e+01 4.05035317e+00
2.136930e+01 4.84531625e+00
2.139290e+01 6.10593616e+00
2.141650e+01 8.00705735e+00
2.144010e+01 1.10593572e+01
2.146370e+01 1.63447735e+01
2.147550e+01 2.05032460e+01
2.148730e+01 2.63276112e+01
2.149910e+01 3.46103610e+01
2.151090e+01 4.63264835e+01
2.151260e+01 4.86921262e+01
2.153050e+01 7.36108925e+01
2.155000e+01 9.18025702e+01
2.156960e+01 7.36053433e+01
2.158910e+01 4.63684950e+01
2.160220e+01 3.36136846e+01
2.161530e+01 2.49739281e+01
2.162840e+01 1.91299645e+01
2.164160e+01 1.50968437e+01
2.166780e+01 1.01594032e+01
2.168060e+01 8.82730827e+00
2.169400e+01 7.44633146e+00
2.172020e+01 5.83763152e+00
2.174650e+01 4.82159274e+00
2.179890e+01 3.69367596e+00
2.184870e+01 3.18133312e+00
2.185140e+01 3.15913337e+00
2.190380e+01 3.00166853e+00
2.200870e+01 3.06048628e+00
2.201680e+01 3.08198906e+00
2.210080e+01 3.56106799e+00
2.211360e+01 3.68295442e+00
2.218480e+01 4.42512177e+00
2.221850e+01 5.00507634e+00
2.226890e+01 5.90159698e+00
2.235290e+01 8.52289610e+00
2.242830e+01 1.31638606e+01
2.243690e+01 1.36960542e+01
2.247890e+01 1.83939305e+01
2.252090e+01 2.60607309e+01
2.256300e+01 3.97750398e+01
2.258400e+01 5.10360146e+01
2.260500e+01 6.76869937e+01
2.262600e+01 9.35915028e+01
2.263810e+01 1.18208285e+02
2.264700e+01 1.36316169e+02
2.266800e+01 2.11269629e+02
2.267850e+01 2.69270891e+02
2.268900e+01 3.46961613e+02
2.269930e+01 4.44030757e+02
2.270950e+01 5.54981687e+02
2.273000e+01 6.93554585e+02
2.275050e+01 5.54468945e+02
2.277100e+01 3.46321840e+02
2.278440e+01 2.51094011e+02
2.279770e+01 1.85732495e+02
2.282440e+01 1.09831187e+02
2.284790e+01 7.59559141e+01
2.285120e+01 7.11993787e+01
2.287790e+01 4.95126477e+01
2.290460e+01 3.62967303e+01
2.293130e+01 2.77050415e+01
2.298480e+01 1.76405777e+01
2.303820e+01 1.22190977e+01
2.309160e+01 8.97941336e+00
2.319850e+01 5.47496423e+00
2.326750e+01 4.34513910e+00
2.330540e+01 3.72910425e+00
2.341230e+01 2.74641230e+00
2.347730e+01 2.37774174e+00
2.351910e+01 2.14562605e+00
2.362600e+01 1.76161385e+00
2.368700e+01 1.63644806e+00
2.383980e+01 1.35385487e+00
2.389680e+01 1.30738429e+00
2.405350e+01 1.24287882e+00
2.410660e+01 1.24770760e+00
2.421150e+01 1.31938674e+00
2.426730e+01 1.39909803e+00
2.431640e+01 1.48260869e+00
2.442130e+01 1.80111979e+00
2.448100e+01 2.14070026e+00
2.452620e+01 2.40734977e+00
2.457870e+01 2.91581630e+00
2.463110e+01 3.66605107e+00
2.468360e+01 4.83152252e+00
2.473600e+01 6.77236528e+00
2.476220e+01 8.26217695e+00
2.478850e+01 1.03366846e+01
2.481470e+01 1.33395364e+01
2.484090e+01 1.78914214e+01
2.486710e+01 2.52131019e+01
2.489340e+01 3.78633176e+01
2.490650e+01 4.77728432e+01
2.490850e+01 4.98843437e+01
2.491960e+01 6.16047215e+01
2.493270e+01 8.11657451e+01
2.494580e+01 1.08655976e+02
2.496790e+01 1.73514432e+02
2.499000e+01 2.16648329e+02
2.501210e+01 1.73330145e+02
2.503420e+01 1.08430688e+02
2.504770e+01 8.02448011e+01
2.506120e+01 6.04248434e+01
2.508820e+01 3.66907896e+01
2.511520e+01 2.42167845e+01
2.514220e+01 1.70680423e+01
2.516920e+01 1.26462814e+01
2.519620e+01 9.74210803e+00
2.525020e+01 6.30179840e+00
2.530420e+01 4.42664808e+00
2.533600e+01 3.76052226e+00
2.535820e+01 3.29737801e+00
2.546630e+01 2.06700558e+00
2.557430e+01 1.44443603e+00
2.568230e+01 1.08525962e+00
2.579030e+01 8.58438288e-01
2.589830e+01 7.05593716e-01
2.611430e+01 5.19502048e-01
2.619100e+01 4.86077452e-01
2.633040e+01 4.31769893e-01
2.643840e+01 4.22603195e-01
2.654640e+01 4.62600754e-01
2.660040e+01 5.32652680e-01
2.665440e+01 7.04971770e-01
2.668140e+01 8.87469486e-01
2.670840e+01 1.22717854e+00
2.673540e+01 1.93232267e+00
2.674890e+01 2.57033632e+00
2.676240e+01 3.53762891e+00
2.678120e+01 5.48807098e+00
2.680000e+01 6.78479855e+00
2.681880e+01 5.47771062e+00
2.683760e+01 3.51965810e+00
2.685320e+01 2.43087266e+00
2.686870e+01 1.75628208e+00
2.688430e+01 1.33389238e+00
2.689990e+01 1.05922025e+00
2.693100e+01 7.41273932e-01
2.696210e+01 5.73233090e-01
2.702440e+01 4.09875308e-01
2.704600e+01 3.83575336e-01
2.708670e+01 3.34807106e-01
2.721120e+01 2.66295531e-01
2.733570e+01 2.33504212e-01
2.758480e+01 1.98839318e-01
2.783380e+01 1.78589968e-01
2.790100e+01 1.75210543e-01
2.833190e+01 1.59009989e-01
2.875600e+01 1.51698632e-01
2.883010e+01 1.52324651e-01
2.918350e+01 1.60443146e-01
2.932820e+01 1.78795501e-01
2.939730e+01 1.88757854e-01
2.950410e+01 2.39798668e-01
2.955760e+01 2.99654361e-01
2.961100e+01 4.18375253e-01
2.965550e+01 5.80481438e-01
2.970000e+01 6.89108704e-01
2.974450e+01 5.82833521e-01
2.978900e+01 4.22597040e-01
2.982630e+01 3.33400561e-01
2.982720e+01 3.31276909e-01
2.986540e+01 2.77264452e-01
2.994180e+01 2.24626916e-01
3.001820e+01 2.03441600e-01
3.009460e+01 1.94449738e-01
3.032440e+01 1.93540022e-01
3.040020e+01 1.97399205e-01
3.057350e+01 2.14784463e-01
3.069800e+01 2.39112480e-01
3.076020e+01 2.66747711e-01
3.079140e+01 2.98182678e-01
3.082250e+01 3.70278228e-01
3.086000e+01 5.00651511e-01
3.089750e+01 3.86161462e-01
3.093790e+01 3.19262317e-01
3.097830e+01 3.06165778e-01
3.101150e+01 3.10664048e-01
3.105910e+01 3.17730542e-01
3.122060e+01 3.83869338e-01
3.138220e+01 4.99086638e-01
3.154370e+01 7.06160514e-01
3.162450e+01 8.76806375e-01
3.170530e+01 1.13145472e+00
3.178600e+01 1.53573351e+00
3.186680e+01 2.23396357e+00
3.190720e+01 2.79098487e+00
3.194760e+01 3.59713934e+00
3.198800e+01 4.82488927e+00
3.202840e+01 6.82319184e+00
3.204860e+01 8.32731903e+00
3.206870e+01 1.03858424e+01
3.208890e+01 1.33027953e+01
3.210910e+01 1.76034019e+01
3.212930e+01 2.42683133e+01
3.214950e+01 3.51950823e+01
3.216970e+01 5.42160946e+01
3.218990e+01 8.83332736e+01
3.221000e+01 1.41323020e+02
3.223000e+01 1.76644830e+02
3.223390e+01 1.69771571e+02
3.225010e+01 1.41221261e+02
3.227010e+01 8.82130160e+01
3.229140e+01 5.27873547e+01
3.231260e+01 3.36416842e+01
3.233390e+01 2.29035572e+01
3.235520e+01 1.64667558e+01
3.237650e+01 1.23616552e+01
3.239770e+01 9.60378477e+00
3.244030e+01 6.26638004e+00
3.248280e+01 4.41095440e+00
3.252530e+01 3.27877987e+00
3.261040e+01 2.03014119e+00
3.269550e+01 1.39494247e+00
3.278060e+01 1.02932736e+00
3.286560e+01 8.00149996e-01
3.295070e+01 6.47361784e-01
3.312090e+01 4.63174341e-01
3.329100e+01 3.61163010e-01
3.345640e+01 3.01053198e-01
3.346120e+01 2.99382985e-01
3.363130e+01 2.62078090e-01
3.397160e+01 2.21594347e-01
3.431190e+01 2.03875488e-01
3.465220e+01 1.97758935e-01
3.467890e+01 1.98027061e-01
3.482240e+01 2.04742670e-01
3.490740e+01 2.14736187e-01
3.495000e+01 2.28583414e-01
3.497120e+01 2.43591119e-01
3.499250e+01 2.71760314e-01
3.503000e+01 3.38199691e-01
3.506750e+01 2.74854985e-01
3.508630e+01 2.50657627e-01
3.510500e+01 2.37454912e-01
3.514250e+01 2.26072402e-01
3.521760e+01 2.21389202e-01
3.536760e+01 2.24933845e-01
3.566770e+01 2.38843872e-01
3.590130e+01 2.51612348e-01
3.626800e+01 2.96349587e-01
3.651260e+01 3.27594932e-01
3.712380e+01 4.73228760e-01
3.742940e+01 5.97111744e-01
3.746850e+01 6.21412779e-01
3.773500e+01 7.87933946e-01
3.804060e+01 1.10090244e+00
3.834620e+01 1.66675973e+00
3.849910e+01 2.13925613e+00
3.865190e+01 2.85433935e+00
3.866890e+01 2.98310419e+00
3.880470e+01 4.01195540e+00
3.895750e+01 6.06863517e+00
3.903390e+01 7.75681414e+00
3.911030e+01 1.02685872e+01
3.918670e+01 1.42413544e+01
3.926310e+01 2.10658009e+01
3.933950e+01 3.42768801e+01
3.937770e+01 4.60646854e+01
3.941590e+01 6.50662492e+01
3.945410e+01 9.84369467e+01
3.947320e+01 1.25340056e+02
3.949230e+01 1.64437576e+02
3.951140e+01 2.23798817e+02
3.953050e+01 3.18522032e+02
3.954960e+01 4.77268538e+02
3.955920e+01 5.95261733e+02
3.956870e+01 7.48584360e+02
3.958940e+01 1.19675982e+03
3.961000e+01 1.49499216e+03
3.963070e+01 1.19608982e+03
