K-41(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
15017.2 0.404497
15018.8 0.529761
15020.4 0.714953
15022.1 0.998002
15023.7 1.43275
15025.9 2.30304
15028.1 2.92564
15030.3 2.38068
15032.5 1.49691
15034.0 1.06812
15035.5 0.778890
15037.0 0.584566
15038.5 0.451221
15041.6 0.288886
15044.6 0.199611
15047.6 0.145659
15050.6 0.110994
15056.6 0.0706319
15062.7 0.0490346
15068.7 0.0362178
15080.8 0.0224092
15092.8 0.0155328
15104.9 0.0116335
15129.0 0.00761349
15153.2 0.00570529
15177.3 0.00466593
15225.5 0.00366675
15273.8 0.00327179
15322.1 0.00315853
15370.3 0.00336154
15394.4 0.00421179
15406.5 0.00730355
15409.5 0.0103250
15412.5 0.0183344
15414.0 0.0286143
15415.6 0.0542587
15416.3 0.0847379
15417.1 0.151114
15417.4 0.219437
15417.8 0.340342
15418.2 0.592930
15418.4 0.819553
15418.6 1.13937
15418.8 1.82984
15419.1 2.29584
15419.4 1.83363
15419.6 1.14232
15419.8 0.807122
15420.0 0.594289
15420.4 0.345500
15420.8 0.222179
15421.1 0.155495
15421.9 0.0871573
15422.6 0.0563670
15424.1 0.0298081
15425.5 0.0191623
15428.5 0.0107660
15431.4 0.00763058
15443.1 0.00448088
15466.6 0.00381960
15490.1 0.00395945
15513.5 0.00443000
15537.0 0.00548772
15560.5 0.00842940
15572.2 0.0124275
15578.1 0.0163606
15583.9 0.0234192
15589.8 0.0381480
15592.7 0.0524287
15595.7 0.0775079
15598.6 0.128222
15600.1 0.175535
15601.5 0.254848
15603.0 0.405281
15603.7 0.534825
15604.5 0.736991
15605.2 1.08187
15605.9 1.71069
15606.3 2.24460
15606.7 3.01461
15607.0 4.22119
15607.4 6.01591
15607.9 9.66834
15608.4 12.2253
15608.9 9.86750
15609.4 6.17099
15609.9 3.82520
15610.4 2.51904
15610.9 1.74142
15611.3 1.27250
15611.8 0.961108
15612.3 0.753305
15613.3 0.496949
15614.2 0.350581
15615.2 0.261231
15617.1 0.160996
15619.1 0.109480
15621.0 0.0796017
15624.9 0.0481240
15632.6 0.0241372
15640.3 0.0153431
15655.8 0.00888942
15671.2 0.00661653
15702.1 0.00505788
15733.0 0.00461138
15856.6 0.00483895
15980.1 0.00598296
16103.7 0.00796287
16227.3 0.0114413
16350.9 0.0181505
16412.6 0.0239950
16474.4 0.0330037
16536.2 0.0473995
16598.0 0.0705686
16673.0 0.112105
16748.0 0.138913
16823.5 0.110639
16899.0 0.0694093
16966.3 0.0453142
17033.5 0.0309442
17100.7 0.0222205
17168.0 0.0166811
17302.5 0.0104392
17437.0 0.00724507
17571.4 0.00541935
17705.9 0.00430687
17840.4 0.00372560
17874.0 0.00376002
17907.7 0.00414603
17941.3 0.00680852
17949.7 0.00963218
17958.1 0.0175979
17962.3 0.0285480
17966.5 0.0586803
17968.6 0.0989208
17970.7 0.205736
17971.8 0.341760
17972.3 0.468966
17972.8 0.677852
17973.3 1.07417
17973.6 1.40721
17973.9 1.91865
17974.1 2.79874
17974.4 4.32581
17974.6 7.34206
17974.8 9.95809
17974.9 14.1239
17975.1 22.3845
17975.3 28.2492
17975.5 22.4071
17975.7 14.1416
17975.9 9.05237
17976.0 6.17555
17976.2 4.41058
17976.4 3.28031
17976.7 1.97023
17977.1 1.31879
17977.4 0.933273
17977.8 0.699772
17978.4 0.434747
17979.1 0.294636
17979.8 0.213913
17981.2 0.127438
17983.9 0.0610018
17986.7 0.0363905
17992.2 0.0181301
17997.6 0.0115613
18019.6 0.00503259
18063.4 0.00325866
18151.2 0.00263007
18326.6 0.00220859
18502.1 0.00197849
18589.9 0.00192660
18633.7 0.00202709
18655.7 0.00254781
18666.6 0.00459706
18672.1 0.0120982
18673.5 0.0191782
18674.9 0.0371065
