Pt-194(n,tot) JEFF-3.2
Energy(eV) XS(b)
2108.70 12.8895
2110.64 12.7628
2112.58 12.5996
2114.52 12.3794
2116.47 12.0631
2117.44 11.8458
2118.41 11.5664
2119.38 11.1927
2120.35 10.6692
2120.83 10.3201
2121.32 9.88718
2121.80 9.33964
2122.29 8.64017
2122.53 8.22458
2122.77 7.77460
2123.02 7.33252
2123.26 7.04566
2123.50 7.43162
2123.62 8.38742
2123.74 10.6706
2123.81 12.8146
2123.87 16.1699
2123.90 18.5786
2123.93 21.5520
2123.96 25.3657
2123.99 30.3097
2124.02 37.0473
2124.05 45.7671
2124.08 57.5607
2124.11 73.7875
2124.14 97.4183
2124.17 130.183
2124.20 177.401
2124.23 245.190
2124.28 433.973
2124.34 601.542
2124.37 595.920
2124.39 534.538
2124.45 370.922
2124.49 272.151
2124.54 207.248
2124.58 162.784
2124.62 132.915
2124.71 95.5786
2124.80 74.5661
2124.88 61.2560
2124.97 52.3311
2125.14 41.3873
2125.32 34.9961
2125.49 30.9075
2125.66 28.0648
2125.84 26.0063
2126.18 23.2166
2126.53 21.4310
2126.88 20.1958
2127.22 19.2951
2127.92 18.0655
2128.61 17.2697
2129.31 16.7132
2130.00 16.3027
2131.39 15.7359
2132.77 15.3631
2134.16 15.0984
2135.55 14.9002
2138.32 14.6214
2141.10 14.4331
2143.87 14.2957
2146.65 14.1899
2152.20 14.0345
2157.75 13.9228
2168.84 13.7644
2179.94 13.6490
2191.04 13.5549
2213.24 13.3969
2235.43 13.2540
2257.63 13.1040
2268.73 13.0136
2274.28 12.9583
2279.83 12.8894
2285.38 12.7935
2288.15 12.7256
2290.92 12.6315
2292.31 12.5680
2293.70 12.4866
2295.09 12.3773
2296.47 12.2210
2297.17 12.1138
2297.86 11.9758
2298.56 11.7914
2299.25 11.5327
2299.60 11.3599
2299.94 11.1444
2300.29 10.8704
2300.64 10.5178
2300.81 10.3048
2300.98 10.0714
2301.16 9.83164
2301.33 9.65140
2301.50 9.76389
2301.59 10.1697
2301.68 11.1834
2301.76 13.7066
2301.81 16.1803
2301.85 20.3113
2301.87 23.4849
2301.89 27.7703
2301.92 33.6570
2301.94 41.4573
2301.96 53.0298
2301.98 68.9390
2301.99 79.9237
2302.00 93.2678
2302.02 127.006
2302.04 168.681
2302.06 219.717
2302.10 302.068
2302.12 300.057
2302.14 270.013
2302.17 189.974
2302.22 127.242
2302.26 91.8781
2302.30 70.8416
2302.34 57.5559
2302.38 48.6659
2302.42 42.4191
2302.50 34.3928
2302.59 29.5229
2302.67 26.3754
2302.83 22.5632
2303.00 20.3659
2303.16 18.9679
2303.33 18.0017
2303.49 17.2970
2303.82 16.3394
2304.15 15.7253
2304.48 15.2969
2304.80 14.9831
2305.46 14.5520
2306.12 14.2711
2306.78 14.0731
2307.43 13.9257
2308.75 13.7203
2310.06 13.5832
2311.38 13.4844
2312.69 13.4093
2315.32 13.3008
2317.95 13.2248
2323.20 13.1204
2328.46 13.0475
2333.72 12.9900
2344.23 12.8977
2369.17 12.7213
2394.11 12.5552
2419.04 12.3762
2443.98 12.1641
2468.92 11.8831
2481.39 11.6916
2493.85 11.4342
2500.09 11.2640
2506.32 11.0490
2512.56 10.7638
2518.79 10.3599
2521.91 10.0844
2525.03 9.73043
2528.14 9.25659
2531.26 8.58679
2532.82 8.13533
2534.38 7.56646
2535.94 6.82891
2537.49 5.84577
2538.27 5.22804
2539.05 4.51039
2539.83 3.69647
2540.61 2.86215
2541.00 2.52669
2541.39 2.38743
2541.59 2.46764
2541.78 2.72327
2541.98 3.25313
2542.17 4.21232
2542.27 4.93980
2542.36 5.88292
2542.46 7.12912
2542.56 8.74417
2542.66 10.8890
2542.75 13.6966
2542.85 17.4364
2542.95 22.4729
2543.05 29.4320
2543.14 39.0089
2543.24 52.7338
2543.34 72.4475
2543.44 102.115
2543.53 147.027
2543.63 217.121
2543.73 326.858
2543.87 587.385
2544.02 823.790
2544.09 820.128
2544.16 736.763
2544.31 510.992
2544.46 340.020
2544.61 239.516
2544.77 179.326
2544.92 141.152
2545.07 115.540
2545.23 97.5075
2545.53 74.3546
2545.84 60.3623
2546.14 51.1807
2546.75 40.0749
2547.37 33.6923
2547.98 29.6084
2548.59 26.7857
2549.20 24.7266
2550.42 21.9332
2551.64 20.1350
2552.87 18.8836
2554.09 17.9639
2556.54 16.7008
2558.98 15.8742
2561.43 15.2891
2563.87 14.8522
2568.76 14.2384
2573.65 13.8227
2578.54 13.5177
2583.43 13.2805
2593.22 12.9241
2603.00 12.6549
2622.56 12.2268
2642.13 11.8258
2651.91 11.6002
2661.69 11.3298
2671.47 10.9683
2676.36 10.7213
2681.25 10.3903
2683.70 10.1729
2686.14 9.90017
2688.59 9.54263
2691.03 9.04556
2692.26 8.71279
2693.48 8.29323
2694.70 7.74634
2695.92 7.00488
2696.54 6.52679
2697.15 5.95334
2697.76 5.26404
2698.37 4.46004
2698.68 4.04148
2698.98 3.67065
2699.29 3.48048
2699.59 3.82643
2699.75 4.47569
2699.90 5.78271
2699.98 6.84939
2700.05 8.31149
2700.13 10.3470
2700.20 13.2063
2700.28 17.3402
2700.36 23.2670
2700.43 32.1980
2700.51 45.6868
2700.59 67.3502
2700.66 102.592
2700.74 162.746
2700.81 267.040
2700.91 479.561
2701.00 670.523
2701.05 667.639
2701.09 599.641
2701.18 417.043
2701.29 265.849
2701.40 182.329
2701.51 134.597
2701.62 105.264
2701.73 85.9982
2701.84 72.6350
2702.06 55.7310
2702.27 45.6218
2702.49 39.0591
2702.93 31.1231
2703.36 26.5728
2703.80 23.6640
2704.23 21.6511
2704.67 20.1797
2705.54 18.1753
2706.41 16.8776
2707.28 15.9667
2708.15 15.2901
2709.89 14.3452
2711.63 13.7084
2713.37 13.2406
2715.11 12.8750
2718.59 12.3168
2722.07 11.8794
2729.03 11.1171
2732.52 10.7191
2736.00 10.2643
2739.48 9.70418
2742.96 8.95655
2744.70 8.46713
2746.44 7.85863
2748.18 7.07776
2749.92 6.04144
2750.79 5.38955
2751.66 4.62801
2752.53 3.75288
2753.40 2.82307
2753.84 2.41491
2754.27 2.17366
2754.49 2.18521
2754.71 2.35403
2754.93 2.77352
2755.14 3.58960
2755.25 4.22327
2755.36 5.06568
2755.47 6.18047
2755.58 7.63879
2755.69 9.58625
2755.80 12.1788
2755.91 15.6562
2756.01 20.3180
2756.12 26.7674
2756.23 35.7625
2756.34 48.5503
2756.45 66.9352
2756.56 94.5433
2756.67 136.774
2756.78 202.787
2756.88 305.101
2757.05 552.679
2757.21 780.155
2757.29 778.877
2757.38 700.816
2757.54 487.888
2757.66 367.912
2757.78 284.590
2757.90 226.354
2758.01 185.557
2758.25 133.572
2758.49 103.248
2758.73 83.9706
2758.96 70.8787
2759.44 54.5832
2759.91 44.9995
2760.38 38.8022
2760.86 34.4875
2761.33 31.3395
2762.28 27.0642
2763.22 24.3149
2764.17 22.4055
2765.12 21.0048
2767.01 19.0886
2768.91 17.8404
2770.80 16.9610
2772.69 16.3065
2776.48 15.3926
2780.27 14.7799
2784.06 14.3356
2787.85 13.9954
2795.43 13.4997
2803.00 13.1462
2818.16 12.6489
2833.31 12.2873
2848.46 11.9885
2878.77 11.4629
2909.08 10.9402
2939.39 10.3441
2969.69 9.58497
2984.85 9.09850
3000.00 8.49707
3010.90 7.96121
3021.80 7.30023
3032.70 6.45766
3043.61 5.34057
3049.06 4.63418
3054.51 3.79672
3059.96 2.80482
3065.41 1.66928
3068.13 1.09067
3070.86 0.591375
3072.22 0.422517
3072.90 0.374686
3073.58 0.361012
3074.27 0.391585
3074.95 0.479300
3075.63 0.641100
3076.31 0.899287
3076.99 1.28421
3077.67 1.83470
3078.35 2.60692
3079.04 3.67382
3079.72 5.14428
3080.40 7.16470
3081.08 9.95623
3081.76 13.8456
3082.44 19.3412
3083.12 27.2125
3083.80 38.7386
3084.49 56.0543
3085.17 82.9152
3085.85 125.871
3086.53 196.803
3087.21 315.151
3088.11 572.580
3089.01 812.362
3089.46 813.309
3089.91 733.129
3090.81 510.433
3091.49 379.602
3092.17 289.663
3092.86 228.258
3093.54 185.506
3094.90 131.981
3096.26 101.152
3097.63 81.7040
3098.99 68.5567
3101.71 52.2205
3104.44 42.6465
3107.17 36.4299
3109.89 32.0916
3112.62 28.8985
3118.07 24.5009
3123.52 21.5849
3128.97 19.4637
3134.42 17.7985
3145.33 15.1221
3150.78 13.8675
3156.23 12.4987
3161.68 10.7963
3164.41 9.68961
3167.13 8.27526
3168.50 7.39575
3169.86 6.35838
3171.22 5.12675
3172.59 3.69138
3173.95 2.22346
3174.63 1.75108
3174.97 1.73442
3175.31 2.00805
3175.48 2.31605
3175.65 2.78447
3175.82 3.47276
3175.99 4.44654
3176.17 5.82086
3176.34 7.72544
3176.51 10.3765
3176.68 14.0825
3176.85 19.3438
3177.02 26.8192
3177.19 37.6708
3177.36 53.7493
3177.53 78.3226
3177.70 116.388
3177.87 176.903
3178.04 273.337
3178.29 506.971
3178.54 724.578
3178.80 658.190
3179.05 465.581
3179.35 301.915
3179.66 210.391
3179.96 157.511
3180.26 124.773
3180.56 102.987
3180.86 87.7917
3181.46 68.2478
3182.07 56.4618
3182.67 48.6849
3183.88 39.1687
3185.08 33.6178
3186.29 30.0042
3187.50 27.4651
3188.70 25.5815
3191.11 22.9629
3193.53 21.2161
3195.94 19.9529
3198.35 18.9868
3203.18 17.5778
3208.00 16.5685
3217.65 15.1334
3227.30 14.0688
3236.95 13.1642
3256.25 11.4665
3265.90 10.5510
3275.55 9.50868
3285.20 8.25411
3294.85 6.65943
3299.68 5.67734
3304.50 4.53512
3309.33 3.21550
3314.15 1.76719
3316.56 1.07647
3317.77 0.780105
3318.98 0.549115
3319.58 0.470186
3320.18 0.424819
3320.79 0.421716
3321.39 0.472036
3321.99 0.589919
3322.60 0.793406
3323.20 1.10567
3323.80 1.55670
3324.41 2.18692
3325.01 3.04600
3325.61 4.20372
3326.21 5.75300
3327.42 10.5829
3328.63 19.2868
3329.23 26.0988
3329.83 35.4902
3330.44 48.6240
3331.04 67.2970
3331.64 94.3261
3332.24 134.139
3332.85 193.515
3333.45 281.793
3334.51 526.006
3335.57 754.948
3336.63 686.971
3337.69 486.648
3338.51 365.160
3339.34 281.471
3340.16 224.262
3340.98 184.230
3342.62 133.862
3344.27 104.600
3345.91 85.9889
3347.56 73.3133
3350.84 57.4181
3354.13 48.0032
3357.42 41.8467
3360.71 37.5302
3364.00 34.3459
3370.57 29.9728
3377.15 27.1144
3383.73 25.0967
3390.30 23.5926
3403.46 21.4849
3416.61 20.0589
3429.76 19.0093
3442.91 18.1853
3469.22 16.9054
3495.53 15.8204
3508.68 15.2589
3521.83 14.6160
3534.99 13.7885
3541.56 13.2410
3548.14 12.5332
3552.13 11.9813
3556.12 11.2879
3560.12 10.3824
3564.11 9.14112
3566.11 8.32882
3568.10 7.33392
3570.10 6.09587
3572.09 4.55092
3573.09 3.65633
