33-As_n-g
>  33-As-75:1.000000
3.179600e+02 3.33874000e+02
3.180870e+02 4.52719000e+02
3.182150e+02 6.26713000e+02
3.184080e+02 1.00092000e+03
3.186000e+02 1.24971000e+03
3.187930e+02 9.99936000e+02
3.189850e+02 6.25915000e+02
3.192120e+02 3.55873000e+02
3.194400e+02 2.19344000e+02
3.196670e+02 1.46534000e+02
3.198940e+02 1.04434000e+02
3.201220e+02 7.83089000e+01
3.203490e+02 6.11552000e+01
3.208030e+02 4.10296000e+01
3.212580e+02 3.04268000e+01
3.217120e+02 2.45105000e+01
3.226220e+02 1.98560000e+01
3.235310e+02 2.15780000e+01
3.239850e+02 2.53139000e+01
3.244400e+02 3.24451000e+01
3.248940e+02 4.61400000e+01
3.251220e+02 5.76852000e+01
3.253490e+02 7.49467000e+01
3.255760e+02 1.02001000e+02
3.258040e+02 1.46847000e+02
3.260310e+02 2.25799000e+02
3.262580e+02 3.69066000e+02
3.264790e+02 5.87801000e+02
3.267000e+02 7.33030000e+02
3.269220e+02 5.86186000e+02
3.271430e+02 3.66832000e+02
3.273930e+02 2.13410000e+02
3.276440e+02 1.33645000e+02
3.278940e+02 9.01421000e+01
3.281440e+02 6.45442000e+01
3.283950e+02 4.84111000e+01
3.286450e+02 3.76628000e+01
3.291460e+02 2.47308000e+01
3.296460e+02 1.75601000e+01
3.301470e+02 1.31752000e+01
3.311480e+02 8.29559000e+00
3.321500e+02 5.76718000e+00
3.331510e+02 4.27801000e+00
3.351530e+02 2.66571000e+00
3.371560e+02 1.84510000e+00
3.391590e+02 1.36524000e+00
3.431640e+02 8.48421000e-01
3.471690e+02 5.87402000e-01
3.511740e+02 4.36384000e-01
3.591850e+02 2.76988000e-01
3.671950e+02 1.99491000e-01
3.752050e+02 1.56960000e-01
3.912260e+02 1.17535000e-01
4.072470e+02 1.06424000e-01
4.232680e+02 1.13223000e-01
4.312780e+02 1.25549000e-01
4.392880e+02 1.52919000e-01
4.432940e+02 1.83470000e-01
4.472990e+02 2.57763000e-01
4.493010e+02 3.52286000e-01
4.503030e+02 4.42978000e-01
4.513040e+02 6.03758000e-01
4.523050e+02 9.34584000e-01
4.528060e+02 1.25187000e+00
4.533070e+02 1.80682000e+00
4.538070e+02 2.91419000e+00
4.540580e+02 3.93581000e+00
4.543080e+02 5.64390000e+00
4.545580e+02 8.81393000e+00
4.546830e+02 1.15209000e+01
4.548080e+02 1.56821000e+01
4.548710e+02 1.86496000e+01
4.549340e+02 2.25192000e+01
4.549960e+02 2.76750000e+01
4.550590e+02 3.46975000e+01
4.551210e+02 4.45423000e+01
4.551840e+02 5.86770000e+01
4.552470e+02 7.93562000e+01
4.553090e+02 1.09450000e+02
4.553570e+02 1.40010000e+02
4.554050e+02 1.74820000e+02
4.555000e+02 2.18305000e+02
4.555480e+02 2.05477000e+02
4.555960e+02 1.74778000e+02
4.556910e+02 1.09401000e+02
4.557730e+02 7.19272000e+01
4.558550e+02 4.91632000e+01
4.559380e+02 3.51584000e+01
4.560200e+02 2.61891000e+01
4.561840e+02 1.59850000e+01
4.563480e+02 1.07176000e+01
4.565130e+02 7.67945000e+00
4.566770e+02 5.77850000e+00
4.570060e+02 3.63173000e+00
4.573340e+02 2.51498000e+00
4.576630e+02 1.86298000e+00
4.583200e+02 1.17266000e+00
4.589770e+02 8.35362000e-01
4.596350e+02 6.46922000e-01
4.609490e+02 4.57355000e-01
4.622640e+02 3.71860000e-01
4.635780e+02 3.29492000e-01
4.662070e+02 3.01205000e-01
4.688360e+02 3.13105000e-01
4.714650e+02 3.70676000e-01
4.727800e+02 4.43616000e-01
4.740940e+02 6.26764000e-01
4.747510e+02 8.56807000e-01
4.750800e+02 1.07130000e+00
4.754090e+02 1.43716000e+00
4.757370e+02 2.14205000e+00
4.759020e+02 2.76957000e+00
4.760660e+02 3.78029000e+00
4.762300e+02 5.55497000e+00
4.763940e+02 9.06702000e+00
4.764770e+02 1.22314000e+01
4.765590e+02 1.72809000e+01
4.766410e+02 2.57696000e+01
4.766820e+02 3.20913000e+01
4.767230e+02 4.02953000e+01
4.767670e+02 5.14932000e+01
4.768120e+02 6.42600000e+01
4.769000e+02 8.02315000e+01
4.769890e+02 6.42506000e+01
4.770770e+02 4.02864000e+01
4.771400e+02 2.85497000e+01
4.772020e+02 2.07630000e+01
4.772650e+02 1.55797000e+01
4.773270e+02 1.20566000e+01
4.774520e+02 7.79637000e+00
4.775770e+02 5.46469000e+00
4.777030e+02 4.06821000e+00
4.778280e+02 3.17184000e+00
4.780780e+02 2.13596000e+00
4.783280e+02 1.58633000e+00
4.785780e+02 1.26256000e+00
4.790780e+02 9.20502000e-01
4.795790e+02 7.57851000e-01
4.800790e+02 6.72796000e-01
4.810800e+02 6.04399000e-01
4.830810e+02 6.26127000e-01
4.850830e+02 7.67366000e-01
4.870840e+02 1.09371000e+00
4.880850e+02 1.41364000e+00
4.890850e+02 1.98222000e+00
4.900860e+02 3.14907000e+00
4.905860e+02 4.26315000e+00
4.910870e+02 6.20124000e+00
4.915870e+02 1.00357000e+01
4.918370e+02 1.35417000e+01
4.920870e+02 1.93425000e+01
4.923380e+02 2.99498000e+01
4.924630e+02 3.88612000e+01
4.925880e+02 5.23396000e+01
4.927130e+02 7.39871000e+01
4.928380e+02 1.11327000e+02
4.929630e+02 1.81216000e+02
4.930880e+02 3.19079000e+02
4.931940e+02 5.09927000e+02
4.933000e+02 6.36969000e+02
4.934060e+02 5.09777000e+02
4.935120e+02 3.18915000e+02
4.936130e+02 2.00449000e+02
4.937150e+02 1.32404000e+02
4.938160e+02 9.24002000e+01
4.939180e+02 6.76221000e+01
4.940190e+02 5.14142000e+01
4.941200e+02 4.03299000e+01
4.943230e+02 2.66740000e+01
4.945260e+02 1.89443000e+01
4.947290e+02 1.41737000e+01
4.951340e+02 8.85230000e+00
4.955400e+02 6.11867000e+00
4.959450e+02 4.53601000e+00
4.967560e+02 2.87693000e+00
4.975670e+02 2.07792000e+00
4.983780e+02 1.63954000e+00
5.000000e+02 1.21675000e+00
5.019940e+02 1.02811000e+00
5.039890e+02 9.84717000e-01
5.079780e+02 1.09975000e+00
5.119660e+02 1.42243000e+00
5.139610e+02 1.68501000e+00
5.159550e+02 2.05080000e+00
5.179490e+02 2.57233000e+00
5.199440e+02 3.34413000e+00
5.219380e+02 4.54817000e+00
5.239330e+02 6.56906000e+00
5.249300e+02 8.13386000e+00
5.259270e+02 1.03340000e+01
5.269240e+02 1.35579000e+01
5.279210e+02 1.85340000e+01
5.289190e+02 2.67402000e+01
5.299160e+02 4.14688000e+01
5.304140e+02 5.34480000e+01
5.309130e+02 7.07558000e+01
5.314120e+02 9.62745000e+01
5.319100e+02 1.33797000e+02
5.326550e+02 2.13841000e+02
5.334000e+02 2.66831000e+02
5.341450e+02 2.13109000e+02
5.348900e+02 1.33084000e+02
5.353970e+02 9.51887000e+01
5.359030e+02 6.96125000e+01
5.364090e+02 5.23690000e+01
5.369160e+02 4.04959000e+01
5.379290e+02 2.59738000e+01
5.389420e+02 1.79274000e+01
5.399540e+02 1.30663000e+01
5.409670e+02 9.92579000e+00
5.429930e+02 6.26892000e+00
5.450190e+02 4.31075000e+00
5.470450e+02 3.14500000e+00
5.490700e+02 2.39649000e+00
5.510960e+02 1.88797000e+00
5.551470e+02 1.26187000e+00
5.591990e+02 9.06255000e-01
5.632500e+02 6.85486000e-01
5.673020e+02 5.39387000e-01
5.754050e+02 3.64927000e-01
5.835080e+02 2.69840000e-01
5.916110e+02 2.13749000e-01
5.997140e+02 1.79520000e-01
6.159190e+02 1.49085000e-01
6.321250e+02 1.59939000e-01
6.402280e+02 1.93961000e-01
6.442800e+02 2.29623000e-01
6.483310e+02 2.94537000e-01
6.523830e+02 4.30684000e-01
6.544080e+02 5.63576000e-01
6.564340e+02 8.01140000e-01
6.584600e+02 1.29322000e+00
6.594730e+02 1.76718000e+00
6.604860e+02 2.59926000e+00
6.614990e+02 4.26795000e+00
6.620050e+02 5.81561000e+00
6.625110e+02 8.41785000e+00
6.627650e+02 1.04396000e+01
6.630180e+02 1.32903000e+01
6.632710e+02 1.74860000e+01
6.635240e+02 2.40015000e+01
6.637770e+02 3.48395000e+01
6.640310e+02 5.45444000e+01
6.641570e+02 7.07794000e+01
6.642840e+02 9.45232000e+01
6.644100e+02 1.30059000e+02
6.645370e+02 1.83207000e+02
6.647190e+02 2.92837000e+02
6.649000e+02 3.65781000e+02
6.650820e+02 2.92683000e+02
6.652630e+02 1.83050000e+02
6.653940e+02 1.28297000e+02
6.655260e+02 9.22649000e+01
6.656570e+02 6.85250000e+01
6.657890e+02 5.24745000e+01
6.660510e+02 3.32226000e+01
6.663140e+02 2.27603000e+01
6.665770e+02 1.65171000e+01
6.668400e+02 1.25206000e+01
6.673650e+02 7.90471000e+00
6.678910e+02 5.45277000e+00
6.684160e+02 4.00056000e+00
6.694670e+02 2.44234000e+00
6.705180e+02 1.67019000e+00
6.715690e+02 1.23362000e+00
6.736710e+02 7.86356000e-01
6.757730e+02 5.76642000e-01
6.778750e+02 4.64865000e-01
6.820790e+02 3.64227000e-01
6.862830e+02 3.34602000e-01
6.904870e+02 3.39532000e-01
6.988960e+02 4.23195000e-01
7.073040e+02 6.42370000e-01
7.115080e+02 8.56753000e-01
7.136100e+02 1.01446000e+00
7.146610e+02 1.11209000e+00
7.157120e+02 1.22591000e+00
7.167630e+02 1.35969000e+00
7.178140e+02 1.51835000e+00
7.188650e+02 1.70854000e+00
7.199160e+02 1.93926000e+00
7.209670e+02 2.22312000e+00
7.220180e+02 2.57810000e+00
7.230690e+02 3.03079000e+00
7.241200e+02 3.62187000e+00
7.251710e+02 4.41660000e+00
7.262220e+02 5.52535000e+00
7.272730e+02 7.14966000e+00
7.283240e+02 9.69406000e+00
7.293750e+02 1.40866000e+01
7.299010e+02 1.76404000e+01
7.304260e+02 2.29083000e+01
7.309520e+02 3.12644000e+01
7.314770e+02 4.57498000e+01
7.317400e+02 5.72970000e+01
7.320030e+02 7.37977000e+01
7.322650e+02 9.79649000e+01
7.325280e+02 1.33383000e+02
7.329140e+02 2.07519000e+02
7.333000e+02 2.58163000e+02
7.336860e+02 2.13835000e+02
7.340720e+02 1.46817000e+02
7.343470e+02 1.15873000e+02
7.346220e+02 9.80240000e+01
7.351720e+02 8.82735000e+01
7.357220e+02 1.03601000e+02
7.362720e+02 1.46025000e+02
7.368360e+02 2.20192000e+02
7.374000e+02 2.69576000e+02
7.379640e+02 2.15300000e+02
7.385280e+02 1.35622000e+02
7.390590e+02 8.67310000e+01
7.395900e+02 5.82667000e+01
7.401210e+02 4.12922000e+01
7.406520e+02 3.06308000e+01
7.417140e+02 1.86941000e+01
7.427760e+02 1.25811000e+01
7.438370e+02 9.05082000e+00
7.448990e+02 6.83037000e+00
7.470230e+02 4.29711000e+00
7.491470e+02 2.95861000e+00
7.512710e+02 2.16497000e+00
7.555180e+02 1.30843000e+00
7.597660e+02 8.79470000e-01
7.640130e+02 6.34102000e-01
7.682610e+02 4.80636000e-01
7.725080e+02 3.78285000e-01
7.810030e+02 2.54552000e-01
7.894980e+02 1.85598000e-01
7.979930e+02 1.43514000e-01
8.064880e+02 1.16256000e-01
8.234780e+02 8.56152000e-02
8.404680e+02 7.30496000e-02
8.574580e+02 7.60577000e-02
8.659530e+02 9.19695000e-02
8.680770e+02 1.02820000e-01
8.702000e+02 1.26934000e-01
8.712620e+02 1.55709000e-01
8.717930e+02 1.82442000e-01
8.723240e+02 2.28709000e-01
8.728550e+02 3.21262000e-01
8.731200e+02 4.07754000e-01
8.733860e+02 5.55074000e-01
8.736510e+02 8.37706000e-01
8.737840e+02 1.08777000e+00
8.739170e+02 1.48766000e+00
8.740500e+02 2.18276000e+00
8.741820e+02 3.53307000e+00
8.742490e+02 4.72656000e+00
8.743150e+02 6.59268000e+00
8.743810e+02 9.64693000e+00
8.744480e+02 1.47012000e+01
8.745240e+02 2.34606000e+01
8.746000e+02 2.93008000e+01
8.746760e+02 2.34592000e+01
8.747520e+02 1.47000000e+01
8.748330e+02 8.87792000e+00
8.749130e+02 5.71185000e+00
8.749930e+02 3.92800000e+00
8.750730e+02 2.85535000e+00
8.751530e+02 2.16978000e+00
