11-Na_n-g
>  11-Na-23:1.000000
1.175940e+05 9.50885000e-03
1.176430e+05 5.63789000e-03
1.177420e+05 2.64681000e-03
1.178410e+05 1.53395000e-03
1.182360e+05 4.08748000e-04
1.190260e+05 1.13913000e-04
1.206070e+05 3.84917000e-05
1.237680e+05 1.96885000e-05
1.300900e+05 1.59539000e-05
1.366040e+05 1.75977000e-05
1.398610e+05 2.32947000e-05
1.414900e+05 4.38106000e-05
1.423040e+05 1.23265000e-04
1.427110e+05 4.29961000e-04
1.429150e+05 1.57695000e-03
1.430170e+05 5.58753000e-03
1.430670e+05 1.78940000e-02
1.430930e+05 4.76516000e-02
1.431060e+05 9.81344000e-02
1.431180e+05 2.60600000e-01
1.431240e+05 4.16988000e-01
1.431300e+05 5.21237000e-01
1.431420e+05 2.60575000e-01
1.431500e+05 1.36588000e-01
1.431580e+05 8.00561000e-02
1.431740e+05 3.55826000e-02
1.432050e+05 1.24765000e-02
1.432690e+05 3.75244000e-03
1.433960e+05 1.04240000e-03
1.436500e+05 2.86250000e-04
1.441580e+05 8.65967000e-05
1.451740e+05 3.55418000e-05
1.472060e+05 2.32279000e-05
1.512700e+05 2.17011000e-05
1.596050e+05 2.61910000e-05
1.679400e+05 3.53646000e-05
1.736950e+05 4.65409000e-05
1.794500e+05 6.64269000e-05
1.822900e+05 8.28122000e-05
1.851300e+05 1.08369000e-04
1.875880e+05 1.49665000e-04
1.882030e+05 1.70039000e-04
1.888170e+05 2.09921000e-04
1.894320e+05 3.71185000e-04
1.897390e+05 9.40253000e-04
1.898930e+05 2.96870000e-03
1.899700e+05 9.55519000e-03
1.900080e+05 2.72393000e-02
1.900270e+05 6.20001000e-02
1.900370e+05 1.07635000e-01
1.900460e+05 2.09226000e-01
1.900600e+05 4.17857000e-01
1.900740e+05 2.07702000e-01
1.900900e+05 7.35947000e-02
1.901060e+05 3.49798000e-02
1.901370e+05 1.29739000e-02
1.902010e+05 4.13304000e-03
1.903270e+05 1.29467000e-03
1.905810e+05 4.94975000e-04
1.910880e+05 2.96392000e-04
1.915950e+05 2.74539000e-04
1.921020e+05 2.82164000e-04
1.941300e+05 4.00847000e-04
1.958000e+05 6.08772000e-04
1.967500e+05 8.12474000e-04
1.977000e+05 1.13023000e-03
1.986900e+05 1.65753000e-03
1.990700e+05 1.92842000e-03
1.999350e+05 2.65210000e-03
2.008000e+05 3.22489000e-03
2.011500e+05 3.28292000e-03
2.015200e+05 3.20227000e-03
2.027700e+05 2.29710000e-03
2.036100e+05 1.69357000e-03
2.039600e+05 1.49716000e-03
2.048500e+05 1.12991000e-03
2.060050e+05 8.54704000e-04
2.071600e+05 7.13483000e-04
2.076500e+05 6.78957000e-04
2.089050e+05 6.35601000e-04
2.101600e+05 6.34943000e-04
2.135500e+05 6.78362000e-04
2.143000e+05 6.69596000e-04
2.159400e+05 6.12735000e-04
2.198100e+05 4.04202000e-04
2.214400e+05 3.36085000e-04
2.235000e+05 2.76471000e-04
2.265700e+05 2.34064000e-04
2.296400e+05 2.45252000e-04
2.314850e+05 2.91146000e-04
2.333300e+05 4.00648000e-04
2.347250e+05 5.86567000e-04
2.354230e+05 7.76888000e-04
2.357710e+05 9.56925000e-04
2.359460e+05 1.11121000e-03
2.361200e+05 1.38013000e-03
2.362450e+05 1.74959000e-03
2.363700e+05 2.54866000e-03
2.364470e+05 3.65299000e-03
2.365230e+05 6.28951000e-03
2.365620e+05 9.27489000e-03
2.366000e+05 1.55152000e-02
2.366190e+05 2.15189000e-02
2.366380e+05 3.17361000e-02
2.366580e+05 5.07475000e-02
2.366770e+05 8.75622000e-02
2.366930e+05 1.39994000e-01
2.367100e+05 1.75125000e-01
2.367270e+05 1.39959000e-01
2.367430e+05 8.75633000e-02
2.367550e+05 6.22349000e-02
2.367670e+05 4.53886000e-02
2.367790e+05 3.41769000e-02
2.367900e+05 2.65877000e-02
2.368130e+05 1.73413000e-02
2.368370e+05 1.22632000e-02
2.368830e+05 7.24862000e-03
2.369300e+05 4.98464000e-03
2.370090e+05 3.25988000e-03
2.370880e+05 2.50288000e-03
2.372450e+05 1.89670000e-03
2.375600e+05 1.62340000e-03
2.381900e+05 1.69078000e-03
2.390000e+05 1.79812000e-03
2.390500e+05 1.79707000e-03
2.392550e+05 1.78151000e-03
2.394600e+05 1.74859000e-03
2.398700e+05 1.64023000e-03
2.406900e+05 1.35601000e-03
2.412100e+05 1.21828000e-03
2.417300e+05 1.21211000e-03
2.419850e+05 1.33277000e-03
2.422400e+05 1.68713000e-03
2.424600e+05 2.54855000e-03
2.425700e+05 3.52778000e-03
2.426800e+05 5.46950000e-03
2.427430e+05 7.44280000e-03
2.428050e+05 1.05122000e-02
2.428880e+05 1.64555000e-02
2.429700e+05 2.04119000e-02
2.430450e+05 1.69851000e-02
2.431200e+05 1.13839000e-02
2.431350e+05 1.04386000e-02
2.431890e+05 7.67849000e-03
2.432440e+05 5.79047000e-03
2.433530e+05 3.60497000e-03
2.434610e+05 2.48989000e-03
2.435700e+05 1.86015000e-03
2.437500e+05 1.29262000e-03
2.439300e+05 9.90714000e-04
2.442250e+05 7.26222000e-04
2.445200e+05 5.82484000e-04
2.451100e+05 4.28547000e-04
2.458100e+05 3.32454000e-04
2.465100e+05 2.73144000e-04
2.484250e+05 1.83391000e-04
2.503400e+05 1.37231000e-04
2.539880e+05 9.26521000e-05
2.576350e+05 7.08377000e-05
2.649300e+05 5.10846000e-05
2.714150e+05 4.44296000e-05
2.779000e+05 4.35798000e-05
2.853050e+05 5.31156000e-05
2.890080e+05 7.13198000e-05
2.908590e+05 9.21227000e-05
2.927100e+05 1.35702000e-04
2.940650e+05 2.06460000e-04
2.947430e+05 2.72049000e-04
2.954200e+05 3.81400000e-04
2.961400e+05 5.98001000e-04
2.965000e+05 7.82519000e-04
2.968600e+05 1.05839000e-03
2.973000e+05 1.59189000e-03
2.974780e+05 1.88588000e-03
2.976550e+05 2.22189000e-03
2.980100e+05 2.91084000e-03
2.983200e+05 3.25606000e-03
2.987800e+05 3.23727000e-03
2.988950e+05 3.38203000e-03
2.990100e+05 3.86705000e-03
