Sn-119(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1025.87 15.5162
1025.89 22.5779
1025.92 34.9067
1025.93 44.8144
1025.95 57.0759
1025.96 73.9142
1025.97 91.6541
1026.00 113.434
1026.03 90.2922
1026.05 57.0728
1026.08 35.5146
1026.11 23.2655
1026.13 16.1305
1026.16 11.7381
1026.18 8.88298
1026.21 6.93775
1026.26 4.58319
1026.31 3.22351
1026.36 2.38713
1026.47 1.46362
1026.57 0.984304
1026.67 0.709115
1026.78 0.535215
1026.88 0.418414
1027.09 0.275695
1027.29 0.195923
1027.71 0.113958
1028.12 0.0748886
1028.53 0.0533480
1029.36 0.0315523
1030.19 0.0212636
1031.01 0.0155965
1032.66 0.00984732
1034.32 0.00710593
1035.97 0.00557138
1039.28 0.00398016
1042.58 0.00320365
1045.89 0.00277309
1052.50 0.00240755
1059.11 0.00250781
1065.72 0.00347122
1069.02 0.00501121
1072.33 0.00951957
1073.98 0.0158313
1075.63 0.0336446
1076.46 0.0581840
1076.87 0.0824418
1077.29 0.126262
1077.70 0.218083
1077.91 0.307657
1078.11 0.465601
1078.22 0.596190
1078.32 0.788226
1078.42 1.09029
1078.53 1.60512
1078.63 2.60266
1078.68 3.48661
1078.73 4.86568
1078.78 7.29022
1078.84 11.8492
1078.86 15.8920
1078.89 22.1596
1078.91 32.2561
1078.94 47.8854
1078.97 76.6187
1079.00 95.7757
1079.03 76.6205
1079.06 47.8879
1079.09 29.0353
1079.13 18.6703
1079.16 12.7810
1079.19 9.30648
1079.22 6.98930
1079.25 5.42724
1079.32 3.55167
1079.38 2.48490
1079.44 1.84137
1079.57 1.12519
1079.70 0.755399
1079.82 0.541834
1079.95 0.407541
1080.08 0.318260
1080.33 0.208979
1080.58 0.147977
1081.09 0.0855504
1081.60 0.0558421
1082.10 0.0394524
1083.12 0.0229410
1085.14 0.0109498
1087.17 0.00670139
1091.22 0.00364730
1095.28 0.00259256
1103.38 0.00193782
1111.49 0.00195251
1119.60 0.00251310
1123.65 0.00318586
1127.70 0.00447692
1129.73 0.00558982
1131.76 0.00731100
1133.78 0.0101665
1135.81 0.0154042
1136.82 0.0198429
1137.84 0.0266420
1138.85 0.0378378
1139.86 0.0582301
1140.37 0.0754053
1140.88 0.101600
1141.38 0.144439
1141.89 0.221495
1142.14 0.285911
1142.40 0.382751
1142.65 0.538722
1142.90 0.813826
1143.03 1.03895
1143.16 1.37198
1143.28 1.89431
1143.41 2.77155
1143.54 4.44481
1143.60 5.89102
1143.66 8.15813
1143.73 12.0613
1143.79 19.2348
1143.82 25.3990
1143.85 34.3254
1143.89 48.5144
1143.92 69.7211
1143.96 111.551
1144.00 139.434
1144.04 111.544
1144.08 69.7139
1144.11 50.1936
1144.14 37.2972
1144.19 22.2047
1144.25 14.4534
1144.30 10.0737
1144.36 7.39227
1144.41 5.64295
1144.52 3.58598
1144.63 2.46616
1144.73 1.80259
1144.95 1.08187
1145.17 0.718964
1145.38 0.512820
1145.60 0.384111
1145.82 0.298425
1146.25 0.194865
1146.68 0.137224
1147.11 0.101886
1147.55 0.0787170
1148.41 0.0510631
1149.28 0.0358751
1150.14 0.0266298
1151.01 0.0206002
1152.74 0.0134618
1154.47 0.00956141
1156.20 0.00720076
1157.93 0.00566499
1161.39 0.00385657
1164.86 0.00287613
1171.78 0.00191544
1178.70 0.00149812
1185.63 0.00130994
1199.48 0.00128557
1213.32 0.00169309
1220.25 0.00219578
1227.17 0.00316635
1230.63 0.00400462
1234.10 0.00530231
1237.56 0.00745677
1241.02 0.0114134
1242.75 0.0147645
1244.48 0.0199046
1246.21 0.0283739
1247.94 0.0438144
1248.81 0.0568246
1249.68 0.0766527
1250.54 0.109139
1251.41 0.167719
1251.84 0.216617
1252.27 0.290528
1252.71 0.409928
1253.14 0.620786
1253.35 0.794004
1253.57 1.04964
1253.79 1.45377
1254.00 2.13960
1254.22 3.45750
1254.33 4.61326
1254.44 6.44830
1254.54 9.59984
1254.65 15.6165
1254.71 20.8287
1254.76 28.8337
1254.81 41.5835
1254.87 62.0732
1254.93 99.3137
1255.00 124.136
1255.07 99.3033
1255.13 62.0626
1255.21 35.3933
1255.29 21.9228
1255.36 14.6375
1255.44 10.3774
1255.51 7.70699
1255.59 5.93527
1255.74 3.81711
1255.89 2.65359
1256.05 1.94897
1256.35 1.17688
1256.65 0.785343
1256.96 0.561427
1257.26 0.421148
1257.57 0.327531
1258.18 0.214159
1258.78 0.150961
1259.39 0.112117
1260.00 0.0865518
1260.00 1.63197
1500.00 1.45303
1700.00 1.34198
2000.00 1.21375
2500.00 1.06530
3000.00 0.959918
3500.00 0.886706
4000.00 0.827965
5000.00 0.741683
6000.00 0.678904
7000.00 0.630463
8000.00 0.590710
10000.0 0.528461
12500.0 0.470286
15000.0 0.426003
17000.0 0.383289
20000.0 0.342197
24102.8 0.307350
25000.0 0.300952
30000.0 0.246229
35000.0 0.207162
40000.0 0.179686
50000.0 0.141356
60000.0 0.119373
70000.0 0.104600
80000.0 0.0939187
90259.2 0.0870721
99999.9 0.0816502
100000 0.0813974
