32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
3.285670e+02 1.29553573e+01
3.292710e+02 1.59072569e+01
3.299750e+02 2.13523316e+01
3.303270e+02 2.59030551e+01
3.306790e+02 3.27033712e+01
3.310310e+02 4.33596223e+01
3.313830e+02 6.10132709e+01
3.317350e+02 9.19986244e+01
3.320870e+02 1.48006558e+02
3.324440e+02 2.38585673e+02
3.328000e+02 3.03871891e+02
3.331570e+02 2.50499406e+02
3.335130e+02 1.63054050e+02
3.337790e+02 1.17252105e+02
3.340440e+02 8.70571141e+01
3.343100e+02 6.71279243e+01
3.345750e+02 5.36141107e+01
3.351060e+02 3.72992273e+01
3.356370e+02 2.83271590e+01
3.361680e+02 2.28998631e+01
3.366990e+02 1.93723248e+01
3.377610e+02 1.52058280e+01
3.388240e+02 1.29177958e+01
3.398860e+02 1.15159488e+01
3.420100e+02 9.93730510e+00
3.441340e+02 9.09862363e+00
3.462580e+02 8.59056491e+00
3.500000e+02 8.09040758e+00
3.505070e+02 8.02283818e+00
3.547550e+02 7.75004940e+00
3.568790e+02 7.69753713e+00
3.590030e+02 7.73023611e+00
3.611280e+02 7.94945099e+00
3.621900e+02 8.22484423e+00
3.632520e+02 8.76365998e+00
3.643140e+02 9.92123572e+00
3.648450e+02 1.10255433e+01
3.653760e+02 1.28939002e+01
3.659070e+02 1.63582766e+01
3.661730e+02 1.92784373e+01
3.664380e+02 2.36862139e+01
3.667040e+02 3.06947322e+01
3.669690e+02 4.25539788e+01
3.672350e+02 6.40176421e+01
3.675000e+02 1.04407274e+02
3.677500e+02 1.66101861e+02
3.680000e+02 2.10044297e+02
3.682500e+02 1.72896159e+02
3.685000e+02 1.12958371e+02
3.686590e+02 8.55282632e+01
3.688180e+02 6.63122252e+01
3.691350e+02 4.34165000e+01
3.694530e+02 3.14184339e+01
3.697710e+02 2.45238204e+01
3.700880e+02 2.02342952e+01
3.704060e+02 1.73940941e+01
3.710410e+02 1.39859023e+01
3.716770e+02 1.20898174e+01
3.723120e+02 1.09210424e+01
3.735830e+02 9.60027348e+00
3.748530e+02 8.89738443e+00
3.760500e+02 8.49535449e+00
3.761240e+02 8.47051000e+00
3.786650e+02 7.98468491e+00
3.812070e+02 7.71550784e+00
3.837480e+02 7.54155825e+00
3.875000e+02 7.37807024e+00
3.888310e+02 7.31995550e+00
3.939130e+02 7.17179164e+00
3.964550e+02 7.11073183e+00
3.989960e+02 7.05585827e+00
4.015370e+02 7.01122479e+00
4.028080e+02 6.99941269e+00
4.040780e+02 7.00833049e+00
4.047140e+02 7.03036076e+00
4.053490e+02 7.07700368e+00
4.059840e+02 7.17157261e+00
4.066200e+02 7.36933335e+00
4.072550e+02 7.82454155e+00
4.075730e+02 8.28201675e+00
4.078900e+02 9.09050051e+00
4.082080e+02 1.06733300e+01
4.083670e+02 1.20740419e+01
4.085260e+02 1.42855434e+01
4.086850e+02 1.80171066e+01
4.088430e+02 2.48582057e+01
4.089230e+02 3.05073031e+01
4.090020e+02 3.87583114e+01
4.090820e+02 5.10635738e+01
4.091610e+02 6.94034546e+01
4.092810e+02 1.09916182e+02
4.094000e+02 1.39469638e+02
4.095200e+02 1.16001465e+02
4.096390e+02 7.70194235e+01
4.097180e+02 5.84771317e+01
4.097970e+02 4.56198525e+01
4.099550e+02 3.05198490e+01
4.101120e+02 2.27024464e+01
4.102700e+02 1.82432704e+01
4.104280e+02 1.54779344e+01
4.105860e+02 1.36506972e+01
4.109010e+02 1.14576591e+01
4.112160e+02 1.02353085e+01
4.115320e+02 9.48005482e+00
4.121630e+02 8.62344927e+00
4.127940e+02 8.16587573e+00
4.134250e+02 7.88762168e+00
4.140560e+02 7.70266213e+00
4.146860e+02 7.57149865e+00
4.159480e+02 7.39807306e+00
4.172100e+02 7.28790297e+00
4.197340e+02 7.15254697e+00
4.222570e+02 7.06841015e+00
4.247810e+02 7.00763084e+00
4.250000e+02 7.00377598e+00
4.298280e+02 6.91819283e+00
4.399230e+02 6.79130250e+00
4.437500e+02 6.75379745e+00
4.500180e+02 6.69142271e+00
4.601120e+02 6.61612213e+00
4.625000e+02 6.60907086e+00
4.651600e+02 6.60050297e+00
4.702070e+02 6.62800366e+00
4.727310e+02 6.67830921e+00
4.752540e+02 6.77909592e+00
4.777780e+02 6.97674137e+00
4.803010e+02 7.37896588e+00
4.812500e+02 7.64505380e+00
4.815630e+02 7.73270581e+00
4.828250e+02 8.27709749e+00
4.840870e+02 9.15616517e+00
4.853490e+02 1.06698571e+01
4.866110e+02 1.35216950e+01
4.872420e+02 1.59506810e+01
4.878720e+02 1.96409837e+01
4.885030e+02 2.55423571e+01
4.891340e+02 3.55749456e+01
4.897650e+02 5.37925416e+01
4.903960e+02 8.81626100e+01
4.906250e+02 1.08607533e+02
4.909980e+02 1.41908506e+02
4.916000e+02 1.81624487e+02
4.922020e+02 1.51287443e+02
4.928040e+02 9.99959494e+01
4.932540e+02 7.28560921e+01
4.937040e+02 5.49035498e+01
4.941530e+02 4.30203471e+01
4.946030e+02 3.49436298e+01
4.955030e+02 2.51572853e+01
4.964020e+02 1.97462078e+01
4.973020e+02 1.64563007e+01
4.982010e+02 1.43061907e+01
5.000000e+02 1.17471973e+01
5.022360e+02 1.00747098e+01
5.044710e+02 9.12842516e+00
5.063460e+02 8.62573980e+00
5.067070e+02 8.52873344e+00
5.089420e+02 8.11389041e+00
5.111780e+02 7.80524036e+00
5.126920e+02 7.63566828e+00
5.134130e+02 7.55423448e+00
5.145310e+02 7.43707827e+00
5.150900e+02 7.37832191e+00
5.156490e+02 7.31910055e+00
5.162070e+02 7.26283042e+00
5.164870e+02 7.24123400e+00
5.167660e+02 7.23537631e+00
5.170460e+02 7.27720590e+00
5.171850e+02 7.34569641e+00
5.173250e+02 7.49209920e+00
5.174650e+02 7.81791449e+00
5.175350e+02 8.12587502e+00
5.176050e+02 8.62800404e+00
5.176740e+02 9.49571453e+00
5.177440e+02 1.11010793e+01
5.177790e+02 1.24274214e+01
5.178140e+02 1.43432363e+01
5.178490e+02 1.71608412e+01
5.178840e+02 2.12958686e+01
5.179130e+02 2.60048208e+01
5.179420e+02 3.16494305e+01
5.180000e+02 4.01781774e+01
5.180290e+02 3.93991220e+01
5.180580e+02 3.55727667e+01
5.181160e+02 2.62182336e+01
5.181550e+02 2.14986286e+01
5.181940e+02 1.81737137e+01
5.182720e+02 1.41805062e+01
5.183490e+02 1.20608132e+01
5.184270e+02 1.08212272e+01
5.185050e+02 1.00347760e+01
5.185820e+02 9.50276350e+00
5.187380e+02 8.84410531e+00
5.188930e+02 8.46043109e+00
5.190380e+02 8.22905930e+00
5.190480e+02 8.21308721e+00
5.193590e+02 7.91483344e+00
5.196700e+02 7.74133916e+00
5.199810e+02 7.62653564e+00
5.206020e+02 7.47961335e+00
5.212230e+02 7.38473232e+00
5.218450e+02 7.31469777e+00
5.230880e+02 7.21110794e+00
5.253840e+02 7.07727086e+00
5.255730e+02 7.06590841e+00
5.280590e+02 6.95144063e+00
5.285570e+02 6.93291001e+00
5.317300e+02 6.80900316e+00
5.330310e+02 6.75480570e+00
5.349030e+02 6.68656816e+00
5.380020e+02 6.56203070e+00
5.380760e+02 6.55913960e+00
5.396630e+02 6.49136554e+00
5.412490e+02 6.41942952e+00
5.428360e+02 6.34468531e+00
5.429740e+02 6.33858022e+00
5.444220e+02 6.27253651e+00
5.452150e+02 6.24575408e+00
5.454590e+02 6.24307123e+00
5.460090e+02 6.23588263e+00
5.462070e+02 6.23840151e+00
5.464050e+02 6.24396833e+00
5.466040e+02 6.25330330e+00
5.468020e+02 6.26741255e+00
5.470000e+02 6.28749399e+00
5.471980e+02 6.31514156e+00
5.473970e+02 6.35242048e+00
5.475950e+02 6.40217584e+00
5.477930e+02 6.46818044e+00
5.479450e+02 6.53487051e+00
5.479920e+02 6.55541261e+00
5.481900e+02 6.67096611e+00
5.483880e+02 6.82528169e+00
5.485870e+02 7.03315807e+00
5.487850e+02 7.31680970e+00
5.489830e+02 7.71023505e+00
5.491820e+02 8.26760020e+00
5.491880e+02 8.29220406e+00
5.493800e+02 9.07948537e+00
5.495780e+02 1.03026284e+01
5.497770e+02 1.22306178e+01
5.499750e+02 1.54544858e+01
5.501730e+02 2.12908078e+01
5.502720e+02 2.60772712e+01
5.503710e+02 3.30793844e+01
5.504310e+02 3.94857256e+01
5.504710e+02 4.37567320e+01
5.505700e+02 6.07329877e+01
5.506690e+02 8.89335899e+01
5.507680e+02 1.36397043e+02
5.508840e+02 2.23101392e+02
5.510000e+02 2.88300109e+02
5.511170e+02 2.40816270e+02
5.512330e+02 1.58441556e+02
5.513430e+02 1.05913304e+02
5.514520e+02 7.46648405e+01
5.515620e+02 5.57443092e+01
5.516710e+02 4.37196600e+01
5.516740e+02 4.35324206e+01
5.518900e+02 3.00539225e+01
