Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
1338.83 41.1410
1340.00 51.7641
1341.17 41.7293
1342.34 26.1408
1343.49 16.2313
1344.63 10.6162
1345.78 7.35121
1346.92 5.34431
1348.07 4.04141
1349.21 3.15463
1351.50 2.06719
1353.79 1.45490
1356.08 1.07831
1360.66 0.659632
1365.24 0.445011
1369.82 0.320843
1374.40 0.242678
1378.98 0.190375
1388.15 0.126978
1397.31 0.0915644
1406.47 0.0698596
1415.63 0.0556546
1433.95 0.0389394
1452.27 0.0300333
1488.91 0.0219121
1525.56 0.0193446
1562.20 0.0195109
1598.84 0.0217611
1635.49 0.0264101
1663.60 0.0323758
1691.71 0.0418117
1719.83 0.0574797
1747.94 0.0858344
1762.00 0.109403
1776.05 0.144845
1790.11 0.201681
1797.14 0.243923
1800.65 0.270300
1802.41 0.285147
1804.16 0.301268
1805.92 0.318823
1807.68 0.337966
1809.44 0.358905
1811.19 0.381872
1812.95 0.407136
1814.71 0.435012
1816.46 0.465875
1818.22 0.500163
1821.74 0.581218
1825.25 0.683782
1828.76 0.816141
1832.28 0.990958
1835.79 1.22840
1839.31 1.56170
1842.82 2.04935
1846.33 2.80056
1849.85 4.03621
1851.61 4.96969
1853.36 6.24574
1855.12 8.03621
1856.88 10.6143
1858.63 14.3997
1860.39 19.9414
1863.05 31.8706
1865.70 39.7754
1868.36 31.7788
1871.01 19.8484
1873.03 13.6674
1875.04 9.68834
1877.06 7.11387
1879.07 5.39959
1883.10 3.37387
1887.13 2.28906
1891.17 1.64842
1895.20 1.24105
1903.26 0.773898
1911.32 0.527400
1919.38 0.382054
1927.44 0.289366
1935.51 0.226727
1951.63 0.150015
1967.75 0.106696
1983.88 0.0799290
2000.00 0.0623010
2038.97 0.0386391
2077.94 0.0282067
2097.42 0.0265822
2116.91 0.0297676
2126.65 0.0369282
2131.52 0.0446820
2136.39 0.0592797
2141.26 0.0909848
2143.70 0.122706
2146.13 0.180471
2147.35 0.229036
2148.57 0.302966
2149.79 0.423533
2151.00 0.639801
2151.61 0.819235
2152.22 1.08889
2152.83 1.52105
2153.44 2.27779
2154.05 3.78667
2154.35 5.17958
2154.66 7.49554
2154.96 11.7924
2155.12 15.4335
2155.19 17.9062
2155.27 21.0068
2155.34 24.9590
2155.38 27.3513
2155.42 30.0901
2155.46 33.2423
2155.50 36.8901
2155.53 41.1362
2155.57 46.1080
2155.61 51.9650
2155.65 58.9066
2155.72 77.0935
2155.80 103.367
2155.88 141.137
2155.94 181.170
2156.00 225.994
2156.12 280.888
2156.18 263.310
2156.24 223.368
2156.36 139.664
2156.49 80.7583
2156.63 50.2351
2156.77 33.6362
2156.90 23.9496
2157.04 17.8081
2157.18 13.7276
2157.45 8.85511
2157.73 6.16285
2158.00 4.53628
2158.54 2.74998
2159.09 1.84316
2159.64 1.32292
2160.18 0.996252
2160.73 0.778584
2161.82 0.514760
2162.92 0.367530
2164.01 0.277037
2165.10 0.217490
2167.29 0.146487
2169.48 0.107467
2173.85 0.0684173
2178.22 0.0505192
2182.59 0.0412521
2191.34 0.0341964
2200.09 0.0366755
2204.46 0.0426571
2208.83 0.0553431
2213.20 0.0842311
2215.39 0.113548
2217.58 0.167234
2218.67 0.212496
2219.76 0.281398
2220.86 0.393790
2221.95 0.595559
2222.50 0.762963
2223.04 1.01392
2223.59 1.41649
2224.13 2.11907
2224.68 3.51943
2224.95 4.80405
2225.23 6.94012
2225.50 10.8901
2225.64 14.2379
2225.77 19.3044
2225.84 22.9389
2225.91 27.5785
2225.95 30.4189
2225.98 33.6975
2226.01 37.5026
2226.05 41.9439
2226.08 47.3241
2226.12 53.5098
2226.15 60.8526
2226.18 69.6095
2226.25 92.6400
2226.32 125.403
2226.38 160.875
2226.43 200.594
2226.54 250.073
2226.60 234.666
2226.65 199.382
2226.76 124.453
2226.85 86.1931
2226.93 61.3947
2227.01 45.2622
2227.10 34.4617
2227.26 21.6355
2227.43 14.7608
2227.59 10.6551
2227.76 8.05072
2228.09 5.04174
2228.42 3.44767
2228.75 2.50489
2229.08 1.90216
2229.41 1.49390
2230.08 0.992508
2230.74 0.708163
2231.40 0.531576
2232.06 0.414468
2233.39 0.273691
2234.71 0.195509
2236.03 0.147627
2237.36 0.116178
2240.01 0.0786949
2242.65 0.0580315
2247.95 0.0371034
2253.25 0.0271529
2258.54 0.0215868
2269.14 0.0157771
2290.32 0.0111133
2311.51 0.00911898
2353.88 0.00728121
2396.25 0.00650042
2438.62 0.00631130
2480.99 0.00675969
2523.36 0.00837905
2544.54 0.0101543
2565.73 0.0134139
2588.62 0.0209639
2600.06 0.0285558
2611.50 0.0424499
2617.23 0.0541800
2622.95 0.0721146
2628.67 0.101539
2634.39 0.154853
2637.25 0.199468
2640.11 0.267131
2642.97 0.376945
2645.84 0.572819
2647.27 0.734237
2648.70 0.975098
2650.13 1.35803
2651.56 2.01970
2651.92 2.26127
2652.27 2.54877
2652.63 2.89455
2652.99 3.31407
2653.35 3.83283
2653.70 4.48051
2653.88 4.86830
2654.06 5.30815
2654.42 6.38149
2654.78 7.81527
2655.13 9.77451
2655.49 12.5600
2655.85 16.6620
2656.21 23.0440
2656.56 33.5038
2656.74 41.3345
2656.92 51.8163
2657.10 65.9382
2657.28 84.6738
2657.63 135.481
2657.98 169.135
2658.34 135.205
2658.69 84.5696
2659.02 53.3349
2659.36 35.3441
2659.69 24.6831
2660.02 18.0711
