Zn-66(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
20815.1 22.7043
20815.3 14.1913
20815.4 9.38353
20815.5 6.44064
20815.6 4.61822
20815.7 3.53196
20815.9 2.18974
20816.1 1.47993
20816.5 0.800530
20817.0 0.499766
20817.8 0.246708
20818.6 0.148172
20820.3 0.0714887
20822.0 0.0429914
20828.8 0.0142021
20842.3 0.00660815
20869.3 0.00457694
20923.3 0.00391061
21031.4 0.00350502
21247.6 0.00312639
21463.7 0.00316366
21517.8 0.00338207
21571.8 0.00398601
21598.8 0.00471502
21625.9 0.00634192
21639.4 0.00802757
21652.9 0.0112503
21659.6 0.0141343
21666.4 0.0189495
21673.1 0.0295162
21676.5 0.0486151
21678.2 0.102716
21679.1 0.277900
21679.5 0.793631
21679.7 1.98250
21679.8 4.03178
21679.9 9.87275
21680.0 16.1276
21680.0 19.7076
21680.1 16.1279
21680.1 9.87338
21680.2 4.35257
21680.3 2.35758
21680.5 0.992040
21680.8 0.349461
21681.6 0.131756
21683.1 0.0730049
21686.0 0.0709427
21689.0 0.0923486
21691.9 0.134090
21694.8 0.218476
21696.3 0.296012
21697.8 0.423062
21699.3 0.655418
21700.0 0.849527
21700.7 1.13674
21701.5 1.59829
21702.2 2.36907
21703.0 3.79292
21703.7 6.46324
21704.3 10.3271
21705.0 12.8973
21705.7 10.3260
21706.3 6.46244
21707.0 3.95344
21707.7 2.55882
21708.3 1.75986
21709.0 1.27374
21709.7 0.960392
21710.3 0.748214
21711.7 0.490732
21713.0 0.345117
21714.4 0.255820
21717.0 0.157088
21719.7 0.106355
21722.4 0.0771170
21725.1 0.0586373
21727.7 0.0463052
21733.1 0.0312968
21738.4 0.0228794
21749.1 0.0142691
21759.8 0.0101778
21770.5 0.00791812
21791.9 0.00563739
21813.3 0.00456698
21834.7 0.00398080
21877.5 0.00339575
22048.7 0.00286939
22391.1 0.00302501
22733.5 0.00370701
22904.7 0.00431956
22990.3 0.00474403
23033.1 0.00505105
23054.5 0.00545909
23065.2 0.00663438
23070.6 0.0110079
23073.2 0.0275589
23074.6 0.0882297
23075.2 0.291958
23075.6 0.852929
23075.7 2.07969
23075.8 3.71769
23075.9 8.27987
23076.0 16.4741
23076.1 8.19956
23076.2 4.39603
23076.2 2.73406
23076.4 1.30611
23076.6 0.487722
23077.1 0.152247
23078.1 0.0459077
23080.0 0.0160004
23083.9 0.00803735
23091.7 0.00602436
23107.3 0.00560740
23138.6 0.00570280
23201.1 0.00618371
23326.0 0.00750756
23388.5 0.00837705
23451.0 0.00943308
23482.2 0.0100472
23513.5 0.0107297
23544.7 0.0114906
23575.9 0.0123416
23607.2 0.0132976
23638.4 0.0143754
23669.7 0.0155960
23700.9 0.0169844
23763.4 0.0203967
23825.8 0.0249638
23888.3 0.0312706
23950.8 0.0404819
24013.3 0.0572778
24028.9 0.0661351
24044.5 0.0844125
24052.3 0.105294
24056.2 0.124152
24060.1 0.155630
24064.1 0.215398
24066.0 0.267848
24068.0 0.351418
24069.9 0.496095
24071.9 0.776465
24072.8 1.02503
24073.8 1.40945
24074.8 2.04265
24075.8 3.07768
24076.9 4.88973
24078.0 6.08157
24079.1 4.87254
24080.3 3.07851
24081.0 2.24571
24081.7 1.68187
24083.2 1.02193
24084.7 0.686305
24086.1 0.498090
24087.6 0.383565
24089.1 0.309267
24092.0 0.222798
24095.4 0.171121
24098.8 0.142785
24105.6 0.115171
24119.3 0.0980891
