Mo-95(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
635.054 5.07067
636.041 5.00854
638.015 4.91318
641.964 4.74922
645.912 4.57573
649.861 4.37338
653.810 4.12727
655.784 3.98413
656.771 3.90938
657.758 3.83852
658.745 3.79213
659.239 3.80017
659.732 3.86894
660.226 4.10479
660.473 4.38486
660.720 4.93441
660.966 6.14139
661.090 7.32209
661.213 9.37357
661.337 13.3237
661.398 16.7817
661.460 22.1987
661.522 31.2580
661.583 47.7297
661.614 61.2650
661.645 80.8627
661.676 109.892
661.707 152.826
661.753 247.472
661.800 314.871
661.847 257.842
661.893 165.786
661.928 117.547
661.963 85.9765
661.998 65.2168
662.033 51.1848
662.103 34.2950
662.173 25.0655
662.243 19.4997
662.313 15.9009
662.452 11.6681
662.592 9.35828
662.732 7.95055
663.011 6.37470
663.290 5.54070
663.570 5.03457
664.128 4.45459
664.687 4.12739
665.246 3.91054
666.363 3.62473
668.598 3.29892
670.833 3.23099
671.950 3.38662
673.068 3.82248
674.185 4.83378
675.302 7.14417
675.861 9.31980
676.420 12.8274
676.979 18.7599
677.537 29.5000
677.817 38.2491
678.096 50.9672
678.375 70.2220
678.655 100.855
678.934 152.869
679.213 248.691
679.353 327.991
679.493 443.850
679.632 616.553
679.772 873.601
679.986 1456.72
680.200 1897.25
680.414 1580.55
680.628 1028.62
680.794 725.503
680.960 527.471
681.126 397.883
681.292 310.576
681.292 310.490
681.293 310.185
681.294 309.882
681.295 309.319
681.297 308.199
681.303 305.977
681.313 301.564
681.334 293.069
681.376 277.157
681.459 249.126
681.627 204.969
681.961 147.246
682.295 112.355
682.630 89.6314
683.299 62.6672
683.967 47.7380
684.636 38.5136
685.305 32.3591
686.643 24.8104
687.980 20.4497
689.318 17.6547
691.993 14.3322
694.668 12.4541
697.343 11.2639
700.019 10.4734
700.687 10.3371
701.356 10.2611
701.691 10.2870
701.858 10.3432
702.025 10.4631
702.192 10.7215
702.276 10.9601
702.359 11.3461
702.443 12.0148
702.527 13.2898
702.568 14.3859
702.610 16.0524
702.652 18.6684
702.694 22.7977
702.747 30.5288
702.800 35.6597
702.853 30.4664
702.906 22.7057
702.948 18.6038
702.989 15.9887
703.030 14.3114
703.071 13.2024
703.154 11.8933
703.236 11.1921
703.319 10.7742
703.402 10.5051
703.567 10.1866
703.732 10.0079
703.897 9.89352
704.227 9.75255
704.887 9.60559
705.548 9.53997
706.208 9.56350
706.538 9.64179
706.869 9.82036
707.199 10.2312
707.364 10.6352
707.529 11.3346
707.694 12.6761
707.777 13.8516
707.859 15.6992
707.942 18.8272
708.024 24.6381
708.066 29.5389
708.107 36.8382
708.148 48.0755
708.189 65.3381
708.245 99.2078
708.300 121.749
708.355 99.1619
708.411 65.3530
708.447 49.8067
708.483 39.1674
708.555 26.8054
708.628 20.5001
708.700 16.9610
708.772 14.7974
708.844 13.3895
708.989 11.7318
709.133 10.8301
709.278 10.2846
709.566 9.67893
709.855 9.36034
710.144 9.16592
710.722 8.93667
711.300 8.79814
711.878 8.69830
713.033 8.54991
714.189 8.43365
715.345 8.33401
717.656 8.16412
722.279 7.89449
726.901 7.68361
731.524 7.51210
736.146 7.37057
738.458 7.31157
739.613 7.28687
740.769 7.26848
741.925 7.26437
742.503 7.27497
743.080 7.30584
743.369 7.33630
743.658 7.38578
743.947 7.46958
744.236 7.62209
744.525 7.93455
744.669 8.22675
744.814 8.71846
744.958 9.63756
745.031 10.4251
745.103 11.6410
745.175 13.6496
745.247 17.2484
745.319 24.3931
745.356 30.6082
745.392 39.7376
745.446 59.3226
745.500 72.3902
745.554 59.3440
745.608 39.7628
745.656 28.4713
745.703 21.6502
745.750 17.4718
745.797 14.8059
745.891 11.7766
745.985 10.2179
746.079 9.31826
746.173 8.75567
746.362 8.11855
746.550 7.78484
746.738 7.58795
746.926 7.46150
747.115 7.37495
747.491 7.26582
747.868 7.20050
748.621 7.12492
749.374 7.07982
750.127 7.04714
751.633 6.99690
753.139 6.95453
754.646 6.91461
757.658 6.83365
760.670 6.74027
762.177 6.68296
763.683 6.61237
764.436 6.56950
765.189 6.51956
765.942 6.46073
766.695 6.39245
767.072 6.35648
767.448 6.32359
767.825 6.30436
768.201 6.32964
768.390 6.38457
768.578 6.50208
768.766 6.74490
768.954 7.26128
769.143 8.46101
769.237 9.66224
769.331 11.7600
769.425 15.7638
769.472 19.1972
769.519 24.4169
769.566 32.7894
769.613 46.9653
769.637 57.8523
769.660 72.6190
769.684 92.8792
769.707 120.493
769.731 156.199
769.754 198.180
769.800 257.870
769.823 248.609
769.846 217.097
769.893 144.135
769.947 88.8526
770.001 59.7084
770.055 43.5810
770.110 33.9380
770.164 27.7579
770.218 23.5663
770.326 18.3978
770.435 15.4327
770.543 13.5632
770.760 11.3971
770.977 10.2148
771.194 9.48658
771.411 8.99894
771.627 8.65262
772.061 8.19693
772.495 7.91274
772.929 7.71937
773.362 7.57943
774.230 7.38999
775.097 7.26686
775.964 7.17950
776.832 7.11354
778.566 7.01863
780.301 6.95154
783.771 6.85779
787.240 6.79061
790.709 6.73681
797.648 6.64998
811.526 6.51300
825.404 6.39315
825.404 6.39315
825.405 6.39314
