Ag-107(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
235.536 1.91988
235.572 1.23530
235.602 0.845793
235.633 0.608621
235.663 0.462376
235.694 0.368696
235.755 0.261719
235.816 0.206352
235.938 0.154274
236.061 0.131601
236.305 0.112878
236.550 0.105604
237.527 0.0988612
239.483 0.103011
241.439 0.117406
243.395 0.148682
245.351 0.220409
246.329 0.293409
247.306 0.427319
247.795 0.540290
248.284 0.712643
248.773 0.994533
249.262 1.50244
249.507 1.92518
249.751 2.56273
249.996 3.58952
250.240 5.39943
250.362 6.87457
250.485 9.05091
250.607 12.4589
250.729 18.2186
250.851 29.1064
250.913 38.5638
250.974 53.3885
251.004 64.1608
251.035 78.3812
251.065 97.7584
251.096 124.749
251.126 163.822
251.157 221.908
251.188 311.302
251.218 448.300
251.259 716.319
251.300 894.574
251.321 842.113
251.341 716.178
251.382 448.135
251.415 301.943
251.448 210.300
251.481 152.413
251.514 114.644
251.580 70.7421
251.647 47.6345
251.713 34.1383
251.779 25.6204
251.911 15.9200
252.043 10.8304
252.175 7.84298
252.308 5.94204
252.440 4.65888
252.704 3.08838
252.969 2.20158
253.233 1.65227
253.498 1.28905
254.027 0.853787
254.555 0.613374
255.084 0.467261
255.613 0.372466
256.671 0.263681
257.729 0.213832
258.258 0.207276
258.787 0.225688
259.051 0.262193
259.316 0.366588
259.448 0.501056
259.514 0.624782
259.580 0.830206
259.646 1.20660
259.679 1.52389
259.712 2.00336
259.745 2.77654
259.778 4.10880
259.811 6.61779
259.844 11.5777
259.872 18.4405
259.900 22.9933
259.928 18.4162
259.956 11.5802
259.973 8.53590
259.991 6.41547
260.026 3.91399
260.061 2.61517
260.095 1.87637
260.130 1.42210
260.165 1.12491
260.235 0.774639
260.305 0.585063
260.375 0.471587
260.514 0.349222
260.793 0.256424
261.073 0.227241
261.631 0.227075
262.190 0.273333
262.748 0.393918
263.027 0.517133
263.306 0.739380
263.586 1.19694
263.725 1.63073
263.865 2.37638
264.005 3.81884
264.074 5.10449
264.144 7.17365
264.214 10.7984
264.284 17.9374
264.319 24.3289
264.354 34.4795
264.388 51.3821
264.423 80.0479
264.443 102.482
264.462 128.124
264.500 160.070
264.538 127.971
264.577 80.0234
264.618 47.6657
264.659 30.3049
264.700 20.5790
264.741 14.7781
264.782 11.0758
264.823 8.59769
264.905 5.60004
264.987 3.93301
265.069 2.91728
265.233 1.79578
265.397 1.22445
265.562 0.895178
265.890 0.549860
266.218 0.382031
266.546 0.288273
267.203 0.193957
267.859 0.153978
268.516 0.147088
268.844 0.164022
269.008 0.185139
269.172 0.225190
269.336 0.308136
269.418 0.385328
269.500 0.513678
269.582 0.748876
269.623 0.945857
269.664 1.24300
269.705 1.71864
269.746 2.53031
269.787 4.02911
269.828 6.93401
269.864 11.0420
269.900 13.7799
269.936 11.0425
269.972 6.93387
270.011 4.08819
270.051 2.59151
270.091 1.76910
270.131 1.28395
270.171 0.976557
270.210 0.771869
270.290 0.525117
270.369 0.388499
270.449 0.305170
270.608 0.212905
270.767 0.165419
270.926 0.137572
271.244 0.107398
271.880 0.0823786
272.516 0.0715373
275.060 0.0565157
280.148 0.0518520
285.237 0.0578807
290.325 0.0752486
292.869 0.0913971
295.413 0.116920
297.957 0.159715
300.501 0.238576
301.774 0.305374
303.046 0.407725
304.318 0.576056
305.590 0.882023
306.226 1.13895
306.862 1.52981
307.498 2.16716
308.134 3.31145
308.452 4.26086
308.770 5.68777
309.088 7.97589
309.247 9.67686
309.406 11.9863
309.565 15.2322
309.724 19.9961
309.883 27.3890
310.042 39.7488
310.122 49.2919
310.201 62.6786
310.281 82.2392
310.360 112.316
310.440 161.653
310.519 249.503
310.559 320.496
310.599 422.059
310.638 570.862
310.678 787.093
310.739 1260.23
310.800 1575.88
310.861 1259.81
310.922 786.649
310.989 461.403
311.057 289.960
311.124 195.438
311.191 139.446
311.258 104.032
311.325 80.3843
311.460 51.9315
311.594 36.1980
311.729 26.6404
311.997 16.1293
312.266 10.7926
312.535 7.72324
312.804 5.79763
313.073 4.51210
313.611 2.95579
314.148 2.08602
314.686 1.55138
315.224 1.19954
316.299 0.780100
317.374 0.549312
318.450 0.409109
319.525 0.317821
321.676 0.211112
323.827 0.156999
324.902 0.144012
325.978 0.147410
326.515 0.166646
326.784 0.188853
327.053 0.230908
327.322 0.320184
327.456 0.406030
327.591 0.554726
327.725 0.844361
327.792 1.10383
327.860 1.52326
327.927 2.26232
327.994 3.73067
328.028 5.05727
328.061 7.18372
328.095 10.7692
328.128 16.9436
328.164 27.0636
328.200 33.7827
328.236 27.0358
328.272 16.9460
328.308 10.4314
328.344 6.80370
328.380 4.71145
328.416 3.43841
328.452 2.61369
328.488 2.05589
328.560 1.37290
328.632 0.989438
328.704 0.753701
328.849 0.491519
328.993 0.356750
329.137 0.278335
329.425 0.194959
329.714 0.153406
330.002 0.129354
330.579 0.103234
331.732 0.0806160
332.886 0.0697883
337.500 0.0523040
342.114 0.0510376
343.268 0.0549318
344.421 0.0661844
344.998 0.0810997
345.286 0.0954687
345.575 0.120844
345.863 0.172572
346.007 0.221582
346.152 0.306116
346.296 0.470983
346.368 0.619402
346.440 0.860980
346.512 1.29146
346.548 1.64428
346.584 2.16310
346.620 2.96863
346.656 4.28517
346.692 6.57266
346.728 10.6653
346.764 17.0401
346.800 21.2927
346.836 17.0420
346.872 10.6678
346.897 7.58627
346.922 5.53270
346.947 4.15835
346.972 3.21728
347.021 2.07163
347.071 1.44212
347.121 1.06266
347.171 0.818721
347.271 0.535328
347.370 0.383840
347.470 0.293949
347.669 0.197295
347.869 0.149467
348.068 0.122608
348.466 0.0956132
349.264 0.0780123
350.061 0.0750472
351.656 0.0834224
353.250 0.105644
354.845 0.150508
355.642 0.189739
356.439 0.251059
357.237 0.354453
358.034 0.550204
358.433 0.723801
358.831 1.01205
359.030 1.24586
359.230 1.62531
359.329 1.94560
359.429 2.50333
359.479 2.99431
359.529 3.81625
359.579 5.38550
359.628 8.73391
359.664 12.8412
359.700 15.6097
359.736 13.0440
359.772 9.16402
359.813 6.45743
359.855 5.16017
359.938 4.29282
360.104 4.61389
360.271 6.02833
360.437 8.70334
360.603 13.9512
360.686 18.6158
360.770 26.0592
360.853 38.9579
360.894 49.2024
360.936 63.8309
360.977 85.6535
361.019 119.464
361.040 143.479
361.061 174.245
361.081 213.721
361.102 263.611
361.127 337.394
361.151 421.714
361.200 527.086
361.225 496.062
361.249 421.643
361.298 263.524
361.342 170.858
361.385 115.498
361.429 81.8962
361.472 60.5710
361.559 36.5692
361.646 24.3051
361.733 17.2621
361.820 12.8765
361.994 7.93597
362.168 5.37286
362.342 3.87717
362.515 2.92982
362.689 2.29244
363.037 1.51486
363.385 1.07700
363.733 0.806317
364.081 0.627401
364.776 0.413061
365.472 0.294528
366.168 0.222229
366.863 0.175004
368.254 0.119671
369.646 0.0919162
370.341 0.0858720
371.037 0.0897145
371.385 0.102359
371.559 0.116260
371.733 0.141839
371.906 0.194243
371.993 0.242987
372.080 0.324309
372.167 0.474354
372.211 0.601208
372.254 0.793723
372.298 1.10532
372.341 1.64758
372.385 2.67562
372.406 3.52842
372.428 4.73521
372.464 7.54901
372.500 9.41872
372.536 7.54087
372.572 4.73510
372.608 2.93979
372.644 1.93207
372.679 1.35012
372.715 0.994726
372.787 0.606953
372.858 0.414983
372.930 0.306737
373.001 0.240105
373.144 0.165662
373.287 0.127087
373.430 0.104438
373.717 0.0799582
374.289 0.0598162
374.861 0.0511352
376.006 0.0429506
377.150 0.0392310
378.295 0.0384502
379.439 0.0431424
380.012 0.0518200
380.298 0.0608054
380.584 0.0771660
380.870 0.111156
381.013 0.143621
381.156 0.199759
381.299 0.309509
381.371 0.408275
381.442 0.568949
381.514 0.855470
381.550 1.08979
381.585 1.43390
381.621 1.96727
381.657 2.83685
381.693 4.34824
381.728 7.03537
381.764 11.2472
381.800 14.0455
381.836 11.2358
381.872 7.03672
381.895 5.12876
381.918 3.81268
381.964 2.27535
382.010 1.48812
382.057 1.04438
382.103 0.773202
382.149 0.596555
382.241 0.389192
382.334 0.277322
382.426 0.210429
382.611 0.138162
382.796 0.102373
382.981 0.0824914
383.350 0.0640553
383.720 0.0606671
384.089 0.0740992
384.274 0.0968378
384.459 0.156397
384.551 0.226707
384.644 0.379543
384.690 0.531444
384.736 0.801401
384.782 1.32951
384.805 1.78222
384.829 2.43912
384.864 3.88518
384.900 4.84519
384.936 3.88083
384.972 2.43876
385.008 1.49056
385.045 0.969976
385.082 0.673007
385.119 0.493675
385.193 0.300248
385.266 0.205315
385.414 0.119372
385.561 0.0829316
385.856 0.0530566
386.150 0.0411552
386.739 0.0314820
387.329 0.0274518
389.686 0.0221149
394.400 0.0197884
399.114 0.0215636
400.293 0.0240120
401.471 0.0307684
402.061 0.0398008
402.650 0.0641597
402.945 0.0960935
403.092 0.126440
403.239 0.178905
403.386 0.281518
403.460 0.374213
403.534 0.525275
403.607 0.795860
403.644 1.01783
403.681 1.34629
403.718 1.85894
403.755 2.70308
403.792 4.18499
403.828 6.87163
403.864 10.9893
403.900 13.7247
403.936 10.9781
403.972 6.87296
403.995 4.99414
404.018 3.70243
404.065 2.20185
404.111 1.43446
404.158 1.00386
404.205 0.740542
404.251 0.569576
404.344 0.368978
404.437 0.260694
404.530 0.195955
404.716 0.125938
404.903 0.0909880
405.089 0.0711882
405.461 0.0509785
406.206 0.0372011
406.950 0.0348160
407.695 0.0389871
408.439 0.0561327
408.812 0.0803479
408.998 0.103914
409.184 0.145350
409.370 0.228331
409.463 0.305000
409.556 0.433061
409.649 0.670886
409.696 0.873505
409.742 1.18486
409.789 1.69653
409.835 2.60495
409.882 4.38537
409.905 5.91882
409.928 8.13832
409.964 13.0046
410.000 16.2472
410.036 13.0057
410.072 8.13969
410.096 5.84155
410.120 4.29070
410.144 3.23746
410.168 2.51324
410.217 1.62284
410.265 1.12882
410.313 0.829022
410.361 0.635057
410.458 0.408999
410.554 0.287578
410.651 0.215249
410.844 0.137081
411.037 0.0980228
411.230 0.0757837
411.616 0.0527553
412.389 0.0356249
413.161 0.0295759
414.705 0.0256688
416.250 0.0250792
419.339 0.0288348
420.111 0.0323401
420.884 0.0412575
421.270 0.0527396
421.656 0.0827568
421.849 0.120814
421.946 0.155945
422.042 0.214779
