35-Br_n-tot
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.586650e+02 6.75224788e+00
1.587870e+02 6.65223624e+00
1.590310e+02 6.52428908e+00
1.592760e+02 6.44210875e+00
1.595200e+02 6.38118897e+00
1.599770e+02 6.29386922e+00
1.600090e+02 6.28890386e+00
1.609860e+02 6.17795645e+00
1.619630e+02 6.08347822e+00
1.639790e+02 5.90348476e+00
1.658720e+02 5.77399219e+00
1.679820e+02 5.63249290e+00
1.697810e+02 5.54326491e+00
1.736900e+02 5.34692529e+00
1.759860e+02 5.23171199e+00
1.775980e+02 5.17098795e+00
1.795530e+02 5.10364294e+00
1.815070e+02 5.05469899e+00
1.834620e+02 5.06774325e+00
1.839910e+02 5.10815577e+00
1.844390e+02 5.14506906e+00
1.854160e+02 5.35023162e+00
1.859050e+02 5.55237583e+00
1.863930e+02 5.88781413e+00
1.868820e+02 6.47403647e+00
1.873710e+02 7.58385104e+00
1.876150e+02 8.52885318e+00
1.878590e+02 9.96452438e+00
1.881040e+02 1.22702442e+01
1.882260e+02 1.39743931e+01
1.883480e+02 1.62626429e+01
1.884700e+02 1.94281339e+01
1.885920e+02 2.39522689e+01
1.887140e+02 3.07098560e+01
1.888360e+02 4.13414771e+01
1.889590e+02 5.92922073e+01
1.890200e+02 7.31445687e+01
1.890810e+02 9.23761528e+01
1.891420e+02 1.19949790e+02
1.892030e+02 1.60610572e+02
1.892640e+02 2.22019278e+02
1.893250e+02 3.14640351e+02
1.894130e+02 5.09127510e+02
1.895000e+02 6.46030848e+02
1.895880e+02 5.26562903e+02
1.896750e+02 3.36482286e+02
1.897590e+02 2.16673277e+02
1.898420e+02 1.47028125e+02
1.899250e+02 1.05607672e+02
1.900090e+02 7.96664039e+01
1.901760e+02 5.07500067e+01
1.903420e+02 3.60278939e+01
1.905090e+02 2.75745429e+01
1.906760e+02 2.22905334e+01
1.910100e+02 1.63505114e+01
1.913430e+02 1.34040579e+01
1.916770e+02 1.21607686e+01
1.918440e+02 1.22508115e+01
1.919950e+02 1.32117230e+01
1.920100e+02 1.33072054e+01
1.920940e+02 1.45974703e+01
1.921770e+02 1.69557409e+01
1.922610e+02 2.14002417e+01
1.923440e+02 2.99228218e+01
1.924220e+02 4.28605913e+01
1.925000e+02 5.17137099e+01
1.925780e+02 4.31527859e+01
1.926560e+02 3.00632680e+01
1.927130e+02 2.33815486e+01
1.927710e+02 1.89748798e+01
1.928860e+02 1.40639298e+01
1.930000e+02 1.16191677e+01
1.931150e+02 1.02339100e+01
1.933450e+02 8.76430267e+00
1.935740e+02 7.99930950e+00
1.940330e+02 7.18679162e+00
1.944920e+02 6.73456811e+00
1.954100e+02 6.20963207e+00
1.959980e+02 6.00922235e+00
1.963280e+02 5.89694810e+00
1.979990e+02 5.55760075e+00
1.981640e+02 5.52434752e+00
1.990000e+02 5.42291730e+00
2.000000e+02 5.30509901e+00
2.012180e+02 5.22890842e+00
2.018270e+02 5.20905290e+00
2.024360e+02 5.22360590e+00
2.027400e+02 5.25882812e+00
2.028620e+02 5.28807217e+00
2.030440e+02 5.33626477e+00
2.033490e+02 5.48796288e+00
2.036530e+02 5.78831398e+00
2.039580e+02 6.44767826e+00
2.041100e+02 7.08871514e+00
2.042620e+02 8.19292084e+00
2.044140e+02 1.02877644e+01
2.044910e+02 1.20921804e+01
2.045670e+02 1.48714927e+01
2.046430e+02 1.94095448e+01
2.047190e+02 2.73737542e+01
2.047950e+02 4.25526084e+01
2.048330e+02 5.52229133e+01
2.048710e+02 7.31510941e+01
2.049030e+02 9.33048607e+01
2.049360e+02 1.16635140e+02
2.050000e+02 1.47855826e+02
2.050650e+02 1.22080033e+02
2.051290e+02 7.99594906e+01
2.051780e+02 5.74831371e+01
2.052270e+02 4.28197558e+01
2.052770e+02 3.32352177e+01
2.053260e+02 2.67974840e+01
2.054240e+02 1.90720519e+01
2.055220e+02 1.48613378e+01
2.056210e+02 1.23259921e+01
2.057190e+02 1.06859070e+01
2.057230e+02 1.06466991e+01
2.059160e+02 8.75856111e+00
2.061130e+02 7.70511319e+00
2.063090e+02 7.06174595e+00
2.065060e+02 6.63670467e+00
2.067030e+02 6.33910509e+00
2.070960e+02 5.95508979e+00
2.074890e+02 5.72121850e+00
2.078830e+02 5.56467617e+00
2.082760e+02 5.45250689e+00
2.085850e+02 5.39297433e+00
2.090630e+02 5.31447143e+00
2.093000e+02 5.29100213e+00
2.098490e+02 5.26560964e+00
2.100150e+02 5.26518536e+00
2.103730e+02 5.30962693e+00
2.107310e+02 5.46150596e+00
2.109100e+02 5.65437717e+00
2.110880e+02 6.07837364e+00
2.111780e+02 6.49451404e+00
2.112670e+02 7.21579217e+00
2.113570e+02 8.56509492e+00
2.114230e+02 1.05305358e+01
2.114460e+02 1.12160607e+01
2.115230e+02 1.49428267e+01
2.116000e+02 1.74573921e+01
2.116770e+02 1.50287193e+01
2.117540e+02 1.13176910e+01
2.118060e+02 9.54830463e+00
2.118580e+02 8.34631173e+00
2.119630e+02 6.96765946e+00
2.120670e+02 6.27295060e+00
2.121720e+02 5.88364040e+00
2.123800e+02 5.48903929e+00
2.125890e+02 5.30173648e+00
2.129960e+02 5.13340623e+00
2.130070e+02 5.12898682e+00
2.134240e+02 5.05209015e+00
2.145700e+02 4.96942105e+00
2.150950e+02 4.93586753e+00
2.177160e+02 4.89187351e+00
2.184360e+02 4.88454600e+00
2.217760e+02 4.96056921e+00
2.240100e+02 5.15556157e+00
2.251170e+02 5.25599831e+00
2.267870e+02 5.58085653e+00
2.284580e+02 6.14186041e+00
2.301280e+02 7.15599112e+00
2.303040e+02 7.36486946e+00
2.317990e+02 9.14239389e+00
2.326340e+02 1.08750248e+01
2.334690e+02 1.35602221e+01
2.343040e+02 1.79785105e+01
2.351390e+02 2.58757551e+01
2.355570e+02 3.23230361e+01
2.359750e+02 4.18012751e+01
2.363920e+02 5.64570987e+01
2.368100e+02 8.06693999e+01
2.372270e+02 1.24426758e+02
2.374360e+02 1.60569346e+02
2.376450e+02 2.14192888e+02
2.378540e+02 2.97684498e+02
2.380630e+02 4.35215704e+02
2.382710e+02 6.75396194e+02
2.384800e+02 1.10708096e+03
2.386900e+02 1.79343228e+03
2.389000e+02 2.27107767e+03
2.391100e+02 1.84220844e+03
2.393200e+02 1.16881065e+03
2.395270e+02 7.35201924e+02
2.397340e+02 4.88132399e+02
2.399420e+02 3.43549937e+02
2.401490e+02 2.54146589e+02
2.403560e+02 1.95685936e+02
2.405630e+02 1.55644510e+02
2.409770e+02 1.06057774e+02
2.413910e+02 7.77537412e+01
2.418060e+02 6.01022054e+01
2.426340e+02 4.01007857e+01
2.428910e+02 3.68366886e+01
2.434630e+02 2.95726214e+01
2.442910e+02 2.33196489e+01
2.451200e+02 1.92808102e+01
2.459480e+02 1.65070979e+01
2.460380e+02 1.63176748e+01
2.476050e+02 1.30212830e+01
2.491840e+02 1.10667437e+01
2.492620e+02 1.09703737e+01
2.507580e+02 9.77689506e+00
2.509190e+02 9.64899218e+00
2.515450e+02 9.30608874e+00
2.523310e+02 8.87978425e+00
2.525760e+02 8.75011080e+00
2.531180e+02 8.57115011e+00
2.535110e+02 8.45069196e+00
2.539050e+02 8.34460281e+00
2.542980e+02 8.27366669e+00
2.544950e+02 8.26811504e+00
2.546910e+02 8.30807152e+00
