Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
100.746 10.8548
100.995 16.0318
101.120 20.2051
101.244 26.3174
101.368 35.7951
101.493 51.6430
101.617 81.1974
101.679 106.574
101.741 145.815
101.804 211.010
101.866 329.192
101.897 426.314
101.928 568.048
101.959 779.648
101.990 1094.12
102.035 1751.17
102.080 2189.47
102.125 1749.82
102.170 1093.11
102.213 684.531
102.257 451.889
102.300 315.481
102.343 231.484
102.430 139.518
102.517 94.0593
102.604 68.9312
102.690 54.1068
102.864 40.2320
103.037 39.3901
103.124 44.3676
103.210 55.8216
103.297 80.9129
103.340 104.442
103.384 143.243
103.427 213.208
103.449 270.737
103.470 355.302
103.492 486.948
103.514 701.686
103.535 1076.42
103.557 1742.13
103.579 2769.20
103.600 3448.16
103.622 2767.83
103.643 1740.26
103.660 1183.46
103.677 830.850
103.694 606.311
103.711 458.538
103.746 286.111
103.780 194.817
103.814 141.250
103.848 107.303
103.917 68.4179
103.985 47.8421
104.053 35.6279
104.190 22.3848
104.327 15.6636
104.464 11.7402
104.737 7.49682
105.011 5.31576
105.285 4.01888
105.832 2.58306
106.379 1.82830
106.926 1.37503
108.021 0.873348
109.115 0.612954
110.209 0.459395
112.398 0.293713
114.587 0.210402
116.776 0.162547
121.153 0.112818
121.153 0.112817
121.154 0.112811
121.155 0.112805
121.156 0.112793
121.159 0.112770
121.166 0.112724
121.178 0.112632
121.203 0.112448
121.253 0.112083
121.353 0.111362
121.554 0.109957
121.954 0.107290
122.755 0.102479
124.357 0.0946535
127.560 0.0846351
133.967 0.0836681
137.170 0.0980641
138.772 0.114228
140.373 0.143631
141.975 0.203008
142.776 0.257958
143.577 0.350372
144.378 0.525198
144.778 0.678925
145.178 0.925097
145.579 1.35811
145.979 2.23429
146.179 3.05864
146.380 4.47137
146.580 7.20569
146.680 9.65362
146.780 13.6259
146.780 13.6361
146.781 13.6619
146.781 13.6877
146.782 13.7343
146.784 13.8282
146.788 14.0244
146.795 14.4240
146.809 15.2766
146.839 17.2267
146.897 22.4567
146.956 30.4917
147.014 43.7356
147.043 53.8403
147.073 67.7840
147.102 87.8879
147.131 118.007
147.160 166.053
