Ge-74(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2.57091E+06 0.00313628
2.60000E+06 0.00311691
2.60436E+06 0.00311217
2.63578E+06 0.00307801
2.63578E+06 0.00307801
2.70603E+06 0.00300163
2.73046E+06 0.00297507
2.73370E+06 0.00297155
2.73370E+06 0.00297154
2.74799E+06 0.00295601
2.74799E+06 0.00295601
2.78955E+06 0.00291082
2.78955E+06 0.00291082
2.80000E+06 0.00289946
2.86710E+06 0.00282092
2.87460E+06 0.00281214
2.88078E+06 0.00280491
2.90004E+06 0.00278237
2.91626E+06 0.00276338
2.96542E+06 0.00270584
2.97556E+06 0.00269398
2.97606E+06 0.00269339
2.97606E+06 0.00269339
2.98012E+06 0.00268864
2.98975E+06 0.00267737
3.00000E+06 0.00266537
3.00343E+06 0.00265938
3.00343E+06 0.00265938
3.01407E+06 0.00264081
3.01408E+06 0.00264080
3.04600E+06 0.00258506
3.04601E+06 0.00258505
3.05817E+06 0.00256381
3.07540E+06 0.00253373
3.09020E+06 0.00250789
3.10186E+06 0.00248754
3.12334E+06 0.00245004
3.12335E+06 0.00245003
3.20000E+06 0.00231620
3.50000E+06 0.00183060
3.70000E+06 0.00151858
4.00000E+06 0.00116135
4.50000E+06 0.000864095
4.64858E+06 0.000818169
5.00000E+06 0.000709546
6.00000E+06 0.000669126
6.37328E+06 0.000610215
6.37329E+06 0.000610215
7.00000E+06 0.000511307
8.00000E+06 0.000404129
9.00000E+06 0.000337457
1.00000E+07 0.000308575
1.03353E+07 0.000311786
1.03353E+07 0.000311786
1.10000E+07 0.000318150
1.11573E+07 0.000326387
1.20000E+07 0.000370517
1.22694E+07 0.000386352
1.30000E+07 0.000429295
1.40000E+07 0.000465908
1.50000E+07 0.000468762
1.57149E+07 0.000444152
1.60000E+07 0.000434337
1.70000E+07 0.000366249
1.72108E+07 0.000348477
1.80000E+07 0.000281940
1.90000E+07 0.000203807
2.00000E+07 0.000146672
