Ca-44(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
74984.4 0.000707988
75164.4 0.00111009
75254.4 0.00150681
75344.4 0.00222121
75434.4 0.00371105
75479.4 0.00515235
75524.4 0.00769065
75569.4 0.0128015
75591.9 0.0175594
75614.4 0.0255840
75636.9 0.0406910
75648.1 0.0537731
75659.4 0.0742023
75665.0 0.0889810
75670.6 0.108457
75676.3 0.134850
75681.9 0.171486
75687.5 0.224105
75693.1 0.301817
75698.8 0.419769
75704.4 0.599011
75712.1 0.958309
75719.9 1.19723
75727.7 0.957565
75735.4 0.598384
75741.0 0.420088
75746.6 0.302672
75752.2 0.225102
75757.8 0.172539
75768.9 0.109339
75780.1 0.0748985
75791.3 0.0543070
75802.4 0.0411187
75824.7 0.0258701
75847.1 0.0177556
75869.4 0.0129463
75891.7 0.00986607
75914.0 0.00777685
75958.7 0.00520727
76003.3 0.00374866
76048.0 0.00284197
76092.6 0.00224056
76181.9 0.00151737
76271.2 0.00111581
76449.8 0.000708813
76628.4 0.000517151
76806.9 0.000411958
77164.1 0.000306537
77878.4 0.000231167
78592.7 0.000205773
81450.0 0.000193181
84307.3 0.000220050
85735.9 0.000259104
86093.1 0.000284749
86450.3 0.000346698
86628.8 0.000426989
86807.4 0.000647311
86986.0 0.00178357
87075.3 0.00600770
87097.6 0.0100843
87119.9 0.0206976
87131.1 0.0338902
87136.7 0.0458242
87142.3 0.0653426
87147.8 0.100366
87150.6 0.129227
87153.4 0.172080
87156.2 0.239048
87159.0 0.350247
87161.8 0.547201
87164.6 0.908417
87167.2 1.45437
87169.9 1.81647
87172.6 1.45208
87175.2 0.908310
87178.1 0.543373
87180.9 0.346078
87183.7 0.235408
87186.5 0.169246
87189.4 0.126866
87192.2 0.0984800
87197.8 0.0640254
87203.5 0.0448344
87209.2 0.0331406
87220.5 0.0202270
87231.8 0.0136425
87243.1 0.00984848
87265.7 0.00587028
87288.3 0.00393711
87310.9 0.00285535
87356.1 0.00175178
87446.5 0.000941388
87537.0 0.000652721
87717.8 0.000446537
87898.7 0.000376742
88260.4 0.000333288
88622.1 0.000325483
88983.8 0.000328759
89345.5 0.000337099
89707.2 0.000348515
90068.9 0.000362261
90430.7 0.000378070
90792.4 0.000395898
91154.1 0.000415824
91515.8 0.000438010
91877.5 0.000462684
92239.2 0.000490138
92962.6 0.000554893
93686.1 0.000636089
94409.5 0.000739183
95132.9 0.000872009
95856.3 0.00104588
96579.7 0.00127718
97303.2 0.00158916
98026.6 0.00201297
98750.0 0.00258296
100000 0.00391104
101500 0.00496986
102239 0.00463432
102608 0.00442087
102793 0.00481917
102885 0.00704622
102908 0.00935642
102931 0.0157103
102943 0.0241764
102954 0.0460950
102960 0.0736543
102966 0.138098
102969 0.210977
102972 0.361138
102973 0.508524
102974 0.738408
102976 1.14140
102977 1.93742
102979 3.05321
102980 3.86406
102981 3.05307
102983 1.93021
102984 1.22119
102985 0.830610
102987 0.577169
102988 0.430601
102990 0.259163
102993 0.172476
102995 0.123120
102998 0.0925062
103003 0.0586838
103013 0.0305091
103022 0.0195088
103042 0.0110636
103062 0.00792694
103102 0.00557710
103141 0.00470245
103300 0.00370413
103616 0.00314497
104250 0.00247473
105086 0.00184281
105922 0.00140472
107593 0.000884565
109265 0.000614863
110937 0.000463761
114280 0.000319250
117624 0.000267129
120967 0.000259778
124310 0.000285806
127654 0.000351719
129326 0.000410233
130161 0.000462005
130579 0.000544879
130684 0.000613495
130788 0.000796436
130841 0.00104384
130893 0.00172893
130919 0.00265952
130945 0.00520648
130958 0.00860361
130971 0.0174639
130984 0.0560848
130991 0.152376
130994 0.327854
130996 0.529152
130997 0.931039
130999 1.48132
131000 1.85820
131001 1.74705
131001 1.48128
131003 0.927655
131005 0.512293
131006 0.310525
