73-Ta_n-g
> 73-Ta-181:1.000000
2.238100e+01 4.35380000e+00
2.245420e+01 5.65381000e+00
2.249080e+01 6.78808000e+00
2.252740e+01 8.62821000e+00
2.256410e+01 1.19791000e+01
2.258240e+01 1.48230000e+01
2.260070e+01 1.92029000e+01
2.261900e+01 2.64532000e+01
2.263730e+01 3.95966000e+01
2.265560e+01 6.62539000e+01
2.266480e+01 8.99653000e+01
2.267390e+01 1.25480000e+02
2.268700e+01 1.98394000e+02
2.270000e+01 2.46933000e+02
2.271310e+01 1.98422000e+02
2.272610e+01 1.25622000e+02
2.273500e+01 9.08775000e+01
2.274400e+01 6.74968000e+01
2.276190e+01 4.10274000e+01
2.277970e+01 2.79264000e+01
2.279760e+01 2.07388000e+01
2.283330e+01 1.37456000e+01
2.286910e+01 1.07254000e+01
2.294060e+01 8.58524000e+00
2.301200e+01 8.30990000e+00
2.315500e+01 9.95331000e+00
2.329800e+01 1.41635000e+01
2.336940e+01 1.78317000e+01
2.344090e+01 2.34034000e+01
2.351240e+01 3.23631000e+01
2.358390e+01 4.80336000e+01
2.361960e+01 6.06657000e+01
2.365540e+01 7.91215000e+01
2.369110e+01 1.07579000e+02
2.372680e+01 1.54716000e+02
2.376260e+01 2.40926000e+02
2.378050e+01 3.13383000e+02
2.379830e+01 4.23119000e+02
2.381620e+01 5.99350000e+02
2.383410e+01 9.03577000e+02
2.385190e+01 1.47374000e+03
2.386090e+01 1.94327000e+03
2.386980e+01 2.60185000e+03
2.388490e+01 4.16007000e+03
2.390000e+01 5.19701000e+03
2.391510e+01 4.15692000e+03
2.393020e+01 2.59815000e+03
2.394200e+01 1.77044000e+03
2.395380e+01 1.24468000e+03
2.396560e+01 9.08453000e+02
2.397740e+01 6.86397000e+02
2.400100e+01 4.26392000e+02
2.402460e+01 2.88332000e+02
2.404820e+01 2.07215000e+02
2.407180e+01 1.55848000e+02
2.411900e+01 9.71384000e+01
2.416620e+01 6.62437000e+01
2.421340e+01 4.80601000e+01
2.426060e+01 3.64718000e+01
2.430780e+01 2.86440000e+01
2.440230e+01 1.90562000e+01
2.449670e+01 1.36352000e+01
2.459110e+01 1.02766000e+01
2.468550e+01 8.05378000e+00
2.487430e+01 5.38920000e+00
2.506310e+01 3.91574000e+00
2.525190e+01 3.01819000e+00
2.544080e+01 2.43292000e+00
2.581840e+01 1.74599000e+00
2.619600e+01 1.38014000e+00
2.695130e+01 1.04536000e+00
2.770660e+01 9.39196000e-01
2.846190e+01 9.56744000e-01
2.921710e+01 1.17409000e+00
2.940600e+01 1.35802000e+00
2.959480e+01 1.81731000e+00
2.968920e+01 2.39339000e+00
2.973640e+01 2.92925000e+00
2.978360e+01 3.83917000e+00
2.983080e+01 5.57842000e+00
2.985440e+01 7.11295000e+00
2.987800e+01 9.56019000e+00
2.990160e+01 1.37942000e+01
2.992520e+01 2.19774000e+01
2.993700e+01 2.91615000e+01
2.994880e+01 4.03458000e+01
2.996060e+01 5.84815000e+01
2.997240e+01 8.82592000e+01
2.998620e+01 1.40546000e+02
3.000000e+01 1.75380000e+02
3.001380e+01 1.40487000e+02
3.002760e+01 8.81907000e+01
3.003760e+01 6.21827000e+01
3.004750e+01 4.50470000e+01
3.005750e+01 3.37448000e+01
3.006740e+01 2.60968000e+01
3.008730e+01 1.69157000e+01
3.010720e+01 1.19218000e+01
3.012710e+01 8.94312000e+00
3.014700e+01 7.03646000e+00
3.018680e+01 4.83839000e+00
3.022660e+01 3.67453000e+00
3.026640e+01 2.98929000e+00
3.034600e+01 2.26340000e+00
3.050520e+01 1.72779000e+00
3.066430e+01 1.56123000e+00
3.130110e+01 1.60761000e+00
3.193780e+01 1.98423000e+00
3.257450e+01 2.67604000e+00
3.321120e+01 4.01932000e+00
3.352960e+01 5.23312000e+00
3.384800e+01 7.25940000e+00
3.416630e+01 1.11357000e+01
3.432550e+01 1.46524000e+01
3.448470e+01 2.05731000e+01
3.456430e+01 2.52502000e+01
3.464390e+01 3.20330000e+01
3.472350e+01 4.25078000e+01
3.476330e+01 5.00794000e+01
3.480300e+01 6.01474000e+01
3.484280e+01 7.39960000e+01
3.488260e+01 9.38396000e+01
3.492240e+01 1.23824000e+02
3.496220e+01 1.72337000e+02
3.500200e+01 2.58556000e+02
3.502190e+01 3.29127000e+02
3.504180e+01 4.33336000e+02
3.506170e+01 5.95388000e+02
3.508160e+01 8.62807000e+02
3.510150e+01 1.33283000e+03
3.512140e+01 2.18641000e+03
3.514070e+01 3.48945000e+03
3.516000e+01 4.35840000e+03
3.517930e+01 3.48901000e+03
3.519860e+01 2.18757000e+03
3.521930e+01 1.31231000e+03
3.523990e+01 8.42667000e+02
3.526060e+01 5.81144000e+02
3.528130e+01 4.25614000e+02
3.530200e+01 3.27419000e+02
3.532260e+01 2.62363000e+02
3.536400e+01 1.86103000e+02
3.540530e+01 1.47158000e+02
3.544660e+01 1.27495000e+02
3.552930e+01 1.21174000e+02
3.557060e+01 1.31437000e+02
3.561200e+01 1.52563000e+02
3.565330e+01 1.89794000e+02
3.569470e+01 2.54799000e+02
3.573600e+01 3.75021000e+02
3.575670e+01 4.75066000e+02
3.577730e+01 6.24021000e+02
3.579800e+01 8.56843000e+02
3.581870e+01 1.24259000e+03
3.583930e+01 1.92255000e+03
3.586000e+01 3.15989000e+03
3.588000e+01 5.04445000e+03
3.590000e+01 6.29900000e+03
3.592000e+01 5.03960000e+03
3.594000e+01 3.15330000e+03
3.595230e+01 2.33302000e+03
3.596450e+01 1.75670000e+03
3.598900e+01 1.06694000e+03
3.601350e+01 7.04803000e+02
3.603800e+01 4.97284000e+02
3.606240e+01 3.68884000e+02
3.608690e+01 2.84488000e+02
3.613590e+01 1.84458000e+02
3.618490e+01 1.29874000e+02
3.623390e+01 9.69262000e+01
3.633180e+01 6.08547000e+01
3.642980e+01 4.25957000e+01
3.652770e+01 3.21203000e+01
3.672360e+01 2.13164000e+01
3.691950e+01 1.64024000e+01
3.711540e+01 1.41270000e+01
3.750720e+01 1.37776000e+01
3.770310e+01 1.53525000e+01
3.789900e+01 1.84808000e+01
3.809490e+01 2.41418000e+01
3.829080e+01 3.47120000e+01
