Hg-200(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3.00000E+07 4.92470
3.01136E+07 4.91396
3.10000E+07 4.83282
3.20000E+07 4.74648
3.30000E+07 4.66505
3.36807E+07 4.61214
3.40000E+07 4.58798
3.45816E+07 4.54498
3.50000E+07 4.51480
3.60000E+07 4.44993
3.65817E+07 4.41755
3.67945E+07 4.40657
3.70000E+07 4.39638
3.79789E+07 4.35286
3.80000E+07 4.35200
3.90000E+07 4.31498
3.90117E+07 4.31459
4.00000E+07 4.28380
4.00049E+07 4.28366
4.09327E+07 4.26090
4.10000E+07 4.25953
4.20000E+07 4.24347
4.30000E+07 4.23474
4.32684E+07 4.23354
4.33289E+07 4.23333
4.40000E+07 4.23257
4.50000E+07 4.23630
4.59328E+07 4.24284
4.60000E+07 4.24337
4.70000E+07 4.25231
4.80000E+07 4.26412
4.90000E+07 4.27969
4.91745E+07 4.28285
5.00000E+07 4.29980
5.10000E+07 4.32238
5.20000E+07 4.34492
5.22247E+07 4.34999
5.23113E+07 4.35195
5.30000E+07 4.36752
5.40000E+07 4.39025
5.50000E+07 4.41320
5.53605E+07 4.42154
5.58675E+07 4.43330
5.60000E+07 4.43638
5.70000E+07 4.45957
5.80000E+07 4.48254
5.89940E+07 4.50491
5.90000E+07 4.50505
5.93350E+07 4.51245
6.00000E+07 4.52690
6.10000E+07 4.54759
6.20000E+07 4.56687
6.25620E+07 4.57718
6.30000E+07 4.58498
6.40000E+07 4.60209
6.50000E+07 4.61840
6.60000E+07 4.63327
6.70000E+07 4.64614
6.80000E+07 4.65732
6.84331E+07 4.66171
6.90000E+07 4.66709
7.00000E+07 4.67570
7.10000E+07 4.68302
7.18420E+07 4.68799
7.20000E+07 4.68880
7.30000E+07 4.69315
7.40000E+07 4.69616
7.50000E+07 4.69790
7.56075E+07 4.69837
7.60000E+07 4.69844
7.70000E+07 4.69780
7.80000E+07 4.69598
7.90000E+07 4.69301
7.95350E+07 4.69095
8.00000E+07 4.68890
8.10000E+07 4.68378
8.20000E+07 4.67776
8.30000E+07 4.67083
8.40000E+07 4.66298
8.50000E+07 4.65420
8.60000E+07 4.64465
8.70000E+07 4.63443
8.80000E+07 4.62353
8.90000E+07 4.61189
9.00000E+07 4.59950
9.10000E+07 4.58645
9.20000E+07 4.57288
9.30000E+07 4.55885
9.40000E+07 4.54441
9.50000E+07 4.52960
9.60000E+07 4.51441
9.70000E+07 4.49881
9.80000E+07 4.48279
9.90000E+07 4.46635
1.00000E+08 4.44950
1.02000E+08 4.41503
1.04000E+08 4.37987
1.06000E+08 4.34405
1.08000E+08 4.30762
1.10000E+08 4.27060
1.12000E+08 4.23328
1.14000E+08 4.19589
1.16000E+08 4.15839
1.18000E+08 4.12073
1.20000E+08 4.08290
1.22000E+08 4.04532
1.24000E+08 4.00830
1.26000E+08 3.97163
1.28000E+08 3.93515
1.30000E+08 3.89870
1.32000E+08 3.86259
1.34000E+08 3.82715
1.36000E+08 3.79233
1.38000E+08 3.75806
1.40000E+08 3.72430
1.42000E+08 3.69113
1.44000E+08 3.65863
1.46000E+08 3.62673
1.48000E+08 3.59537
1.50000E+08 3.56450
