Nd-150(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2332.94 5.22723
2334.45 4.52562
2335.97 4.07974
2337.48 3.77067
2339.00 3.54303
2342.03 3.22748
2345.06 3.01595
2351.12 2.74069
2357.18 2.55920
2363.24 2.42223
2375.36 2.21086
2399.60 1.87630
2423.85 1.55840
2448.09 1.20487
2460.21 0.999357
2472.33 0.762523
2484.45 0.482603
2490.51 0.326554
2496.57 0.174022
2499.60 0.114352
2501.12 0.0957087
2502.63 0.0901802
2504.15 0.105013
2505.66 0.151807
2507.18 0.249733
2507.94 0.327414
2508.69 0.431755
2509.45 0.571382
2510.21 0.757713
2510.97 1.00696
2511.73 1.34185
2512.48 1.79736
2513.24 2.42365
2514.00 3.30251
2514.76 4.56108
2515.51 6.42240
2516.27 9.27460
2517.03 13.8821
2517.79 21.8227
2518.54 36.8954
2518.92 49.8368
2519.30 69.6021
2519.68 101.653
2520.06 157.070
2520.44 260.197
2520.82 460.466
2521.16 762.334
2521.50 984.070
2521.84 812.572
2522.19 524.482
2522.57 317.348
2522.95 205.656
2523.33 142.993
2523.71 105.250
2524.09 80.9849
2524.47 64.5183
2525.23 44.2537
2526.00 32.6975
2526.76 25.4531
2528.28 17.1493
2529.80 12.6797
2531.33 9.96221
2532.85 8.16213
2534.37 6.89580
2537.42 5.24558
2540.47 4.22565
2543.52 3.53325
2546.56 3.03032
2552.66 2.33932
2558.75 1.87390
2570.94 1.24662
2583.13 0.798425
2595.32 0.425662
2601.41 0.256664
2604.46 0.179730
2607.51 0.117143
2609.03 0.0986776
2610.55 0.0993180
2612.08 0.139406
2612.84 0.187908
2613.60 0.270338
2614.36 0.409498
2615.13 0.648674
2615.51 0.830893
2615.89 1.07883
2616.27 1.42337
2616.65 1.91361
2617.03 2.63926
2617.41 3.75969
2617.79 5.59493
2618.17 8.85591
2618.36 11.5121
2618.55 15.3776
2618.74 21.3496
2618.93 31.0810
2619.13 48.5530
2619.22 62.7424
2619.32 83.5298
2619.41 115.357
2619.51 166.598
2619.60 253.326
2619.70 403.295
2619.80 655.880
2619.90 829.807
2620.00 671.877
2620.11 426.544
2620.21 266.663
2620.31 175.952
2620.41 123.098
2620.51 90.4889
2620.62 69.2178
2620.72 54.6623
2620.92 36.6640
2621.13 26.4069
2621.33 20.0137
2621.74 12.7748
2622.15 8.96554
2622.55 6.70230
2622.96 5.23980
2623.37 4.23682
2624.18 2.97077
2625.00 2.22411
2625.82 1.74032
2626.63 1.40525
2628.26 0.974648
2629.89 0.712133
2633.16 0.409166
2636.42 0.241048
2639.68 0.138436
2641.32 0.103253
2642.95 0.0766931
2646.21 0.0462819
2649.47 0.0441703
2652.74 0.0708421
2654.37 0.0958053
2656.00 0.129201
2659.26 0.224263
2662.52 0.363264
2665.79 0.556070
2669.05 0.815900
2672.31 1.16042
2678.84 2.20693
2685.37 4.01110
2691.89 7.19781
2698.42 13.1196
2701.68 17.9891
2704.94 25.0807
2708.21 35.7771
2711.47 52.6377
2714.73 80.7324
2718.00 130.887
2721.26 227.753
2722.89 309.058
2724.52 425.072
2727.36 720.736
2730.20 951.855
2733.05 802.646
2735.89 527.770
2737.64 401.301
2739.40 310.240
2742.91 198.271
2746.41 137.380
2749.92 101.314
2753.43 78.2897
2756.93 62.6843
2763.95 43.3509
2770.96 32.0982
2777.98 24.8090
2792.01 15.7914
2806.03 9.93836
2813.05 7.42922
2820.06 4.95494
2827.08 2.44324
2830.59 1.27137
2832.34 0.787921
2833.22 0.598586
2834.09 0.462302
2834.97 0.398658
2835.85 0.435548
2836.29 0.503410
2836.72 0.611978
2837.16 0.768867
2837.60 0.983108
2838.48 1.63063
2839.35 2.67411
2840.23 4.29514
2841.11 6.77285
2841.98 10.5658
2842.86 16.4256
2843.74 25.6604
2844.61 40.6322
2845.49 65.9597
2846.37 110.986
2847.24 195.584
2847.68 264.168
2848.12 359.420
2849.01 650.248
2849.90 912.228
2850.80 813.838
2851.69 563.462
2852.33 425.547
2852.97 328.663
2853.60 261.277
2854.24 213.570
2855.52 152.734
2856.79 117.122
2858.07 94.3874
2859.34 78.9143
2861.89 59.5445
2864.44 48.1099
2867.00 40.6534
2872.10 31.5928
2877.20 26.3100
