U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
63.3443 6.88488
63.4281 6.97894
63.4490 7.12112
63.4700 7.48356
63.4805 7.88948
63.4909 8.70007
63.4962 9.43140
63.5014 10.5941
63.5067 12.5378
63.5119 15.8315
63.5176 21.3629
63.5234 25.0418
63.5292 21.3404
63.5349 15.8061
63.5397 12.6965
63.5446 10.7835
63.5494 9.59285
63.5542 8.82175
63.5639 7.93381
63.5735 7.46669
63.5929 7.01391
63.6122 6.80309
63.6894 6.49331
63.8440 6.23928
64.1530 5.84666
64.4621 5.54752
64.7712 5.58550
64.9257 5.95720
65.0802 6.88677
65.1575 7.73119
65.1961 8.30046
65.2348 8.99873
65.2541 9.40586
65.2734 9.85775
65.2927 10.3598
65.3120 10.9180
65.3313 11.5400
65.3507 12.2335
65.3700 13.0087
65.3893 13.8759
65.4086 14.8491
65.4279 15.9430
65.4666 18.5672
65.5052 21.9363
65.5438 26.3190
65.5825 32.1119
65.6211 39.9103
65.6597 50.6528
65.6983 65.8703
65.7370 88.1979
65.7756 122.426
65.8142 178.051
65.8529 275.888
65.8722 354.591
65.8915 468.691
65.9108 641.923
65.9301 920.822
65.9495 1406.87
65.9591 1793.79
65.9688 2347.06
65.9784 3169.58
65.9881 4441.17
65.9978 6480.25
66.0074 9778.94
66.0193 15928.2
66.0312 20249.5
66.0431 16470.6
66.0549 10475.0
66.0661 6710.52
66.0774 4513.09
66.0886 3201.56
66.0998 2379.37
66.1111 1835.84
66.1223 1460.73
66.1448 992.201
66.1672 722.351
66.1897 553.029
66.2346 359.896
66.2796 257.556
66.3245 196.468
66.3694 156.870
66.4144 129.603
66.5042 95.2344
66.5941 74.9808
66.6839 61.9004
66.7738 52.8822
66.9535 41.4405
67.1333 34.6060
67.3130 30.1240
67.4028 28.4307
67.4478 27.6991
67.4927 27.3129
67.5042 27.4772
67.5157 26.9784
67.5539 26.1501
67.5922 25.6305
67.6687 24.7132
67.8216 23.1723
68.1276 20.8861
68.4335 19.2738
68.7395 18.0773
69.3514 16.4193
69.9633 15.3209
70.5752 14.5340
71.1871 13.9375
71.7990 13.4657
72.1049 13.2656
72.2579 13.1805
72.3344 13.1665
72.3535 13.1826
72.3726 13.2339
72.3822 13.2945
72.3917 13.4159
72.4013 13.6915
72.4061 13.9623
72.4108 14.4024
72.4166 15.1942
72.4223 15.7210
72.4281 15.1877
72.4338 14.3894
72.4379 13.9981
72.4420 13.7377
72.4501 13.4439
72.4582 13.2976
72.4663 13.2154
72.4825 13.1297
72.4987 13.0858
72.5636 13.0081
72.6933 12.9246
72.9527 12.7862
73.4715 12.5389
74.5091 12.1157
76.5843 11.4249
77.6220 11.1021
78.1408 10.9320
78.6596 10.7460
79.1784 10.5306
79.4378 10.4063
79.6972 10.2703
79.8269 10.2015
79.9566 10.1402
80.0863 10.1058
80.2160 10.1549
80.2809 10.2585
80.3457 10.4803
80.4106 10.9441
80.4754 11.9566
80.5078 12.9000
