31-Ga_n-g
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
3.361500e+02 5.01700928e+00
3.366910e+02 3.46233429e+00
3.372320e+02 2.57960062e+00
3.377730e+02 2.03071881e+00
3.383140e+02 1.66617621e+00
3.393960e+02 1.22678753e+00
3.404780e+02 9.81474364e-01
3.415600e+02 8.30103986e-01
3.422890e+02 7.62435364e-01
3.426420e+02 7.33486763e-01
3.448060e+02 6.34787744e-01
3.469700e+02 5.88112800e-01
3.475360e+02 5.82403130e-01
3.491340e+02 5.86008511e-01
3.512980e+02 6.04236672e-01
3.527830e+02 6.23768457e-01
3.556260e+02 7.35664817e-01
3.580290e+02 8.37694698e-01
3.599540e+02 1.00264756e+00
3.606530e+02 1.06357343e+00
3.632760e+02 1.45775940e+00
3.642820e+02 1.74428216e+00
3.659000e+02 2.20638586e+00
3.672120e+02 2.85318678e+00
3.685230e+02 3.85639623e+00
3.686100e+02 3.96666012e+00
3.698350e+02 5.51996710e+00
3.711470e+02 8.52355488e+00
3.718030e+02 1.09801239e+01
3.724580e+02 1.45468083e+01
3.731140e+02 1.98386214e+01
3.737700e+02 2.76734299e+01
3.747350e+02 4.41832180e+01
3.757000e+02 5.50645640e+01
3.766650e+02 4.38944103e+01
3.772660e+02 3.36150370e+01
3.776300e+02 2.73894060e+01
3.785860e+02 1.69313561e+01
3.795420e+02 1.10561391e+01
3.804980e+02 7.65905296e+00
3.814540e+02 5.57788425e+00
3.824100e+02 4.22937201e+00
3.833660e+02 3.31276647e+00
3.852780e+02 2.18956916e+00
3.859220e+02 1.97656882e+00
3.871900e+02 1.55751189e+00
3.891020e+02 1.16832058e+00
3.929260e+02 7.34365472e-01
3.967500e+02 5.10425791e-01
4.005740e+02 3.79549757e-01
4.032350e+02 3.30791002e-01
4.082230e+02 2.40388713e-01
4.158710e+02 1.71285508e-01
4.205470e+02 1.46957979e-01
4.235190e+02 1.32030200e-01
4.292030e+02 1.17321485e-01
4.378590e+02 9.70376870e-02
4.388150e+02 9.53562439e-02
4.465150e+02 9.24269761e-02
4.508430e+02 9.54292821e-02
4.541110e+02 1.03478155e-01
4.551710e+02 1.06709745e-01
4.573350e+02 1.19118758e-01
