Ba-138(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
9917.30 21.2570
9917.43 29.1087
9917.55 42.7974
9917.68 69.0729
9917.74 91.1988
9917.80 123.159
9917.90 195.109
9918.00 243.499
9918.10 195.342
9918.20 123.453
9918.28 84.5854
9918.36 59.9685
9918.44 44.3859
9918.52 34.1763
9918.68 22.3170
9918.84 16.0669
9919.00 12.4129
9919.16 10.1047
9919.48 7.47906
9919.80 6.09475
9920.12 5.28264
9920.76 4.41353
9921.40 3.98376
9922.03 3.74031
9923.31 3.48885
9924.59 3.36808
9925.87 3.30093
9928.43 3.23252
9933.54 3.18195
9938.65 3.16349
9948.88 3.14951
9959.10 3.14403
10000.0 3.13661
10062.7 3.13170
10125.3 3.12787
10250.6 3.12107
10375.9 3.11489
10501.2 3.10915
10751.9 3.09868
11002.5 3.08926
11503.7 3.07260
12004.9 3.05789
12506.2 3.04438
13007.4 3.03164
13508.6 3.01935
13759.2 3.01337
13884.5 3.01069
13947.2 3.01064
13978.5 3.01601
13986.4 3.02226
13994.2 3.04049
13998.1 3.06614
14002.0 3.13864
14004.0 3.23877
14005.0 3.33795
14005.9 3.51725
14006.9 3.89309
14007.4 4.25856
14007.9 4.90581
14008.4 6.21925
14008.6 7.48424
14008.9 9.55096
14009.1 13.6695
14009.2 17.1542
14009.4 22.6253
14009.5 31.8698
14009.6 49.0817
14009.7 63.6119
14009.7 85.3694
14009.8 118.923
14009.8 171.953
14009.9 272.700
14010.0 341.045
14010.1 272.801
14010.2 172.082
14010.2 119.047
14010.3 85.4824
14010.3 63.7134
14010.4 49.1728
14010.5 31.9443
14010.6 22.6878
14010.8 17.2078
14010.9 13.7163
14011.1 9.70339
14011.4 7.51485
14011.6 6.28511
14012.1 4.96238
14012.6 4.29436
14013.1 3.92431
14014.0 3.54045
14015.0 3.35429
14016.0 3.25113
14017.9 3.14704
14021.8 3.07062
14025.6 3.04333
14033.4 3.02333
14041.1 3.01610
14072.0 3.00840
14133.9 3.00509
14257.6 3.00163
14505.1 2.99558
15000.0 2.98368
15000.0 2.98918
15000.1 2.98917
15000.2 2.98917
15000.3 2.98917
15000.6 2.98916
15001.2 2.98915
15002.5 2.98912
15004.9 2.98906
15009.8 2.98894
15019.6 2.98871
15039.1 2.98823
15078.1 2.98729
15156.3 2.98540
15312.5 2.98161
15625.0 2.97397
16250.0 2.95836
17500.0 2.92522
20000.0 2.84608
20000.0 2.84268
20000.0 2.84268
20000.1 2.84268
20000.1 2.84267
20000.1 2.84267
20000.3 2.84267
20000.5 2.84266
20001.0 2.84264
20002.1 2.84260
20004.1 2.84253
20008.2 2.84238
20016.4 2.84208
20032.7 2.84148
20065.5 2.84027
20130.9 2.83785
20261.8 2.83294
20523.6 2.82285
21047.1 2.80146
22094.2 2.75293
22617.7 2.72511
23141.2 2.69442
23664.8 2.66131
23795.7 2.65362
23926.6 2.64874
23992.0 2.65049
24024.7 2.65470
24057.4 2.66452
24090.2 2.68845
24106.5 2.71357
24122.9 2.76033
24131.1 2.80007
24139.2 2.86089
24147.4 2.96047
24155.6 3.13973
24159.7 3.28849
24163.8 3.51204
24167.9 3.87006
24172.0 4.49594
24176.0 5.73985
24178.1 6.88487
24180.1 8.77722
24182.2 12.2701
24183.2 15.2044
24184.2 19.6616
24185.3 26.9401
24186.3 39.4965
24187.3 63.2678
24187.8 83.0197
24188.3 110.973
24189.2 176.487
24190.0 219.516
24190.9 175.709
24191.7 111.041
24192.5 71.0060
24193.3 48.1134
24194.1 34.5159
24194.9 26.0205
24196.5 16.5600
24198.0 11.8269
24199.6 9.12071
24201.2 7.45545
24204.4 5.58905
24207.5 4.62228
24210.7 4.06159
24213.9 3.70596
24217.0 3.46774
24223.4 3.17651
24229.7 3.01279
24236.0 2.91144
24242.4 2.84431
24255.0 2.76343
24267.7 2.71825
24293.0 2.67150
24318.3 2.64839
24343.7 2.63474
24394.3 2.61888
24495.7 2.60180
24597.0 2.58991
25002.2 2.54877
25407.5 2.50515
25812.8 2.45592
26623.3 2.33337
27433.9 2.16079
27839.1 2.04430
28244.4 1.89665
28649.7 1.70321
29054.9 1.43931
29257.6 1.26854
29460.2 1.06215
29662.8 0.811111
29865.5 0.509662
30068.1 0.179682
30118.8 0.105766
30169.4 0.0453139
30194.8 0.0232996
30220.1 0.00919277
30245.4 0.00549351
30270.7 0.0154485
30296.1 0.0433276
30321.4 0.0947594
30346.7 0.177242
30372.1 0.300857
30397.4 0.479306
30422.7 0.731424
30448.1 1.08344
30473.4 1.57212
30498.7 2.25082
30524.0 3.19634
30549.4 4.52216
30574.7 6.39766
30600.0 9.07764
30625.4 12.9440
30650.7 18.5530
30676.0 26.6427
30728.0 53.4976
30780.0 81.8867
30806.0 84.5651
30832.0 78.5105
30884.0 57.9205
30924.5 44.6007
30965.1 35.1843
31005.6 28.6382
31046.1 23.9981
31086.6 20.6144
31127.2 18.0872
31147.4 17.0712
31167.7 16.2267
31177.8 15.9099
31182.9 15.8099
31188.0 15.7941
31193.0 15.9679
31195.6 16.2143
31198.1 16.6957
31200.6 17.6887
31201.9 18.5833
31203.2 19.9918
31204.4 22.3954
31205.7 26.7943
31206.3 30.5172
31207.0 35.9244
31207.6 44.0706
31208.2 56.3410
31209.1 81.7390
31210.0 98.5445
31210.9 81.6395
31211.8 56.5513
31212.3 45.7010
31212.9 38.0231
31213.9 28.8199
31215.0 23.8756
31216.1 21.0346
31217.2 19.2393
31218.2 18.0549
31220.4 16.6160
31222.5 15.7941
31224.7 15.2734
