28-Ni_n-tot
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
1.000070e+03 1.60035146e+01
1.000090e+03 1.60034896e+01
1.000120e+03 1.60034623e+01
1.000140e+03 1.60034438e+01
1.000170e+03 1.60034162e+01
1.000190e+03 1.60033978e+01
1.000250e+03 1.60033108e+01
1.000280e+03 1.60032690e+01
1.000350e+03 1.60031718e+01
1.000370e+03 1.60031440e+01
1.000490e+03 1.60029833e+01
1.000570e+03 1.60028747e+01
1.000690e+03 1.60027113e+01
1.000740e+03 1.60026433e+01
1.000980e+03 1.60023332e+01
1.001130e+03 1.60021388e+01
1.001380e+03 1.60018149e+01
1.001470e+03 1.60016983e+01
1.001960e+03 1.60010694e+01
1.002260e+03 1.60006864e+01
1.002760e+03 1.60000482e+01
1.002940e+03 1.59998185e+01
1.003910e+03 1.59985804e+01
1.004530e+03 1.59977897e+01
1.005520e+03 1.59965267e+01
1.005880e+03 1.59960674e+01
1.007810e+03 1.59935772e+01
1.009050e+03 1.59919794e+01
1.011030e+03 1.59894284e+01
1.011750e+03 1.59885009e+01
1.015630e+03 1.59835084e+01
1.018100e+03 1.59803476e+01
1.022060e+03 1.59752801e+01
1.023500e+03 1.59734377e+01
1.031250e+03 1.59635896e+01
1.036190e+03 1.59573746e+01
1.044110e+03 1.59474115e+01
1.047000e+03 1.59437777e+01
1.062500e+03 1.59244454e+01
1.072370e+03 1.59123994e+01
1.088220e+03 1.58930589e+01
1.094000e+03 1.58860111e+01
1.100000e+03 1.58788200e+01
1.125000e+03 1.58488569e+01
1.132340e+03 1.58404862e+01
1.144750e+03 1.58263481e+01
1.176450e+03 1.57902433e+01
1.187990e+03 1.57771242e+01
1.200000e+03 1.57640156e+01
1.217120e+03 1.57453296e+01
1.220560e+03 1.57415765e+01
1.242610e+03 1.57175940e+01
1.250000e+03 1.57095953e+01
1.253310e+03 1.57064694e+01
1.264670e+03 1.56957624e+01
1.271400e+03 1.56894722e+01
1.275700e+03 1.56855130e+01
1.280450e+03 1.56811880e+01
