Ni-64(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
153050 1.12545
153294 1.76220
153538 2.65647
154025 5.40409
155000 13.9635
155488 17.4357
155975 18.9767
156950 17.9949
157722 16.0727
158495 14.2860
159267 12.8058
160040 11.5853
160812 10.5271
161584 9.48401
161971 8.86600
162164 8.48522
162357 8.00860
162550 7.35224
162646 6.90222
162743 6.31242
162840 5.49279
162888 4.94995
162936 4.28202
162984 3.45437
163033 2.47436
163057 1.97561
163081 1.58362
163105 1.53060
163117 1.78152
163129 2.35073
163138 3.06595
163147 4.11088
163165 7.44368
163200 18.6148
163218 23.5630
163236 26.0790
163271 25.6149
163299 23.5136
163327 21.4639
163354 19.7549
163382 18.3826
163437 16.3889
163493 15.0501
163548 14.0974
163604 13.3894
163715 12.4035
163826 11.7457
163936 11.2703
164158 10.6160
164380 10.1722
164602 9.84041
165045 9.35534
165932 8.70957
166819 8.25072
168593 7.56469
170368 7.01378
172142 6.49141
173029 6.20648
173916 5.87282
174803 5.43471
175246 5.13961
175690 4.75098
176134 4.19811
176355 3.81780
176577 3.32694
176799 2.67266
177021 1.78804
177131 1.25364
177242 0.712049
177298 0.490753
177353 0.371137
177381 0.379360
177409 0.457233
177436 0.629993
177464 0.929666
177494 1.43242
177523 2.17792
177553 3.22203
177582 4.60926
177700 12.9089
177759 16.6505
177818 18.6218
177936 18.4286
178041 16.7137
178147 15.0656
178252 13.7387
178357 12.7063
178568 11.2545
178779 10.3050
178990 9.64225
179200 9.15429
179622 8.48235
180043 8.03742
180464 7.71718
181307 7.27729
182150 6.97909
182993 6.75571
184678 6.42685
186364 6.18045
188049 5.97626
188892 5.88342
189735 5.79572
190156 5.75686
190367 5.74191
190577 5.73530
190788 5.75103
190893 5.77989
190999 5.84193
191104 5.97935
191157 6.10860
191209 6.31905
191262 6.68423
191315 7.36737
191367 8.78191
191394 10.0436
191420 11.9343
191460 16.2127
191500 19.5106
191541 17.2713
191581 13.2391
191608 11.2869
191635 9.92675
191688 8.30715
191742 7.45604
191795 6.96304
191848 6.65157
191902 6.44190
192009 6.18335
192116 6.03260
192223 5.93468
192437 5.81399
192650 5.74012
192864 5.68787
193292 5.61329
193720 5.55716
194148 5.50965
195003 5.42694
196714 5.28122
198425 5.14355
200136 5.00358
201847 4.84735
202703 4.75125
203130 4.69241
203558 4.61940
203986 4.51854
204200 4.44769
204414 4.35038
204521 4.28506
204627 4.20186
204734 4.09074
204841 3.93321
204895 3.82595
204948 3.68888
205002 3.50716
205055 3.25504
205109 2.88077
205135 2.61862
205162 2.27792
205189 1.82258
205216 1.21678
205242 0.506615
205256 0.296912
205262 0.358578
205269 0.650295
205277 1.50137
205285 3.16534
205292 5.82605
205300 8.97123
205308 11.6486
205316 13.0738
205331 13.0344
205349 11.4993
205368 10.1493
205386 9.16331
205404 8.44885
205422 7.91555
205440 7.51022
205477 6.93588
205513 6.55017
205550 6.27552
205623 5.90945
205696 5.67672
205768 5.51520
205841 5.39606
205914 5.30426
206060 5.17058
206206 5.07679
206497 4.95011
206789 4.86461
207080 4.79995
207663 4.70179
208829 4.55611
209995 4.43275
211161 4.31403
212327 4.19189
212911 4.12709
213494 4.05791
214077 3.98805
214222 3.98006
214295 3.98467
214368 4.00454
214441 4.06261
214477 4.12519
214514 4.23674
214550 4.45108
214587 4.90631
214605 5.33435
214623 6.03693
214641 7.24570
214660 9.36948
214680 13.1920
214700 16.1952
214720 14.3034
214741 10.7809
214760 8.41219
214780 7.01767
214800 6.17542
214819 5.63950
214839 5.28011
214859 5.02780
214898 4.70485
214938 4.51194
214977 4.38597
215056 4.23333
215135 4.14438
215213 4.08538
215371 4.00910
215529 3.95834
215686 3.91912
216001 3.85609
216632 3.75044
217262 3.64834
217893 3.53849
218523 3.40750
218838 3.32272
218996 3.26951
219154 3.20243
219311 3.10868
219390 3.04253
219469 2.95176
219548 2.81432
219587 2.71281
219626 2.57100
219666 2.35701
219705 1.99565
219725 1.70516
219745 1.28061
219764 0.687165
219774 0.450503
219779 0.492199
219784 0.832238
219788 1.53399
219792 2.83467
219800 7.07738
219804 8.90766
219808 9.81152
219816 9.55128
219830 7.78111
219844 6.57478
219857 5.83337
219871 5.35017
219885 5.01276
219898 4.76832
219926 4.43624
219953 4.22074
219981 4.07027
220036 3.87194
220090 3.74531
220145 3.65616
220255 3.53560
220365 3.45406
220475 3.39235
220694 3.29845
221133 3.15816
221572 3.03834
222450 2.80552
223328 2.55385
224205 2.26421
225083 1.91275
225522 1.69786
225742 1.57363
225961 1.43155
226181 1.26033
226290 1.15702
226400 1.03504
226510 0.885672
226620 0.701146
226675 0.603142
226729 0.540472
226757 0.562590
226784 0.685672
226798 0.821484
226812 1.04274
226825 1.39376
226839 1.93728
226854 2.86508
226870 4.18771
226900 7.25224
226915 8.00139
226931 7.92357
226961 6.58447
226985 5.49508
227009 4.65725
227033 4.03766
227056 3.57610
227104 2.94933
227152 2.55146
227199 2.27607
227247 2.07356
227342 1.78940
227438 1.59272
227533 1.44219
227723 1.21264
228104 0.875822
228486 0.608290
228867 0.389457
229248 0.236860
229438 0.198458
229629 0.196339
229820 0.241841
230010 0.349110
230246 0.594078
230483 0.998978
230719 1.60540
230955 2.44869
231428 4.87589
231900 7.90171
232373 10.5495
232845 12.0765
233790 12.3003
234778 11.1404
235765 9.98936
236259 9.51513
236753 9.13881
236999 9.02281
237246 9.04516
237370 9.19238
237493 9.57791
237555 9.95574
237617 10.5692
237678 11.5842
237740 13.2616
237820 16.6925
237900 19.4472
237981 17.7534
238061 14.5139
238154 12.0186
238248 10.6514
238341 9.86193
238434 9.36556
238621 8.78154
238807 8.44252
238994 8.21076
239180 8.03468
239553 7.76817
240300 7.38840
241046 7.10030
242538 6.65597
244031 6.31234
247015 5.78712
250000 5.37231
250000 5.37229
252808 5.01550
253510 4.92371
254211 4.82857
254562 4.78181
254913 4.74810
255089 4.75514
255176 4.77826
255264 4.83239
255352 4.95539
255396 5.07035
255440 5.25376
255484 5.56061
255527 6.10006
255571 7.11207
255615 9.06944
255658 12.3068
255700 14.9935
255743 13.5678
255786 10.6279
255836 8.33939
255886 7.09762
255936 6.39418
255986 5.96459
256036 5.68220
256086 5.48636
256187 5.23548
256287 5.08306
256387 4.98036
256587 4.84788
256787 4.76190
256987 4.69780
257388 4.59983
257788 4.51986
258189 4.44735
258990 4.30922
260591 4.02052
262193 3.67370
263795 3.21170
264596 2.90749
265397 2.52680
266197 2.03664
266998 1.39752
267399 1.01872
267799 0.624871
268200 0.297463
268400 0.221386
268500 0.225806
268600 0.270375
268738 0.417854
268875 0.696759
269013 1.14524
269150 1.79885
269425 3.77637
269700 6.37213
269975 8.77384
270250 10.2878
270800 10.8408
271336 10.1121
271871 9.26611
272407 8.54896
272943 7.97373
273478 7.51452
274014 7.15856
274282 7.03559
274416 7.00292
274549 7.00930
274683 7.09474
274817 7.36520
274884 7.65380
274951 8.15048
275018 9.03028
275085 10.5945
275163 13.5905
275240 16.1286
275318 14.8467
275396 12.1113
275458 10.5024
275520 9.42933
275582 8.70967
275644 8.21246
275768 7.58683
275892 7.21606
276015 6.96979
276139 6.79179
276387 6.54325
276635 6.36793
276883 6.22988
277378 6.01055
278369 5.66846
279360 5.36637
280351 5.04598
280847 4.85557
281342 4.62005
281838 4.29607
282085 4.07219
282333 3.77453
282581 3.35052
282705 3.06087
282829 2.69136
282952 2.20754
283076 1.56871
283200 0.786428
283262 0.444237
283293 0.353333
283324 0.377715
283346 0.505475
283368 0.764331
283390 1.19408
283412 1.83277
283456 3.80535
283500 6.44850
283588 10.5680
283676 11.2809
283778 10.4807
283880 9.56299
283981 8.83088
284083 8.27429
284185 7.84616
284287 7.51033
284490 7.01934
284693 6.67750
284897 6.42457
285304 6.07042
285711 5.82784
286118 5.64570
286932 5.37650
287745 5.17088
288559 4.99223
289373 4.81589
289577 4.77073
289780 4.73469
289882 4.73617
289984 4.79832
290035 4.90339
290085 5.16144
290111 5.42714
290136 5.88931
290162 6.73820
290187 8.34162
290214 11.2090
290240 13.7159
290267 12.6321
290293 10.1146
290310 8.89304
290326 7.99724
290359 6.87299
290392 6.24607
290425 5.86581
290458 5.61735
290491 5.44488
290557 5.22392
290623 5.08914
290689 4.99791
290821 4.87968
290953 4.80264
291085 4.74524
291349 4.65819
291613 4.58818
291877 4.52573
292405 4.40931
293460 4.17411
294516 3.89952
295572 3.53656
296100 3.29435
296628 2.98279
297155 2.55957
297419 2.28408
297683 1.94846
297947 1.53629
298211 1.03982
298475 0.508762
298607 0.306160
298673 0.256052
298739 0.265738
298802 0.355519
298864 0.553665
298927 0.893922
298990 1.40883
299115 3.02627
299240 5.21924
299491 8.68806
299741 9.32234
300030 8.67135
300319 7.89925
300608 7.27109
300897 6.78261
301186 6.39773
301475 6.08647
302053 5.60670
302631 5.24025
303209 4.93456
304365 4.39424
305521 3.82785
306099 3.48982
306677 3.08076
307255 2.55938
307833 1.86720
308122 1.44033
308411 0.969639
308700 0.520639
308845 0.363164
308917 0.322190
308989 0.319258
309083 0.393148
309177 0.586255
309271 0.937211
309365 1.48342
309552 3.24474
309740 5.68638
310116 9.66603
310491 10.5044
310826 10.0544
311161 9.41222
311496 8.82528
311832 8.33517
312502 7.60161
313172 7.09222
313842 6.72006
314512 6.43527
315853 6.02255
317193 5.72998
318534 5.50356
319204 5.40564
319874 5.31390
320544 5.22450
320879 5.18523
320963 5.18491
321047 5.21183
321089 5.26161
321131 5.39918
321152 5.56084
321173 5.88972
321183 6.18949
321194 6.66022
321204 7.44300
321215 8.73567
321227 11.2339
321240 13.1708
321253 11.9069
321266 9.60039
321278 8.08779
321290 7.18203
321302 6.63060
321314 6.28025
321338 5.87490
321362 5.66125
321410 5.44993
321459 5.34938
321555 5.25328
321652 5.20508
321845 5.15088
322038 5.11552
322425 5.06167
322811 5.01594
323584 4.93318
324356 4.85660
325129 4.78807
325515 4.76129
325902 4.74770
326288 4.76697
326481 4.80484
326674 4.88270
326868 5.03931
327061 5.36511
327254 6.09509
327351 6.78041
327447 7.84356
327594 10.3763
327740 12.5843
327887 11.6063
328033 9.36481
328128 8.23784
328223 7.42235
328413 6.41153
328603 5.85107
328793 5.50908
328983 5.28157
329173 5.11937
329553 4.89937
329933 4.74972
330313 4.63307
331074 4.43637
331834 4.23297
332214 4.10839
332594 3.94942
332974 3.72311
333164 3.56281
333354 3.34558
333544 3.02904
333639 2.80827
333734 2.52055
333829 2.13288
333924 1.59602
333972 1.25588
334019 0.872543
334067 0.491719
334090 0.344655
334114 0.277759
334146 0.431518
334161 0.677527
334177 1.07613
334193 1.65664
334209 2.41560
334240 4.33667
334303 7.61271
334366 8.43477
334419 8.19264
334472 7.76801
334525 7.35477
334578 6.99870
334684 6.44956
334790 6.05777
334896 5.76315
335002 5.53183
335056 5.43972
335109 5.38949
335135 5.41439
335162 5.55056
335175 5.72456
335188 6.06007
335201 6.74368
335215 8.15214
335227 10.6490
335240 12.9795
335253 12.2568
335266 10.1652
335277 8.71544
335289 7.78061
335300 7.17599
335312 6.77167
335335 6.27274
335358 5.98708
335404 5.67223
335451 5.49847
335543 5.29849
335636 5.17471
335821 5.00927
336006 4.89146
336376 4.71708
336746 4.58184
337487 4.35552
338227 4.13327
338968 3.86148
339338 3.68150
339708 3.44482
340078 3.10734
340264 2.87448
340449 2.57284
340634 2.16865
340819 1.61192
340911 1.26037
341004 0.865393
341097 0.471605
341143 0.317207
341189 0.240385
341220 0.264165
341252 0.380697
341283 0.622637
341315 1.02183
341346 1.60636
341377 2.38027
341440 4.34327
341566 7.73134
341691 8.61472
341781 8.44622
341870 8.10273
341959 7.74126
342049 7.41229
342228 6.87983
342407 6.48708
342586 6.19178
342764 5.96325
343122 5.63336
343480 5.40555
343838 5.23725
344553 5.00065
345269 4.83689
345984 4.71231
347415 4.52468
348846 4.37839
350277 4.25056
351709 4.13085
352066 4.10584
352424 4.09809
352603 4.11974
352692 4.14967
352782 4.20802
352871 4.32622
352961 4.58646
353005 4.83520
353050 5.24689
353095 5.95946
353140 7.21743
353190 9.52572
353240 11.4042
353290 10.3421
353341 8.23954
353394 6.71281
353447 5.84410
353501 5.33341
