Gd-152(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
88.1059 6.19857
88.9482 6.08856
89.3693 6.58583
89.7904 7.84961
89.8957 8.36001
90.0009 8.98080
90.0536 9.33978
90.1062 9.73569
90.1589 10.1725
90.2115 10.6546
90.2641 11.1872
90.3168 11.7760
90.3694 12.4277
90.4220 13.1495
90.5273 14.8400
90.6326 16.9334
90.7379 19.5459
90.8431 22.8354
90.9484 27.0228
91.0537 32.4214
91.1590 39.4905
91.2642 48.9162
91.3695 61.7668
91.4748 79.7613
91.5801 105.817
91.6854 145.162
91.7906 207.903
91.8959 315.520
91.9485 400.066
92.0012 520.018
92.0538 697.154
92.1065 972.061
92.1591 1426.66
92.2117 2240.57
92.2381 2898.46
92.2644 3841.72
92.2907 5218.11
92.3170 7219.23
92.3585 11764.4
92.4000 14966.3
92.4415 12185.1
92.4830 7755.98
92.5124 5547.90
92.5417 4066.69
92.5711 3073.59
92.6005 2392.39
92.6592 1560.58
92.7179 1098.79
92.7766 818.255
92.8354 635.654
92.9528 420.332
93.0703 302.711
93.1877 231.206
93.3052 184.299
93.4226 151.738
93.6575 110.397
93.8924 85.8818
94.1274 69.9958
94.3623 59.0226
94.8321 45.0780
95.3019 36.7327
95.7717 31.2462
96.2415 27.3901
97.1811 22.3535
98.1208 19.2132
99.0604 17.0597
100.000 15.4803
101.618 13.5384
103.237 12.1642
106.473 10.2734
109.710 8.95360
112.946 7.91224
119.419 6.19291
122.656 5.38630
125.893 4.54727
129.397 3.53810
131.150 2.97721
132.902 2.39963
133.778 2.13914
134.654 1.95932
135.530 1.99621
135.968 2.19438
136.078 2.27542
136.187 2.37283
136.297 2.48906
136.406 2.62710
136.516 2.79009
136.626 2.98214
136.735 3.20798
136.845 3.47328
136.954 3.78515
137.064 4.15122
137.283 5.08880
137.502 6.39699
137.721 8.24435
137.940 10.9028
138.159 14.8252
138.378 20.8115
138.597 30.3537
138.816 46.5248
138.925 58.9907
139.035 76.3305
139.145 101.297
139.254 138.719
139.364 197.979
139.473 298.858
139.583 488.778
139.637 652.139
139.692 903.406
139.747 1315.69
139.802 2042.87
139.856 3449.15
139.884 4636.96
139.911 6332.38
139.956 10272.7
140.000 13052.8
140.045 10615.6
140.090 6726.50
140.126 4596.34
140.162 3249.66
140.198 2387.84
140.234 1820.46
140.306 1153.51
140.378 797.513
140.449 586.266
140.521 451.135
140.665 294.479
140.809 210.158
140.953 159.431
141.096 126.358
141.240 103.528
141.528 74.6766
141.815 57.6495
142.103 46.6517
142.390 39.0721
142.965 29.4612
143.540 23.7199
144.115 19.9485
144.690 17.2982
145.840 13.8307
146.990 11.6583
148.140 10.1554
149.290 9.03884
151.590 7.44351
153.890 6.29403
156.189 5.35370
157.339 4.92058
157.914 4.71343
158.489 4.53444
158.860 4.48433
159.045 4.52495
159.230 4.68707
159.416 5.17757
159.508 5.73970
159.601 6.83073
159.693 9.22305
159.740 11.5781
159.786 15.7153
159.832 23.8440
159.855 31.1454
159.879 42.8223
159.890 51.4966
159.902 63.1748
159.908 70.5707
159.913 79.3328
159.919 89.7986
159.925 102.170
159.931 117.452
159.936 136.214
159.942 159.477
159.948 188.599
159.954 225.369
159.960 272.071
159.965 331.430
159.971 404.735
159.978 522.072
159.986 655.620
160.000 829.795
160.007 786.664
160.015 674.709
160.029 429.314
160.042 278.803
160.056 189.893
160.069 136.392
160.083 102.597
160.109 64.6198
160.136 45.1342
160.163 33.8797
160.190 26.7996
160.243 18.7199
160.297 14.4185
160.351 11.8455
160.404 10.1730
160.458 9.01917
160.565 7.55180
160.672 6.67600
160.886 5.69299
161.100 5.15393
161.315 4.80644
161.743 4.36199
162.600 3.82901
163.457 3.44330
165.171 2.78100
166.886 2.14186
168.600 1.51274
169.457 1.25358
170.314 1.16482
170.528 1.20472
170.742 1.28955
170.850 1.35421
170.957 1.43827
171.064 1.54281
171.171 1.67490
171.278 1.83939
171.385 2.04290
171.492 2.29429
171.599 2.60462
171.707 2.98852
171.814 3.46373
172.028 4.79415
172.242 6.90986
172.457 10.4094
172.671 16.5466
