Ca-44(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
310578 0.0538821
311113 0.0623158
311649 0.0777388
312184 0.101927
312719 0.137098
313789 0.252340
314859 0.455661
315930 0.796985
317000 1.34921
318125 2.25590
319250 3.56480
321500 6.58806
322625 7.31759
323750 7.23299
326000 5.89682
328406 4.46540
330813 3.46642
333219 2.78246
335625 2.29075
340438 1.61265
345250 1.12553
350063 0.711119
354875 0.330119
357281 0.168440
358484 0.108259
359688 0.0746484
360289 0.0728916
360891 0.0850455
361492 0.115016
362094 0.167732
362695 0.249405
363297 0.367680
363899 0.531924
364500 0.753086
365188 1.09154
365875 1.53974
367250 2.82150
370000 6.35831
371375 7.56630
372750 7.90990
375500 7.01970
377838 5.91226
380175 4.93116
381344 4.47119
382513 3.96639
383097 3.64627
383389 3.44490
383681 3.19252
383974 2.85130
384120 2.62540
384266 2.34217
384412 1.97847
384558 1.51525
384631 1.26035
384704 1.04702
384777 1.04563
384814 1.26247
384850 1.78067
384888 2.83160
384925 4.63716
385000 10.0584
385038 12.1892
385075 13.0822
385150 12.3338
385201 11.2628
385251 10.2617
385352 8.73933
385453 7.72929
385554 7.03663
385655 6.53803
385756 6.16412
385957 5.63981
386159 5.28717
386361 5.03102
386765 4.67592
387168 4.43312
387572 4.25025
388379 3.98032
389994 3.61654
391609 3.35690
394838 2.97620
398068 2.69264
404526 2.27252
410985 1.95473
417444 1.68700
423903 1.44599
427132 1.33886
430361 1.26807
431976 1.27940
433591 1.39286
434398 1.54352
435205 1.83665
436013 2.42291
436820 3.61175
438300 6.79577
439040 5.62048
439780 3.68932
440523 2.34652
441265 1.50742
441636 1.21897
442008 1.03092
442379 1.03005
442564 1.17065
442750 1.48162
442938 2.05755
443125 2.97620
443500 5.39826
443688 6.14968
443875 6.27860
444250 5.48170
444484 4.85158
444719 4.30254
445188 3.48765
445656 2.94671
446125 2.57079
446594 2.29540
447063 2.08440
448000 1.77887
448938 1.56359
449875 1.39930
451750 1.15413
455500 0.811776
459250 0.544716
463000 0.312969
466750 0.129198
467688 0.0981048
468625 0.0772033
469563 0.0702917
470500 0.0832385
471438 0.126307
471906 0.165121
472375 0.221722
472844 0.305706
473313 0.436590
473781 0.659907
474250 1.09845
474582 1.72518
474914 2.96178
475207 4.83836
475500 6.39670
475793 5.65541
476086 4.09373
476302 3.26273
476518 2.72198
476950 2.17189
477382 1.98123
477815 1.95999
478679 2.16204
479543 2.53529
483000 4.56766
486291 5.73174
487937 5.80546
488348 5.82286
488759 5.91073
489171 6.26279
489376 6.73724
489582 7.70527
489791 9.49154
490000 11.1616
490209 10.5879
490418 9.01187
490585 8.03137
490751 7.35224
491084 6.54096
491417 6.08486
491750 5.78387
492781 5.20159
493813 4.78538
495875 4.05913
497938 3.34387
500000 2.56605
500000 2.91220
550000 2.88580
600000 2.87130
650000 2.86650
700000 2.86950
750000 2.87880
800000 2.89340
850000 2.91230
900000 2.93480
950000 2.96020
1.00000E+06 2.98790
1.10000E+06 3.04860
1.18360E+06 3.10280
1.18360E+06 3.10278
1.20000E+06 3.11360
1.30000E+06 3.18030
1.40000E+06 3.24650
1.50000E+06 3.31070
1.60000E+06 3.37160
1.70000E+06 3.42820
1.80000E+06 3.47980
1.90000E+06 3.52600
1.92673E+06 3.53750
1.92673E+06 3.53750
2.00000E+06 3.56680
2.10000E+06 3.60190
2.20000E+06 3.63160
2.30000E+06 3.65610
2.33553E+06 3.66360
2.33553E+06 3.66360
2.40000E+06 3.67560
2.50000E+06 3.69050
2.60000E+06 3.70120
2.70000E+06 3.70790
2.71746E+06 3.70870
2.71746E+06 3.70870
2.80000E+06 3.71120
2.81864E+06 3.71140
2.90000E+06 3.71120
2.98978E+06 3.70890
3.00000E+06 3.70850
3.10000E+06 3.70320
3.11419E+06 3.70220
3.11419E+06 3.70220
3.20000E+06 3.69570
3.30000E+06 3.68620
3.34649E+06 3.68120
3.36038E+06 3.67970
3.36038E+06 3.67970
3.37706E+06 3.67770
3.38377E+06 3.67700
3.40000E+06 3.67500
3.43424E+06 3.67090
3.50000E+06 3.66240
3.60000E+06 3.64840
3.66256E+06 3.63910
3.66256E+06 3.63910
3.70000E+06 3.63340
3.74555E+06 3.62620
3.74555E+06 3.62620
3.76043E+06 3.62380
3.79698E+06 3.61780
3.80000E+06 3.61730
