In-115(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
61.9188 0.342316
62.0467 0.433175
62.1747 0.569755
62.3026 0.788810
62.4305 1.17299
62.5584 1.94134
62.6223 2.65179
62.6863 3.84172
62.7503 6.05661
62.7822 7.95249
62.8142 10.8768
62.8462 15.6987
62.8782 24.3443
62.9101 41.5224
62.9261 56.4763
62.9421 78.4394
62.9661 125.462
62.9900 156.790
63.0140 125.414
63.0379 78.3794
63.0635 46.7505
63.0891 29.7174
63.1146 20.1873
63.1402 14.4845
63.1658 10.8518
63.1913 8.41349
63.2425 5.46471
63.2936 3.82679
63.3448 2.82796
63.4470 1.72641
63.5493 1.16593
63.6516 0.843093
63.7539 0.640516
63.8562 0.505261
64.0608 0.341747
64.2653 0.250713
64.6745 0.159004
65.0836 0.117169
65.4927 0.0960560
65.9019 0.0857691
66.3110 0.0863510
66.4000 0.0908134
66.4890 0.0865747
66.6723 0.0843193
66.8555 0.0864023
67.2220 0.0960742
67.5885 0.115215
67.9550 0.152113
68.3214 0.230377
68.5047 0.305600
68.6879 0.436140
68.8712 0.691943
68.9628 0.922950
69.0544 1.29998
69.1460 1.97438
69.1919 2.52829
69.2377 3.34809
69.2835 4.62371
69.3293 6.72916
69.3751 10.4268
69.4209 17.1333
69.4655 27.3744
69.5100 34.1910
69.5546 27.3569
69.5991 17.1114
69.6520 9.68679
69.7048 5.94270
69.7576 3.94788
69.8105 2.79362
69.8633 2.07541
69.9162 1.60167
70.0218 1.03853
70.1275 0.731003
70.2332 0.545606
70.4446 0.343518
70.6560 0.242108
70.8673 0.184553
71.2901 0.126472
71.7128 0.102407
72.1355 0.0987388
72.3469 0.108348
72.5583 0.139913
72.6640 0.178674
72.7696 0.262561
72.8225 0.344489
72.8753 0.486593
72.9282 0.753982
72.9810 1.28512
73.0255 2.01813
73.0700 2.50715
73.1145 2.01870
73.1590 1.28537
73.1947 0.888320
73.2303 0.638701
73.2659 0.480534
73.3016 0.376799
73.3729 0.256132
73.4441 0.192417
73.5867 0.131503
73.7293 0.104597
74.0144 0.0824296
74.2995 0.0743154
75.4400 0.0731363
76.5805 0.0907208
77.1508 0.109707
77.4359 0.130781
77.5784 0.159716
77.6497 0.195669
77.7210 0.279983
77.8100 0.437663
77.8990 0.289589
77.9448 0.232089
77.9907 0.201733
78.0823 0.177349
78.2656 0.172351
78.6322 0.199634
78.9988 0.250739
79.3654 0.337962
79.7319 0.507267
79.9152 0.664038
80.0985 0.934505
80.2818 1.47648
80.3735 1.98715
80.4651 2.86942
80.5568 4.60637
80.6026 6.19121
80.6484 8.81380
80.6942 13.6130
80.7172 17.6502
80.7401 23.7736
80.7630 33.6300
80.7859 50.7053
80.8088 82.8818
80.8203 109.517
80.8317 147.050
80.8413 188.174
80.8509 235.135
80.8700 293.869
80.8892 235.088
80.9083 147.000
80.9267 92.2700
80.9451 60.9222
80.9634 42.5313
80.9818 31.1536
81.0186 18.6487
81.0553 12.4034
81.0921 8.87689
81.1288 6.70592
81.2023 4.29847
81.2758 3.07775
81.3493 2.38708
81.4964 1.70755
81.6434 1.44451
81.7904 1.37946
82.0844 1.62727
82.2314 1.95444
82.3784 2.49663
82.5254 3.41197
82.6725 5.07178
82.7460 6.44487
82.8195 8.49517
82.8930 11.7457
82.9665 17.3398
83.0400 28.1861
83.0767 37.8748
83.1135 53.5076
83.1503 81.0061
83.1686 103.205
83.1870 135.483
83.2054 184.590
83.2238 263.060
83.2421 394.985
83.2605 621.061
83.2803 992.970
83.3000 1240.57
83.3198 992.703
83.3395 620.739
83.3554 418.730
83.3713 291.992
83.3871 211.817
83.4030 159.312
83.4347 98.3543
83.4665 66.2493
83.4982 47.4859
83.5300 35.6446
83.5934 22.1550
83.6569 15.0778
83.7204 10.9193
83.7839 8.27212
83.8474 6.48501
83.9744 4.29705
84.1013 3.06003
84.2283 2.29339
84.3553 1.78589
84.6092 1.17780
84.8631 0.844958
85.1171 0.660154
85.2440 0.630053
85.3075 0.656906
85.3710 0.760674
85.4600 0.994525
85.5490 0.692893
85.6393 0.501440
85.7295 0.423176
85.9100 0.352314
86.0905 0.327487
86.1808 0.343839
86.2710 0.432266
86.3600 0.590882
86.4490 0.406145
86.5084 0.317268
86.5679 0.272318
86.6868 0.229614
86.9245 0.192152
87.4000 0.154602
87.8755 0.134187
88.1133 0.132360
88.2321 0.141133
88.2916 0.155186
88.3510 0.187358
88.4400 0.256802
88.5290 0.183355
88.6191 0.138338
88.7093 0.122468
88.8895 0.110985
89.2500 0.103528
89.9709 0.101719
90.6919 0.111711
91.4129 0.139737
92.1338 0.208480
92.4943 0.279499
92.8548 0.410037
93.0350 0.519958
93.2153 0.687155
93.3955 0.959105
93.5757 1.44503
93.6659 1.84579
93.7560 2.44474
93.8461 3.39736
93.9362 5.04701
94.0263 8.27909
94.0714 11.2008
94.1165 15.9759
94.1615 24.5354
94.1841 31.5813
94.2066 42.0326
94.2291 58.3433
94.2516 85.3768
94.2742 133.135
94.2854 170.368
94.2967 220.442
94.3075 282.222
94.3184 352.782
94.3400 441.029
94.3617 352.698
94.3833 220.337
94.4053 134.691
94.4272 87.1445
94.4491 59.9107
94.4711 43.3411
94.4930 32.6603
94.5150 25.4279
94.5588 16.6034
94.6027 11.6596
94.6466 8.62637
94.7344 5.26251
94.8221 3.54176
94.9099 2.54673
94.9976 1.92050
95.0854 1.50117
95.2609 0.992179
95.4364 0.706888
95.6120 0.531113
95.7875 0.415208
96.1385 0.276681
96.4896 0.200221
96.8406 0.153657
97.1917 0.123307
97.8937 0.0880068
98.5958 0.0707237
99.2979 0.0664866
99.6490 0.0726368
100.000 0.0958684
100.183 0.128424
100.274 0.158564
100.366 0.208234
100.457 0.297805
100.548 0.481099
100.594 0.651643
100.640 0.933375
100.685 1.42838
100.731 2.32363
100.776 3.69538
100.820 4.61012
100.865 3.69642
100.909 2.32451
100.951 1.47707
100.994 0.989441
101.036 0.701532
101.078 0.522439
101.162 0.324451
101.247 0.224979
101.331 0.168348
101.416 0.133217
101.585 0.0936267
101.753 0.0728880
101.922 0.0605882
102.260 0.0471350
102.936 0.0362509
103.273 0.0349545
103.442 0.0375416
103.527 0.0428934
103.611 0.0591601
103.700 0.0874231
103.789 0.0582964
103.899 0.0387057
104.008 0.0330706
104.227 0.0294365
104.664 0.0270502
105.540 0.0250476
107.290 0.0241618
108.165 0.0252751
109.041 0.0291161
109.478 0.0342002
109.916 0.0472215
110.135 0.0633662
110.244 0.0780736
110.353 0.102416
110.463 0.147043
110.518 0.184708
110.572 0.242049
110.627 0.334852
110.682 0.496957
110.736 0.806287
110.764 1.06586
110.791 1.43412
110.836 2.27947
110.880 2.84329
110.925 2.28068
110.969 1.43585
111.022 0.825005
111.074 0.516618
111.127 0.351693
111.179 0.256384
111.232 0.196991
111.284 0.157931
111.389 0.111660
111.494 0.0866233
111.599 0.0718165
111.810 0.0564567
112.230 0.0475213
112.650 0.0503435
113.070 0.0640210
113.280 0.0785810
113.491 0.104597
113.701 0.156690
113.806 0.204504
113.911 0.283676
114.016 0.428631
114.068 0.550325
114.121 0.734537
114.174 1.03086
114.226 1.54115
114.279 2.49604
114.331 4.38128
114.376 6.99039
114.420 8.72723
114.465 6.98772
114.509 4.37797
114.557 2.61964
114.604 1.67430
114.652 1.14513
114.699 0.828380
114.747 0.626236
114.794 0.490881
114.889 0.327179
114.984 0.236210
115.079 0.180829
115.269 0.119858
115.459 0.0889693
115.649 0.0713355
116.030 0.0532834
116.790 0.0411031
117.550 0.0389208
118.310 0.0412162
119.071 0.0490080
119.451 0.0580708
119.831 0.0792272
120.021 0.104049
120.116 0.126033
120.211 0.161625
120.306 0.225194
120.401 0.355111
120.449 0.476767
120.496 0.679747
120.544 1.04211
120.591 1.71403
120.636 2.71311
120.680 3.37958
120.725 2.71510
120.769 1.71727
120.809 1.12676
120.849 0.776350
120.889 0.564948
120.929 0.431481
121.009 0.282299
121.089 0.206843
121.169 0.164198
121.249 0.138159
121.409 0.110167
121.729 0.0912678
122.049 0.0892466
122.689 0.104389
123.329 0.142013
123.969 0.224944
124.289 0.306966
124.609 0.454818
124.769 0.578078
124.929 0.764530
125.089 1.06636
125.249 1.60330
125.329 2.04467
125.409 2.70258
125.489 3.74552
125.569 5.54360
125.649 9.04280
125.689 12.1833
125.729 17.2765
125.769 26.3006
125.789 33.6406
125.809 44.3988
125.829 60.9176
125.849 87.6769
125.869 133.431
125.879 168.020
125.889 213.487
125.899 272.742
125.910 339.356
125.930 422.360
125.951 339.297
125.971 213.415
125.984 155.082
125.998 115.116
126.024 68.2517
126.051 44.2925
126.078 30.8076
126.105 22.5767
126.131 17.2198
126.185 10.9451
126.238 7.55378
126.291 5.52856
126.398 3.33191
126.505 2.23198
126.611 1.60589
126.718 1.21611
126.825 0.957459
127.038 0.647074
127.252 0.476262
127.679 0.307750
128.105 0.235225
128.532 0.203761
129.386 0.203975
129.813 0.230289
130.240 0.280364
130.667 0.369951
131.094 0.537656
131.307 0.678974
131.520 0.892729
131.734 1.23730
131.947 1.84324
132.161 3.05873
132.268 4.18389
132.374 6.07104
132.481 9.58872
132.534 12.6077
132.588 17.2639
132.641 24.9699
132.694 38.8051
132.721 50.1009
132.748 66.4563
132.774 90.6281
132.801 126.095
132.821 161.274
132.841 201.157
132.880 250.946
132.920 201.094
132.959 126.018
133.002 74.5114
133.045 47.0454
133.088 31.8072
133.131 22.7603
133.174 17.0065
133.217 13.1648
133.304 8.52592
133.390 5.95691
133.476 4.39279
133.648 2.67055
133.820 1.79498
133.992 1.29114
134.165 0.974923
