B-11(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2.41782E+06 2.67943
2.41882E+06 2.68715
2.41979E+06 2.69463
2.42000E+06 2.69625
2.42073E+06 2.69675
2.42164E+06 2.69739
2.42252E+06 2.69801
2.42337E+06 2.69861
2.42413E+06 2.69915
2.42420E+06 2.69920
2.42581E+06 2.70034
2.42731E+06 2.70141
2.42872E+06 2.70243
2.43005E+06 2.70339
2.43129E+06 2.70431
2.43246E+06 2.70517
2.43355E+06 2.70598
2.43457E+06 2.70676
2.43553E+06 2.70749
2.43644E+06 2.70819
2.43728E+06 2.70884
2.43887E+06 2.71010
2.44000E+06 2.71101
2.44026E+06 2.71029
2.44147E+06 2.70690
2.44254E+06 2.70394
2.44347E+06 2.70137
2.44510E+06 2.69691
2.44545E+06 2.69596
2.44632E+06 2.69359
2.44724E+06 2.69112
2.44862E+06 2.68746
2.45000E+06 2.68385
2.45620E+06 2.64606
2.46000E+06 2.62289
2.46163E+06 2.61393
2.46425E+06 2.59950
2.46639E+06 2.58775
2.47057E+06 2.56485
2.47789E+06 2.52476
2.48000E+06 2.51327
2.48340E+06 2.49215
2.48754E+06 2.46650
2.49376E+06 2.42805
2.49751E+06 2.40497
2.50000E+06 2.38964
2.50620E+06 2.36782
2.51000E+06 2.35449
2.51163E+06 2.35121
2.52000E+06 2.33456
2.52117E+06 2.34134
2.52275E+06 2.35057
2.52835E+06 2.38324
2.53000E+06 2.39295
2.53374E+06 2.42910
2.54000E+06 2.48975
2.54184E+06 2.52519
2.54186E+06 2.52547
2.55000E+06 2.68236
2.55500E+06 2.74641
2.55800E+06 2.82816
2.56000E+06 2.93508
2.56300E+06 3.03495
2.56700E+06 2.92693
2.57000E+06 2.90734
2.57076E+06 2.89468
2.57488E+06 2.82576
2.58000E+06 2.74018
2.59000E+06 2.55541
2.60000E+06 2.39689
2.60620E+06 2.30362
2.61000E+06 2.24654
2.61207E+06 2.23399
2.61708E+06 2.20360
2.62000E+06 2.18600
2.62344E+06 2.16423
2.62527E+06 2.15261
2.63143E+06 2.11375
2.63414E+06 2.09674
2.64000E+06 2.05991
2.64070E+06 2.05779
2.64421E+06 2.04725
2.65000E+06 2.02989
2.65369E+06 2.01974
2.66000E+06 2.00240
2.66261E+06 1.99754
2.67099E+06 1.98192
2.67888E+06 1.96723
2.68000E+06 1.96514
2.68629E+06 1.95945
2.69326E+06 1.95315
2.70000E+06 1.94707
2.70638E+06 1.93988
2.71791E+06 1.92690
2.72489E+06 1.91904
2.72804E+06 1.91550
2.73693E+06 1.90552
2.74473E+06 1.89676
2.75000E+06 1.89084
2.75845E+06 1.88950
2.76878E+06 1.88786
2.77655E+06 1.88663
2.78825E+06 1.88477
2.80000E+06 1.88290
2.85000E+06 1.88850
2.89828E+06 1.88961
2.90000E+06 1.88965
2.95000E+06 1.78991
3.00000E+06 1.74420
3.05000E+06 1.67774
3.10000E+06 1.64216
3.15000E+06 1.61662
3.20000E+06 1.57109
3.22490E+06 1.55636
3.24887E+06 1.54233
3.25000E+06 1.54166
3.27490E+06 1.52364
3.30000E+06 1.50571
3.32358E+06 1.50943
3.32491E+06 1.50964
3.35000E+06 1.51391
3.37491E+06 1.50498
3.40000E+06 1.49633
3.42000E+06 1.52071
3.42491E+06 1.52757
3.44000E+06 1.54923
3.45000E+06 1.55711
3.46000E+06 1.56442
3.47491E+06 1.58344
3.48000E+06 1.59013
3.50000E+06 1.62898
3.52000E+06 1.65921
3.53000E+06 1.66981
3.54000E+06 1.67288
3.55000E+06 1.66992
3.56000E+06 1.66575
3.57491E+06 1.66018
3.58000E+06 1.65838
3.60000E+06 1.65424
3.62000E+06 1.64477
3.64000E+06 1.61919
3.64899E+06 1.61061
3.65000E+06 1.60964
3.66000E+06 1.60308
3.68000E+06 1.59069
3.68617E+06 1.58730
3.70000E+06 1.57970
3.74265E+06 1.55777
3.75000E+06 1.55399
3.80000E+06 1.52398
3.85000E+06 1.50300
3.89872E+06 1.46891
3.90000E+06 1.46801
3.95000E+06 1.43159
4.00000E+06 1.38188
4.05000E+06 1.30743
4.10000E+06 1.28258
4.15000E+06 1.27666
4.20000E+06 1.30182
4.25000E+06 1.30448
4.30000E+06 1.31234
4.31000E+06 1.30915
4.32000E+06 1.30680
4.33000E+06 1.30673
4.34000E+06 1.30825
4.35000E+06 1.31076
4.36000E+06 1.31437
4.37000E+06 1.31916
4.38000E+06 1.32530
4.39000E+06 1.33375
4.40000E+06 1.34293
4.41000E+06 1.35019
4.42000E+06 1.35505
4.42452E+06 1.35673
4.43000E+06 1.35876
4.44000E+06 1.36262
4.44608E+06 1.36581
4.45000E+06 1.36787
4.46000E+06 1.37604
4.46504E+06 1.38358
4.47000E+06 1.39102
4.48000E+06 1.40889
4.49000E+06 1.42072
4.49840E+06 1.42169
4.50000E+06 1.42188
4.51000E+06 1.43577
4.52000E+06 1.47762
4.52359E+06 1.49519
4.53000E+06 1.52657
4.54000E+06 1.68894
4.54257E+06 1.70927
4.55000E+06 1.76803
4.56000E+06 1.69395
4.57000E+06 1.61235
4.57120E+06 1.60836
4.58000E+06 1.57897
4.59000E+06 1.57882
4.60000E+06 1.62898
4.61000E+06 1.66802
4.62000E+06 1.70033
4.63000E+06 1.72433
4.64000E+06 1.74511
4.64921E+06 1.75849
4.65000E+06 1.75965
4.66000E+06 1.76752
4.67000E+06 1.77171
4.68000E+06 1.77026
4.69000E+06 1.76426
4.70000E+06 1.75718
4.71000E+06 1.74961
4.72000E+06 1.73954
4.72400E+06 1.73753
4.73000E+06 1.73451
4.74000E+06 1.74905
4.75000E+06 1.77591
4.76000E+06 1.80495
4.77000E+06 1.82558
4.78000E+06 1.82697
4.79000E+06 1.81309
4.80000E+06 1.79500
4.81000E+06 1.82444
4.82000E+06 1.87000
4.83000E+06 1.88026
4.84000E+06 1.85236
4.84924E+06 1.81512
4.85000E+06 1.81205
4.85213E+06 1.80349
4.86000E+06 1.77377
4.87000E+06 1.73602
4.88000E+06 1.70174
4.88650E+06 1.68714
4.89000E+06 1.67927
4.90000E+06 1.66998
4.90622E+06 1.66687
4.91000E+06 1.66517
4.91167E+06 1.66471
4.91463E+06 1.66405
4.91645E+06 1.66365
4.92000E+06 1.66301
4.92063E+06 1.66283
4.92796E+06 1.66122
4.93000E+06 1.66094
4.93346E+06 1.66055
4.93759E+06 1.66036
4.94000E+06 1.66045
4.94379E+06 1.66115
4.95000E+06 1.66298
4.95713E+06 1.66512
4.96000E+06 1.66598
4.97000E+06 1.67194
4.97494E+06 1.67439
4.98000E+06 1.67703
4.99000E+06 1.67876
5.00000E+06 1.67974
5.01000E+06 1.67962
5.01227E+06 1.67944
5.01245E+06 1.67943
5.02000E+06 1.67910
5.02181E+06 1.67879
5.02380E+06 1.67851
5.03000E+06 1.67764
5.03464E+06 1.67724
5.03589E+06 1.67713
5.04000E+06 1.67692
5.04482E+06 1.67795
5.05000E+06 1.67905
5.06000E+06 1.68157
5.06245E+06 1.68221
5.06396E+06 1.68263
5.07000E+06 1.68432
5.07181E+06 1.68483
5.08000E+06 1.68729
5.08077E+06 1.68751
5.08589E+06 1.68901
5.09000E+06 1.69034
5.09552E+06 1.69212
5.10000E+06 1.69356
5.10847E+06 1.69504
5.11000E+06 1.69530
5.11245E+06 1.69599
5.11982E+06 1.69851
5.12000E+06 1.69857
5.12182E+06 1.69969
5.12885E+06 1.70440
5.12977E+06 1.70507
5.13000E+06 1.70524
5.13941E+06 1.71304
5.14000E+06 1.71358
5.14724E+06 1.71851
5.15000E+06 1.72039
5.16000E+06 1.73529
5.16038E+06 1.73780
5.16246E+06 1.75151
5.17000E+06 1.80181
5.18000E+06 1.85406
5.18015E+06 1.85369
5.18119E+06 1.85113
5.19000E+06 1.83023
5.20000E+06 1.74592
5.21000E+06 1.74409
5.22000E+06 1.72604
5.23000E+06 1.71000
5.24000E+06 1.72414
5.25000E+06 1.75237
5.26000E+06 1.78453
5.26246E+06 1.79272
5.27000E+06 1.81827
5.28000E+06 1.84991
5.28119E+06 1.85324
5.29000E+06 1.87830
5.29906E+06 1.90344
5.30000E+06 1.90606
5.31000E+06 1.93257
5.31246E+06 1.93920
5.32000E+06 1.96000
5.33000E+06 1.98101
5.33120E+06 1.97835
5.34000E+06 1.95927
5.35000E+06 1.91114
5.36000E+06 1.86372
5.36246E+06 1.85219
5.37000E+06 1.81698
5.38000E+06 1.76897
5.38120E+06 1.76291
5.39000E+06 1.71849
5.40000E+06 1.66390
5.41000E+06 1.60885
5.42000E+06 1.55833
5.42460E+06 1.53885
5.43000E+06 1.51600
5.44000E+06 1.47999
5.44622E+06 1.45854
5.45000E+06 1.44552
5.46000E+06 1.40826
5.46521E+06 1.38728
5.47000E+06 1.36802
5.48000E+06 1.32764
5.48027E+06 1.32656
5.48188E+06 1.32018
5.49000E+06 1.28803
5.50000E+06 1.24826
5.50156E+06 1.24165
5.50306E+06 1.23524
5.50452E+06 1.22903
5.50594E+06 1.22302
5.50731E+06 1.21719
5.50864E+06 1.21154
5.50993E+06 1.20607
5.51000E+06 1.20576
5.51118E+06 1.20639
5.51118E+06 1.20639
5.51239E+06 1.20703
5.51356E+06 1.20766
5.51469E+06 1.20826
5.51579E+06 1.20885
5.51686E+06 1.20941
5.51789E+06 1.20996
5.51889E+06 1.21050
5.51986E+06 1.21101
5.52000E+06 1.21109
5.52174E+06 1.22225
5.52350E+06 1.23355
5.52515E+06 1.24415
5.52670E+06 1.25410
5.52816E+06 1.26343
5.52952E+06 1.27217
5.53000E+06 1.27526
5.53080E+06 1.28066
5.53200E+06 1.28877
5.53312E+06 1.29639
5.53325E+06 1.29727
5.53417E+06 1.30352
5.53516E+06 1.31021
5.53701E+06 1.32276
5.53864E+06 1.33375
5.54000E+06 1.34299
5.54005E+06 1.34340
5.54130E+06 1.35268
5.54238E+06 1.36081
5.54334E+06 1.36793
5.54500E+06 1.38038
5.54625E+06 1.38973
5.54812E+06 1.40374
5.54986E+06 1.41673
5.55000E+06 1.41777
5.55156E+06 1.43002
5.55306E+06 1.44190
5.55452E+06 1.45341
5.55594E+06 1.46455
5.55731E+06 1.47536
5.55864E+06 1.48583
5.55993E+06 1.49598
5.56000E+06 1.49655
5.56118E+06 1.50551
5.56239E+06 1.51472
5.56356E+06 1.52364
5.56469E+06 1.53229
5.56579E+06 1.54067
5.56686E+06 1.54879
5.56789E+06 1.55665
5.56889E+06 1.56428
5.57000E+06 1.57273
5.57083E+06 1.57849
5.57265E+06 1.59111
5.57435E+06 1.60294
5.57487E+06 1.60655
5.57595E+06 1.61404
5.57745E+06 1.62445
5.57886E+06 1.63421
5.58000E+06 1.64212
5.58018E+06 1.64322
5.58142E+06 1.65087
5.58258E+06 1.65804
5.58366E+06 1.66477
5.58468E+06 1.67107
5.58660E+06 1.68290
5.58827E+06 1.69325
5.58973E+06 1.70231
5.59000E+06 1.70396
5.59102E+06 1.70908
5.59214E+06 1.71474
5.59410E+06 1.72465
5.59558E+06 1.73208
5.59668E+06 1.73765
5.59834E+06 1.74602
5.60000E+06 1.75439
5.60156E+06 1.75986
5.60306E+06 1.76516
5.60452E+06 1.77031
