Y-89(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
14537.4 0.000778081
14598.0 0.000636710
14719.1 0.000543650
14840.2 0.000619781
14900.8 0.000744468
14961.4 0.000985347
15021.9 0.00148059
15052.2 0.00193538
15082.5 0.00268264
15112.8 0.00402485
15127.9 0.00512946
15143.0 0.00676600
15158.2 0.00931459
15173.3 0.0135242
15188.5 0.0209216
15196.0 0.0266561
15203.6 0.0343426
15218.3 0.0547762
15233.0 0.0683066
15247.7 0.0546356
15262.4 0.0342033
15272.8 0.0242135
15283.1 0.0175658
15293.5 0.0131425
15303.9 0.0101280
15324.6 0.00648178
15345.4 0.00448369
15366.1 0.00328428
15386.8 0.00251289
15428.3 0.00161812
15469.8 0.00114000
15511.3 0.000855430
15594.2 0.000547898
15677.2 0.000394099
15760.1 0.000306652
15926.0 0.000218650
16091.9 0.000185927
16257.8 0.000198787
16340.8 0.000243928
16423.7 0.000389475
16465.2 0.000598385
16506.7 0.00119677
16527.4 0.00203207
16548.1 0.00440254
16558.5 0.00769100
16568.9 0.0169520
16574.1 0.0296963
16579.2 0.0649925
16581.8 0.112540
16584.4 0.240485
16585.7 0.407237
16586.4 0.564197
16587.0 0.826837
16587.7 1.33509
16588.0 1.79138
16588.3 2.49459
16588.6 3.74400
16589.0 6.05992
16589.1 8.05230
16589.3 11.0910
16589.4 15.8875
16589.6 23.5142
16589.8 37.6246
16590.0 47.0317
16590.2 37.6237
16590.4 23.5137
16590.5 16.6613
16590.7 12.3570
16590.9 7.34139
16591.2 4.70267
16591.5 3.28346
16591.7 2.38654
16592.0 1.82634
16592.5 1.16485
16593.0 0.800452
16593.6 0.583194
16594.6 0.350035
16595.7 0.232210
16596.7 0.165678
16598.8 0.0964413
16603.0 0.0443392
16607.3 0.0254013
16615.7 0.0115327
16624.1 0.00659439
16657.8 0.00176088
16725.2 0.000542746
16792.6 0.000330560
16860.0 0.000283571
16927.4 0.000321506
16994.8 0.000520019
17062.2 0.00169120
17079.1 0.00290930
17095.9 0.00636371
17104.3 0.0111505
17112.8 0.0245650
17117.0 0.0429638
17121.2 0.0935544
17123.3 0.161338
17124.3 0.226392
17125.4 0.340366
17126.5 0.570993
17127.0 0.785211
17127.5 1.13680
17128.0 1.80326
17128.3 2.36269
17128.6 3.22068
17128.8 4.69390
17129.1 7.24056
17129.3 12.2348
17129.5 16.5280
17129.6 22.7730
17129.8 36.4386
17130.0 45.5491
17130.2 36.4377
17130.4 22.7726
17130.6 14.6798
17130.8 9.87938
17130.9 6.98260
17131.1 5.15206
17131.5 3.10041
17131.8 2.05533
17132.2 1.45752
17132.6 1.08553
17133.3 0.671562
17134.0 0.453297
17134.7 0.326253
17136.1 0.192597
17139.0 0.0897036
17141.9 0.0516860
17147.6 0.0235673
17153.4 0.0134550
17176.3 0.00349524
17222.2 0.000949988
17314.1 0.000301855
17497.7 0.000133916
17681.4 0.000101905
17865.0 9.33837E-05
18048.7 9.70434E-05
18232.3 0.000121902
18416.0 0.000269526
18507.8 0.000860063
18553.7 0.00319853
18565.2 0.00559967
18576.7 0.0123712
18582.4 0.0216931
18588.1 0.0476355
18591.0 0.0827427
18593.9 0.177881
18595.3 0.302932
18596.0 0.421551
18596.7 0.622123
18597.5 1.01504
18597.8 1.36613
18598.2 1.91256
18598.5 2.89154
18598.9 4.82080
18599.1 6.54804
18599.3 9.28882
18599.4 13.8406
18599.6 20.9734
18599.8 33.5588
18600.0 41.9492
18600.2 33.5581
18600.4 20.9730
18600.6 13.5198
18600.8 9.28886
18600.9 6.66853
18601.1 4.97829
18601.4 3.04382
18601.8 2.03816
18602.1 1.44199
18602.5 1.08052
18603.1 0.669905
18603.8 0.452673
18604.5 0.327471
18605.9 0.193965
18608.6 0.0904248
18611.3 0.0522100
18616.8 0.0238196
18622.3 0.0136086
18644.1 0.00352227
18687.9 0.000945870
18775.4 0.000295961
18950.3 0.000136986
19125.3 0.000114434
19300.2 0.000116339
19475.2 0.000132435
19650.1 0.000168632
19825.1 0.000252358
19912.5 0.000340059
20000.0 0.000508645
20038.6 0.000637362
20077.2 0.000831885
20115.8 0.00114630
20154.5 0.00170404
20173.8 0.00216117
20193.1 0.00284034
20212.4 0.00391197
20231.7 0.00574544
20251.0 0.00927511
20260.6 0.0124028
20270.3 0.0174081
20280.0 0.0261162
20289.6 0.0430327
20294.4 0.0579889
20299.3 0.0813558
20304.1 0.119608
20308.9 0.182833
20314.5 0.292543
20320.0 0.365530
20325.6 0.292248
20331.1 0.182638
20336.4 0.114507
20341.8 0.0754832
20347.1 0.0525851
20352.4 0.0384091
20357.8 0.0291550
20363.1 0.0228296
20373.7 0.0150423
20384.4 0.0106330
20395.1 0.00791045
20416.4 0.00487414
20437.7 0.00331136
20459.0 0.00240491
20480.3 0.00183283
20501.6 0.00144939
20544.3 0.000983437
20586.9 0.000722384
20672.1 0.000456739
20757.4 0.000332477
20842.6 0.000265913
21013.2 0.000204383
21183.7 0.000183393
21354.2 0.000181171
21695.2 0.000212870
22036.2 0.000305306
22206.7 0.000398924
22377.3 0.000567089
22462.5 0.000706788
22547.8 0.000917964
22633.0 0.00126079
22718.3 0.00187614
22760.9 0.00238830
22803.5 0.00316253
22846.2 0.00441559
22888.8 0.00664476
22910.1 0.00847916
22931.4 0.0112143
22952.7 0.0155570
22974.1 0.0230529
22995.4 0.0376862
23006.0 0.0508585
