50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
3.500000e+01 4.79478687e-02
3.526860e+01 5.17559050e-02
3.584690e+01 6.76469670e-02
3.605930e+01 7.88589401e-02
3.642520e+01 9.83165196e-02
3.671440e+01 1.24165654e-01
3.700350e+01 1.63372526e-01
3.729270e+01 2.27021852e-01
3.758180e+01 3.40731636e-01
3.766520e+01 3.94895148e-01
3.772640e+01 4.34680890e-01
3.787100e+01 5.75419562e-01
3.801550e+01 8.00019842e-01
3.816010e+01 1.19112805e+00
3.830470e+01 1.96497674e+00
3.837700e+01 2.67226076e+00
3.844930e+01 3.84221871e+00
3.852150e+01 5.97906546e+00
3.855770e+01 7.77278435e+00
3.859380e+01 1.04850311e+01
3.863000e+01 1.48341932e+01
3.864810e+01 1.80383166e+01
3.866610e+01 2.23208655e+01
3.868420e+01 2.81656801e+01
3.870230e+01 3.62991348e+01
3.872030e+01 4.77629445e+01
3.873840e+01 6.38187799e+01
3.875000e+01 7.72732838e+01
3.875380e+01 8.16807940e+01
3.876920e+01 1.02095027e+02
3.880000e+01 1.27589604e+02
3.881540e+01 1.20052476e+02
3.883080e+01 1.02009877e+02
3.886160e+01 6.37142975e+01
3.888340e+01 4.49914140e+01
3.890510e+01 3.25566839e+01
3.892690e+01 2.42890451e+01
3.894860e+01 1.86628654e+01
3.899210e+01 1.18631398e+01
3.903560e+01 8.14017572e+00
3.907920e+01 5.90913631e+00
3.912270e+01 4.47575689e+00
3.920970e+01 2.81553375e+00
3.927110e+01 2.19130790e+00
3.929670e+01 1.93106988e+00
3.938370e+01 1.40628323e+00
3.947070e+01 1.07011738e+00
3.955780e+01 8.42162989e-01
3.973180e+01 5.61985912e-01
3.990580e+01 4.03146692e-01
4.000750e+01 3.45612086e-01
4.007410e+01 3.07935411e-01
4.007990e+01 3.04661830e-01
4.025390e+01 2.39741046e-01
4.060200e+01 1.62301278e-01
4.087700e+01 1.28865405e-01
4.095010e+01 1.20155719e-01
4.129810e+01 9.56710504e-02
4.164620e+01 8.03976413e-02
4.168000e+01 7.96055520e-02
4.234240e+01 6.74783486e-02
4.248300e+01 6.68000961e-02
4.250000e+01 6.68507068e-02
4.288440e+01 6.80630887e-02
4.303850e+01 7.01086982e-02
4.316130e+01 7.25289545e-02
4.328590e+01 7.49891921e-02
4.368740e+01 9.04490214e-02
4.373470e+01 9.41147278e-02
4.394970e+01 1.11518448e-01
4.408890e+01 1.22797797e-01
4.428960e+01 1.50823635e-01
4.443080e+01 1.81127441e-01
4.449040e+01 1.94075943e-01
4.469110e+01 2.65202992e-01
4.473810e+01 2.94963903e-01
4.489180e+01 3.92321674e-01
4.499220e+01 4.96955802e-01
4.509260e+01 6.52880624e-01
4.513240e+01 7.50728436e-01
4.519300e+01 8.99732400e-01
4.529330e+01 1.32402336e+00
4.532950e+01 1.62000539e+00
4.539370e+01 2.14495664e+00
4.544390e+01 2.87687069e+00
4.549410e+01 4.05482027e+00
4.552660e+01 5.39120979e+00
4.554430e+01 6.11904938e+00
4.559440e+01 1.01841561e+01
4.561950e+01 1.38252686e+01
4.564460e+01 1.96054673e+01
4.566970e+01 2.92291863e+01
4.569480e+01 4.55483547e+01
4.572240e+01 7.29210441e+01
4.572370e+01 7.37820594e+01
4.575000e+01 9.12011157e+01
4.577760e+01 7.29642116e+01
4.580520e+01 4.56029069e+01
4.582220e+01 3.53241120e+01
4.582310e+01 3.47799433e+01
4.583800e+01 2.57709536e+01
4.587080e+01 1.57816315e+01
4.590350e+01 1.04617795e+01
4.592080e+01 8.83843724e+00
4.593630e+01 7.38410217e+00
4.596910e+01 5.46898042e+00
4.600180e+01 4.20578714e+00
4.601940e+01 3.80283776e+00
4.606740e+01 2.70439693e+00
4.606860e+01 2.68937619e+00
4.611790e+01 2.07297369e+00
