W-182(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
314.248 10.9712
314.313 12.7136
314.377 16.5762
314.410 20.3685
314.442 26.9056
314.474 39.3583
314.490 50.0247
314.506 66.3584
314.514 77.9700
314.522 92.9700
314.531 112.683
314.539 138.695
314.547 174.546
314.555 223.554
314.563 292.976
314.571 388.284
314.578 504.213
314.585 637.857
314.600 820.690
314.607 785.279
314.615 680.181
314.629 442.327
314.645 281.253
314.660 190.693
314.675 137.869
314.690 105.170
314.705 83.7361
314.720 68.9836
314.750 50.5711
314.780 39.9025
314.810 33.1842
314.870 25.4216
314.930 21.2169
314.990 18.6583
315.050 16.9641
315.110 15.7732
315.230 14.2278
315.350 13.2824
315.470 12.6487
315.590 12.1967
315.830 11.5943
316.070 11.2098
316.550 10.7390
317.031 10.4511
317.511 10.2482
318.471 9.96262
320.392 9.58269
322.313 9.29723
329.997 8.42036
337.680 7.68335
345.364 6.97785
353.048 6.22312
356.890 5.78648
360.731 5.26595
364.573 4.58815
366.494 4.14583
368.415 3.59211
369.375 3.26003
370.336 2.88686
371.296 2.48358
372.257 2.11484
372.737 2.01297
373.217 2.07533
373.457 2.22857
373.577 2.35476
373.697 2.52526
373.818 2.75208
373.938 3.05016
374.058 3.44027
374.178 3.94888
374.298 4.61371
374.418 5.48529
374.538 6.63520
374.658 8.16468
374.778 10.2271
374.898 13.0468
375.018 16.9840
375.138 22.6087
375.258 30.9112
375.378 43.6410
375.498 64.2342
375.618 99.8970
375.678 128.100
375.738 168.112
375.798 227.159
375.858 318.481
375.919 468.570
375.979 732.937
376.039 1239.68
376.069 1664.06
376.099 2268.71
376.149 3743.30
376.200 4823.83
376.251 3977.67
376.302 2561.62
376.352 1620.61
376.403 1083.79
376.454 768.886
376.505 573.325
376.556 444.724
376.607 356.359
376.708 246.089
376.810 182.400
376.911 142.267
377.115 96.0579
377.318 71.2119
377.521 56.1542
377.725 46.2455
377.928 39.3247
378.334 30.4215
378.741 25.0340
379.148 21.4688
379.554 18.9550
380.367 15.6679
381.180 13.6267
381.994 12.2382
382.807 11.2315
384.433 9.86032
386.059 8.95695
387.686 8.30345
389.312 7.79765
392.565 7.03520
395.817 6.44929
402.322 5.47952
408.828 4.51574
412.080 3.95484
415.333 3.28218
416.959 2.88386
418.585 2.43260
420.212 1.92719
421.838 1.40371
422.651 1.18422
423.464 1.07687
423.668 1.08451
423.871 1.11372
424.074 1.17033
424.277 1.26186
424.481 1.39812
424.684 1.59201
424.887 1.86070
425.091 2.22710
425.294 2.72316
425.497 3.39259
425.700 4.29741
425.904 5.52715
426.107 7.21420
426.310 9.55990
426.514 12.8806
426.717 17.6905
426.920 24.8800
427.123 36.0568
427.327 54.3709
427.530 86.5870
427.632 112.372
427.733 149.374
427.835 204.760
427.937 291.772
428.038 437.798
428.140 703.101
428.191 920.254
428.241 1234.80
428.292 1699.14
428.343 2383.41
428.422 3928.04
428.500 5066.90
428.579 4182.28
428.658 2689.89
428.712 1958.52
428.766 1458.26
428.820 1117.33
428.874 880.126
428.982 585.946
429.090 419.742
429.198 317.411
429.306 250.046
429.522 169.555
429.738 124.844
429.954 97.2787
430.170 78.9705
430.386 66.1218
430.818 49.5597
431.250 39.5566
431.682 32.9672
432.114 28.3475
432.977 22.3656
433.841 18.7025
434.705 16.2463
435.569 14.4897
437.297 12.1437
439.025 10.6389
440.752 9.57836
442.480 8.77821
445.936 7.61388
449.391 6.75764
456.302 5.40746
463.213 4.11530
466.669 3.37705
470.124 2.51502
471.852 2.02723
473.580 1.51093
475.307 1.01372
476.171 0.816069
476.603 0.747185
477.035 0.710343
477.467 0.719406
477.683 0.747069
477.899 0.794278
478.115 0.865019
478.331 0.964085
478.547 1.09737
478.763 1.27205
478.979 1.49729
479.195 1.78429
479.627 2.60385
480.059 3.89785
480.491 5.94748
480.923 9.25066
481.354 14.7400
481.786 24.3177
482.002 31.8051
482.218 42.2647
482.434 57.3179
482.650 79.7701
482.866 114.833
483.082 172.930
483.298 277.306
483.406 362.380
483.514 486.324
483.622 674.469
483.730 972.530
483.838 1464.58
483.946 2287.76
484.073 3791.22
484.200 4908.38
484.328 4065.30
484.455 2627.43
484.577 1705.76
484.698 1163.20
484.819 836.997
484.941 630.984
485.062 493.805
485.184 398.431
485.427 278.040
485.670 207.748
485.912 163.016
486.398 111.057
486.884 82.8331
487.370 65.5929
487.856 54.1744
488.341 46.1531
489.313 35.7682
490.284 29.4346
491.256 25.2152
492.228 22.2230
494.171 18.2848
496.114 15.8204
498.057 14.1347
500.000 12.9069
504.877 10.9055
509.755 9.68281
514.632 8.83458
519.509 8.19226
529.264 7.22715
539.018 6.44872
548.773 5.67916
553.650 5.23734
558.527 4.70095
560.966 4.37221
563.404 3.98037
565.843 3.49754
568.282 2.88281
569.501 2.51059
570.720 2.09112
571.940 1.63977
573.159 1.23876
573.769 1.14371
574.073 1.16122
574.378 1.25276
574.531 1.33776
574.683 1.45731
574.835 1.61994
574.988 1.83651
575.140 2.12101
575.293 2.49167
575.445 2.97248
575.597 3.59544
575.750 4.40440
575.902 5.45768
576.055 6.83870
576.207 8.66567
576.360 11.1109
576.512 14.4325
576.664 19.0288
576.817 25.5375
576.969 35.0325
577.122 49.3828
577.274 72.1333
577.426 110.521
577.579 181.019
577.655 239.662
577.731 326.795
577.807 462.122
577.884 683.236
577.960 1063.45
578.036 1733.03
578.118 2881.06
578.200 3743.76
578.282 3111.77
578.364 2017.43
578.439 1334.47
578.514 922.974
578.589 670.780
578.664 509.420
578.814 324.847
578.964 228.148
579.114 171.270
579.263 134.892
579.563 92.4510
579.863 69.2884
580.163 55.1029
580.463 45.6915
580.762 39.0732
581.362 30.4951
581.961 25.2607
582.561 21.7741
583.160 19.3026
584.359 16.0546
585.558 14.0284
586.758 12.6479
587.957 11.6473
590.355 10.2905
592.753 9.40709
595.151 8.77934
597.549 8.30469
602.345 7.61934
607.141 7.12965
616.734 6.41672
626.326 5.83075
631.123 5.52916
635.919 5.18385
640.715 4.73652
643.113 4.43647
645.511 4.04147
646.710 3.78826
647.909 3.48022
649.108 3.09720
650.307 2.61489
650.907 2.33221
651.506 2.03067
652.106 1.74635
652.705 1.60613
653.005 1.70641
653.155 1.84790
653.305 2.08756
653.455 2.47159
653.605 3.07205
653.680 3.48754
653.755 4.00505
