83-Bi_n-g
> 83-Bi-209:1.000000
6.757770e+03 7.01406000e-05
6.835530e+03 6.29699000e-05
7.146570e+03 5.72279000e-05
7.768640e+03 6.33123000e-05
8.390710e+03 7.89744000e-05
8.701750e+03 9.43675000e-05
8.857270e+03 1.16562000e-04
8.935030e+03 1.77288000e-04
8.973910e+03 3.98967000e-04
8.983630e+03 6.24331000e-04
8.993350e+03 1.26061000e-03
8.998210e+03 2.14055000e-03
9.003070e+03 4.61087000e-03
9.005500e+03 7.99350000e-03
9.006710e+03 1.13287000e-02
9.007930e+03 1.73318000e-02
9.009140e+03 2.98399000e-02
9.009750e+03 4.19423000e-02
9.010360e+03 6.32046000e-02
9.010960e+03 1.06012000e-01
9.011270e+03 1.45812000e-01
9.011570e+03 2.12586000e-01
9.011870e+03 3.38213000e-01
9.012030e+03 4.46677000e-01
9.012180e+03 6.14121000e-01
9.012330e+03 8.94905000e-01
9.012480e+03 1.40756000e+00
9.012560e+03 1.83171000e+00
9.012630e+03 2.45449000e+00
9.012710e+03 3.39115000e+00
9.012780e+03 4.79297000e+00
9.012890e+03 7.65834000e+00
9.013000e+03 9.58486000e+00
9.013110e+03 7.65802000e+00
9.013220e+03 4.79276000e+00
9.013280e+03 3.49849000e+00
9.013350e+03 2.59914000e+00
9.013490e+03 1.55133000e+00
9.013630e+03 1.00833000e+00
9.013770e+03 7.03696000e-01
9.013900e+03 5.15770000e-01
9.014040e+03 3.94083000e-01
9.014310e+03 2.50763000e-01
9.014590e+03 1.72946000e-01
9.014860e+03 1.26336000e-01
9.015410e+03 7.58393000e-02
9.015960e+03 5.04720000e-02
9.016510e+03 3.60146000e-02
9.017610e+03 2.09759000e-02
9.018710e+03 1.37303000e-02
9.019810e+03 9.69524000e-03
9.022010e+03 5.59553000e-03
9.026400e+03 2.59404000e-03
9.030800e+03 1.52404000e-03
9.039590e+03 7.52121000e-04
9.048380e+03 4.81781000e-04
9.065960e+03 2.94643000e-04
9.083540e+03 2.42297000e-04
9.118700e+03 3.25856000e-04
9.136280e+03 8.35200000e-04
9.145070e+03 2.86880000e-03
9.147270e+03 4.94110000e-03
9.149460e+03 1.07154000e-02
9.150560e+03 1.85493000e-02
9.151660e+03 3.98526000e-02
9.152210e+03 6.78736000e-02
9.152490e+03 9.45075000e-02
9.152760e+03 1.40278000e-01
9.153040e+03 2.29751000e-01
9.153170e+03 3.09829000e-01
9.153310e+03 4.39662000e-01
9.153450e+03 6.71922000e-01
9.153520e+03 8.61598000e-01
9.153590e+03 1.13576000e+00
9.153650e+03 1.56363000e+00
9.153720e+03 2.24804000e+00
9.153790e+03 3.44076000e+00
9.153860e+03 5.54372000e+00
9.153930e+03 8.87555000e+00
9.154000e+03 1.10885000e+01
9.154070e+03 8.87532000e+00
9.154140e+03 5.54357000e+00
9.154210e+03 3.46351000e+00
9.154280e+03 2.27402000e+00
9.154340e+03 1.57928000e+00
9.154410e+03 1.15568000e+00
9.154480e+03 8.74929000e-01
9.154550e+03 6.85874000e-01
9.154680e+03 4.50905000e-01
9.154820e+03 3.17261000e-01
9.154950e+03 2.35472000e-01
9.155220e+03 1.44170000e-01
9.155490e+03 9.70441000e-02
9.155760e+03 6.98076000e-02
9.156300e+03 4.10375000e-02
9.157390e+03 1.91121000e-02
9.158470e+03 1.10472000e-02
9.160630e+03 5.09154000e-03
9.162790e+03 2.95333000e-03
