35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
2.551830e+02 2.11344502e+00
2.552810e+02 3.04675419e+00
2.553310e+02 3.85499856e+00
2.553800e+02 5.08966626e+00
2.554290e+02 7.04938819e+00
2.554780e+02 1.01689504e+01
2.555390e+02 1.59059724e+01
2.556000e+02 1.97237998e+01
2.556610e+02 1.58998594e+01
2.557220e+02 1.01540617e+01
2.557620e+02 7.53105308e+00
2.558010e+02 5.72267559e+00
2.558800e+02 3.61077766e+00
2.558900e+02 3.47372707e+00
2.559590e+02 2.53058928e+00
2.560380e+02 1.92170986e+00
2.561170e+02 1.54799476e+00
2.561960e+02 1.30374800e+00
2.563540e+02 1.01403788e+00
2.565120e+02 8.54482495e-01
2.566700e+02 7.56315592e-01
2.569850e+02 6.43699724e-01
2.573010e+02 5.80464456e-01
2.576170e+02 5.38552312e-01
2.582490e+02 4.81957498e-01
2.588810e+02 4.40620036e-01
2.592040e+02 4.22699168e-01
2.595120e+02 4.11056057e-01
2.607760e+02 3.71074181e-01
2.625190e+02 3.22971934e-01
2.633020e+02 3.09021033e-01
2.658290e+02 2.67809557e-01
2.658330e+02 2.67746922e-01
2.724610e+02 2.18663047e-01
2.759360e+02 2.20182023e-01
2.790890e+02 2.22244476e-01
2.824030e+02 2.51284279e-01
2.857170e+02 3.25610528e-01
2.873740e+02 4.06981416e-01
2.890310e+02 5.73311278e-01
2.898600e+02 7.34172782e-01
2.906880e+02 1.02533302e+00
2.911020e+02 1.27633313e+00
2.915170e+02 1.68888219e+00
2.917240e+02 2.02426419e+00
2.919310e+02 2.56444393e+00
2.921380e+02 3.67719256e+00
2.922420e+02 4.87126224e+00
2.923450e+02 7.23000573e+00
2.925000e+02 1.21711010e+01
2.926550e+02 8.25138149e+00
2.927460e+02 6.73467786e+00
2.928370e+02 6.25123918e+00
2.930190e+02 6.74423384e+00
2.932010e+02 8.43548940e+00
2.933830e+02 1.15318718e+01
2.934740e+02 1.39159664e+01
2.935640e+02 1.71875416e+01
2.936550e+02 2.18174567e+01
2.937460e+02 2.85981485e+01
2.938370e+02 3.90055577e+01
2.939280e+02 5.57954969e+01
2.940190e+02 8.43729900e+01
2.941100e+02 1.34160700e+02
2.942050e+02 2.14410565e+02
2.943000e+02 2.67868230e+02
2.943950e+02 2.14309168e+02
2.944900e+02 1.34034955e+02
2.945830e+02 8.35953550e+01
2.946750e+02 5.49225482e+01
2.947680e+02 3.82012269e+01
2.948600e+02 2.78957896e+01
2.949530e+02 2.11909135e+01
2.950450e+02 1.66194277e+01
2.952300e+02 1.10027057e+01
2.954150e+02 7.83496963e+00
2.956000e+02 5.88308394e+00
2.959700e+02 3.71125806e+00
2.961500e+02 3.16997961e+00
2.963400e+02 2.59864518e+00
2.967100e+02 1.95652071e+00
2.974500e+02 1.28789676e+00
2.981900e+02 9.71477071e-01
2.989300e+02 8.03761563e-01
3.004100e+02 6.59533227e-01
3.033700e+02 6.60749629e-01
3.063300e+02 8.70758141e-01
3.078100e+02 1.07532263e+00
3.092900e+02 1.39608887e+00
3.107700e+02 1.92363482e+00
3.115100e+02 2.32142709e+00
3.122500e+02 2.86675768e+00
3.129900e+02 3.64134899e+00
3.137300e+02 4.79260756e+00
3.144700e+02 6.60852355e+00
3.152100e+02 9.71434290e+00
3.155800e+02 1.21667213e+01
3.159500e+02 1.56807003e+01
3.163200e+02 2.09611245e+01
3.163640e+02 2.19644485e+01
3.166900e+02 2.93982053e+01
3.170600e+02 4.40234758e+01
3.172450e+02 5.56598414e+01
3.174300e+02 7.23571472e+01
3.176150e+02 9.72854952e+01
3.178000e+02 1.36174376e+02
3.179850e+02 1.99401554e+02
3.181700e+02 3.03535561e+02
3.183850e+02 4.85417387e+02
3.186000e+02 6.06342460e+02
3.188150e+02 4.84750353e+02
3.190300e+02 3.02860463e+02
3.191770e+02 2.16108092e+02
3.193250e+02 1.57748710e+02
3.194720e+02 1.18507063e+02
3.196190e+02 9.15354363e+01
3.199130e+02 5.86194094e+01
3.202080e+02 4.04174224e+01
3.205020e+02 2.94337419e+01
3.207970e+02 2.23467033e+01
3.213850e+02 1.41000102e+01
3.214180e+02 1.38527136e+01
3.219740e+02 9.68627055e+00
3.225630e+02 7.05961462e+00
3.231520e+02 5.37305543e+00
3.237410e+02 4.22700877e+00
3.249180e+02 2.81517232e+00
3.260960e+02 2.01231573e+00
3.264710e+02 1.85331254e+00
3.272740e+02 1.51331807e+00
3.284510e+02 1.18248162e+00
3.289980e+02 1.09022926e+00
3.302610e+02 8.78365772e-01
3.308070e+02 7.87571303e-01
3.315250e+02 7.22220246e-01
3.327880e+02 6.11774517e-01
3.331620e+02 5.81487672e-01
3.334200e+02 5.70023110e-01
3.340510e+02 5.48569441e-01
3.346830e+02 5.42945871e-01
3.349990e+02 5.54290247e-01
3.353150e+02 5.87735366e-01
3.355170e+02 6.41913018e-01
3.356310e+02 6.74754245e-01
3.357890e+02 7.63648054e-01
3.359460e+02 9.16107320e-01
3.361040e+02 1.20353256e+00
3.361830e+02 1.45065318e+00
3.362620e+02 1.83120173e+00
3.363410e+02 2.45689987e+00
3.364200e+02 3.56847903e+00
3.364990e+02 5.74660884e+00
3.365390e+02 7.61374440e+00
3.365780e+02 1.03132214e+01
3.366390e+02 1.62317088e+01
3.367000e+02 2.01622142e+01
3.367620e+02 1.61784761e+01
3.368230e+02 1.02273069e+01
3.368850e+02 6.41344172e+00
3.369470e+02 4.28785725e+00
3.370080e+02 3.06622709e+00
3.370700e+02 2.32055832e+00
3.371320e+02 1.83839233e+00
3.371940e+02 1.51081811e+00
3.373170e+02 1.10902785e+00
3.374410e+02 8.81806399e-01
3.375650e+02 7.40716694e-01
3.378120e+02 5.80708171e-01
3.378730e+02 5.59612726e-01
3.380590e+02 4.98151493e-01
3.383060e+02 4.49879999e-01
3.388010e+02 3.98751689e-01
3.392950e+02 3.79653014e-01
3.395420e+02 3.81109176e-01
3.397890e+02 3.94648260e-01
3.400370e+02 4.32911546e-01
3.401600e+02 4.71771706e-01
3.402840e+02 5.38166244e-01
3.404070e+02 6.60334662e-01
3.405310e+02 9.12797034e-01
3.405930e+02 1.14809405e+00
3.406550e+02 1.53609427e+00
3.407160e+02 2.21478960e+00
3.407780e+02 3.43471363e+00
3.408390e+02 5.32276629e+00
3.409000e+02 6.58091822e+00
3.409610e+02 5.31997018e+00
3.410220e+02 3.42851983e+00
3.410770e+02 2.30274724e+00
3.411320e+02 1.63699751e+00
3.411870e+02 1.23517955e+00
3.412430e+02 9.80914044e-01
3.413530e+02 6.94713598e-01
3.414630e+02 5.47754730e-01
3.415730e+02 4.62415611e-01
3.416840e+02 4.08278055e-01
3.419040e+02 3.45001927e-01
3.421250e+02 3.09584638e-01
3.423450e+02 2.86741231e-01
3.425830e+02 2.71075378e-01
3.427860e+02 2.59793542e-01
3.432270e+02 2.45065069e-01
3.436680e+02 2.34685393e-01
3.445500e+02 2.20403008e-01
3.454320e+02 2.12540193e-01
3.458730e+02 2.12181246e-01
3.463140e+02 2.16858822e-01
3.467550e+02 2.33152897e-01
3.469760e+02 2.51332972e-01
3.471960e+02 2.84745832e-01
3.472940e+02 3.14611458e-01
3.474170e+02 3.52707873e-01
3.475270e+02 4.14437275e-01
3.476370e+02 5.14177782e-01
3.477470e+02 6.89559337e-01
3.478580e+02 1.03488643e+00
3.479130e+02 1.34443325e+00
3.479680e+02 1.83450399e+00
3.480230e+02 2.64845266e+00
3.480780e+02 4.02424441e+00
3.481390e+02 6.34312505e+00
3.482000e+02 7.89066908e+00
3.482610e+02 6.34322166e+00
3.483220e+02 4.02360429e+00
3.483630e+02 2.93884036e+00
3.484040e+02 2.20307289e+00
3.484850e+02 1.35691438e+00
3.485670e+02 9.30884571e-01
3.486480e+02 6.93408701e-01
3.487290e+02 5.48913741e-01
3.488110e+02 4.55061734e-01
3.489740e+02 3.44964652e-01
3.491370e+02 2.85189905e-01
