57-La_n-tot
> 57-La-139:1.000000
7.025230e+02 1.59337000e+02
7.025330e+02 1.02203000e+02
7.025440e+02 6.89228000e+01
7.025550e+02 4.91301000e+01
7.025650e+02 3.68487000e+01
7.025860e+02 2.31152000e+01
7.026070e+02 1.61719000e+01
7.026280e+02 1.22185000e+01
7.026500e+02 9.76613000e+00
7.026920e+02 7.01826000e+00
7.027340e+02 5.59642000e+00
7.027760e+02 4.77148000e+00
7.028180e+02 4.24993000e+00
7.028610e+02 3.89951000e+00
7.029450e+02 3.47235000e+00
7.030300e+02 3.23242000e+00
7.031140e+02 3.08408000e+00
7.031980e+02 2.98622000e+00
7.033670e+02 2.86896000e+00
7.035360e+02 2.80407000e+00
7.038740e+02 2.73837000e+00
7.042120e+02 2.70732000e+00
7.045500e+02 2.69013000e+00
7.052250e+02 2.67253000e+00
7.065760e+02 2.65886000e+00
7.079270e+02 2.65307000e+00
7.106290e+02 2.64697000e+00
7.133310e+02 2.64290000e+00
7.241400e+02 2.63004000e+00
7.457570e+02 2.60660000e+00
7.889910e+02 2.55929000e+00
8.106090e+02 2.53351000e+00
8.322260e+02 2.50374000e+00
8.430340e+02 2.48529000e+00
8.484390e+02 2.47410000e+00
8.538430e+02 2.46040000e+00
8.592470e+02 2.44190000e+00
8.619490e+02 2.42921000e+00
8.646510e+02 2.41215000e+00
8.660030e+02 2.40094000e+00
8.673540e+02 2.38691000e+00
8.687050e+02 2.36862000e+00
8.700560e+02 2.34356000e+00
8.714070e+02 2.30698000e+00
8.720820e+02 2.28186000e+00
8.727580e+02 2.25056000e+00
8.734330e+02 2.21459000e+00
8.737710e+02 2.19981000e+00
8.741090e+02 2.20010000e+00
8.742780e+02 2.21629000e+00
8.744470e+02 2.25790000e+00
8.746160e+02 2.35322000e+00
8.747840e+02 2.57285000e+00
8.748690e+02 2.78311000e+00
8.749530e+02 3.12752000e+00
8.750380e+02 3.72486000e+00
8.751220e+02 4.84342000e+00
8.752070e+02 7.20806000e+00
8.752490e+02 9.45274000e+00
8.752910e+02 1.32507000e+01
8.753330e+02 2.02983000e+01
8.753540e+02 2.62451000e+01
8.753760e+02 3.52257000e+01
8.753970e+02 4.95065000e+01
8.754180e+02 7.36577000e+01
8.754390e+02 1.17297000e+02
8.754600e+02 1.99206000e+02
8.754800e+02 3.26041000e+02
8.755000e+02 4.17115000e+02
8.755200e+02 3.42547000e+02
8.755400e+02 2.20676000e+02
8.755550e+02 1.57789000e+02
8.755690e+02 1.16136000e+02
8.755840e+02 8.83382000e+01
8.755980e+02 6.93237000e+01
8.756270e+02 4.61077000e+01
8.756560e+02 3.32857000e+01
8.756850e+02 2.54677000e+01
8.757140e+02 2.03891000e+01
8.757730e+02 1.43682000e+01
8.758310e+02 1.10611000e+01
8.758890e+02 9.03817000e+00
8.759470e+02 7.70301000e+00
8.760050e+02 6.77194000e+00
8.761210e+02 5.57775000e+00
8.762370e+02 4.86246000e+00
8.763530e+02 4.39404000e+00
8.764690e+02 4.06797000e+00
8.767020e+02 3.64898000e+00
8.769340e+02 3.39550000e+00
8.771660e+02 3.22752000e+00
8.773990e+02 3.10888000e+00
8.778630e+02 2.95353000e+00
8.783280e+02 2.85705000e+00
8.787930e+02 2.79159000e+00
8.792570e+02 2.74436000e+00
8.801870e+02 2.68082000e+00
8.811160e+02 2.63998000e+00
8.820450e+02 2.61142000e+00
8.829740e+02 2.59023000e+00
8.848330e+02 2.56059000e+00
8.866920e+02 2.54051000e+00
8.904090e+02 2.51417000e+00
8.941260e+02 2.49684000e+00
8.978430e+02 2.48448000e+00
8.997010e+02 2.48024000e+00
9.015600e+02 2.47935000e+00
9.024890e+02 2.48303000e+00
9.034190e+02 2.49820000e+00
9.038830e+02 2.52140000e+00
9.043480e+02 2.58864000e+00
9.045800e+02 2.68152000e+00
9.046960e+02 2.77322000e+00
9.048120e+02 2.93793000e+00
9.049290e+02 3.28026000e+00
9.049870e+02 3.60982000e+00
9.050450e+02 4.18567000e+00
9.051030e+02 5.33512000e+00
9.051320e+02 6.39605000e+00
9.051610e+02 8.15919000e+00
9.051900e+02 1.14293000e+01
9.052050e+02 1.41985000e+01
9.052190e+02 1.84351000e+01
9.052340e+02 2.53350000e+01
9.052480e+02 3.74917000e+01
9.052630e+02 6.09830000e+01
9.052700e+02 8.10540000e+01
9.052770e+02 1.09510000e+02
9.052890e+02 1.73745000e+02
9.053000e+02 2.16570000e+02
9.053120e+02 1.73742000e+02
9.053230e+02 1.09507000e+02
9.053300e+02 8.13817000e+01
9.053370e+02 6.18973000e+01
9.053510e+02 3.85250000e+01
9.053650e+02 2.62175000e+01
9.053790e+02 1.91497000e+01
9.053930e+02 1.47499000e+01
9.054070e+02 1.18817000e+01
9.054350e+02 8.48197000e+00
9.054630e+02 6.62485000e+00
9.054910e+02 5.51113000e+00
9.055470e+02 4.29496000e+00
9.056040e+02 3.68289000e+00
9.056600e+02 3.33254000e+00
9.057720e+02 2.96764000e+00
9.058840e+02 2.79136000e+00
9.059960e+02 2.69295000e+00
9.062210e+02 2.59259000e+00
9.066690e+02 2.51831000e+00
9.071180e+02 2.49110000e+00
9.080160e+02 2.47006000e+00
9.089130e+02 2.46126000e+00
9.107080e+02 2.45231000e+00
9.125030e+02 2.44656000e+00
9.196830e+02 2.42921000e+00
9.268630e+02 2.41324000e+00
9.340430e+02 2.39653000e+00
9.412230e+02 2.37745000e+00
9.448130e+02 2.36604000e+00
9.484030e+02 2.35219000e+00
9.519930e+02 2.33367000e+00
9.537880e+02 2.32109000e+00
9.555830e+02 2.30437000e+00
9.573780e+02 2.28014000e+00
9.582760e+02 2.26305000e+00
9.591730e+02 2.24043000e+00
9.600710e+02 2.20959000e+00
9.605190e+02 2.19052000e+00
9.609680e+02 2.17069000e+00
9.614170e+02 2.15986000e+00
9.616410e+02 2.17035000e+00
9.618660e+02 2.21646000e+00
9.619780e+02 2.27081000e+00
9.620900e+02 2.36978000e+00
9.622020e+02 2.55660000e+00
9.623140e+02 2.93476000e+00
9.623700e+02 3.27092000e+00
9.624270e+02 3.79677000e+00
9.624830e+02 4.66611000e+00
9.625390e+02 6.21668000e+00
9.625950e+02 9.30100000e+00
9.626230e+02 1.20867000e+01
9.626510e+02 1.65532000e+01
9.626790e+02 2.43202000e+01
9.626930e+02 3.04348000e+01
9.627070e+02 3.91076000e+01
9.627210e+02 5.18213000e+01
9.627350e+02 7.11204000e+01
9.627490e+02 1.01317000e+02
9.627630e+02 1.48824000e+02
9.627820e+02 2.42947000e+02
9.628000e+02 3.10962000e+02
9.628190e+02 2.55766000e+02
9.628370e+02 1.64860000e+02
9.628550e+02 1.05605000e+02
9.628730e+02 7.15999000e+01
9.628920e+02 5.13989000e+01
9.629100e+02 3.88674000e+01
9.629280e+02 3.05702000e+01
9.629460e+02 2.48782000e+01
9.629820e+02 1.77455000e+01
9.630190e+02 1.36296000e+01
9.630550e+02 1.10355000e+01
9.631270e+02 8.05684000e+00
9.632000e+02 6.46123000e+00
9.632730e+02 5.49815000e+00
9.633450e+02 4.86702000e+00
9.634180e+02 4.42834000e+00
