Cu-63(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
7745.29 0.0885554
7766.08 0.103144
7786.87 0.124732
7807.66 0.156645
7828.45 0.205043
7849.23 0.281718
7870.02 0.410499
7880.42 0.508472
7890.81 0.641695
7901.21 0.824644
7911.60 1.07445
7930.80 1.72208
7950.00 2.19575
7959.60 2.09317
7969.20 1.79586
7988.40 1.12975
8000.13 0.835564
8011.85 0.628122
8035.31 0.380241
8058.76 0.250676
8082.22 0.176826
8105.67 0.131467
8129.12 0.101935
8176.03 0.0678109
8222.94 0.0510955
8269.85 0.0462015
8293.30 0.0509249
8305.03 0.0577123
8316.75 0.0712277
8328.48 0.100441
8334.34 0.128596
8340.21 0.177161
8346.07 0.270905
8349.00 0.353985
8351.93 0.486679
8354.87 0.716638
8357.80 1.16166
8359.26 1.55340
8360.73 2.16563
8362.20 3.16634
8363.66 4.83644
8367.00 10.1728
8368.67 8.48473
8370.34 5.35982
8371.42 3.89550
8372.49 2.88262
8374.64 1.70520
8376.79 1.10752
8378.95 0.773172
8381.10 0.570027
8383.25 0.438262
8387.55 0.284203
8391.85 0.201332
8396.15 0.151784
8404.76 0.0980083
8413.36 0.0709153
8421.97 0.0552968
8439.17 0.0387305
8456.38 0.0304181
8473.59 0.0255518
8508.01 0.0202257
8576.84 0.0163677
8611.25 0.0182229
8619.86 0.0208685
8628.46 0.0283146
8632.76 0.0383263
8634.92 0.0480831
8637.07 0.0655168
8639.22 0.101675
8640.29 0.136632
8641.37 0.198256
8642.44 0.323084
8642.98 0.440149
8643.52 0.638980
8644.06 1.01901
8644.33 1.35315
8644.60 1.88338
8644.86 2.79340
8645.13 4.52893
8645.27 6.03767
8645.40 8.33502
8645.54 11.9825
8645.60 14.5705
8645.67 17.8236
8645.75 22.8428
8645.84 28.5147
8646.00 35.6913
8646.08 33.5997
8646.17 28.6018
8646.33 17.8916
8646.49 11.1721
8646.65 7.36091
8646.81 5.12774
8646.97 3.74666
8647.13 2.84583
8647.29 2.23049
8647.60 1.47300
8647.92 1.04499
8648.24 0.780937
8648.88 0.486766
8649.51 0.335870
8650.15 0.248693
8651.42 0.157847
8652.69 0.114952
8653.96 0.0926729
8656.51 0.0766678
8659.05 0.0854108
8661.60 0.136100
8662.87 0.209488
8664.14 0.404167
8664.78 0.646627
8665.10 0.865474
8665.41 1.22220
8665.73 1.85869
8666.05 3.14943
8666.21 4.34189
8666.37 6.29917
8666.53 9.70993
8666.61 12.3540
8666.69 15.8360
8666.76 20.2829
8666.84 25.3689
8667.00 31.6952
8667.08 29.8319
8667.16 25.3415
8667.32 15.8644
8667.44 10.6915
8667.57 7.47100
8667.69 5.43063
8667.82 4.09266
8668.07 2.53701
8668.32 1.71638
8668.58 1.23633
8668.83 0.932983
8669.33 0.587038
8670.34 0.298186
8671.35 0.183986
8672.36 0.127374
8673.37 0.0952543
8675.38 0.0618773
8677.40 0.0456863
8679.42 0.0365553
8683.45 0.0270585
8691.52 0.0197235
8699.58 0.0168828
8731.85 0.0137569
8796.39 0.0132794
8860.93 0.0145465
8925.46 0.0176291
8990.00 0.0243727
9022.27 0.0307433
9038.40 0.0353615
9054.54 0.0414788
9062.61 0.0453076
9070.67 0.0498078
9078.74 0.0551447
9086.81 0.0615359
9094.87 0.0692743
9102.94 0.0787598
9111.01 0.0905495
9119.07 0.105435
9127.14 0.124569
9135.21 0.149665
9143.28 0.183351
9151.34 0.229749
9159.41 0.295478
9167.48 0.391270
9175.54 0.534011
9183.61 0.746366
9195.31 1.18711
9207.00 1.47598
9218.70 1.17874
9230.39 0.739451
9238.83 0.521367
9247.26 0.377745
9255.69 0.283029
9264.13 0.218955
9281.00 0.142112
9297.86 0.100438
9314.73 0.0757120
9331.60 0.0600237
9365.34 0.0423267
9399.08 0.0335079
9432.81 0.0289423
9500.29 0.0262333
9567.76 0.0289474
9635.23 0.0377993
9668.97 0.0464833
9702.71 0.0621283
9719.58 0.0766043
9736.44 0.105338
9744.88 0.135536
9753.31 0.200591
9757.53 0.268885
9761.75 0.403608
9763.86 0.526714
9765.96 0.729201
9768.07 1.09109
9770.18 1.79834
9772.09 3.05479
9774.00 4.91583
9774.96 5.46818
9775.91 5.25542
9777.82 3.48070
9778.67 2.74867
9779.51 2.17653
9780.36 1.74563
9781.21 1.42380
9782.90 0.996620
9784.59 0.742173
9786.29 0.581622
9787.98 0.475292
9791.37 0.349447
9794.76 0.282288
9798.14 0.243574
9804.92 0.206193
9818.46 0.192782
9832.01 0.210124
9859.11 0.297004
9886.20 0.467766
