25-Mn_n-tot
>  25-Mn-55:1.000000
4.944470e+03 1.13366000e+01
4.944920e+03 9.99560000e+00
4.945370e+03 9.19617000e+00
4.946260e+03 8.33206000e+00
4.947160e+03 7.89800000e+00
4.948060e+03 7.64912000e+00
4.948950e+03 7.49218000e+00
4.949850e+03 7.38643000e+00
4.951640e+03 7.25517000e+00
4.953430e+03 7.17804000e+00
4.957010e+03 7.09053000e+00
4.960590e+03 7.03944000e+00
4.964180e+03 7.00306000e+00
4.971340e+03 6.94831000e+00
4.985670e+03 6.86269000e+00
5.000000e+03 6.78665000e+00
5.041610e+03 6.58152000e+00
5.083220e+03 6.38838000e+00
5.166440e+03 6.02953000e+00
5.332870e+03 5.41262000e+00
5.665740e+03 4.59541000e+00
5.998610e+03 4.58599000e+00
6.165040e+03 5.17484000e+00
6.248260e+03 5.74478000e+00
6.289870e+03 6.13172000e+00
6.300270e+03 6.24328000e+00
6.310670e+03 6.36597000e+00
6.315870e+03 6.43715000e+00
6.321070e+03 6.53134000e+00
6.323680e+03 6.60756000e+00
6.324980e+03 6.66721000e+00
6.326280e+03 6.76091000e+00
6.327580e+03 6.93505000e+00
6.328230e+03 7.09144000e+00
6.328880e+03 7.35194000e+00
6.329530e+03 7.84105000e+00
6.329850e+03 8.26707000e+00
6.330180e+03 8.93891000e+00
6.330500e+03 1.00843000e+01
6.330830e+03 1.22507000e+01
6.330990e+03 1.41180000e+01
6.331150e+03 1.69442000e+01
6.331310e+03 2.14263000e+01
6.331480e+03 2.84966000e+01
6.331680e+03 4.16648000e+01
6.331880e+03 5.04579000e+01
6.332090e+03 4.16843000e+01
6.332290e+03 2.85249000e+01
6.332450e+03 2.17717000e+01
6.332600e+03 1.74220000e+01
6.332750e+03 1.45889000e+01
6.332900e+03 1.26907000e+01
6.333210e+03 1.04355000e+01
6.333510e+03 9.22166000e+00
6.333810e+03 8.50126000e+00
6.334120e+03 8.04481000e+00
6.334730e+03 7.52263000e+00
6.335340e+03 7.24924000e+00
6.335940e+03 7.09099000e+00
6.337160e+03 6.92840000e+00
6.338380e+03 6.85552000e+00
6.339590e+03 6.82101000e+00
6.342030e+03 6.80065000e+00
6.346890e+03 6.82598000e+00
6.351760e+03 6.87743000e+00
6.361490e+03 7.00267000e+00
6.371220e+03 7.14082000e+00
6.410160e+03 7.77387000e+00
6.488020e+03 9.45904000e+00
6.565880e+03 1.19208000e+01
6.643750e+03 1.55803000e+01
6.721610e+03 2.11518000e+01
6.799470e+03 2.98718000e+01
6.877340e+03 4.38659000e+01
6.955200e+03 6.64176000e+01
6.959890e+03 6.81348000e+01
6.962240e+03 6.90241000e+01
6.963410e+03 6.95183000e+01
6.964000e+03 6.98884000e+01
6.964290e+03 7.03075000e+01
6.964440e+03 7.07949000e+01
6.964580e+03 7.18868000e+01
6.964680e+03 7.31201000e+01
6.964770e+03 7.39621000e+01
6.964870e+03 7.31940000e+01
6.964960e+03 7.20328000e+01
6.965160e+03 7.08794000e+01
6.965360e+03 7.05607000e+01
6.965750e+03 7.04754000e+01
6.966540e+03 7.06784000e+01
6.968120e+03 7.12541000e+01
6.971290e+03 7.24764000e+01
6.977610e+03 7.49976000e+01
