83-Bi_n-tot
> 83-Bi-209:1.000000
4.438590e+03 1.00645000e+01
4.442920e+03 1.00670000e+01
4.447250e+03 1.00814000e+01
4.449410e+03 1.01054000e+01
4.451570e+03 1.01776000e+01
4.452660e+03 1.02793000e+01
4.453200e+03 1.03808000e+01
4.453740e+03 1.05645000e+01
4.454280e+03 1.09492000e+01
4.454550e+03 1.13230000e+01
4.454820e+03 1.19790000e+01
4.454960e+03 1.25165000e+01
4.455090e+03 1.33031000e+01
4.455230e+03 1.45283000e+01
4.455360e+03 1.65864000e+01
4.455500e+03 2.04301000e+01
4.455560e+03 2.37604000e+01
4.455630e+03 2.88380000e+01
4.455700e+03 3.73732000e+01
4.455770e+03 5.25432000e+01
4.455800e+03 6.51238000e+01
4.455830e+03 8.34488000e+01
4.455870e+03 1.10737000e+02
4.455900e+03 1.51179000e+02
4.455950e+03 2.35304000e+02
4.456000e+03 2.92950000e+02
4.456050e+03 2.35693000e+02
4.456100e+03 1.51668000e+02
4.456130e+03 1.11207000e+02
4.456170e+03 8.45375000e+01
4.456230e+03 5.38379000e+01
4.456300e+03 3.81665000e+01
4.456370e+03 2.95726000e+01
4.456430e+03 2.42804000e+01
4.456500e+03 2.09033000e+01
4.456630e+03 1.69220000e+01
4.456760e+03 1.47824000e+01
4.456900e+03 1.35047000e+01
4.457160e+03 1.21251000e+01
4.457430e+03 1.14309000e+01
4.457690e+03 1.10358000e+01
4.458220e+03 1.06235000e+01
4.458760e+03 1.04237000e+01
4.459290e+03 1.03120000e+01
4.460350e+03 1.01975000e+01
4.461410e+03 1.01424000e+01
4.462470e+03 1.01115000e+01
4.464600e+03 1.00790000e+01
4.468850e+03 1.00527000e+01
4.473100e+03 1.00406000e+01
4.481600e+03 1.00268000e+01
4.490090e+03 1.00167000e+01
4.524090e+03 9.98185000e+00
4.558080e+03 9.94665000e+00
4.592080e+03 9.90897000e+00
4.660060e+03 9.82276000e+00
4.728050e+03 9.71513000e+00
4.796040e+03 9.57211000e+00
4.864030e+03 9.36530000e+00
4.898020e+03 9.21975000e+00
4.932010e+03 9.02605000e+00
4.966010e+03 8.75304000e+00
4.983000e+03 8.56891000e+00
5.000000e+03 8.33581000e+00
5.013640e+03 8.09822000e+00
5.027290e+03 7.79579000e+00
5.040930e+03 7.39837000e+00
5.054580e+03 6.85572000e+00
5.061400e+03 6.50524000e+00
5.068220e+03 6.08350000e+00
5.075040e+03 5.57565000e+00
5.081860e+03 4.98058000e+00
5.088690e+03 4.38142000e+00
5.092100e+03 4.20555000e+00
5.095510e+03 4.35760000e+00
5.098920e+03 5.45937000e+00
5.100620e+03 6.88281000e+00
5.102330e+03 9.58150000e+00
5.104040e+03 1.48217000e+01
5.104890e+03 1.91871000e+01
5.105740e+03 2.55071000e+01
5.106590e+03 3.48548000e+01
5.107450e+03 4.89159000e+01
5.108300e+03 7.04338000e+01
5.109150e+03 1.03250000e+02
5.110580e+03 1.91528000e+02
5.112000e+03 2.77362000e+02
5.113430e+03 2.56205000e+02
5.114850e+03 1.84110000e+02
5.115990e+03 1.38480000e+02
5.117140e+03 1.07286000e+02
5.118280e+03 8.61655000e+01
5.119430e+03 7.15098000e+01
5.121710e+03 5.31936000e+01
5.124000e+03 4.26187000e+01
5.126290e+03 3.59123000e+01
5.128570e+03 3.13552000e+01
5.133150e+03 2.56474000e+01
5.137720e+03 2.22696000e+01
5.142300e+03 2.00621000e+01
5.146870e+03 1.85156000e+01
5.151450e+03 1.73766000e+01
