Ti-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
34012.9 0.105857
34025.1 0.102945
34049.7 0.125627
34062.0 0.156203
34074.2 0.237886
34080.4 0.345122
34083.5 0.447582
34086.5 0.626133
34089.6 0.980513
34091.1 1.30731
34092.7 1.84780
34094.2 2.85213
34095.0 3.70642
34095.7 4.99531
34096.5 7.12195
34097.3 10.8181
34098.0 18.0608
34098.4 24.1259
34098.8 32.8258
34099.4 52.5517
34100.0 65.3362
34100.6 52.0131
34101.2 32.5857
34101.8 20.9117
34102.3 14.1277
34102.8 10.0210
34103.4 7.41935
34104.5 4.47803
34105.6 2.99483
34106.6 2.13903
34107.7 1.61211
34109.9 1.01970
34112.1 0.712034
34114.2 0.534024
34118.5 0.345894
34127.2 0.203216
34135.9 0.151381
34153.2 0.114115
34170.5 0.101482
34205.2 0.0935063
34239.8 0.0918415
34378.4 0.0971432
34517.0 0.110738
34655.5 0.136380
34794.1 0.189258
34863.4 0.239305
34932.7 0.326015
34967.3 0.395993
35002.0 0.499109
35036.6 0.661380
35071.3 0.940923
35088.6 1.16520
35105.9 1.49293
35123.2 2.00141
35140.6 2.85665
35157.9 4.47133
35166.5 5.88233
35175.2 8.11539
35183.9 11.9466
35192.5 19.2834
35196.9 25.6783
35201.2 35.5773
35205.5 51.5256
35209.8 77.5134
35214.9 122.814
35220.0 151.958
35225.1 120.154
35230.2 74.2740
35233.9 51.4768
35237.6 36.6308
35241.3 26.9355
35245.0 20.4441
35252.4 12.7115
35259.8 8.55252
35267.2 6.09292
35274.7 4.53453
35289.5 2.75675
35304.3 1.82767
35319.1 1.28684
35333.9 0.946473
35348.8 0.719621
35378.4 0.447529
35408.1 0.298592
35437.7 0.209470
35467.4 0.152649
35497.0 0.114639
35526.7 0.0882854
35585.9 0.0558103
35645.2 0.0380727
35704.5 0.0279949
35823.1 0.0191693
35941.7 0.0176162
36060.3 0.0196677
36178.9 0.0240079
36416.1 0.0380801
36653.2 0.0596601
36890.4 0.0911230
37127.6 0.136990
37364.8 0.205143
37602.0 0.309879
37839.1 0.479267
38076.3 0.774702
38194.9 1.01092
38313.5 1.35248
38432.1 1.87108
38550.7 2.71051
38669.2 4.19247
38728.5 5.39313
38787.8 7.14561
38847.1 9.82265
38906.4 14.1276
38965.7 21.4188
39025.0 34.0379
39087.5 54.4328
39150.0 67.9038
39212.5 54.2710
39275.0 33.9013
39321.8 23.4426
39368.6 16.6568
39415.4 12.2397
39462.2 9.28320
39555.8 5.77321
39649.4 3.88554
39742.9 2.76833
39836.5 2.05776
40023.7 1.24562
40210.9 0.822722
40398.1 0.580818
40585.2 0.435723
40772.4 0.348967
40959.6 0.301884
41146.8 0.286025
41333.9 0.299793
41521.1 0.348939
41708.3 0.453207
41895.5 0.677595
41989.0 0.907229
42035.8 1.09549
42082.6 1.38793
42129.4 1.90531
42152.8 2.34460
42176.2 3.03704
42199.6 4.24793
42211.3 5.23584
42223.0 6.70081
42234.7 9.00852
42246.4 12.9104
42258.1 20.0565
42269.8 33.8060
42279.9 52.7986
42290.0 64.8094
42300.1 51.2318
42310.2 31.9280
42317.9 22.0406
42325.7 15.7717
42333.4 11.7775
42341.1 9.15579
42356.6 6.13009
42372.0 4.57686
42387.5 3.71257
42402.9 3.21147
42433.9 2.76059
42464.8 2.68706
42495.7 2.82933
42557.5 3.63182
42619.3 5.38023
42650.2 6.91382
42681.2 9.28970
42712.1 13.2112
42743.0 20.2498
42758.4 25.9848
42773.9 34.2849
42789.4 46.5742
42804.8 64.7093
42827.4 102.400
42850.0 126.399
42872.6 99.5725
42895.2 61.2978
42919.9 35.6147
42944.6 22.1430
42969.3 14.7575
42993.9 10.4092
43018.6 7.67747
43043.3 5.86664
43092.7 3.71293
43142.0 2.54457
43191.4 1.85002
43240.7 1.40935
43290.1 1.11651
43388.8 0.774498
43487.6 0.604312
43586.3 0.523855
43685.0 0.498811
43882.5 0.573390
43981.2 0.684400
44079.9 0.885634
44178.6 1.28136
44228.0 1.63894
44277.4 2.22572
44326.7 3.28870
44351.4 4.17440
44376.1 5.50464
44400.8 7.61548
44425.4 11.1936
44450.1 17.7135
44474.8 30.1274
44497.4 48.5976
44520.0 61.4310
44542.6 49.7945
44565.2 31.6939
44587.0 20.2954
