Cd-106(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2941.45 3.76448
2941.62 4.02277
2941.79 4.40499
2941.96 5.01253
2942.13 6.04715
2942.30 8.05126
2942.39 9.83171
2942.47 12.6443
2942.56 17.5851
2942.64 27.2164
2942.68 35.8669
2942.73 49.1232
2942.77 70.7031
2942.81 106.282
2942.86 168.582
2942.91 208.776
2942.96 167.083
2943.00 106.090
2943.05 68.5899
2943.09 46.6595
2943.14 33.5841
2943.18 25.5424
2943.27 16.4403
2943.36 11.8216
2943.45 9.18581
2943.54 7.54832
2943.72 5.71077
2943.90 4.75998
2944.07 4.20573
2944.25 3.85461
2944.43 3.61808
2944.79 3.32782
2945.14 3.16330
2945.85 2.99025
2946.57 2.90294
2947.28 2.85051
2948.70 2.78794
2951.55 2.71763
2954.40 2.66946
2957.25 2.63704
2958.68 2.63310
2960.10 2.64985
2961.53 2.71967
2962.24 2.80440
2962.95 2.97080
2963.31 3.11594
2963.67 3.33954
2964.02 3.70664
2964.38 4.36459
2964.56 4.90966
2964.74 5.71678
2964.91 6.98983
2965.09 9.16364
2965.27 13.3213
2965.36 16.9799
2965.45 22.7858
2965.54 32.7446
2965.63 51.7087
2965.67 68.3129
2965.72 93.1616
2965.76 133.483
2965.80 196.468
2965.86 312.938
2965.91 390.669
2965.97 313.427
2966.02 197.120
2966.07 134.121
2966.11 95.1592
2966.16 69.7455
2966.20 53.3938
2966.29 34.0308
2966.37 23.8615
2966.46 17.8092
2966.54 14.0146
2966.72 9.63866
2966.89 7.31965
2967.06 5.95958
2967.24 5.08933
2967.41 4.49858
2967.76 3.76779
2968.10 3.35035
2968.45 3.08702
2968.80 2.90878
2969.49 2.68575
2970.18 2.55237
2971.57 2.39545
2972.95 2.29696
2974.34 2.22067
2977.11 2.09000
2979.88 1.96297
2982.65 1.82730
2988.19 1.50435
2990.96 1.30655
2993.73 1.07903
2996.50 0.823816
2999.27 0.568891
3000.66 0.474305
3002.04 0.454489
3002.74 0.501857
3003.43 0.616989
3004.12 0.840338
3004.81 1.23893
3005.16 1.53918
3005.51 1.93362
3005.85 2.45605
3006.20 3.14763
3006.55 4.07597
3006.89 5.32877
3007.24 7.04829
3007.58 9.45198
3007.93 12.9020
3008.28 17.9686
3008.62 25.7014
3008.97 38.0545
3009.32 59.0478
3009.66 97.2141
3009.83 128.304
3010.01 172.992
3010.18 238.256
3010.35 333.404
3010.64 569.859
3010.93 762.593
3011.22 652.558
3011.50 433.797
3011.74 302.431
3011.98 218.280
3012.22 164.230
3012.46 128.414
3012.94 85.6616
3013.42 62.3956
3013.90 48.2766
3014.38 39.0589
3015.34 28.0207
3016.30 21.8162
3017.26 17.9288
3018.22 15.2997
3019.17 13.4212
3021.09 10.9344
3023.01 9.38007
3024.93 8.32318
3026.84 7.56037
3030.68 6.53460
3034.51 5.87616
3038.35 5.41518
3042.18 5.07201
3049.85 4.58690
3057.52 4.24981
3061.35 4.11425
3065.19 3.99737
3067.11 3.94972
3069.02 3.92375
3069.98 3.93794
3070.94 4.02598
3071.42 4.16706
3071.66 4.30966
3071.90 4.56396
3072.14 5.08166
3072.26 5.56358
3072.38 6.36457
3072.50 7.86588
3072.56 9.15006
3072.62 11.1287
3072.68 14.3818
3072.74 20.1900
3072.80 31.6344
3072.83 41.5092
3072.86 55.5056
3072.90 86.4578
3072.95 107.296
3072.99 86.5391
3073.04 55.5504
3073.07 40.0582
3073.11 29.9115
3073.14 23.2089
3073.17 18.6667
3073.24 13.2040
3073.30 10.2254
3073.37 8.44450
3073.44 7.30154
3073.57 5.97786
3073.70 5.26747
3073.83 4.84833
3074.10 4.39375
3074.36 4.16314
3074.63 4.02951
3075.15 3.88422
