Sn-122(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
13843.7 4.68185
13848.6 4.63872
13858.3 4.59487
13868.0 4.57393
13877.7 4.56222
13897.0 4.55001
13935.8 4.54015
13974.6 4.53574
14052.1 4.53085
14129.7 4.52746
14284.8 4.52188
14439.9 4.51700
14595.0 4.51302
14672.5 4.51183
14750.1 4.51200
14827.6 4.51563
14866.4 4.52069
14905.2 4.53105
14924.6 4.54019
14944.0 4.55436
14963.4 4.57762
14982.7 4.61910
14992.4 4.65307
15002.1 4.70330
15011.8 4.78210
15021.5 4.91633
15031.2 5.17565
15036.1 5.40940
15040.9 5.79511
15045.7 6.51830
15048.2 7.15500
15050.6 8.19260
15053.0 10.1158
15054.2 11.7858
15055.4 14.4683
15056.6 19.2757
15057.3 23.3488
15057.9 29.4876
15058.5 39.8253
15059.1 58.4922
15059.4 74.7724
15059.7 98.5267
15060.0 135.333
15060.3 192.506
15060.6 291.307
15061.0 342.493
15061.4 259.497
15061.7 154.012
15062.0 105.497
15062.3 75.2275
15062.5 54.7023
15062.8 41.5312
15063.3 25.6982
15063.8 17.5273
15064.3 12.7502
15064.8 9.85223
15065.8 6.83033
15066.8 5.49763
15067.8 4.96782
15069.9 5.16112
15071.9 6.87652
15072.9 8.72963
15073.9 11.9229
15074.9 17.9815
15075.5 23.1172
15076.0 30.6849
15076.5 42.8549
15077.0 62.7109
15077.5 98.4283
15078.0 161.897
15078.5 267.993
15079.0 345.387
15079.5 287.161
15080.0 186.954
15080.4 133.726
15080.8 99.2930
15081.2 75.8085
15081.6 60.2066
15082.4 40.9393
15083.1 30.3536
15083.9 23.7997
15084.7 19.5153
15086.2 14.4467
15087.7 11.6221
15089.3 9.89523
15092.3 7.94510
15095.4 6.91112
15098.4 6.29435
15104.6 5.61479
15110.7 5.26410
15116.8 5.05837
15123.0 4.92647
15129.1 4.83651
15141.4 4.72454
15153.6 4.65984
15165.9 4.61880
15178.2 4.59105
15202.7 4.55668
15227.2 4.53672
15251.8 4.52388
15276.3 4.51497
15325.3 4.50331
15374.4 4.49581
15472.5 4.48591
15570.6 4.47888
15668.7 4.47397
15717.8 4.47395
15742.3 4.47612
15766.9 4.48231
15791.4 4.49946
15803.7 4.51888
15815.9 4.55699
15822.1 4.59064
15828.2 4.64348
15834.3 4.73237
15840.5 4.89704
15843.5 5.03695
15846.6 5.25000
15849.7 5.59870
15852.7 6.21936
15854.3 6.73286
15855.8 7.49125
15857.3 8.68428
15858.8 10.7126
15860.4 14.5969
15861.2 17.9975
15861.9 23.2717
15862.7 32.3071
15863.4 48.8807
15863.8 63.2300
15864.2 84.1446
15864.6 116.141
15865.0 165.178
15865.5 262.893
15866.0 326.879
15866.5 262.841
15867.0 166.070
15867.4 123.850
15867.7 95.0015
15868.3 59.6567
15868.9 40.9914
15869.6 30.3761
15870.2 23.6592
15870.8 19.2936
15872.1 14.0414
15873.3 11.1440
15874.6 9.40568
15877.1 7.49469
15879.6 6.51897
15882.1 5.95737
15884.6 5.60163
15887.1 5.36341
15892.1 5.07134
15897.1 4.90551
15902.1 4.80188
15907.1 4.73263
15917.1 4.64780
15927.2 4.59940
15937.2 4.56886
15947.2 4.54817
15967.2 4.52225
15987.3 4.50687
16027.3 4.48943
16067.4 4.47952
16107.5 4.47281
16187.6 4.46350
16347.9 4.45046
16508.1 4.43930
16668.4 4.42811
16828.7 4.41615
16989.0 4.40391
17029.0 4.40251
17069.1 4.40738
17089.1 4.41985
17099.2 4.43454
17109.2 4.46389
17119.2 4.53134
17124.2 4.60122
17129.2 4.73098
17131.7 4.84184
17134.2 5.01102
17136.7 5.28910
17139.2 5.78594
17140.5 6.19938
17141.7 6.81160
17143.0 7.77953
17144.2 9.43667
17145.5 12.6144
17146.1 15.4425
17146.7 19.8618
17147.4 27.5714
17148.0 41.9982
17148.3 54.8697
17148.6 73.9723
17148.9 104.044
17149.2 151.670
17149.6 240.053
17150.0 299.339
17150.4 239.414
17150.8 152.006
17151.0 113.806
17151.3 87.8378
17151.7 56.0625
17152.2 38.6706
17152.7 28.7857
17153.1 22.4745
17153.6 18.3861
17154.5 13.4404
17155.4 10.7233
17156.4 9.07517
17158.2 7.26274
17160.1 6.33990
17162.0 5.80611
17163.8 5.46919
17165.7 5.24359
17169.4 4.96586
17173.1 4.80850
17176.8 4.70984
17180.5 4.64394
17188.0 4.56322
17195.4 4.51709
17210.2 4.46806
17225.1 4.44306
17240.0 4.42804
17269.7 4.41059
17329.1 4.39277
17388.6 4.38160
17626.4 4.34675
17864.2 4.31193
17923.6 4.30696
17953.4 4.30799
17983.1 4.31525
17998.0 4.32374
18012.8 4.33858
18027.7 4.36528
18042.5 4.41668
18050.0 4.46093
18057.4 4.52895
18064.8 4.64033
18072.3 4.83989
18076.0 5.00461
18079.7 5.24955
18083.4 5.63851
18087.1 6.30535
18090.8 7.59958
18092.7 8.75470
18094.5 10.6036
18096.4 13.8610
18098.3 20.2912
18099.2 26.0614
18100.1 35.2450
18101.1 50.5759
18102.0 76.2716
18103.0 119.556
18104.0 147.945
18105.0 119.029
18106.0 75.8374
18106.9 52.0265
18107.7 37.4195
18108.5 28.2349
18109.4 22.2459
18111.0 15.2916
18112.7 11.6704
18114.4 9.54810
18116.0 8.21927
18119.4 6.70606
18122.7 5.91047
18126.0 5.44442
18129.3 5.14673
18132.7 4.94612
18139.3 4.69919
18146.0 4.55900
18152.6 4.47130
18159.3 4.41246
18172.6 4.33986
18185.9 4.29739
18199.2 4.26933
18212.5 4.24899
18239.1 4.21994
18265.7 4.19812
18318.9 4.16143
18372.1 4.12542
18425.3 4.08567
18531.8 3.98290
18638.2 3.82020
18691.4 3.69469
18744.6 3.51262
18771.2 3.38665
18797.8 3.22366
18824.5 3.00458
18851.1 2.69504
18864.4 2.48712
18877.7 2.22666
18891.0 1.89219
18904.3 1.45348
18910.9 1.18269
18917.6 0.873846
18930.9 0.196426
18934.2 0.0682416
18937.5 0.0209690
18939.2 0.0546464
18940.9 0.151184
18942.5 0.341074
18944.2 0.670902
18945.9 1.21774
18947.5 2.09311
18949.2 3.49437
18950.8 5.75479
18952.5 9.49216
18954.2 15.7403
18955.8 26.4789
18957.5 45.0376
18959.7 88.9798
18962.0 134.598
18963.1 138.440
18964.3 128.102
18966.5 93.9302
18968.3 72.0088
18970.0 56.5632
18971.8 45.8535
18973.6 38.2759
18977.1 28.6185
18980.6 22.9367
18984.1 19.2662
18987.6 16.7470
18994.7 13.5439
19001.7 11.6216
19008.7 10.3517
19015.7 9.45490
19022.8 8.78999
19036.8 7.87300
