Zn-66(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
9813.99 1.41411
9814.31 1.84043
9814.62 2.58188
9814.93 4.05720
9815.09 5.41500
9815.24 7.65288
9815.40 11.7819
9815.48 15.2381
9815.56 20.4744
9815.63 28.8861
9815.71 43.4106
9815.79 70.6357
9815.87 124.514
9815.93 199.124
9816.00 248.962
9816.07 199.356
9816.13 124.806
9816.18 89.3497
9816.22 65.4259
9816.27 49.3087
9816.31 38.2138
9816.40 24.6502
9816.49 17.1356
9816.58 12.5958
9816.67 9.66192
9816.85 6.25688
9817.03 4.41882
9817.21 3.32863
9817.57 2.14622
9817.93 1.55557
9818.29 1.21918
9819.01 0.870819
9820.44 0.611822
9821.88 0.520276
9824.75 0.458719
9827.62 0.442689
9839.12 0.457475
9850.61 0.496513
9862.10 0.542773
9908.07 0.781921
9954.03 1.12675
10000.0 1.62814
10045.5 2.36357
10091.0 3.48434
10136.5 5.26306
10182.0 8.24496
10227.5 13.6313
10250.3 18.0232
10273.0 24.4135
10295.8 34.0562
10318.5 49.1965
10341.3 73.8544
10364.0 114.445
10392.0 191.682
10420.0 250.050
10448.0 208.945
10476.0 136.449
10501.6 90.7678
10527.2 63.0150
10552.9 45.9285
10578.5 34.9270
10629.7 22.2611
10680.9 15.5640
10732.2 11.5862
10783.4 9.01694
10834.6 7.24923
10860.3 6.56442
10873.1 6.26979
10879.5 6.17282
10881.1 6.18672
10882.7 6.28947
10883.5 6.45855
10884.3 6.94397
10884.7 7.58641
10884.9 8.19197
10885.1 9.22319
10885.3 11.1850
10885.4 12.9006
10885.5 15.6051
10885.6 20.1991
10885.7 28.8163
10885.7 36.1435
10885.8 47.1890
10885.8 64.3617
10885.9 91.1887
10885.9 146.595
10886.0 176.673
10886.1 138.410
10886.1 91.4465
10886.2 69.0783
10886.2 53.3730
10886.3 36.3332
10886.4 25.7358
10886.4 20.3271
10886.5 16.4346
10886.6 14.1772
10886.7 11.3879
10886.9 9.71611
10887.0 8.76176
10887.3 7.65653
10887.9 6.74966
10888.5 6.40093
10889.6 6.11777
10890.8 5.99890
10893.1 5.87952
10895.5 5.80627
10904.8 5.59549
10923.5 5.24474
10960.8 4.64479
11035.4 3.71557
11184.7 2.50135
11334.0 1.74050
11483.3 1.21479
11632.6 0.827929
11781.9 0.533419
11931.2 0.308782
12080.5 0.145393
12155.2 0.0867367
12229.8 0.0446492
12267.2 0.0303151
12304.5 0.0208094
12341.8 0.0164496
12379.1 0.0176134
12416.5 0.0247348
12453.8 0.0383079
12491.1 0.0589104
12528.4 0.0871824
12603.1 0.169837
12677.7 0.293550
12752.4 0.467792
12827.0 0.704933
12901.7 1.02124
12976.3 1.43826
13125.6 2.70026
13200.3 3.63810
13237.6 4.21270
13256.3 4.53145
13265.6 4.69982
13270.3 4.78811
13272.6 4.83946
13273.8 4.89013
13274.3 4.99647
13274.6 5.27147
13274.8 5.88607
13274.8 6.72457
13274.9 8.93966
13275.0 13.0326
13275.1 8.94307
13275.2 6.92186
13275.2 5.97642
13275.4 5.32916
13275.6 5.03844
13276.2 4.94155
13277.3 4.92968
13279.4 4.96240
13283.8 5.04447
13292.4 5.21693
13309.8 5.58033
13344.5 6.38433
13379.2 7.30487
13396.5 7.81546
13405.2 8.08789
13409.6 8.24165
13411.7 8.37346
13412.8 8.63114
13413.4 9.35833
13413.5 9.97454
13413.6 11.1947
13413.8 14.7999
13413.8 19.4234
13413.9 28.1452
13414.0 40.7620
13414.0 48.0075
13414.1 40.8225
13414.1 28.2263
13414.2 19.5011
13414.2 15.3451
13414.4 11.7270
13414.5 10.3144
13414.6 9.63612
13414.8 9.02240
13415.1 8.78511
13416.1 8.54032
13418.0 8.52585
13421.9 8.63494
13429.7 8.89637
13445.4 9.45542
13476.6 10.6905
13539.1 13.7074
13664.1 22.9139
13789.0 39.4435
13914.0 69.6444
14057.0 128.771
14200.0 182.408
14343.0 163.434
14486.0 113.936
14629.2 77.6986
14772.4 55.5672
14915.7 41.8679
15058.9 32.9450
15202.1 26.8218
15345.3 22.4223
15488.5 19.1354
15560.2 17.7900
15596.0 17.1814
15604.9 17.0397
15613.9 16.9121
15618.3 16.8658
