Gd-156(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
201.158 53.3229
201.185 57.1463
201.199 59.2676
201.212 61.5405
201.226 63.9787
201.239 66.5777
201.253 69.3936
201.266 72.4040
201.293 79.1845
201.320 87.1617
201.347 96.5493
201.374 107.776
201.401 121.231
201.428 137.656
201.455 157.806
201.482 182.956
201.509 214.848
201.536 256.204
201.562 310.550
201.589 384.232
201.616 486.078
201.643 632.157
201.670 846.440
201.697 1169.31
201.724 1655.03
201.762 2637.18
201.800 3257.97
201.838 2578.03
201.876 1608.39
201.918 946.170
201.960 596.841
202.002 404.094
202.044 289.774
202.086 217.371
202.128 168.955
202.212 110.632
202.296 78.2461
202.380 58.5021
202.548 36.6322
202.716 25.4059
202.884 18.8572
203.219 11.8468
203.555 8.31450
203.891 6.25328
204.563 4.01436
205.234 2.85396
205.906 2.15877
207.249 1.38344
208.592 0.973628
209.935 0.727183
212.622 0.454932
215.308 0.314545
217.995 0.232505
223.367 0.145531
228.740 0.103715
234.113 0.0830316
236.799 0.0794825
239.486 0.0858768
240.829 0.100842
241.501 0.117195
242.172 0.148104
242.844 0.215345
243.180 0.282558
243.515 0.404749
243.683 0.507170
243.851 0.662623
244.019 0.915056
244.187 1.36547
244.271 1.73679
244.355 2.29060
244.439 3.17144
244.523 4.69240
244.607 7.66821
244.649 10.3516
244.691 14.7116
244.733 22.5068
244.754 28.8941
244.775 38.3248
244.796 52.9500
244.817 76.9743
244.827 94.9013
244.838 118.874
244.848 151.133
244.859 193.683
244.869 247.955
244.879 309.930
244.900 386.853
244.910 364.054
244.921 309.349
244.942 193.682
244.955 141.896
244.968 106.104
244.994 63.7172
245.020 41.7003
245.046 29.1728
245.072 21.4677
245.098 16.4251
245.150 10.4778
245.202 7.24874
245.254 5.31467
245.358 3.21190
245.462 2.15501
245.566 1.55159
245.670 1.17479
245.774 0.923906
245.982 0.621015
246.190 0.452257
246.398 0.348601
246.606 0.280441
247.022 0.199073
247.438 0.154163
248.271 0.108676
249.103 0.0870863
249.935 0.0750602
251.600 0.0627174
254.929 0.0552704
256.593 0.0632953
257.009 0.0733741
257.425 0.101945
257.633 0.140359
257.737 0.177347
257.841 0.242065
257.946 0.370975
257.998 0.489299
258.050 0.685998
258.102 1.04768
258.128 1.35331
258.154 1.81871
258.180 2.57170
258.206 3.88558
258.232 6.38729
258.245 8.47718
258.258 11.4470
258.279 18.2923
258.300 22.8228
258.321 18.2595
258.343 11.4488
258.363 7.24495
258.383 4.81487
258.403 3.37892
258.423 2.48547
258.463 1.49894
258.503 1.00427
258.543 0.722886
258.584 0.548847
258.664 0.354534
258.744 0.254246
258.825 0.196029
258.985 0.134492
259.146 0.104361
259.307 0.0873825
259.628 0.0698902
260.271 0.0567420
260.914 0.0518195
263.485 0.0463686
268.627 0.0448304
278.912 0.0482992
289.196 0.0586310
299.481 0.0803259
304.623 0.0992827
309.765 0.128552
314.908 0.176790
320.050 0.264428
322.621 0.337958
325.192 0.449830
326.478 0.529109
327.121 0.577192
327.763 0.632397
328.085 0.663118
328.406 0.696206
328.728 0.731909
329.049 0.770511
329.370 0.812337
329.692 0.857756
330.013 0.907193
330.335 0.961119
330.656 1.02014
330.977 1.08488
331.620 1.23478
332.263 1.41875
332.906 1.64796
333.549 1.93860
334.191 2.31476
334.834 2.81366
335.477 3.49500
336.120 4.46023
336.762 5.89156
337.405 8.14458
338.048 11.9887
338.369 15.0186
338.691 19.3529
339.012 25.8518
339.334 36.2052
339.655 54.0766
339.816 68.2362
339.976 88.4720
340.137 118.527
340.298 165.092
340.458 240.126
340.619 362.338
340.810 579.535
341.000 725.992
341.191 582.688
341.381 364.654
341.519 255.666
341.656 183.885
341.794 136.544
341.931 104.517
342.206 66.0721
342.481 45.1752
342.756 32.7053
343.031 24.7228
343.581 15.5040
344.132 10.6071
344.682 7.70660
345.232 5.85085
345.782 4.59337
346.882 3.04916
347.982 2.17423
349.082 1.63193
350.183 1.27344
352.383 0.845717
354.583 0.612862
356.784 0.475998
358.984 0.393668
363.385 0.330435
365.585 0.345689
367.786 0.411158
369.986 0.587430
371.086 0.774553
372.186 1.12241
372.736 1.41718
373.287 1.86741
373.837 2.60299
374.387 3.92456
374.524 4.42086
374.662 5.02027
374.731 5.36824
374.799 5.75395
374.868 6.18433
374.937 6.66510
375.006 7.20604
375.074 7.81671
375.143 8.50959
375.212 9.29888
375.281 10.2060
375.349 11.2524
375.418 12.4718
375.487 13.8999
375.625 17.6152
375.762 23.0477
375.900 31.4420
375.968 37.4708
376.037 45.3894
376.106 56.1017
376.175 71.0199
376.243 92.6859
376.312 125.612
376.381 178.927
376.450 271.717
376.484 345.115
376.518 448.355
376.553 595.688
376.587 803.989
376.644 1285.20
376.700 1601.23
376.757 1276.82
376.813 797.351
376.862 520.774
376.912 354.106
376.961 252.177
377.010 187.215
377.109 113.550
377.207 75.6516
377.306 53.8184
377.404 40.1909
377.601 24.8145
377.798 16.8173
377.995 12.1475
378.192 9.18593
378.389 7.19338
378.784 4.76109
379.178 3.39028
379.572 2.54247
379.966 1.98180
380.754 1.30949
381.542 0.936745
382.330 0.708495
383.119 0.558449
384.695 0.379113
386.271 0.279599
389.424 0.177671
392.577 0.128378
395.729 0.100445
402.035 0.0714193
408.340 0.0581524
414.646 0.0531562
420.951 0.0585640
422.527 0.0655567
