17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
5.286440e-04 2.47750102e+02
5.409930e-04 2.45089958e+02
5.533410e-04 2.42519212e+02
5.625000e-04 2.40674741e+02
5.656900e-04 2.40032558e+02
5.780380e-04 2.37626211e+02
5.903870e-04 2.35294865e+02
6.027350e-04 2.33035492e+02
6.150840e-04 2.30861727e+02
6.196420e-04 2.30059585e+02
6.250000e-04 2.29137238e+02
6.274330e-04 2.28718668e+02
6.397820e-04 2.26656794e+02
6.400000e-04 2.26620327e+02
6.521300e-04 2.24659316e+02
6.540140e-04 2.24354642e+02
6.644790e-04 2.22714870e+02
6.678830e-04 2.22181450e+02
6.768270e-04 2.20821941e+02
6.815990e-04 2.20096969e+02
6.875000e-04 2.19229801e+02
6.891760e-04 2.18983559e+02
7.015240e-04 2.17170935e+02
7.138730e-04 2.15439375e+02
7.217610e-04 2.14334153e+02
7.262220e-04 2.13729785e+02
7.385710e-04 2.12058074e+02
7.500000e-04 2.10558768e+02
7.509190e-04 2.10438009e+02
7.756160e-04 2.07318478e+02
8.003130e-04 2.04343649e+02
8.125000e-04 2.02941896e+02
8.250110e-04 2.01502915e+02
8.497080e-04 1.98787185e+02
8.744050e-04 1.96199490e+02
8.750000e-04 1.96137172e+02
8.777860e-04 1.95845344e+02
8.991020e-04 1.93693615e+02
9.238000e-04 1.91301380e+02
9.484970e-04 1.89002330e+02
9.731940e-04 1.86793435e+02
9.740270e-04 1.86718918e+02
9.978910e-04 1.84662572e+02
1.000000e-03 1.84486877e+02
1.022590e-03 1.82614357e+02
1.023030e-03 1.82577895e+02
1.047290e-03 1.80648182e+02
1.052090e-03 1.80265282e+02
1.071980e-03 1.78741102e+02
1.078200e-03 1.78265458e+02
1.096680e-03 1.76895385e+02
1.101570e-03 1.76532920e+02
1.121380e-03 1.75106488e+02
1.122440e-03 1.75029735e+02
1.125000e-03 1.74851128e+02
1.146080e-03 1.73379715e+02
1.170770e-03 1.71716582e+02
1.174280e-03 1.71480186e+02
1.195470e-03 1.70099660e+02
1.199860e-03 1.69813067e+02
1.220170e-03 1.68523649e+02
1.244860e-03 1.67001430e+02
1.250000e-03 1.66697244e+02
1.269560e-03 1.65537928e+02
1.280000e-03 1.64919523e+02
1.294260e-03 1.64106545e+02
1.318960e-03 1.62698647e+02
1.343650e-03 1.61343783e+02
1.368350e-03 1.60026040e+02
1.375000e-03 1.59680238e+02
1.393050e-03 1.58743147e+02
1.417750e-03 1.57493588e+02
1.442440e-03 1.56277365e+02
1.443520e-03 1.56224155e+02
1.467140e-03 1.55092202e+02
1.469600e-03 1.54974369e+02
1.491840e-03 1.53937343e+02
1.495310e-03 1.53776160e+02
1.500000e-03 1.53564018e+02
1.541230e-03 1.51704652e+02
1.590630e-03 1.49580697e+02
1.625000e-03 1.48169864e+02
1.640020e-03 1.47553716e+02
1.689420e-03 1.45616130e+02
1.738810e-03 1.43761124e+02
1.750000e-03 1.43360577e+02
1.788200e-03 1.41994000e+02
1.797450e-03 1.41663376e+02
1.837600e-03 1.40276876e+02
1.837620e-03 1.40276116e+02
1.886990e-03 1.38638544e+02
1.936390e-03 1.37073698e+02
1.948050e-03 1.36704915e+02
1.985780e-03 1.35545975e+02
2.000000e-03 1.35127653e+02
2.035180e-03 1.34095497e+02
2.046060e-03 1.33775751e+02
2.084570e-03 1.32678955e+02
2.133970e-03 1.31320747e+02
2.183360e-03 1.30008754e+02
2.187500e-03 1.29902386e+02
2.232760e-03 1.28748276e+02
2.244870e-03 1.28439046e+02
2.282150e-03 1.27512800e+02
2.331540e-03 1.26334144e+02
2.348560e-03 1.25928339e+02
2.375000e-03 1.25318807e+02
2.380940e-03 1.25182004e+02
2.399730e-03 1.24749553e+02
2.430330e-03 1.24057895e+02
2.479730e-03 1.22975454e+02
2.529120e-03 1.21924832e+02
2.562500e-03 1.21235243e+02
2.578520e-03 1.20904514e+02
2.627910e-03 1.19912985e+02
2.677310e-03 1.18948729e+02
2.726700e-03 1.18010990e+02
2.750000e-03 1.17581239e+02
2.776090e-03 1.17100421e+02
2.780620e-03 1.17017624e+02
2.825490e-03 1.16213920e+02
2.834180e-03 1.16058950e+02
2.874880e-03 1.15356208e+02
2.924280e-03 1.14503041e+02
2.973670e-03 1.13686240e+02
2.990620e-03 1.13406626e+02
3.023070e-03 1.12887620e+02
3.072460e-03 1.12097335e+02
3.125000e-03 1.11294776e+02
3.171250e-03 1.10587978e+02
3.270040e-03 1.09146806e+02
3.368830e-03 1.07770029e+02
3.467620e-03 1.06451587e+02
3.500000e-03 1.06037892e+02
3.566410e-03 1.05189341e+02
3.665200e-03 1.03983591e+02
3.675240e-03 1.03860510e+02
3.763990e-03 1.02815721e+02
3.862770e-03 1.01697853e+02
3.875000e-03 1.01564847e+02
3.961560e-03 1.00622410e+02
3.963200e-03 1.00604928e+02
4.060350e-03 9.95856050e+01
4.159140e-03 9.85859223e+01
4.250000e-03 9.76986404e+01
4.257930e-03 9.76211539e+01
4.356720e-03 9.66897037e+01
4.455510e-03 9.57968912e+01
4.489750e-03 9.54876356e+01
4.554300e-03 9.49215034e+01
4.564080e-03 9.48356340e+01
4.625000e-03 9.43158122e+01
4.653090e-03 9.40764197e+01
4.751880e-03 9.32593672e+01
4.850670e-03 9.24680730e+01
4.949450e-03 9.17017800e+01
4.957140e-03 9.16424822e+01
5.000000e-03 9.13186025e+01
5.048240e-03 9.09555079e+01
5.147030e-03 9.02323029e+01
5.245820e-03 8.95295531e+01
5.344610e-03 8.88465010e+01
5.443400e-03 8.81831464e+01
5.452790e-03 8.81208360e+01
5.542190e-03 8.75379743e+01
5.561240e-03 8.74141056e+01
5.625000e-03 8.70097911e+01
5.640980e-03 8.69087117e+01
5.668350e-03 8.67354332e+01
5.739770e-03 8.62983891e+01
5.838560e-03 8.56941274e+01
5.937340e-03 8.51156242e+01
5.981240e-03 8.48586801e+01
6.036130e-03 8.45477273e+01
6.134920e-03 8.39881639e+01
6.250000e-03 8.33646373e+01
6.332500e-03 8.29179543e+01
6.530080e-03 8.18968318e+01
6.727660e-03 8.09211653e+01
6.875000e-03 8.02250351e+01
6.925240e-03 7.99879244e+01
7.122810e-03 7.90933213e+01
7.320390e-03 7.82388708e+01
7.350490e-03 7.81088781e+01
7.500000e-03 7.74854456e+01
7.517970e-03 7.74102575e+01
7.715550e-03 7.66187973e+01
7.913130e-03 7.58582472e+01
7.926400e-03 7.58071994e+01
8.110700e-03 7.51223949e+01
8.125000e-03 7.50711849e+01
8.308280e-03 7.44146495e+01
8.505860e-03 7.37315260e+01
8.703440e-03 7.30717367e+01
8.750000e-03 7.29214782e+01
8.901020e-03 7.24340693e+01
9.098590e-03 7.18196603e+01
9.128160e-03 7.17277610e+01
9.296170e-03 7.12199486e+01
9.493750e-03 7.06413740e+01
9.691330e-03 7.00805272e+01
9.888910e-03 6.95383931e+01
9.914270e-03 6.94688108e+01
1.000000e-02 6.92396603e+01
1.008650e-02 6.90088916e+01
1.028410e-02 6.84967246e+01
1.048160e-02 6.79991800e+01
1.067920e-02 6.75158018e+01
1.068610e-02 6.74989344e+01
1.087680e-02 6.70463634e+01
1.090560e-02 6.69780522e+01
1.107440e-02 6.65891224e+01
1.112250e-02 6.64783253e+01
1.125000e-02 6.61946901e+01
1.127200e-02 6.61458970e+01
1.146950e-02 6.57066119e+01
1.166710e-02 6.52864933e+01
1.175680e-02 6.50959306e+01
1.186470e-02 6.48741022e+01
1.206230e-02 6.44679235e+01
1.225980e-02 6.40750792e+01
1.250000e-02 6.36143559e+01
1.265500e-02 6.33173277e+01
1.305020e-02 6.25945663e+01
1.344530e-02 6.19038519e+01
1.375000e-02 6.13941439e+01
1.384050e-02 6.12428348e+01
1.423560e-02 6.06093949e+01
1.463080e-02 6.00053494e+01
1.470100e-02 5.98980868e+01
1.500000e-02 5.94564410e+01
1.502590e-02 5.94181633e+01
1.542110e-02 5.88576870e+01
1.581630e-02 5.83198630e+01
1.585280e-02 5.82701826e+01
1.621140e-02 5.77986307e+01
1.625000e-02 5.77497003e+01
1.660660e-02 5.72975502e+01
1.700170e-02 5.68140464e+01
1.739690e-02 5.63470580e+01
1.750000e-02 5.62292535e+01
1.779200e-02 5.58956764e+01
1.818720e-02 5.54610375e+01
1.825630e-02 5.53850251e+01
1.858230e-02 5.50362477e+01
1.897750e-02 5.46267611e+01
1.937270e-02 5.42298506e+01
1.976780e-02 5.38462743e+01
1.982850e-02 5.37873386e+01
2.000000e-02 5.36252677e+01
2.016300e-02 5.34712995e+01
2.055810e-02 5.31088726e+01
2.095330e-02 5.27581882e+01
2.102830e-02 5.26917130e+01
2.134840e-02 5.24168983e+01
2.152010e-02 5.22696513e+01
2.174360e-02 5.20844721e+01
2.213880e-02 5.17571218e+01
