Ta-181(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
85.1867 109.174
85.2051 77.3502
85.2236 57.5105
85.2420 44.4142
85.2790 28.8284
85.3159 20.3156
85.3528 15.1952
85.4266 9.67782
85.5004 7.08755
85.5743 6.11387
85.6112 6.32560
85.6481 7.56574
85.6665 9.06410
85.6850 11.9114
85.7035 17.7187
85.7127 22.8021
85.7219 30.2571
85.7360 46.4994
85.7500 57.3001
85.7641 46.2987
85.7781 29.8601
85.7929 18.8796
85.8077 12.8864
85.8226 9.48383
85.8374 7.41469
85.8670 5.14724
85.8966 3.98796
85.9559 2.85203
86.0152 2.29531
86.1337 1.72833
86.2522 1.42682
86.4893 1.10027
86.7263 0.927909
87.2004 0.770341
87.6746 0.742830
88.1487 0.835731
88.3857 0.961297
88.6228 1.20372
88.8598 1.72490
88.9784 2.23600
89.0969 3.14655
89.2154 5.01335
89.2747 6.78772
89.3340 9.85362
89.3932 15.8470
89.4229 21.2520
89.4525 30.0662
89.4821 45.8163
89.4969 58.7460
89.5117 77.8525
89.5266 107.568
89.5414 156.503
89.5562 242.316
89.5636 308.704
89.5710 397.454
89.5855 635.979
89.6000 795.132
89.6145 635.872
89.6290 397.328
89.6429 249.086
89.6569 164.287
89.6708 114.544
89.6847 83.7555
89.6986 63.6494
89.7125 49.9205
89.7404 33.0120
89.7682 23.4508
89.7961 17.5528
89.8518 10.9799
89.9074 7.60649
89.9631 5.65696
90.0745 3.62381
90.1859 2.66155
90.2973 2.15742
90.5200 1.77692
90.7428 1.91575
90.8541 2.23076
90.9655 2.87547
91.0769 4.27378
91.1326 5.62470
91.1883 7.96741
91.2439 12.5390
91.2718 16.6438
91.2996 23.2934
91.3275 35.0605
91.3553 58.5837
91.3692 79.9866
91.3832 114.551
91.3971 173.433
91.4110 276.146
91.4255 441.178
91.4400 551.083
91.4545 441.100
91.4690 276.047
91.4798 192.021
91.4905 137.334
91.5012 101.589
91.5120 77.6135
91.5335 49.0489
91.5550 33.6306
91.5765 24.4764
91.5979 18.6325
91.6409 11.9039
91.6839 8.33815
91.7269 6.22870
91.8128 3.96616
91.8988 2.84392
91.9847 2.20827
92.1567 1.55511
92.3286 1.24801
92.5005 1.08470
92.8443 0.940965
93.5320 0.921392
94.2196 1.05774
94.9072 1.34002
95.5949 1.89522
95.9387 2.42023
96.2825 3.46142
96.4544 4.57710
96.5404 5.55445
96.6264 7.17799
96.7123 10.2984
96.7553 13.1322
96.7983 17.8501
96.8412 26.6406
96.8627 34.2103
96.8842 45.9922
96.8950 54.4928
96.9057 65.6884
96.9165 80.8247
96.9272 101.821
96.9380 131.899
96.9487 176.272
96.9594 243.484
96.9702 345.401
96.9776 441.131
96.9851 550.528
97.0000 687.140
97.0075 646.908
97.0149 550.381
97.0298 345.472
97.0471 199.309
97.0644 124.545
97.0817 84.3184
97.0990 60.9107
97.1163 46.2878
97.1336 36.6266
97.1682 25.1563
97.2028 18.9309
97.2374 15.2276
97.3066 11.3260
97.4450 8.70061
97.5834 8.32800
97.8601 9.99363
98.1369 14.3044
98.2753 18.0307
98.4136 23.6459
98.5520 32.5768
98.6904 47.9521
98.7596 60.1519
98.8288 77.7056
98.8980 104.222
98.9672 146.890
99.0363 221.616
99.0709 281.694
99.1055 368.729
99.1401 500.408
99.1747 709.379
99.2093 1057.11
99.2439 1646.27
99.2820 2632.97
99.3200 3289.64
99.3581 2630.87
99.3961 1644.15
99.4339 1015.49
99.4716 661.935
99.5093 457.386
99.5471 332.102
99.5848 250.919
99.6226 195.760
99.6981 128.205
99.7735 90.2173
99.8490 66.8552
100.000 40.8946
100.109 30.5305
100.218 23.6829
100.437 15.4843
100.655 10.9594
100.873 8.20915
101.309 5.20072
101.746 3.71873
102.182 2.94947
102.619 2.64471
102.837 2.70707
103.055 3.13637
103.164 3.76696
103.219 4.37348
103.273 5.41735
103.328 7.44546
103.355 9.25964
103.382 12.1794
103.410 17.3470
103.437 27.6567
103.451 37.0625
103.464 52.1141
103.478 77.6432
