In-113(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
51.1188 6.05362
51.1375 5.57501
51.1540 5.29574
51.1705 5.12773
51.1870 5.02480
51.2035 4.95887
51.2365 4.88333
51.2695 4.84337
51.3356 4.80343
51.4016 4.78337
51.6656 4.74708
52.1938 4.70714
53.2500 4.64576
54.3063 4.59514
54.8344 4.57482
55.0984 4.57251
55.2305 4.59146
55.2635 4.60821
55.2965 4.64207
55.3295 4.72084
55.3460 4.80046
55.3625 4.93355
55.3813 5.16254
55.4000 5.31507
55.4188 5.16140
55.4375 4.93111
55.4510 4.81665
55.4645 4.74095
55.4914 4.65669
55.5184 4.61529
55.5453 4.59233
55.6531 4.55738
55.8688 4.53928
56.3000 4.52691
56.7313 4.53204
56.9469 4.55915
57.0547 4.61663
57.1086 4.71894
57.1356 4.85049
57.1625 5.14476
57.1813 5.50019
57.2000 5.73859
57.2188 5.50773
57.2375 5.15965
57.2520 4.97816
57.2664 4.86340
57.2953 4.74460
57.3531 4.67209
57.4687 4.68228
57.5843 4.76443
57.6999 4.93450
57.8155 5.30199
57.8733 5.65698
57.9311 6.27103
57.9889 7.45674
58.0178 8.50427
58.0467 10.1674
58.0756 13.0122
58.1045 18.3853
58.1190 22.9761
58.1334 29.9201
58.1479 40.7549
58.1623 57.7534
58.1812 90.6252
58.2000 113.267
58.2189 92.3175
58.2377 59.8668
58.2506 44.2722
58.2635 33.7152
58.2764 26.5824
58.2893 21.6617
58.3150 15.6163
58.3408 12.2485
58.3666 10.2008
58.3924 8.86992
58.4439 7.30546
58.4955 6.45662
58.5470 5.94465
58.6501 5.38357
58.7532 5.10125
58.8563 4.95111
58.9594 4.91856
59.0110 5.02835
59.0367 5.20638
59.0625 5.62028
59.0813 6.14713
59.1000 6.49536
59.1188 6.12676
59.1375 5.57912
59.1526 5.27946
59.1677 5.08905
59.1979 4.88398
59.2280 4.78363
59.2582 4.72587
59.3186 4.66112
59.3789 4.62364
59.6203 4.54671
60.1031 4.47519
61.0688 4.40201
63.0000 4.30959
64.9313 4.22939
65.8969 4.19346
66.3797 4.18063
66.6211 4.18077
66.7418 4.19391
66.8022 4.22487
66.8323 4.26976
66.8625 4.38154
66.9000 4.59270
66.9375 4.38132
66.9634 4.27957
66.9892 4.23338
67.0410 4.19801
67.1444 4.18065
67.3514 4.17844
67.7652 4.20332
68.1791 4.27532
68.5929 4.45435
68.7998 4.63144
69.0068 4.92853
69.2137 5.45680
69.4206 6.48230
69.5241 7.37696
69.6275 8.76747
69.7310 11.0689
69.8345 15.2244
69.9379 23.7555
69.9897 31.7644
70.0414 45.2929
70.0931 70.5869
70.1190 92.2347
70.1448 125.502
70.1707 179.920
70.1966 276.001
70.2095 352.823
70.2224 461.801
70.2354 618.991
70.2483 844.749
70.2692 1363.35
70.2900 1721.15
70.3109 1392.79
70.3317 881.599
70.3556 515.233
70.3795 324.673
70.4035 220.737
70.4274 159.521
70.4513 120.892
70.4752 95.0995
70.5231 63.9983
70.5709 46.7028
70.6187 36.1048
70.7144 24.3030
70.8101 18.1943
70.9058 14.6084
71.0014 12.3131
71.0971 10.7494
71.2885 8.80467
71.4798 7.68528
71.6712 7.03030
71.7668 6.94584
71.8147 7.17508
71.8386 7.55105
71.8625 8.39578
71.9000 10.2825
71.9375 8.24304
71.9549 7.49525
71.9723 7.04594
72.0070 6.57991
72.0766 6.20582
72.2156 5.89505
72.4938 5.55815
73.0500 5.17128
73.6063 4.95019
73.8844 4.89022
74.0234 4.91380
74.0582 4.94889
74.0930 5.02579
74.1277 5.21522
74.1451 5.41431
74.1625 5.75749
74.1813 6.32593
74.2000 6.70409
74.2188 6.32049
74.2375 5.74641
74.2602 5.32396
74.2828 5.11225
74.3281 4.93388
74.3734 4.86555
74.4188 4.83358
74.5094 4.81210
74.6000 4.82478
74.6906 4.88412
74.7359 4.94903
74.7813 5.06385
74.8266 5.28284
74.8719 5.75850
74.8945 6.22571
74.9172 7.04051
74.9399 8.58742
74.9625 11.6937
74.9813 15.9270
75.0000 18.7475
75.0188 15.9237
75.0375 11.6849
75.0513 9.53849
75.0651 8.13602
75.0789 7.21616
75.0927 6.59697
75.1203 5.85590
75.1479 5.45304
75.1755 5.21182
75.2030 5.05619
75.2582 4.87348
75.3134 4.77292
75.3686 4.71034
75.4789 4.63648
75.6996 4.56245
75.9203 4.51912
76.8031 4.41177
78.5688 4.26741
80.3344 4.14871
82.1000 4.03477
83.8656 3.91646
85.6313 3.79398
86.5141 3.73950
87.3969 3.70959
88.2797 3.76422
88.7211 3.89924
88.9418 4.10852
89.0522 4.49828
89.1073 5.20010
89.1349 6.12150
89.1625 8.22611
89.1813 10.7335
89.2000 12.4097
89.2188 10.7634
89.2375 8.28491
89.2555 6.74871
89.2735 5.87502
89.3094 5.06149
89.3814 4.59893
89.5252 4.54009
89.8130 4.99010
90.1007 5.93120
90.3885 7.81206
90.5323 9.47085
90.6762 12.0657
90.8201 16.3880
90.9639 24.2520
91.0359 30.7889
91.1078 40.5688
91.1797 56.0618
91.2517 82.5495
91.2876 103.376
91.3236 133.016
91.3596 177.055
91.3955 246.121
91.4315 362.365
91.4675 576.565
91.4855 755.242
91.5034 1019.08
91.5214 1418.67
91.5394 2024.52
91.5647 3267.97
91.5900 4122.43
91.6153 3328.94
91.6406 2100.91
91.6612 1421.40
91.6818 995.448
91.7024 726.071
91.7230 549.725
91.7642 344.613
91.8054 236.193
91.8466 172.518
91.8878 132.115
91.9703 85.7445
92.0527 61.2054
92.1351 46.7370
92.2999 31.6333
92.4647 25.6083
92.5471 25.1189
92.6296 26.9799
92.7120 33.4201
92.7532 40.2729
92.7944 52.2529
92.8356 74.7462
92.8562 93.6992
92.8768 122.161
92.8974 167.016
92.9077 199.375
92.9180 241.753
92.9283 298.102
92.9386 374.019
92.9489 477.008
92.9592 615.627
92.9694 792.919
92.9796 998.635
93.0000 1271.58
93.0102 1209.66
93.0204 1040.24
93.0408 667.330
93.0647 393.183
93.0886 251.361
93.1125 174.189
93.1364 128.695
93.1604 99.8951
93.1843 80.5719
93.2321 57.0547
93.2799 43.7708
93.3277 35.4773
93.4234 25.9578
93.5190 20.7861
93.6146 17.5866
93.8059 13.8673
93.9972 11.7718
94.1885 10.4204
94.5710 8.76381
94.9536 7.77470
95.3361 7.11041
96.1012 6.26380
96.8663 5.74037
97.6314 5.40220
98.0140 5.31767
98.2052 5.32421
98.3965 5.40788
98.5878 5.68306
98.6834 5.99635
98.7791 6.59126
98.8747 7.85305
98.9225 9.05644
98.9703 11.1064
99.0182 14.9661
99.0421 18.2831
99.0660 23.3978
99.0899 31.7869
99.1138 46.6568
99.1377 75.5248
99.1497 100.039
99.1616 135.360
99.1712 173.042
99.1808 216.530
99.2000 272.999
99.2192 222.023
99.2384 142.214
99.2503 106.765
99.2622 81.8045
99.2860 51.9024
99.3098 36.1549
99.3336 27.0888
99.3574 21.4531
99.3812 17.7279
99.4288 13.2744
99.4764 10.8139
99.5240 9.30858
99.6192 7.62676
99.7144 6.74634
99.8096 6.22006
100.000 5.63350
100.241 5.25766
100.482 5.04433
100.963 4.82012
101.445 4.75948
101.926 4.91664
102.167 5.15836
102.408 5.62397
102.648 6.52869
102.889 8.39584
103.009 10.0811
103.130 12.7547
103.250 17.2618
103.371 25.5292
103.431 32.4347
103.491 42.7803
103.551 59.1516
103.611 87.0233
103.641 108.799
103.672 139.574
103.702 184.834
103.732 254.785
103.762 369.888
103.792 574.824
103.807 740.374
103.822 975.300
103.837 1316.34
103.852 1809.95
103.876 2946.74
103.900 3745.55
103.924 3034.51
103.948 1919.42
103.973 1171.04
103.998 761.744
104.023 528.740
104.049 387.268
104.074 296.011
104.099 234.064
104.149 158.063
104.199 114.996
104.249 88.3368
104.350 58.2594
104.450 42.4659
104.551 33.1080
104.651 27.0667
104.752 22.9185
104.952 17.7020
105.153 14.6342
105.354 12.6544
105.555 11.2898
105.957 9.55600
106.359 8.52308
106.760 7.88491
106.961 7.78820
107.011 7.86694
107.062 8.11019
107.087 8.38256
107.112 8.89310
107.137 9.93362
107.150 10.8540
107.162 12.2045
107.181 15.1713
107.200 17.1685
107.219 15.1345
