Se-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4310.90 14.7340
4311.95 23.5351
4313.00 29.3812
4314.06 23.4760
4315.11 14.6502
4315.78 10.7078
4316.45 7.97470
4317.79 4.76141
4319.12 3.10457
4320.46 2.16688
4321.80 1.59151
4323.14 1.21585
4325.81 0.773935
4328.49 0.534782
4331.16 0.391466
4336.51 0.235874
4341.86 0.157828
4347.22 0.113265
4352.57 0.0854637
4357.92 0.0669711
4368.62 0.0446714
4379.32 0.0322592
4390.02 0.0246502
4400.72 0.0196545
4422.13 0.0137149
4443.53 0.0104600
4486.33 0.00722208
4529.14 0.00575763
4571.94 0.00501579
4657.56 0.00447171
4743.17 0.00457581
4828.78 0.00524105
4914.39 0.00716137
4935.79 0.00830912
4957.20 0.0104646
4967.90 0.0124758
4978.60 0.0160567
4989.30 0.0237187
4994.65 0.0315209
5000.00 0.0462602
5002.46 0.0578961
5004.91 0.0756108
5007.36 0.104562
5009.82 0.156789
5011.05 0.200371
5012.27 0.266194
5013.50 0.372530
5014.73 0.560942
5015.34 0.715266
5015.95 0.943826
5016.57 1.30432
5016.87 1.56778
5017.18 1.91866
5017.49 2.40363
5017.79 3.09758
5018.10 4.13845
5018.25 4.86216
5018.41 5.79027
5018.56 7.01476
5018.71 8.64867
5018.87 10.9217
5019.02 14.1483
5019.18 18.9706
5019.33 26.3877
5019.48 38.3057
5019.63 57.6608
5019.82 92.2502
5020.00 115.306
5020.18 92.2432
5020.37 57.6538
5020.54 36.4837
5020.71 24.2122
5020.88 16.9439
5021.05 12.4346
5021.40 7.41275
5021.74 4.89260
5022.08 3.45736
5022.43 2.57143
5023.11 1.57987
5023.80 1.06770
5024.49 0.770436
5025.17 0.582393
5025.86 0.456336
5027.23 0.302812
5028.61 0.216556
5029.98 0.163346
5031.35 0.128241
5034.10 0.0862826
5036.84 0.0631635
5042.34 0.0399488
5047.83 0.0291878
5053.32 0.0234140
5064.31 0.0179183
5086.28 0.0148314
5108.25 0.0148678
5152.18 0.0183227
5196.12 0.0259610
5240.06 0.0419271
5251.05 0.0485150
5256.54 0.0524427
5262.03 0.0568906
