Sr-84(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1624.05 8.07502
1629.98 7.63114
1635.91 7.34110
1641.83 7.13610
1647.76 6.98300
1659.62 6.76794
1671.47 6.62227
1683.33 6.51530
1695.18 6.43204
1718.90 6.30695
1742.61 6.21253
1790.03 6.06262
1837.45 5.92206
1861.16 5.84211
1884.87 5.74444
1908.59 5.60946
1920.44 5.51410
1932.30 5.38248
1938.22 5.29395
1944.15 5.18098
1950.08 5.03027
1956.01 4.81698
1958.97 4.67244
1961.94 4.48875
1964.90 4.24755
1967.86 3.91832
1969.35 3.70588
1970.83 3.45087
1972.31 3.14612
1973.79 2.79822
1974.53 2.62624
1975.27 2.49118
1976.01 2.47303
1976.76 2.79046
1977.13 3.24896
1977.31 3.61814
1977.50 4.12765
1977.68 4.83689
1977.87 5.82025
1978.05 7.20564
1978.24 9.18943
1978.42 12.1117
1978.61 16.4933
1978.79 23.3399
1978.98 34.5638
1979.16 54.1505
1979.26 69.6595
1979.35 91.2226
1979.44 122.672
1979.53 168.731
1979.63 239.120
1979.72 344.395
1979.86 588.389
1980.00 785.276
1980.14 669.697
1980.28 446.767
1980.44 282.123
1980.59 190.783
1980.75 138.007
1980.90 105.444
1981.05 84.0761
1981.21 69.3128
1981.52 50.7329
1981.82 39.8413
1982.13 32.8483
1982.75 24.5930
1983.37 19.9903
1983.98 17.1154
1984.60 15.1676
1985.21 13.7703
1986.45 11.9119
1987.68 10.7430
1988.91 9.94370
1990.14 9.36433
1992.61 8.58258
1995.07 8.08091
1997.54 7.73159
2000.00 7.47440
2003.90 7.18141
2007.80 6.97353
2015.60 6.69585
2023.39 6.51602
2031.19 6.38748
2046.79 6.20931
2062.38 6.08359
2093.58 5.89224
2124.77 5.71625
2155.96 5.50352
2171.56 5.35989
2187.15 5.16458
2194.95 5.03412
2202.75 4.86824
2210.54 4.64789
2218.34 4.33791
2222.24 4.12941
2226.14 3.86650
2230.04 3.52553
2233.94 3.06976
2235.89 2.78311
2237.84 2.44953
2239.79 2.07161
2241.74 1.69010
2242.71 1.54591
2243.69 1.50993
2244.17 1.57521
2244.66 1.73889
2245.15 2.05878
2245.64 2.63187
2245.88 3.06312
2246.12 3.63080
2246.37 4.37931
2246.61 5.36609
2246.85 6.68733
2247.10 8.45969
2247.34 10.8889
2247.58 14.2468
2247.83 19.0260
2248.07 25.9843
2248.32 36.4486
2248.56 52.7483
2248.80 79.6538
2249.05 126.412
2249.29 213.895
2249.41 284.929
2249.53 382.742
2249.77 659.232
2250.00 883.973
2250.23 758.229
2250.47 507.173
2250.65 364.094
