80-Hg_n-g
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
1.754050e+02 2.91049814e+02
1.757100e+02 1.81282262e+02
1.759000e+02 1.33148570e+02
1.760900e+02 9.95849900e+01
1.764690e+02 5.98288979e+01
1.768490e+02 3.91571636e+01
1.772280e+02 2.73926191e+01
1.776080e+02 2.01531162e+01
1.779870e+02 1.54164449e+01
1.787460e+02 9.83071111e+00
1.795050e+02 6.80376830e+00
1.802640e+02 4.98827706e+00
1.812500e+02 3.70921392e+00
1.817830e+02 3.01857142e+00
1.833010e+02 2.03409300e+00
1.848190e+02 1.47451252e+00
1.863370e+02 1.12758345e+00
1.869570e+02 1.03408515e+00
1.875000e+02 9.52199554e-01
1.878550e+02 8.99504409e-01
1.906250e+02 6.58196100e-01
1.908910e+02 6.35904222e-01
1.937500e+02 5.14197799e-01
1.939280e+02 5.07814755e-01
1.968750e+02 4.61014883e-01
1.969640e+02 4.60474877e-01
1.984380e+02 4.67537280e-01
2.000000e+02 4.94183943e-01
2.012370e+02 5.47001259e-01
2.024750e+02 6.34918091e-01
2.037120e+02 7.86507646e-01
2.039840e+02 8.48049219e-01
2.049490e+02 1.07088943e+00
2.055680e+02 1.30701518e+00
2.061860e+02 1.65840868e+00
2.068050e+02 2.21180339e+00
2.074240e+02 3.15332274e+00
2.077330e+02 3.89200979e+00
2.079670e+02 4.68757359e+00
2.080420e+02 4.94283563e+00
2.083520e+02 6.50684318e+00
2.086610e+02 8.96963948e+00
2.089700e+02 1.31484059e+01
2.091250e+02 1.64038410e+01
2.092790e+02 2.09774524e+01
2.094340e+02 2.76311264e+01
2.095890e+02 3.76470184e+01
2.097430e+02 5.32144632e+01
2.098980e+02 7.74851842e+01
2.100990e+02 1.23717772e+02
2.103000e+02 1.54395061e+02
2.105020e+02 1.23376501e+02
