Mo-92(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
8794.75 0.750858
8796.38 1.23882
8797.20 1.68307
8798.01 2.41476
8798.83 3.74160
8799.23 4.84853
8799.64 6.50587
8800.05 9.14113
8800.46 13.5981
8800.86 21.7260
8801.27 37.2219
8801.64 59.5715
8802.00 74.4744
8802.37 59.5639
8802.73 37.2172
8802.95 27.5590
8803.17 20.7783
8803.62 12.6148
8804.06 8.31295
8804.50 5.84181
8804.95 4.31198
8805.39 3.30611
8806.27 2.11431
8807.16 1.46533
8808.05 1.07460
8809.82 0.648772
8811.59 0.434484
8813.36 0.311893
8815.13 0.235350
8816.91 0.184428
8820.45 0.123133
8823.99 0.0891985
8827.54 0.0686166
8831.08 0.0553447
8838.17 0.0402869
8845.26 0.0331374
8859.43 0.0302490
8866.52 0.0329992
8873.61 0.0391517
8880.70 0.0506926
8887.78 0.0725788
8891.33 0.0909841
8894.87 0.118661
8898.42 0.162764
8901.96 0.238953
8905.50 0.387252
8907.27 0.520153
8909.05 0.735221
8910.82 1.11495
8912.59 1.87212
8913.48 2.55900
8914.36 3.66489
8915.25 5.54095
8916.13 8.79230
8917.07 14.0786
8918.00 17.5988
8918.93 14.0673
8919.87 8.78410
8920.71 5.67088
8921.54 3.82172
8922.38 2.70439
8923.22 1.99757
8924.89 1.20446
8926.56 0.800177
8928.24 0.568550
8929.91 0.424403
8933.26 0.262230
8936.60 0.178153
8939.95 0.129100
8943.30 0.0980273
8946.65 0.0771156
8953.34 0.0515914
8960.03 0.0372050
8966.73 0.0283100
8973.42 0.0224379
8986.81 0.0154509
9000.20 0.0116893
9013.59 0.00955325
9026.98 0.00839208
9053.75 0.00819898
9067.14 0.00936570
9080.53 0.0121620
9087.22 0.0147286
9093.92 0.0187786
9100.61 0.0255524
9107.31 0.0379577
9110.65 0.0483790
9114.00 0.0641989
9117.35 0.0898620
9120.69 0.135539
9122.37 0.173071
9124.04 0.228906
9125.72 0.317268
9127.39 0.468942
9129.06 0.762452
9129.90 1.02412
9130.74 1.44476
9131.57 2.18268
9132.41 3.63718
9132.83 4.94241
9133.25 7.01197
9133.66 10.4597
9134.08 16.3100
9134.54 26.1051
9135.00 32.6369
9135.46 26.1009
9135.92 16.3073
9136.34 10.4162
9136.76 6.96176
9137.18 4.89654
9137.61 3.60038
9138.45 2.15719
9139.29 1.42655
9140.14 1.01021
9140.98 0.751805
9142.67 0.462249
9144.36 0.312504
9146.05 0.225346
