Mg-24(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
257226 20.6026
257227 20.4374
257227 20.3091
257228 20.0088
257228 19.9643
257229 19.8219
257229 19.7113
257230 19.4273
257231 19.1696
257231 19.1203
257232 19.0006
257232 18.9076
257233 18.6693
257234 18.4531
257234 18.4066
257235 18.3036
257235 18.2236
257236 18.0230
257237 17.8414
257237 17.7565
257238 17.6310
257238 17.5081
257239 17.2935
257240 17.1338
257241 16.9884
257241 16.9720
257242 16.9058
257242 16.8544
257243 16.7225
257244 16.5899
257245 16.4699
257245 16.4480
257246 16.3926
257246 16.3495
257247 16.2394
257248 16.1395
257248 16.1114
257249 16.0478
257249 15.9979
257250 15.9420
257252 15.7650
257252 15.7315
257253 15.6506
257254 15.5820
257255 15.4505
257257 15.3110
257259 15.1772
257259 15.1674
257260 15.1399
257260 15.1131
257261 15.0666
257263 14.9593
257265 14.8566
257265 14.8397
257266 14.7945
257267 14.7560
257268 14.6817
257270 14.6044
257272 14.5263
257274 14.4519
257274 14.4466
257275 14.4324
257275 14.4185
257276 14.3943
257278 14.3387
257280 14.2827
257283 14.1723
257285 14.1211
257285 14.1194
257286 14.1099
257286 14.1006
257287 14.0843
257289 14.0470
257291 14.0094
257293 13.9716
257295 13.9338
257297 13.8809
257298 13.8640
257300 13.8401
257302 13.8160
257304 13.7919
257306 13.7675
257308 13.7431
257310 13.7185
257315 13.6492
257315 13.6477
257316 13.6439
257316 13.6402
257317 13.6331
257319 13.6201
257323 13.5915
257328 13.5478
257332 13.5193
257336 13.4907
257340 13.4562
257341 13.4512
257345 13.4368
257349 13.4221
257353 13.4073
257358 13.3846
257362 13.3698
257366 13.3551
257371 13.3333
257375 13.3186
257379 13.3041
257379 13.3036
257380 13.3028
257380 13.3020
257381 13.3004
257383 13.2974
257388 13.2871
257392 13.2808
257396 13.2744
257401 13.2645
257405 13.2582
257409 13.2517
257414 13.2422
257418 13.2359
257422 13.2295
257426 13.2231
257435 13.2075
257443 13.1935
257444 13.1928
257448 13.1909
257452 13.1893
257461 13.1844
257469 13.1808
257478 13.1761
257487 13.1715
257495 13.1680
257504 13.1634
257512 13.1598
257521 13.1553
257530 13.1510
257538 13.1475
257547 13.1431
257555 13.1395
257564 13.1352
257572 13.1315
257581 13.1273
257589 13.1235
257590 13.1234
257594 13.1230
257598 13.1227
257607 13.1220
257615 13.1213
257624 13.1206
257633 13.1198
257650 13.1184
257667 13.1171
257684 13.1158
257701 13.1145
257719 13.1132
257736 13.1119
257744 13.1113
257753 13.1118
257770 13.1127
257787 13.1135
257804 13.1145
257822 13.1156
257839 13.1164
257856 13.1174
257873 13.1183
257890 13.1192
257908 13.1203
257925 13.1211
257959 13.1230
257993 13.1249
258028 13.1270
258062 13.1289
258097 13.1309
258131 13.1328
258165 13.1348
258200 13.1369
258234 13.1388
258268 13.1407
258303 13.1427
258337 13.1447
258371 13.1467
258440 13.1506
258509 13.1547
258578 13.1586
258646 13.1626
258715 13.1665
258784 13.1706
258853 13.1746
258921 13.1785
258990 13.1826
259127 13.1905
259265 13.1986
259402 13.2065
259499 13.2123
259540 13.2146
259677 13.2224
259952 13.2380
260227 13.2537
260502 13.2693
260777 13.2849
261052 13.3006
261602 13.3320
261606 13.3323
261615 13.3325
261624 13.3328
261642 13.3333
261678 13.3342
261749 13.3362
261950 13.3411
262151 13.3456
262701 13.3589
263801 13.3857
263803 13.3857
263809 13.3858
263815 13.3859
263828 13.3860
263852 13.3863
263901 13.3869
263999 13.3879
264249 13.3894
264499 13.3901
265000 13.3892
266000 13.3783
266249 13.3752
267127 13.3573
268005 13.3306
268499 13.3015
268875 13.2771
270009 13.2288
270749 13.1766
271750 13.0967
272014 13.0807
272999 13.0000
274018 12.9074
274625 12.8382
275896 12.7103
277166 12.5727
277499 12.5299
277501 12.5295
277508 12.5287
277516 12.5278
277530 12.5262
277559 12.5229
277617 12.5162
277750 12.5007
277884 12.4851
278150 12.4536
278683 12.3898
279749 12.2586
280314 12.1877
280376 12.1789
280579 12.1520
280782 12.1249
281188 12.0704
282000 11.9601
283251 11.7889
284250 11.6558
286500 11.3568
286609 11.3425
286877 11.3044
287144 11.2662
287680 11.1898
288750 11.0371
289001 11.0023
290001 10.8632
291000 10.7248
291876 10.6079
293250 10.4216
294752 10.2275
295500 10.1289
296052 10.0592
297627 9.85929
297750 9.84323
298031 9.80783
298313 9.77261
298875 9.70260
300000 9.56451
300502 9.50590
302250 9.29555
303377 9.16785
304500 9.03635
306252 8.84272
306495 8.81487
306750 8.78738
307313 8.72884
307875 8.67098
309000 8.55734
309127 8.54497
309392 8.51757
309658 8.49032
310189 8.43630
311250 8.33003
312002 8.25743
312991 8.15777
313500 8.11226
314878 7.99345
317753 7.74140
318000 7.71922
318743 7.65322
319486 7.58825
320628 7.50037
322501 7.35168
322734 7.33350
323500 7.27908
323503 7.27887
323513 7.27813
323523 7.27740
323542 7.27593
323581 7.27300
323659 7.26715
323815 7.25547
324127 7.23224
324751 7.18624
325982 7.09667
326378 7.07073
327001 7.02756
329123 6.88353
329251 6.87578
329253 6.87570
329257 6.87541
329262 6.87513
329271 6.87455
329288 6.87340
329323 6.87111
329394 6.86652
329534 6.85737
329815 6.83915
330377 6.80306
331501 6.73218
332128 6.69292
332263 6.68400
332635 6.66251
333007 6.64120
333751 6.59914
335004 6.52883
336001 6.47073
337879 6.36287
338251 6.34078
338545 6.32316
339523 6.27466
340501 6.22723
340754 6.21491
341753 6.16388
342751 6.11392
343629 6.07013
344348 6.03351
344827 6.00875
345001 6.00127
345706 5.97074
346410 5.94070
346504 5.93672
346878 5.92011
347251 5.90363
348315 5.85665
349379 5.81072
349501 5.80520
349903 5.78685
350305 5.76864
351108 5.73266
351751 5.70905
352255 5.69045
354001 5.62349
355130 5.58087
356251 5.53695
357390 5.49274
358005 5.47350
358501 5.45706
359627 5.41985
360752 5.38370
360880 5.37962
361145 5.37052
361411 5.36149
361941 5.34359
363002 5.30851
363672 5.28658
363755 5.28445
363942 5.27918
364129 5.27394
364504 5.26355
365252 5.24314
366630 5.20636
367502 5.18226
368068 5.16680
369505 5.12696
369752 5.11995
369953 5.11423
370448 5.10391
370943 5.09383
372002 5.07154
372381 5.06373
373818 5.03336
374252 5.02392
375256 5.00265
376235 4.98139
376502 4.97784
376693 4.97532
377412 4.96484
378131 4.95508
378752 4.94598
379568 4.93470
380946 4.91493
381002 4.91468
381006 4.91465
381020 4.91455
381035 4.91444
381063 4.91422
381120 4.91380
381235 4.91297
381464 4.91137
381921 4.90845
382836 4.90378
383252 4.90070
384666 4.89265
385502 4.88654
385657 4.88557
386077 4.88626
386496 4.88739
386627 4.88722
386928 4.88697
387228 4.88696
387752 4.89115
388326 4.89657
390002 4.90905
390156 4.91065
390368 4.91199
391071 4.92567
391127 4.92664
391342 4.93049
391557 4.93451
391986 4.94311
392252 4.94779
392901 4.96050
393377 4.96904
393509 4.97160
393816 4.98120
394502 5.00126
394731 5.00852
395080 5.01836
395627 5.04136
395646 5.04220
395708 5.04456
395769 5.04695
395893 5.05179
396140 5.06174
396633 5.08280
396752 5.08730
397094 5.10087
397435 5.11522
397619 5.12638
397878 5.14071
398606 5.18353
399003 5.20556
399593 5.24068
399791 5.25164
400128 5.27694
400368 5.29555
401143 5.35385
401253 5.36180
401361 5.36967
401640 5.39527
401919 5.42172
402378 5.46312
402694 5.49309
402932 5.51420
403469 5.57516
403503 5.57882
403596 5.58881
403688 5.59890
403874 5.61945
404244 5.66201
404502 5.68995
404628 5.70693
405019 5.76108
405190 5.78345
405753 5.86056
405794 5.86629
405934 5.88445
406073 5.90296
406315 5.94267
406570 5.98576
406878 6.03481
407345 6.11279
407440 6.12759
407643 6.16009
408003 6.23182
408120 6.25571
408520 6.33290
408895 6.40857
409037 6.43557
409213 6.46961
