Au-197(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
240.250 184.569
240.290 248.163
240.329 347.000
240.369 507.847
240.408 771.522
240.454 1233.45
240.500 1540.90
240.546 1233.09
240.592 771.126
240.634 492.263
240.677 329.112
240.719 231.340
240.761 170.133
240.846 101.899
240.931 67.3641
241.016 47.6902
241.100 35.4827
241.270 21.8077
241.439 14.7389
241.608 10.6283
241.778 8.02881
241.947 6.28407
242.286 4.15931
242.624 2.96607
242.963 2.23032
243.302 1.74533
243.979 1.16695
244.657 0.849768
245.334 0.658573
246.012 0.535739
247.366 0.396657
248.721 0.330088
251.431 0.298716
254.141 0.366663
255.496 0.458400
256.851 0.635365
257.528 0.786708
258.205 1.01835
258.883 1.39724
259.560 2.07838
259.899 2.64365
260.238 3.49324
260.577 4.85546
260.915 7.24269
261.085 9.17526
261.254 12.0097
261.423 16.4105
261.593 23.7627
261.677 29.4419
261.762 37.4087
261.847 49.0498
261.931 66.9232
262.016 96.2662
262.101 148.505
262.143 190.706
262.185 251.069
262.228 339.204
262.270 467.452
262.335 747.741
262.400 934.431
262.465 747.397
262.530 467.097
262.574 334.914
262.618 245.580
262.662 185.155
262.705 143.425
262.793 92.2355
262.881 63.7821
262.968 46.5570
263.056 35.4105
263.231 22.4086
263.406 15.4341
263.581 11.2761
263.932 6.78578
264.282 4.54530
264.633 3.27062
264.983 2.47786
265.333 1.95208
266.034 1.32149
266.735 0.974160
268.137 0.631971
269.538 0.490125
270.940 0.456700
271.641 0.496382
272.341 0.655344
272.692 0.885038
272.867 1.11101
273.042 1.51225
273.217 2.32562
273.305 3.08691
273.393 4.37822
273.480 6.82668
273.524 8.96343
273.568 12.3270
273.612 18.0320
273.655 28.7150
273.677 37.7857
273.699 51.4428
273.721 72.6451
273.743 105.713
273.772 169.097
273.800 211.162
273.829 168.841
273.857 105.690
273.876 76.3451
273.895 56.4058
273.933 33.3108
273.970 21.6247
274.008 15.0882
274.046 11.1144
274.083 8.53519
274.159 5.51768
274.234 3.89434
274.310 2.92467
274.460 1.87553
274.611 1.35109
274.762 1.05238
275.064 0.743272
275.365 0.595738
275.667 0.515019
276.270 0.437179
277.476 0.396052
278.682 0.405783
281.095 0.498441
283.508 0.706280
284.714 0.888151
285.920 1.16824
287.127 1.62758
288.333 2.45422
288.936 3.13991
289.539 4.16982
290.142 5.81935
290.745 8.70360
291.047 11.0330
291.349 14.4442
291.650 19.7221
291.952 28.5046
292.103 35.2590
292.253 44.6965
292.404 58.4158
292.555 79.3656
292.706 113.398
292.857 173.134
292.932 220.654
293.007 287.916
293.083 384.649
293.158 522.877
293.279 836.349
293.400 1044.95
293.521 835.589
293.642 522.122
293.781 300.143
293.920 185.918
294.059 124.082
294.198 87.9561
294.337 65.3014
294.476 50.2861
294.754 32.3391
295.031 22.4814
295.309 16.5145
295.865 9.98069
296.421 6.67683
296.977 4.78116
297.532 3.59447
298.088 2.80310
299.199 1.84681
300.311 1.31361
301.422 0.986649
302.534 0.772187
304.757 0.518321
306.980 0.381260
309.202 0.301294
311.425 0.253633
315.871 0.218172
318.094 0.227706
320.317 0.265439
322.540 0.362731
323.651 0.462411
324.763 0.641590
325.874 1.00906
326.430 1.35857
326.986 1.96707
327.542 3.18648
327.819 4.33071
328.097 6.30090
328.375 10.1851
328.514 13.7539
328.653 19.7359
328.722 24.3873
328.792 30.9668
328.861 40.7038
328.896 47.4112
328.931 55.9383
328.966 67.0290
329.000 81.6969
329.035 101.653
329.070 129.619
329.105 170.268
329.139 231.096
329.174 325.108
329.209 471.005
329.254 752.312
329.300 939.884
329.346 752.492
329.391 471.497
329.433 305.291
329.474 206.951
329.515 147.627
329.556 110.203
329.638 68.5057
329.720 47.6527
329.802 36.1798
329.884 29.6186
330.048 24.3823
330.212 26.4219
330.294 30.7145
330.376 38.7543
330.458 53.7597
330.540 83.7513
330.581 110.395
330.622 152.045
330.663 219.709
330.704 330.838
330.752 526.627
330.800 657.037
330.848 526.068
330.896 329.820
330.944 204.951
330.991 134.660
331.039 93.8631
331.086 68.7847
331.181 41.3623
331.276 27.6663
331.371 19.8959
331.466 15.0679
331.656 9.61477
331.846 6.74795
332.036 5.04302
332.416 3.17997
332.796 2.22291
333.176 1.65991
333.936 1.04967
334.697 0.739267
335.457 0.558693
336.977 0.366868
338.497 0.273117
340.017 0.222001
343.057 0.178804
346.097 0.182845
347.617 0.205682
349.137 0.255893
350.657 0.370267
351.417 0.485646
352.177 0.695723
352.558 0.871986
352.938 1.13968
353.318 1.57507
353.698 2.35415
353.888 2.99811
354.078 3.96301
354.268 5.50341
354.458 8.18604
354.648 13.4899
354.743 18.3320
354.838 26.3310
354.933 40.9024
354.980 53.0985
355.028 71.4922
355.075 100.859
355.123 151.127
355.146 190.241
355.170 244.161
355.194 320.014
355.218 425.101
355.259 680.383
355.300 849.972
355.341 679.615
355.383 424.979
355.412 297.948
355.442 214.533
355.472 159.322
355.502 122.083
355.561 77.2792
355.620 52.9281
355.680 38.3626
355.739 29.0309
355.858 18.2568
355.977 12.5239
356.096 9.12891
356.215 6.95353
356.334 5.47987
356.572 3.66785
356.810 2.63997
357.048 2.00196
357.286 1.57940
357.762 1.07315
358.237 0.794362
359.189 0.518107
360.141 0.396997
361.092 0.341394
362.995 0.326974
364.899 0.419033
365.850 0.532646
366.802 0.748052
367.278 0.930986
367.753 1.21007
368.229 1.66518
368.705 2.48150
368.943 3.15774
369.181 4.17340
369.419 5.80049
369.657 8.64954
369.776 10.9549
369.894 14.3338
370.013 19.5785
370.132 28.3326
370.192 35.0922
370.251 44.5696
370.311 58.4088
370.370 79.6250
370.430 114.425
370.489 176.259
370.519 226.145
370.549 297.301
370.578 400.948
370.608 551.377
370.654 882.417
370.700 1102.38
370.746 881.463
370.792 551.184
370.825 386.424
370.858 278.211
370.891 206.796
370.924 158.444
370.991 100.294
371.057 68.6950
371.123 49.8025
371.189 37.7161
371.322 23.7480
371.454 16.3186
371.587 11.9213
371.852 7.20416
372.117 4.87396
372.382 3.56832
372.646 2.77754
372.911 2.27991
373.441 1.80354
373.706 1.77242
373.971 1.92326
374.236 2.42672
374.368 2.96694
374.501 3.93707
374.633 5.86828
374.700 7.61350
374.766 10.4491
374.832 15.4803
374.898 25.5270
374.931 34.6577
374.964 49.3811
374.998 74.4079
375.031 117.948
375.065 188.331
375.100 235.265
375.135 188.299
375.169 117.901
375.194 83.4845
375.218 60.6820
375.243 45.4977
375.267 35.1420
375.316 22.5864
375.365 15.7141
375.414 11.5807
375.463 8.92667
375.560 5.84452
375.658 4.19507
375.755 3.21377
375.951 2.15283
376.146 1.62284
376.341 1.32272
376.732 1.02160
377.513 0.862486
378.295 0.968295
379.076 1.38279
379.467 1.83309
379.857 2.66345
380.053 3.35909
380.248 4.40767
380.443 6.09056
380.639 9.03615
380.834 14.8989
380.932 20.2830
381.029 29.2199
381.078 36.0925
381.127 45.6586
381.176 59.5269
381.225 80.6254
381.273 114.810
381.322 174.274
381.347 221.231
381.371 287.252
381.395 381.447
381.420 515.113
381.460 824.158
381.500 1030.17
381.540 824.014
381.580 514.958
381.616 332.710
381.652 224.550
381.688 158.914
381.724 117.469
381.795 70.8442
381.867 47.0498
381.939 33.4226
382.010 24.9362
382.154 15.3923
382.297 10.4454
382.441 7.56016
382.584 5.73313
382.727 4.50469
383.014 3.00479
383.301 2.15945
383.588 1.63595
383.874 1.28941
384.448 0.872737
385.021 0.640925
386.168 0.404646
387.316 0.292650
388.463 0.231562
390.757 0.175094
393.051 0.163580
395.345 0.198790
396.492 0.257910
397.065 0.314344
397.639 0.409917
398.212 0.591839
398.499 0.754309
398.786 1.02251
399.073 1.52873
399.216 1.98215
399.359 2.73403
399.503 4.15240
399.574 5.40590
399.646 7.42923
399.718 11.0254
399.754 13.9818
399.790 18.3552
399.825 25.2166
399.861 36.6189
399.897 56.9379
399.915 72.9075
399.933 94.5508
399.950 120.680
399.966 150.537
400.000 187.882
400.034 150.667
400.067 94.8225
400.103 57.2173
400.139 37.0893
400.175 25.8837
400.211 19.2346
400.283 12.3114
400.355 9.16321
400.426 7.66077
400.498 7.04244
400.642 7.46562
400.786 10.1289
400.857 12.8582
400.929 17.3949
401.001 25.4136
401.073 41.0870
401.109 54.9130
401.145 76.4916
401.180 111.560
401.216 169.254
401.258 270.436
401.300 337.624
401.342 270.079
401.384 169.085
401.421 109.490
401.458 74.0660
401.496 52.5896
401.533 38.9681
401.608 23.6402
401.682 15.7973
401.757 11.2893
401.832 8.47883
401.981 5.30481
402.130 3.64808
402.279 2.67594
402.578 1.63565
402.876 1.11805
403.175 0.822403
403.772 0.513340
404.369 0.362538
404.966 0.277487
406.160 0.189797
407.354 0.147922
408.547 0.125042
410.935 0.103462
415.711 0.0961163
420.487 0.111779
425.263 0.157216
427.651 0.204047
430.039 0.289069
431.233 0.360064
432.426 0.467553
433.620 0.641976
434.814 0.953937
435.411 1.21224
436.008 1.60041
436.605 2.22330
437.202 3.31733
437.799 5.51372
438.098 7.55367
438.396 10.9875
438.545 13.6601
438.695 17.4328
438.844 23.0005
438.993 31.6643
439.142 46.1425
439.292 72.6033
439.366 94.5314
439.441 126.779
439.515 175.377
439.590 248.626
439.695 397.494
439.800 496.563
439.905 397.300
440.010 248.432
440.091 169.978
440.173 119.866
440.254 87.6962
440.335 66.3873
440.498 41.3619
440.660 28.0353
440.823 20.1935
440.986 15.2193
441.311 9.52871
441.636 6.53362
441.961 4.77168
442.286 3.65123
442.612 2.89709
443.262 1.98179
443.912 1.47771
444.563 1.18255
445.213 1.01041
446.514 0.912347
447.164 0.990266
447.814 1.21535
448.465 1.76971
448.790 2.33763
449.115 3.36617
449.278 4.21864
449.440 5.49395
449.603 7.52057
449.766 11.0195
449.928 17.8324
450.009 23.9462
450.091 33.8570
450.172 51.4039
450.213 65.6859
450.253 86.5524
450.294 118.646
450.335 170.457
450.375 258.917
450.416 413.686
450.458 661.703
450.500 827.001
450.542 661.604
450.584 413.576
450.610 306.704
450.635 231.260
450.686 140.579
450.737 92.7444
450.788 65.2479
450.839 48.2174
450.890 37.0160
450.992 23.7486
451.094 16.5119
451.196 12.1533
451.400 7.40191
451.604 5.00636
451.808 3.63399
452.012 2.77448
452.216 2.20107
452.624 1.50623
453.032 1.11666
453.847 0.716829
454.663 0.525484
455.479 0.419428
457.110 0.314322
458.742 0.270987
460.374 0.256980
463.637 0.285810
466.900 0.408424
468.531 0.542494
470.163 0.791064
470.979 1.00057
471.794 1.31889
472.610 1.83560
473.426 2.75601
473.834 3.51301
474.242 4.64144
474.650 6.42998
475.058 9.51232
475.262 11.9659
475.465 15.5067
475.669 20.8845
475.873 29.5952
476.077 45.0213
476.179 57.5582
476.281 75.8981
476.383 104.054
476.485 149.559
476.587 227.336
476.689 363.232
476.795 580.218
476.900 724.399
477.006 578.851
477.112 361.248
477.206 234.443
477.299 158.624
477.393 112.559
477.487 83.3251
477.674 50.3524
477.861 33.4844
478.049 23.8010
478.236 17.7669
478.611 10.9737
478.985 7.44994
479.360 5.39608
479.735 4.09676
480.109 3.22479
480.859 2.16675
481.608 1.57901
482.357 1.22594
483.107 1.00614
484.605 0.804907
485.355 0.803011
486.104 0.893121
486.853 1.17021
487.228 1.46802
487.602 2.01453
487.977 3.15033
488.164 4.23195
488.352 6.09685
488.539 9.72182
488.633 12.9674
488.726 18.2092
488.820 27.4644
488.914 45.8720
488.961 62.5855
489.007 89.4037
489.054 134.797
489.101 213.353
489.151 341.122
489.200 426.277
489.250 341.073
489.299 213.303
489.330 156.994
489.361 117.742
489.422 71.0161
489.484 46.6655
489.545 32.7990
