Cr-53(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
46526.5 2.17031
46688.2 2.16367
46769.0 2.16913
46849.9 2.18788
46930.8 2.23705
46971.2 2.28741
47011.6 2.37615
47052.0 2.54961
47072.2 2.70456
47092.5 2.95437
47112.7 3.39453
47122.8 3.75144
47132.9 4.27368
47143.0 5.07793
47153.1 6.38774
47163.2 8.66066
47173.3 12.7301
47183.1 18.8996
47192.9 23.0790
47202.7 18.8297
47212.5 12.3516
47220.9 8.69452
47229.2 6.49252
47237.5 5.14975
47245.9 4.29691
47262.6 3.34007
47279.2 2.85485
47295.9 2.57942
47312.6 2.40948
47346.0 2.22048
47379.3 2.12338
47412.7 2.06660
47479.4 2.00448
47546.1 1.97068
47612.9 1.94816
47679.6 1.93092
47712.9 1.92376
47729.6 1.92173
47738.0 1.92542
47742.1 1.94050
47744.2 1.97520
47746.3 2.16274
47747.5 2.41359
47748.8 2.16681
47750.9 1.97555
47753.0 1.93956
47757.3 1.92235
47765.8 1.91485
47782.8 1.90971
47816.8 1.90269
47884.8 1.89016
48020.9 1.86693
48293.1 1.82354
48837.4 1.74403
49109.6 1.71053
49381.7 1.68970
49517.8 1.69287
49585.8 1.70331
49653.9 1.72658
49721.9 1.77806
49755.9 1.82700
49790.0 1.90977
49824.0 2.06603
49841.0 2.20291
49858.0 2.42144
49875.0 2.80471
49883.5 3.11657
49892.0 3.57637
49900.5 4.29524
49909.0 5.49698
49917.5 7.67319
49926.0 11.8343
49933.2 17.5071
49940.4 21.3901
49947.6 17.3280
49954.8 11.0704
49963.0 6.76656
49971.1 4.60734
49979.2 3.47155
49987.3 2.82800
49995.5 2.43615
50003.6 2.18421
50019.8 1.89533
50036.1 1.74597
50052.3 1.66086
50084.8 1.57535
50117.3 1.53733
50149.8 1.51833
50214.8 1.50272
50279.8 1.49907
50344.8 1.50128
50474.8 1.52198
50604.8 1.58301
50669.7 1.64813
50734.7 1.76525
50799.7 1.99598
50832.2 2.20065
50864.7 2.52455
50897.2 3.07425
50929.7 4.09615
50946.0 4.95481
50962.2 6.23202
50978.5 8.18229
50994.7 11.1624
51017.0 17.1276
51039.3 21.1488
51061.6 17.2572
51083.9 11.3421
51103.5 7.88142
51123.1 5.79387
51142.7 4.51520
51162.3 3.69709
51201.5 2.76647
51240.6 2.28355
51279.8 2.00197
51319.0 1.82311
51397.4 1.61488
51475.8 1.49995
51554.1 1.42723
51710.9 1.33793
52024.3 1.23834
52337.8 1.17060
52651.3 1.11397
52964.8 1.06622
53121.5 1.05038
53199.9 1.04855
53278.2 1.05684
53356.6 1.09034
53395.8 1.12987
53435.0 1.20490
53474.2 1.36086
53493.8 1.50510
53513.3 1.74190
