15-P_n-tot
>   15-P-31:1.000000
2.900000e+07 2.03112000e+00
3.000000e+07 2.03210000e+00
3.001100e+07 2.03211000e+00
3.083170e+07 2.03217000e+00
3.100000e+07 2.03209000e+00
3.121290e+07 2.03194000e+00
3.200000e+07 2.03099000e+00
3.278560e+07 2.02947000e+00
3.300000e+07 2.02896000e+00
3.322510e+07 2.02839000e+00
3.400000e+07 2.02614000e+00
3.500000e+07 2.02266000e+00
3.520340e+07 2.02185000e+00
3.525160e+07 2.02164000e+00
3.535740e+07 2.02117000e+00
3.538160e+07 2.02106000e+00
3.600000e+07 2.01785000e+00
3.700000e+07 2.01123000e+00
3.717050e+07 2.00994000e+00
3.788420e+07 2.00415000e+00
3.800000e+07 2.00315000e+00
3.900000e+07 1.99393000e+00
3.988560e+07 1.98503000e+00
4.000000e+07 1.98384000e+00
4.100000e+07 1.97294000e+00
4.187940e+07 1.96270000e+00
4.198480e+07 1.96144000e+00
4.200000e+07 1.96125000e+00
4.268050e+07 1.95293000e+00
4.284560e+07 1.95088000e+00
4.295160e+07 1.94955000e+00
4.300000e+07 1.94894000e+00
4.322720e+07 1.94607000e+00
4.360030e+07 1.94131000e+00
4.400000e+07 1.93615000e+00
4.463960e+07 1.92777000e+00
4.465230e+07 1.92760000e+00
4.486540e+07 1.92478000e+00
4.500000e+07 1.92299000e+00
4.547700e+07 1.91660000e+00
4.600000e+07 1.90950000e+00
4.654360e+07 1.90201000e+00
4.670710e+07 1.89974000e+00
4.700000e+07 1.89563000e+00
4.800000e+07 1.88137000e+00
4.900000e+07 1.86671000e+00
4.975530e+07 1.85537000e+00
5.000000e+07 1.85165000e+00
5.100000e+07 1.83618000e+00
5.143260e+07 1.82934000e+00
5.200000e+07 1.82022000e+00
5.204300e+07 1.81952000e+00
5.232110e+07 1.81498000e+00
5.268680e+07 1.80894000e+00
5.300000e+07 1.80370000e+00
5.363190e+07 1.79295000e+00
5.400000e+07 1.78657000e+00
5.444760e+07 1.77869000e+00
5.500000e+07 1.76878000e+00
5.600000e+07 1.75068000e+00
5.642580e+07 1.74299000e+00
5.700000e+07 1.73263000e+00
5.715040e+07 1.72991000e+00
5.744070e+07 1.72468000e+00
5.800000e+07 1.71460000e+00
5.853420e+07 1.70497000e+00
5.900000e+07 1.69658000e+00
6.000000e+07 1.67855000e+00
6.100000e+07 1.66068000e+00
6.200000e+07 1.64314000e+00
6.228500e+07 1.63820000e+00
6.230930e+07 1.63778000e+00
6.300000e+07 1.62593000e+00
6.303740e+07 1.62529000e+00
6.400000e+07 1.60906000e+00
6.475700e+07 1.59652000e+00
6.500000e+07 1.59253000e+00
6.589740e+07 1.57809000e+00
6.592920e+07 1.57758000e+00
6.600000e+07 1.57646000e+00
6.700000e+07 1.56073000e+00
6.724520e+07 1.55690000e+00
6.800000e+07 1.54506000e+00
6.900000e+07 1.52915000e+00
7.000000e+07 1.51280000e+00
7.100000e+07 1.49597000e+00
7.200000e+07 1.47894000e+00
7.300000e+07 1.46194000e+00
7.400000e+07 1.44519000e+00
7.430340e+07 1.44019000e+00
7.500000e+07 1.42887000e+00
7.600000e+07 1.41302000e+00
7.648190e+07 1.40551000e+00
7.700000e+07 1.39751000e+00
7.800000e+07 1.38227000e+00
7.900000e+07 1.36722000e+00
7.958230e+07 1.35851000e+00
8.000000e+07 1.35228000e+00
8.100000e+07 1.33706000e+00
8.200000e+07 1.32149000e+00
8.300000e+07 1.30601000e+00
8.400000e+07 1.29098000e+00
8.500000e+07 1.27675000e+00
8.600000e+07 1.26352000e+00
8.700000e+07 1.25100000e+00
8.800000e+07 1.23879000e+00
8.900000e+07 1.22650000e+00
9.000000e+07 1.21380000e+00
9.100000e+07 1.20092000e+00
9.200000e+07 1.18827000e+00
9.300000e+07 1.17588000e+00
9.400000e+07 1.16376000e+00
9.500000e+07 1.15191000e+00
9.600000e+07 1.14030000e+00
9.700000e+07 1.12892000e+00
9.800000e+07 1.11777000e+00
9.900000e+07 1.10689000e+00
1.000000e+08 1.09630000e+00
1.020000e+08 1.07597000e+00
1.040000e+08 1.05663000e+00
1.060000e+08 1.03811000e+00
1.080000e+08 1.02025000e+00
1.100000e+08 1.00294000e+00
1.120000e+08 9.86132000e-01
1.140000e+08 9.69865000e-01
1.160000e+08 9.54133000e-01
1.180000e+08 9.38932000e-01
1.200000e+08 9.24253000e-01
1.220000e+08 9.10173000e-01
1.240000e+08 8.96710000e-01
1.260000e+08 8.83778000e-01
1.280000e+08 8.71300000e-01
1.300000e+08 8.59209000e-01
1.320000e+08 8.47562000e-01
1.340000e+08 8.36429000e-01
1.360000e+08 8.25766000e-01
1.380000e+08 8.15536000e-01
1.400000e+08 8.05705000e-01
1.420000e+08 7.96363000e-01
1.440000e+08 7.87566000e-01
1.460000e+08 7.79241000e-01
1.480000e+08 7.71320000e-01
