28-Ni_n-g
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
3.562500e+02 3.44242356e-02
3.575000e+02 3.43706625e-02
3.600000e+02 3.42635164e-02
3.650000e+02 3.40492241e-02
3.700000e+02 3.38349319e-02
3.750000e+02 3.36206396e-02
3.800000e+02 3.34063474e-02
3.850000e+02 3.31920551e-02
3.900000e+02 3.29777628e-02
3.950000e+02 3.27634706e-02
3.978570e+02 3.26410240e-02
4.000000e+02 3.25634990e-02
4.125000e+02 3.21305905e-02
4.250000e+02 3.16976819e-02
4.500000e+02 3.08318649e-02
4.774280e+02 2.98819596e-02
5.000000e+02 2.91918670e-02
5.500000e+02 2.79847935e-02
5.729140e+02 2.74316159e-02
6.000000e+02 2.68854345e-02
6.874960e+02 2.51929866e-02
7.000000e+02 2.49851863e-02
7.500000e+02 2.41768815e-02
8.000000e+02 2.35263689e-02
8.249950e+02 2.32113696e-02
9.000000e+02 2.24136630e-02
9.899950e+02 2.14565321e-02
9.999990e+02 2.13619360e-02
1.000000e+03 2.13619361e-02
1.000010e+03 2.13618419e-02
1.000020e+03 2.13617742e-02
1.000030e+03 2.13616929e-02
1.000040e+03 2.13616117e-02
1.000050e+03 2.13615262e-02
1.000060e+03 2.13614238e-02
1.000070e+03 2.13613214e-02
1.000090e+03 2.13611291e-02
1.000120e+03 2.13608917e-02
1.000140e+03 2.13607391e-02
1.000170e+03 2.13605101e-02
1.000190e+03 2.13603573e-02
1.000250e+03 2.13598310e-02
1.000280e+03 2.13595640e-02
1.000350e+03 2.13589372e-02
1.000370e+03 2.13587581e-02
1.000490e+03 2.13577319e-02
1.000570e+03 2.13570535e-02
1.000690e+03 2.13560308e-02
1.000740e+03 2.13556047e-02
1.000980e+03 2.13535345e-02
1.001130e+03 2.13522295e-02
1.001380e+03 2.13500629e-02
1.001470e+03 2.13492831e-02
1.001960e+03 2.13450854e-02
1.002260e+03 2.13425323e-02
1.002760e+03 2.13382799e-02
1.002940e+03 2.13367494e-02
1.003910e+03 2.13285019e-02
1.004530e+03 2.13232246e-02
1.005520e+03 2.13147985e-02
1.005880e+03 2.13117362e-02
1.007810e+03 2.12954060e-02
1.009050e+03 2.12849312e-02
1.011030e+03 2.12682308e-02
1.011750e+03 2.12621651e-02
1.015630e+03 2.12298848e-02
1.018100e+03 2.12094233e-02
1.022060e+03 2.11767310e-02
1.023500e+03 2.11648763e-02
1.031250e+03 2.11024889e-02
1.036190e+03 2.10630316e-02
1.044110e+03 2.10001623e-02
1.047000e+03 2.09774048e-02
1.062500e+03 2.08607143e-02
1.072370e+03 2.07876280e-02
1.088220e+03 2.06717756e-02
1.094000e+03 2.06303494e-02
1.100000e+03 2.05910359e-02
1.125000e+03 2.04272299e-02
1.132340e+03 2.03808304e-02
1.144750e+03 2.03060554e-02
1.176450e+03 2.01192504e-02
1.187990e+03 2.00598422e-02
1.200000e+03 2.00115179e-02
1.217120e+03 1.99426327e-02
1.220560e+03 1.99298099e-02
1.242610e+03 1.98783791e-02
1.250000e+03 1.98782530e-02
1.253310e+03 1.98796248e-02
1.264670e+03 1.99049400e-02
1.271400e+03 1.99437071e-02
1.275700e+03 2.00277872e-02
1.280450e+03 2.01425782e-02
1.284970e+03 2.07170296e-02
1.286720e+03 2.21908214e-02
1.287230e+03 2.26246835e-02
1.288360e+03 2.84676728e-02
1.288930e+03 4.27610432e-02
1.289210e+03 6.75210261e-02
1.289350e+03 9.57583278e-02
1.289490e+03 1.49370578e-01
1.289620e+03 2.26764814e-01
1.289750e+03 2.78282456e-01
1.289870e+03 2.26789160e-01
1.290000e+03 1.49404499e-01
1.290170e+03 8.74994572e-02
1.290350e+03 5.93197300e-02
1.290690e+03 3.74269877e-02
1.291390e+03 2.61473366e-02
1.292770e+03 2.19173745e-02
1.295550e+03 2.06487795e-02
1.297750e+03 2.05404185e-02
1.300000e+03 2.04698131e-02
1.301090e+03 2.04356088e-02
1.308780e+03 2.06361382e-02
1.312190e+03 2.08173831e-02
1.314290e+03 2.09450005e-02
1.319810e+03 2.14720064e-02
1.325320e+03 2.23525316e-02
1.330840e+03 2.39602311e-02
1.333590e+03 2.53043557e-02
1.334380e+03 2.58848486e-02
1.336350e+03 2.73344038e-02
1.339110e+03 3.05965614e-02
1.341860e+03 3.63156515e-02
1.344620e+03 4.77191459e-02
1.346000e+03 5.82195301e-02
1.347380e+03 7.56983821e-02
1.348760e+03 1.07959115e-01
1.349450e+03 1.35285979e-01
1.350130e+03 1.77022367e-01
1.350820e+03 2.44833919e-01
1.351510e+03 3.63898794e-01
1.352200e+03 5.92847750e-01
1.352550e+03 7.86367999e-01
1.352890e+03 1.06303032e+00
1.353450e+03 1.69640732e+00
1.354000e+03 2.12083499e+00
1.354560e+03 1.69528478e+00
1.355110e+03 1.06246888e+00
1.355740e+03 6.21120452e-01
1.356370e+03 3.93090631e-01
1.357000e+03 2.69313784e-01
1.357630e+03 1.96750365e-01
1.358260e+03 1.51183197e-01
1.358890e+03 1.20909155e-01
1.360150e+03 8.46831182e-02
1.361410e+03 6.47330295e-02
1.362670e+03 5.26448311e-02
1.365190e+03 3.93713497e-02
1.367710e+03 3.26416922e-02
1.370230e+03 2.87681568e-02
1.372740e+03 2.63354242e-02
1.375260e+03 2.47068079e-02
1.378750e+03 2.33346173e-02
1.380300e+03 2.27254822e-02
1.385340e+03 2.16076465e-02
1.390380e+03 2.09107303e-02
1.395420e+03 2.04434812e-02
1.400000e+03 2.01809339e-02
1.405490e+03 1.98662211e-02
1.415570e+03 1.95262547e-02
1.425590e+03 1.93016246e-02
1.425650e+03 1.93003278e-02
1.435720e+03 1.91440594e-02
1.455880e+03 1.89262864e-02
1.467500e+03 1.88367758e-02
1.476030e+03 1.87721291e-02
1.500000e+03 1.86355113e-02
1.516330e+03 1.85663531e-02
1.556640e+03 1.84363818e-02
1.596940e+03 1.83227008e-02
1.600000e+03 1.83148216e-02
1.645000e+03 1.81989504e-02
