Pb-206(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
25112.3 0.0336702
25121.4 0.0122912
25139.6 0.00736413
25157.8 0.00709662
25176.0 0.00768453
25212.4 0.0101259
25248.8 0.0145879
25285.2 0.0230917
25303.3 0.0304525
25321.5 0.0419162
25339.7 0.0610617
25357.9 0.0960156
25367.0 0.124967
25376.1 0.167455
25385.2 0.231504
25394.3 0.327940
25407.2 0.525813
25420.0 0.660786
25432.9 0.530908
25445.7 0.332010
25458.9 0.201908
25472.0 0.130084
25485.2 0.0891680
25498.3 0.0643889
25511.5 0.0484486
25524.7 0.0376788
25551.0 0.0245708
25577.3 0.0172392
25603.6 0.0127481
25656.2 0.00777204
25708.8 0.00522769
25761.5 0.00375691
25814.1 0.00283101
25866.7 0.00221100
25972.0 0.00145800
26077.2 0.00103568
26182.5 0.000775302
26287.7 0.000603511
26498.2 0.000398032
26708.7 0.000284486
26919.2 0.000215194
27129.7 0.000169823
27550.7 0.000116013
27971.8 8.65907E-05
28813.8 5.74305E-05
29655.8 4.44680E-05
30497.8 3.83906E-05
31339.8 3.66036E-05
31760.8 3.86932E-05
31971.3 4.72138E-05
32076.6 8.01631E-05
32129.2 0.000210629
32155.5 0.000727663
32168.7 0.00276310
32175.2 0.0106477
32178.5 0.0402188
32180.2 0.143407
32181.0 0.459703
32181.4 1.22726
32181.6 2.58938
32181.8 6.91675
32182.0 13.8383
32182.2 6.94218
32182.3 3.70614
32182.4 2.20942
32182.7 1.00385
32183.2 0.351777
32184.1 0.105249
32186.1 0.0288558
32190.0 0.00759882
32197.8 0.00197150
32213.5 0.000526301
32244.8 0.000160215
32307.4 6.82310E-05
32432.7 4.56492E-05
32683.2 4.13213E-05
33184.3 4.46481E-05
34186.3 6.98966E-05
34687.4 0.000106799
34937.9 0.000143881
35188.4 0.000211641
35313.7 0.000268740
35438.9 0.000355882
35564.2 0.000498485
35689.5 0.000755875
35752.1 0.000970421
35814.7 0.00129452
35877.4 0.00181761
35940.0 0.00274306
35971.3 0.00349921
36002.6 0.00461868
36033.9 0.00637779
36065.2 0.00936912
36096.6 0.0150701
36112.2 0.0200718
36127.9 0.0279833
36143.5 0.0415184
36159.2 0.0671853
