B-11(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
5.36000E+06 7.91418E-07
5.36246E+06 7.93230E-07
5.37000E+06 7.98795E-07
5.38000E+06 8.06173E-07
5.38120E+06 8.07055E-07
5.39000E+06 8.13550E-07
5.40000E+06 8.20928E-07
5.41000E+06 8.66715E-07
5.42000E+06 9.12502E-07
5.42460E+06 9.33582E-07
5.43000E+06 9.61333E-07
5.44000E+06 1.01276E-06
5.44622E+06 1.04477E-06
5.45000E+06 1.06626E-06
5.46000E+06 1.12319E-06
5.46521E+06 1.15286E-06
5.47000E+06 1.18265E-06
5.48000E+06 1.24487E-06
5.48027E+06 1.24655E-06
5.48188E+06 1.25658E-06
5.49000E+06 1.31324E-06
5.50000E+06 1.38304E-06
5.50156E+06 1.39389E-06
5.50306E+06 1.40442E-06
5.50452E+06 1.41461E-06
5.50594E+06 1.42449E-06
5.50731E+06 1.43406E-06
5.50864E+06 1.44334E-06
5.50993E+06 1.45233E-06
5.51000E+06 1.45283E-06
5.51118E+06 1.46103E-06
5.51118E+06 1.46104E-06
5.51239E+06 1.47062E-06
5.51356E+06 1.47990E-06
5.51469E+06 1.48889E-06
5.51579E+06 1.49761E-06
5.51686E+06 1.50606E-06
5.51789E+06 1.51424E-06
