Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
66256.6 0.000435614
66344.1 0.000539251
66431.5 0.000733893
66475.2 0.000904712
66518.9 0.00117997
66562.7 0.00167715
66584.5 0.00210100
66606.4 0.00276911
66628.2 0.00394169
66639.2 0.00491066
66650.1 0.00638083
66661.0 0.00879275
66672.0 0.0131937
66677.4 0.0168982
66682.9 0.0224799
66688.4 0.0312935
66693.8 0.0456888
66706.8 0.105643
66710.1 0.109319
66713.3 0.100324
66719.8 0.0673679
66722.7 0.0548241
66725.6 0.0449150
66728.5 0.0373226
66731.3 0.0315784
66737.1 0.0238686
66742.9 0.0193789
66748.6 0.0167723
66754.4 0.0153679
66765.9 0.0148866
66777.4 0.0168146
66788.9 0.0214238
66800.4 0.0300698
66811.9 0.0450504
66824.7 0.0683889
66831.0 0.0769213
66837.4 0.0775188
66850.2 0.0577696
66862.9 0.0359813
66872.4 0.0254088
66881.8 0.0185087
66891.3 0.0139495
66900.7 0.0108478
66919.6 0.00707734
66938.5 0.00499260
66957.4 0.00372800
66976.3 0.00290645
67014.1 0.00193965
67051.8 0.00141368
67089.6 0.00109581
67165.2 0.000746457
67240.8 0.000568208
67316.4 0.000464893
67391.9 0.000399577
67467.5 0.000355624
67618.7 0.000301867
67769.8 0.000271405
68072.1 0.000239768
68374.4 0.000224355
68676.7 0.000215580
69281.3 0.000206215
69885.9 0.000201324
70490.5 0.000198251
71699.7 0.000194372
74118.0 0.000189778
76536.4 0.000186703
81373.2 0.000183360
83791.5 0.000183988
85000.7 0.000185897
85605.3 0.000188868
85907.6 0.000196463
86058.8 0.000223891
86134.3 0.000330881
86172.1 0.000749262
86191.0 0.00235310
86200.5 0.00825636
86205.2 0.0282037
86207.6 0.0856940
86208.7 0.211755
86209.3 0.400153
86209.9 0.901862
86210.6 1.80895
86211.3 0.905996
86212.1 0.314112
86212.9 0.147132
86214.5 0.0537506
86217.7 0.0166094
86224.1 0.00474076
86236.9 0.00138744
86262.5 0.000496280
86313.8 0.000266730
86416.4 0.000208795
86621.5 0.000194952
87031.7 0.000193296
87852.2 0.000198243
88672.7 0.000207899
89493.1 0.000225477
90313.6 0.000260905
90723.8 0.000293437
91134.1 0.000347209
91544.3 0.000444937
91749.4 0.000526433
91954.5 0.000648829
92159.7 0.000843116
92262.2 0.000984950
92364.8 0.00117295
92467.3 0.00142704
92569.9 0.00177654
92672.5 0.00226275
92775.0 0.00293493
92956.5 0.00459978
93138.0 0.00575939
93228.8 0.00546221
93319.5 0.00468749
93501.0 0.00299914
93638.5 0.00211730
93775.9 0.00154801
93913.4 0.00117974
94050.9 0.000934473
94325.8 0.000644968
94600.7 0.000490084
94875.6 0.000398671
95150.5 0.000340559
95700.4 0.000273951
96250.2 0.000238987
96800.1 0.000219210
97349.9 0.000212337
97624.8 0.000233785
97762.3 0.000336487
97831.0 0.000747201
97865.4 0.00233357
97882.6 0.00822165
97891.1 0.0285089
97895.4 0.0892744
97897.6 0.231041
97898.7 0.458710
97899.7 1.13771
97900.8 2.31993
97901.4 1.88246
97901.9 1.18143
97902.9 0.490898
97903.9 0.250147
97906.0 0.0974314
97910.1 0.0312306
97918.3 0.00899897
97934.7 0.00254132
97967.5 0.000799326
98033.0 0.000346312
98164.1 0.000229495
98426.4 0.000197492
98688.6 0.000189524
98950.9 0.000185381
99999.9 0.000176814
100000 2.08837E-05
100000 2.08832E-05
100000 2.08817E-05
100001 2.08808E-05
100001 2.08788E-05
100002 2.08744E-05
100004 2.08655E-05
100007 2.08478E-05
100014 2.08131E-05
100029 2.07435E-05
100057 2.06066E-05
100114 2.03386E-05
100229 1.98270E-05
100457 1.88909E-05
100914 1.73047E-05
101827 1.49530E-05
103654 1.22007E-05
107308 1.04984E-05
109135 1.10149E-05
110961 1.33838E-05
111875 1.66909E-05
112332 1.98858E-05
112788 2.55146E-05
113245 3.69166E-05
113473 4.76512E-05
113702 6.60275E-05
113930 0.000101499
114044 0.000133075
114158 0.000183806
114273 0.000272685
114387 0.000447651
114444 0.000604263
114501 0.000852988
114558 0.00126734
114615 0.00196961
114678 0.00314933
114740 0.00396232
114803 0.00319818
114865 0.00200854
114906 0.00146110
114946 0.00108488
115027 0.000646172
115108 0.000422468
115189 0.000296780
115271 0.000220157
115352 0.000170338
115514 0.000112005
115676 8.05880E-05
115838 6.18430E-05
116162 4.16515E-05
116487 3.16720E-05
116811 2.61084E-05
117460 2.06643E-05
118757 1.77324E-05
120054 1.84541E-05
121352 2.13867E-05
122649 2.73771E-05
123946 4.04079E-05
124595 5.46395E-05
124919 7.07453E-05
125001 7.97976E-05
125082 9.86097E-05
125122 0.000119609
125163 0.000167663
125183 0.000221436
125203 0.000334292
125213 0.000445673
125224 0.000639602
125234 0.00101468
125239 0.00133888
125244 0.00180286
125252 0.00287492
125259 0.00377386
125267 0.00321241
125275 0.00206933
125282 0.00136899
125289 0.000949504
125296 0.000696950
125303 0.000538458
125316 0.000363429
125330 0.000277605
125344 0.000230904
125358 0.000205164
125385 0.000187333
125413 0.000202841
125426 0.000227120
125440 0.000271307
125454 0.000355634
125461 0.000426772
125468 0.000531771
125475 0.000699397
125481 0.000980095
125488 0.00148044
125495 0.00237851
125502 0.00370546
125508 0.00444209
125515 0.00345674
125522 0.00218280
125530 0.00127042
125538 0.000816168
125546 0.000575013
125553 0.000436924
125569 0.000292177
125585 0.000224245
125617 0.000165004
125649 0.000141596
125713 0.000125468
125777 0.000122579
126031 0.000141694
126286 0.000183517
126541 0.000255266
126796 0.000387695
126924 0.000499616
127051 0.000670047
127179 0.000946851
127242 0.00115341
127306 0.00143311
127370 0.00182231
127434 0.00237614
127497 0.00318221
127561 0.00436027
127659 0.00704749
127757 0.00929667
127806 0.00906237
127855 0.00793010
127953 0.00520673
128017 0.00403877
128080 0.00358462
128112 0.00382094
128143 0.00488544
128159 0.00621794
128175 0.00893310
128183 0.0114240
128191 0.0153333
128199 0.0217915
128207 0.0326128
128216 0.0514007
128225 0.0640675
128234 0.0516668
128243 0.0328798
128250 0.0227946
128256 0.0164459
128263 0.0123077
128270 0.00960165
128284 0.00638045
128298 0.00464568
