Zr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
27254.6 0.000214038
27396.0 0.000172393
27678.6 0.000133321
27961.3 0.000120694
28244.0 0.000128448
28526.6 0.000215199
28668.0 0.000577737
28738.7 0.00201722
28756.3 0.00349400
28774.0 0.00764843
28782.8 0.0133614
28791.7 0.0291866
28796.1 0.0505309
28798.3 0.0712777
28800.5 0.107793
28802.7 0.182107
28803.8 0.252254
28804.9 0.370611
28806.0 0.598662
28806.6 0.797415
28807.1 1.11194
28807.7 1.64951
28808.2 2.66820
28808.5 3.56339
28808.8 4.87870
28809.0 7.03218
28809.3 10.3598
28809.7 16.6461
28810.0 20.7058
28810.3 16.6455
28810.7 10.3444
28811.1 5.98259
28811.5 3.68335
28811.9 2.44838
28812.3 1.74417
28812.7 1.29089
28813.1 0.991504
28813.9 0.638460
28814.7 0.442378
28815.5 0.325321
28817.0 0.196243
28818.6 0.131041
28820.2 0.0936371
28823.4 0.0546119
28826.6 0.0357381
28829.8 0.0252020
28836.1 0.0144822
28848.8 0.00660191
28861.5 0.00378800
28887.0 0.00174962
28912.4 0.00102859
28963.3 0.000509970
29014.1 0.000327459
29217.5 0.000150886
29624.4 0.000108425
30438.1 0.000105746
32065.5 0.000137417
32879.3 0.000168500
33693.0 0.000224597
34099.8 0.000279512
34506.7 0.000401904
34710.1 0.000550550
34811.8 0.000690801
34913.6 0.000937233
35015.3 0.00144110
35066.1 0.00192271
35117.0 0.00276344
35167.8 0.00443813
35193.3 0.00598149
35218.7 0.00855796
35244.1 0.0133343
35256.8 0.0174073
35263.2 0.0201807
35269.6 0.0236603
35275.9 0.0281138
35282.3 0.0339151
35285.5 0.0374892
35288.6 0.0416348
35291.8 0.0464723
35295.0 0.0521334
35298.2 0.0588429
35301.3 0.0668230
35304.5 0.0763729
35307.7 0.0878251
35314.1 0.118507
35320.4 0.163036
35325.3 0.208636
35330.2 0.260760
35340.0 0.325862
35344.9 0.306623
35349.8 0.260574
35359.6 0.162860
35367.8 0.108363
35375.9 0.0748092
35384.1 0.0538782
35392.3 0.0403463
35408.6 0.0248063
35424.9 0.0167161
35441.2 0.0120197
35457.6 0.00906983
35490.2 0.00572744
35522.9 0.00398292
35555.5 0.00296248
35620.8 0.00188076
35686.1 0.00135222
35751.5 0.00105741
35882.1 0.000762407
36012.7 0.000630996
36143.3 0.000567038
36404.5 0.000524607
36927.0 0.000567728
37449.4 0.000694143
37971.9 0.000906496
38494.3 0.00125979
39016.8 0.00190843
39278.0 0.00253528
39408.6 0.00334195
39441.3 0.00391841
39473.9 0.00537681
39490.3 0.00730635
39498.4 0.00919927
39506.6 0.0126194
39514.7 0.0198466
39518.8 0.0269422
39522.9 0.0396799
39527.0 0.0661288
39529.0 0.0916061
39531.1 0.136277
39533.1 0.225547
39534.1 0.307991
39535.1 0.445910
39536.2 0.702025
39536.7 0.920731
39537.2 1.25739
39537.7 1.81051
39538.2 2.79796
39538.7 4.74615
39539.0 6.47217
39539.2 8.99390
39539.6 14.3236
39540.0 17.9738
39540.4 14.3232
39540.8 8.98200
39541.2 5.52384
39541.6 3.57841
39541.9 2.46238
39542.3 1.79658
39542.7 1.35354
39543.1 1.06017
39543.9 0.695153
39544.6 0.489851
39545.4 0.363543
39546.9 0.223104
39550.0 0.109161
39553.1 0.0653833
39565.4 0.0198066
39577.8 0.0108140
39590.1 0.00762047
39614.8 0.00537006
39639.4 0.00464453
39738.1 0.00433023
39935.3 0.00561149
40034.0 0.00684150
40132.6 0.00907380
40181.9 0.0112199
40231.3 0.0154939
40255.9 0.0196935
40280.6 0.0274362
40292.9 0.0340290
40305.2 0.0440724
40317.6 0.0599884
40329.9 0.0855148
40345.0 0.131874
40360.0 0.162888
40375.1 0.132281
40390.1 0.0865548
40403.3 0.0602086
40416.5 0.0445248
40429.7 0.0350937
40442.9 0.0292132
40469.3 0.0228942
40495.7 0.0200490
40548.5 0.0184128
40601.3 0.0190476
40706.9 0.0236385
40812.5 0.0325752
40918.0 0.0490853
40970.8 0.0627056
41023.6 0.0828386
41076.4 0.114075
41129.2 0.165363
41182.0 0.254798
41234.8 0.415670
41287.4 0.667610
41340.0 0.835174
41392.6 0.664827
41445.2 0.414260
41487.7 0.279208
41530.2 0.195149
41572.6 0.142339
41615.1 0.108024
41700.1 0.0688211
41785.0 0.0491924
41870.0 0.0393245
41954.9 0.0359796
41997.4 0.0367550
42039.9 0.0396502
42082.3 0.0454621
42124.8 0.0553083
42156.1 0.0655824
42187.4 0.0775748
42250.0 0.0920168
42281.3 0.0864710
42312.6 0.0743587
42375.2 0.0489692
42446.5 0.0308630
42517.8 0.0211801
42589.2 0.0156768
42660.5 0.0122708
42803.1 0.00839958
42945.8 0.00631025
43231.0 0.00417913
43516.3 0.00320446
43801.6 0.00286405
43944.2 0.00295077
44086.9 0.00333703
44229.5 0.00436486
44300.8 0.00541688
44372.1 0.00727185
44443.5 0.0108949
44479.1 0.0141191
44514.8 0.0192746
44550.4 0.0281941
44586.1 0.0453781
44603.9 0.0603926
44621.8 0.0836421
44639.6 0.121065
44657.4 0.181923
44678.7 0.290801
44700.0 0.363240
44721.3 0.290265
44742.6 0.181526
44763.1 0.113871
44783.7 0.0752453
44804.2 0.0526291
44824.8 0.0386508
44865.8 0.0232912
44906.9 0.0156088
44948.0 0.0112565
44989.1 0.00856311
45071.2 0.00554228
45153.3 0.00397149
45235.5 0.00304665
45399.8 0.00204518
45564.1 0.00153135
45728.4 0.00122482
46057.0 0.000878541
46714.1 0.000563238
47371.3 0.000410991
48685.7 0.000258383
50000.0 0.000183321
51684.2 0.000141417
