Rb-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E+06 0.00296613
1.19621E+06 0.00296861
1.25000E+06 0.00296922
1.47998E+06 0.00306065
1.47998E+06 0.00306065
1.50000E+06 0.00304803
1.59682E+06 0.00305272
1.59682E+06 0.00305271
1.75000E+06 0.00226834
1.76121E+06 0.00225325
2.00000E+06 0.00196273
2.44303E+06 0.00203752
2.58566E+06 0.00200851
2.58567E+06 0.00200851
2.84383E+06 0.00197675
3.00000E+06 0.00181908
3.07115E+06 0.00170065
3.14229E+06 0.00159237
3.14229E+06 0.00159237
3.19590E+06 0.00151685
3.24951E+06 0.00144608
3.30311E+06 0.00137969
3.35672E+06 0.00131734
3.41033E+06 0.00125873
3.46393E+06 0.00120359
3.51754E+06 0.00115165
3.57115E+06 0.00110269
3.62475E+06 0.00105649
3.67836E+06 0.00101287
3.73197E+06 0.000971635
3.78557E+06 0.000932635
3.83918E+06 0.000895716
3.89279E+06 0.000860741
3.94639E+06 0.000827582
4.00000E+06 0.000796123
4.01563E+06 0.000791638
4.03125E+06 0.000787196
4.04688E+06 0.000782795
4.06250E+06 0.000778436
4.07813E+06 0.000774118
4.09375E+06 0.000769840
4.10938E+06 0.000765602
4.12500E+06 0.000761403
4.14063E+06 0.000757243
4.15625E+06 0.000753122
4.17188E+06 0.000749038
4.18750E+06 0.000744991
4.20313E+06 0.000740981
4.21875E+06 0.000737008
4.23438E+06 0.000733070
4.25000E+06 0.000729168
4.26563E+06 0.000725301
4.28125E+06 0.000721468
4.29688E+06 0.000717669
4.31250E+06 0.000713904
4.32813E+06 0.000710173
4.34375E+06 0.000706474
4.35938E+06 0.000702808
4.37500E+06 0.000699173
4.39063E+06 0.000695571
4.40625E+06 0.000691999
4.42188E+06 0.000688459
4.43750E+06 0.000684949
4.45313E+06 0.000681469
4.46875E+06 0.000678019
4.48438E+06 0.000674598
4.50000E+06 0.000671206
4.51563E+06 0.000667844
4.53125E+06 0.000664509
4.54688E+06 0.000661203
4.56250E+06 0.000657924
4.57813E+06 0.000654672
4.59375E+06 0.000651448
4.60938E+06 0.000648251
4.62500E+06 0.000645079
4.64063E+06 0.000641934
4.65625E+06 0.000638815
4.67188E+06 0.000635722
4.68750E+06 0.000632653
4.70313E+06 0.000629610
4.71875E+06 0.000626591
4.73438E+06 0.000623597
4.75000E+06 0.000620626
4.76563E+06 0.000617680
4.78125E+06 0.000614757
4.79688E+06 0.000611857
4.81250E+06 0.000608981
4.82813E+06 0.000606127
4.84375E+06 0.000603296
4.85938E+06 0.000600487
4.87500E+06 0.000597700
4.89063E+06 0.000594935
4.90625E+06 0.000592191
4.92188E+06 0.000589469
4.93750E+06 0.000586768
4.95313E+06 0.000584087
4.96875E+06 0.000581427
4.98438E+06 0.000578788
5.00000E+06 0.000576169
5.06250E+06 0.000565937
5.12500E+06 0.000556010
5.18750E+06 0.000546373
5.25000E+06 0.000537016
5.31250E+06 0.000527928
5.37500E+06 0.000519096
5.43750E+06 0.000510512
5.50000E+06 0.000502166
5.56250E+06 0.000494048
5.62500E+06 0.000486150
5.68750E+06 0.000478463
5.75000E+06 0.000470980
5.81250E+06 0.000463693
5.87500E+06 0.000456595
5.93750E+06 0.000449679
6.00000E+06 0.000442938
6.09738E+06 0.000431462
6.19477E+06 0.000420458
6.29215E+06 0.000409900
6.38953E+06 0.000399763
6.53867E+06 0.000385004
6.68780E+06 0.000371105
6.84390E+06 0.000357403
7.00000E+06 0.000344500
7.11881E+06 0.000335077
7.23762E+06 0.000326062
7.36047E+06 0.000317143
7.48331E+06 0.000308610
7.61033E+06 0.000300168
7.73734E+06 0.000292092
7.86867E+06 0.000284102
8.00000E+06 0.000276458
8.04268E+06 0.000275346
8.08535E+06 0.000274243
8.13534E+06 0.000272965
8.18533E+06 0.000271701
8.23532E+06 0.000270450
8.28532E+06 0.000269212
8.33531E+06 0.000267988
8.38530E+06 0.000266776
8.43529E+06 0.000265577
8.48528E+06 0.000264390
8.54558E+06 0.000263687
8.60587E+06 0.000262992
8.66617E+06 0.000262303
8.72646E+06 0.000261620
8.79485E+06 0.000260854
8.86323E+06 0.000260096
8.93162E+06 0.000259345
9.00000E+06 0.000258603
9.06085E+06 0.000262676
9.12171E+06 0.000266786
9.18256E+06 0.000270932
9.24342E+06 0.000275114
9.30427E+06 0.000279333
9.36512E+06 0.000283589
9.42598E+06 0.000287881
9.48683E+06 0.000292209
9.55098E+06 0.000296812
9.61512E+06 0.000301456
9.67927E+06 0.000306140
9.74342E+06 0.000310866
9.80756E+06 0.000315634
9.87171E+06 0.000320442
9.93585E+06 0.000325292
1.00000E+07 0.000330183
1.00124E+07 0.000332069
1.00247E+07 0.000333962
1.00371E+07 0.000335865
1.00494E+07 0.000337776
1.00819E+07 0.000342845
1.01144E+07 0.000347973
1.01144E+07 0.000347975
1.01698E+07 0.000356846
1.02251E+07 0.000365894
1.02805E+07 0.000375122
1.03358E+07 0.000384530
1.03912E+07 0.000394123
1.04465E+07 0.000403902
1.05019E+07 0.000413869
1.05572E+07 0.000424029
1.06126E+07 0.000434383
1.06679E+07 0.000444934
1.07233E+07 0.000455684
1.07786E+07 0.000466637
1.08340E+07 0.000477795
1.08893E+07 0.000489161
1.09447E+07 0.000500738
1.10000E+07 0.000512528
1.10306E+07 0.000520819
1.10611E+07 0.000529221
1.10917E+07 0.000537735
1.11223E+07 0.000546362
1.11529E+07 0.000555102
1.11834E+07 0.000563958
1.12140E+07 0.000572931
1.12446E+07 0.000582018
1.12751E+07 0.000591228
1.13057E+07 0.000600557
1.13363E+07 0.000610008
1.13668E+07 0.000619582
1.13974E+07 0.000629279
1.14280E+07 0.000639102
1.14585E+07 0.000649051
1.14891E+07 0.000659125
1.15210E+07 0.000668255
1.15530E+07 0.000677483
1.15849E+07 0.000686813
1.16168E+07 0.000696245
1.16488E+07 0.000705779
1.16807E+07 0.000715418
1.17126E+07 0.000725162
1.17446E+07 0.000735011
1.17765E+07 0.000744970
1.18084E+07 0.000755033
1.18404E+07 0.000765204
1.18723E+07 0.000775484
1.19042E+07 0.000785875
1.19361E+07 0.000796376
1.19681E+07 0.000806989
1.20000E+07 0.000817714
1.20581E+07 0.000827925
1.21162E+07 0.000838213
1.21744E+07 0.000848579
1.22325E+07 0.000859023
1.22906E+07 0.000869545
1.23487E+07 0.000880145
1.24068E+07 0.000890824
1.24650E+07 0.000901580
1.25231E+07 0.000912417
1.25812E+07 0.000923332
1.26393E+07 0.000934327
1.26974E+07 0.000945402
1.27556E+07 0.000956557
1.28137E+07 0.000967791
1.28718E+07 0.000979106
1.29299E+07 0.000990499
1.30000E+07 0.00100435
1.31250E+07 0.00100536
1.32500E+07 0.00100636
1.33750E+07 0.00100736
1.35000E+07 0.00100835
1.36250E+07 0.00100932
1.37500E+07 0.00101029
1.38750E+07 0.00101126
1.40000E+07 0.00101221
1.41250E+07 0.00100484
1.42500E+07 0.000997593
1.43750E+07 0.000990459
1.45000E+07 0.000983436
1.46250E+07 0.000976523
1.47500E+07 0.000969717
1.48750E+07 0.000963015
1.50000E+07 0.000956415
1.51614E+07 0.000947475
1.53227E+07 0.000938712
1.54920E+07 0.000929699
1.56614E+07 0.000920871
1.58307E+07 0.000912219
1.60000E+07 0.000903740
1.61857E+07 0.000897180
1.63714E+07 0.000890741
1.66857E+07 0.000880110
1.70000E+07 0.000869801
1.73130E+07 0.000864840
1.73345E+07 0.000864504
1.73559E+07 0.000864169
1.73774E+07 0.000863834
1.73989E+07 0.000863500
1.74204E+07 0.000863166
1.74418E+07 0.000862833
1.74633E+07 0.000862500
1.74848E+07 0.000862168
1.75062E+07 0.000861837
1.75277E+07 0.000861506
1.75492E+07 0.000861175
1.75706E+07 0.000860845
1.75921E+07 0.000860515
1.76136E+07 0.000860186
1.76350E+07 0.000859858
1.76565E+07 0.000859530
1.76780E+07 0.000859203
1.76994E+07 0.000858876
1.77209E+07 0.000858550
1.77424E+07 0.000858224
1.77639E+07 0.000857898
1.77853E+07 0.000857574
1.78068E+07 0.000857249
1.78283E+07 0.000856926
1.78497E+07 0.000856603
1.78712E+07 0.000856280
1.78927E+07 0.000855958
1.79141E+07 0.000855636
1.79356E+07 0.000855315
1.79571E+07 0.000854994
1.79785E+07 0.000854674
1.80000E+07 0.000854354
1.80503E+07 0.000854334
1.81006E+07 0.000854314
1.81509E+07 0.000854293
1.82012E+07 0.000854273
1.82515E+07 0.000854253
1.83018E+07 0.000854233
1.83522E+07 0.000854213
1.84025E+07 0.000854193
1.84528E+07 0.000854173
1.85031E+07 0.000854154
1.85534E+07 0.000854134
1.86037E+07 0.000854114
1.86540E+07 0.000854095
1.87043E+07 0.000854075
1.87546E+07 0.000854056
1.88049E+07 0.000854036
1.89025E+07 0.000853998
1.90000E+07 0.000853961
1.91250E+07 0.000855387
1.92500E+07 0.000856806
1.93750E+07 0.000858218
1.95000E+07 0.000859623
1.96250E+07 0.000861022
1.97500E+07 0.000862414
1.98750E+07 0.000863799
2.00000E+07 0.000865178
